occurence,speaker,canonicalSpeaker,text
0,Sherlock Holmes,Unknown,"You are engaged,"
1,Sherlock Holmes,Unknown,perhaps I interrupt you.
2,Sherlock Holmes,Sherlock Holmes,Not at all. I am glad to have a friend with whom I can discuss my results. The matter is a perfectly trivial one
3,Sherlock Holmes,Sherlock Holmes,but there are points in connection with it which are not entirely devoid of interest and even of instruction.
4,Sherlock Holmes,Sherlock Holmes,"I suppose,"
5,Sherlock Holmes,Sherlock Holmes,"that, homely as it looks, this thing has some deadly story linked on to it--that it is the clue which will guide you in the solution of some mystery and the punishment of some crime."
6,Sherlock Holmes,Sherlock Holmes,"No, no. No crime,"
7,Sherlock Holmes,Sherlock Holmes,"Only one of those whimsical little incidents which will happen when you have four million human beings all jostling each other within the space of a few square miles. Amid the action and reaction of so dense a swarm of humanity, every possible combination of events may be expected to take place, and many a little problem will be presented which may be striking and bizarre without being criminal. We have already had experience of such."
8,Sherlock Holmes,Sherlock Holmes,"So much so,"
9,Sherlock Holmes,Sherlock Holmes,"that of the last six cases which I have added to my notes, three have been entirely free of any legal crime."
10,Sherlock Holmes,Sherlock Holmes,"Precisely. You allude to my attempt to recover the Irene Adler papers, to the singular case of Miss Mary Sutherland, and to the adventure of the man with the twisted lip. Well, I have no doubt that this small matter will fall into the same innocent category. You know Peterson, the commissionaire?"
11,Sherlock Holmes,Sherlock Holmes,Yes.
12,Sherlock Holmes,Sherlock Holmes,It is to him that this trophy belongs.
13,Sherlock Holmes,Sherlock Holmes,It is his hat.
14,Sherlock Holmes,Sherlock Holmes,"No, no, he found it. Its owner is unknown. I beg that you will look upon it not as a battered billycock but as an intellectual problem. And, first, as to how it came here. It arrived upon Christmas morning, in company with a good fat goose, which is, I have no doubt, roasting at this moment in front of Peterson's fire. The facts are these: about four o'clock on Christmas morning, Peterson, who, as you know, is a very honest fellow, was returning from some small jollification and was making his way homeward down Tottenham Court Road. In front of him he saw, in the gaslight, a tallish man, walking with a slight stagger, and carrying a white goose slung over his shoulder. As he reached the corner of Goodge Street, a row broke out between this stranger and a little knot of roughs. One of the latter knocked off the man's hat, on which he raised his stick to defend himself and, swinging it over his head, smashed the shop window behind him. Peterson had rushed forward to protect the stranger from his assailants; but the man, shocked at having broken the window, and seeing an official-looking person in uniform rushing towards him, dropped his goose, took to his heels, and vanished amid the labyrinth of small streets which lie at the back of Tottenham Court Road. The roughs had also fled at the appearance of Peterson, so that he was left in possession of the field of battle, and also of the spoils of victory in the shape of this battered hat and a most unimpeachable Christmas goose."
15,Sherlock Holmes,Sherlock Holmes,Which surely he restored to their owner?
16,Sherlock Holmes,Sherlock Holmes,"My dear fellow, there lies the problem. It is true that 'For Mrs. Henry Baker' was printed upon a small card which was tied to the bird's left leg, and it is also true that the initials 'H. B.' are legible upon the lining of this hat, but as there are some thousands of Bakers, and some hundreds of Henry Bakers in this city of ours, it is not easy to restore lost property to any one of them."
17,Sherlock Holmes,Sherlock Holmes,"What, then, did Peterson do?"
18,Sherlock Holmes,Sherlock Holmes,"He brought round both hat and goose to me on Christmas morning, knowing that even the smallest problems are of interest to me. The goose we retained until this morning, when there were signs that, in spite of the slight frost, it would be well that it should be eaten without unnecessary delay. Its finder has carried it off, therefore, to fulfil the ultimate destiny of a goose, while I continue to retain the hat of the unknown gentleman who lost his Christmas dinner."
19,Sherlock Holmes,Sherlock Holmes,Did he not advertise?
20,Sherlock Holmes,Sherlock Holmes,No.
21,Sherlock Holmes,Sherlock Holmes,"Then, what clue could you have as to his identity?"
22,Sherlock Holmes,Sherlock Holmes,Only as much as we can deduce.
23,Sherlock Holmes,Sherlock Holmes,From his hat?
24,Sherlock Holmes,Sherlock Holmes,Precisely.
25,Sherlock Holmes,Sherlock Holmes,But you are joking. What can you gather from this old battered felt?
26,Sherlock Holmes,Sherlock Holmes,Here is my lens. You know my methods. What can you gather yourself as to the individuality of the man who has worn this article?
27,Holmes,Sherlock Holmes,H. B.
28,his,Unknown,"I can see nothing,"
29,his,him,"On the contrary, Watson, you can see everything. You fail, however, to reason from what you see. You are too timid in drawing your inferences."
30,his,him,"Then, pray tell me what it is that you can infer from this hat?"
31,him,him,"It is perhaps less suggestive than it might have been,"
32,his,him,"and yet there are a few inferences which are very distinct, and a few others which represent at least a strong balance of probability. That the man was highly intellectual is of course obvious upon the face of it, and also that he was fairly well-to-do within the last three years, although he has now fallen upon evil days. He had foresight, but has less now than formerly, pointing to a moral retrogression, which, when taken with the decline of his fortunes, seems to indicate some evil influence, probably drink, at work upon him. This may account also for the obvious fact that his wife has ceased to love him."
33,his,him,My dear Holmes!
34,him,Peterson,"He has, however, retained some degree of self-respect,"
35,him,him,"He is a man who leads a sedentary life, goes out little, is out of training entirely, is middle-aged, has grizzled hair which he has had cut within the last few days, and which he anoints with lime-cream. These are the more patent facts which are to be deduced from his hat. Also, by the way, that it is extremely improbable that he has gas laid on in his house."
36,his,him,"You are certainly joking, Holmes."
