docTokenBegin,text,ner,nerConfidences
11,Paddington,LOCATION,{'LOCATION': 0.93906345184712}
15,Mr. Farquhar,PERSON,
44,St. Vitus,ORGANIZATION,{'ORGANIZATION': 0.83057815993032}
34,his,PERSON,
50,he,PERSON,
68,he,PERSON,
96,his,PERSON,
104,his,PERSON,
114,him,PERSON,
183,Sherlock Holmes,PERSON,{'PERSON': 0.99988751755775}
193,Baker Street,LOCATION,{'LOCATION': 0.9346386180274}
197,he,PERSON,
218,June,DATE,{'DATE': 0.99490842405111}
225,British Medical Journal,ORGANIZATION,{'ORGANIZATION': 0.80939355637809}
259,Watson,PERSON,{'PERSON': 0.9659877506483}
263,he,PERSON,
282,Mrs. Watson,PERSON,
318,him,PERSON,
332,he,PERSON,
381,last night,TIME,{'TIME': 0.72920016854266}
461,Birmingham,LOCATION,{'LOCATION': 0.95909183103073}
486,he,PERSON,
489,He,PERSON,
510,Holmes,PERSON,{'PERSON': 0.99140080479419}
515,his,PERSON,
524,his,PERSON,
662,Holmes,PERSON,{'PERSON': 0.99026810721241}
678,he,PERSON,
780,June,DATE,{'DATE': 0.93880526743882}
784,he,PERSON,
787,his,PERSON,
794,Holmes,PERSON,{'PERSON': 0.95271029730816}
808,He,PERSON,
817,his,PERSON,
841,he,PERSON,
858,Birmingham,LOCATION,{'LOCATION': 0.98077366950541}
925,Holmes,PERSON,{'PERSON': 0.98489619473306}
941,he,PERSON,
952,he,PERSON,
1030,his,PERSON,
1042,Mr. Hall Pycroft,PERSON,
1052,him,PERSON,
1106,He,PERSON,
1123,him,PERSON,
1126,he,PERSON,
1171,His,PERSON,
1186,his,PERSON,
1225,Birmingham,LOCATION,{'LOCATION': 0.96264390071026}
1241,Sherlock Holmes,PERSON,{'PERSON': 0.99577282528203}
1239,him,PERSON,
1256,Holmes,PERSON,{'PERSON': 0.99325634758517}
1264,Mr. Hall Pycroft,PERSON,
1312,Watson,PERSON,{'PERSON': 0.83119129611322}
1356,Mr. Pycroft,PERSON,
1377,his,PERSON,
1390,he,PERSON,
1443,Johnnie,PERSON,{'PERSON': 0.67978420311533}
1459,Watson,PERSON,{'PERSON': 0.99728368256365}
1477,Coxon & Woodhouse,ORGANIZATION,{'ORGANIZATION': 0.999106374528}
1483,Draper,PERSON,{'PERSON': 0.7721312625608}
1485,Gardens,LOCATION,{'LOCATION': 0.63717352462084}
1495,spring,DATE,{'DATE': 0.92635718357428}
1498,Venezuelan,MISC,{'MISC': 0.99998781149161}
1523,Coxon,PERSON,{'PERSON': 0.99545217567517}
1593,Coxon,PERSON,{'PERSON': 0.66609439322547}
1682,Mawson & Williams,ORGANIZATION,{'ORGANIZATION': 0.9997355572787}
1694,Lombard Street,LOCATION,{'LOCATION': 0.99723455467983}
1722,London,LOCATION,{'LOCATION': 0.99945853812183}
1765,Monday,DATE,{'DATE': 0.99941405160856}
1800,his,PERSON,
1849,Coxon,PERSON,{'PERSON': 0.71156280880957}
1870,Hampstead,LOCATION,{'LOCATION': 0.97912958141611}
1874,Potter,PERSON,{'PERSON': 0.86010180699339}
1908,Arthur Pinner,PERSON,{'PERSON': 0.92384286282118}
1911,Financial Agent,MISC,{'MISC': 0.69784922284631}
1931,he,PERSON,
1943,her,PERSON,
1946,him,PERSON,
1950,he,PERSON,
1978,his,PERSON,
1981,He,PERSON,
1989,him,PERSON,
2006,Mr. Hall Pycroft,PERSON,
2015,he,PERSON,
2031,him,PERSON,
2038,Coxon & Woodhouse,ORGANIZATION,{'ORGANIZATION': 0.99534193701091}
2059,Mawson,PERSON,{'PERSON': 0.64927932975495}
2075,he,PERSON,
2096,Parker,PERSON,{'PERSON': 0.98890032345626}
2102,Coxon,PERSON,{'PERSON': 0.95671846074537}
2106,He,PERSON,
2162,he,PERSON,
2194,he,PERSON,
2220,he,PERSON,
2274,New Zealand,LOCATION,{'LOCATION': 0.99283801662961}
2291,Broken Hills,LOCATION,{'LOCATION': 0.53097151812684}
2311,he,PERSON,
2315,his,PERSON,
2348,Mawson,ORGANIZATION,{'ORGANIZATION': 0.78292170550789}
2388,Mr. Pinner,PERSON,
2462,Mawson,PERSON,{'PERSON': 0.68680348923457}
2480,Mawson,PERSON,{'PERSON': 0.84097735939754}
2487,Monday,DATE,{'DATE': 0.99521122854949}
2520,Mawson,PERSON,{'PERSON': 0.66897970210167}
2541,Franco-Midland Hardware Company,ORGANIZATION,{'ORGANIZATION': 0.94894801458041}
2563,France,LOCATION,{'LOCATION': 0.99933997408254}
2569,Brussels,LOCATION,{'LOCATION': 0.99929061899677}
2573,San Remo,LOCATION,{'LOCATION': 0.99927440087188}
2631,Harry Pinner,PERSON,{'PERSON': 0.99995276387542}
2647,He,PERSON,
2678,him,PERSON,
2680,Parker,PERSON,{'PERSON': 0.94090731040743}
2826,Mawson,ORGANIZATION,{'ORGANIZATION': 0.3874669820904}
2834,Mawson,PERSON,{'PERSON': 0.87799029253072}
2861,he,PERSON,
2956,Birmingham,LOCATION,{'LOCATION': 0.93664669081778}
2965,he,PERSON,
2987,him,PERSON,
3005,he,PERSON,
3034,Mr. Pinner,PERSON,
3100,Franco-Midland Hardware Company,ORGANIZATION,{'ORGANIZATION': 0.94166865030141}
3122,he,PERSON,
3126,he,PERSON,
3131,his,PERSON,
3144,he,PERSON,
3154,Mawson,PERSON,{'PERSON': 0.84361870227793}
3164,Mawson,PERSON,{'PERSON': 0.70406951592132}
3199,Mawson,PERSON,{'PERSON': 0.65140367060419}
3209,him,PERSON,
3214,he,PERSON,
3266,He,PERSON,
3280,he,PERSON,
3299,he,PERSON,
3311,him,PERSON,
3322,he,PERSON,
3327,him,PERSON,
3334,he,PERSON,
3345,his,PERSON,
3368,him,PERSON,
3377,him,PERSON,
3407,he,PERSON,
3411,his,PERSON,
3508,Watson,PERSON,{'PERSON': 0.99981164354962}
3541,Birmingham,LOCATION,{'LOCATION': 0.9736058796965}
3564,New Street,LOCATION,{'LOCATION': 0.95226770319753}
