docTokenBegin,text,ner,nerConfidences
0,Sherlock Holmes,PERSON,{'PERSON': 0.99954268054407}
3,his,PERSON,
12,his,PERSON,
22,his,PERSON,
29,he,PERSON,
38,his,PERSON,
48,his,PERSON,
69,he,PERSON,
192,him,PERSON,
209,His,PERSON,
213,his,PERSON,
225,his,PERSON,
238,him,PERSON,
249,Beaune,LOCATION,{'LOCATION': 0.90304121567466}
268,his,PERSON,
301,He,PERSON,
303,his,PERSON,
314,he,PERSON,
324,he,PERSON,
364,Afghan,MISC,{'MISC': 0.999997873135}
381,He,PERSON,
393,Watson,PERSON,{'PERSON': 0.97597777661668}
396,he,PERSON,
557,he,PERSON,
565,He,PERSON,
575,he,PERSON,
577,his,PERSON,
582,his,PERSON,
588,his,PERSON,
605,he,PERSON,
715,he,PERSON,
732,Gregson,PERSON,{'PERSON': 0.99687404552638}
734,Lestrade,PERSON,
736,Athelney Jones,PERSON,{'PERSON': 0.95459437312008}
877,He,PERSON,
879,his,PERSON,
891,he,PERSON,
959,Euclid,LOCATION,{'LOCATION': 0.88657740222017}
1048,him,PERSON,
1076,his,PERSON,
1094,Baker Street,LOCATION,{'LOCATION': 0.99797817829728}
1092,him,PERSON,
1170,Holmes,PERSON,{'PERSON': 0.98389129733294}
1178,his,PERSON,
1192,Francois Le Villard,PERSON,{'PERSON': 0.9981396187939}
1212,French,MISC,{'MISC': 0.99996693971145}
1220,Celtic,MISC,{'MISC': 0.56245524874904}
1216,He,PERSON,
1227,he,PERSON,
1245,his,PERSON,
1277,Riga,LOCATION,{'LOCATION': 0.97826413468868}
1279,1857,DATE,{'DATE': 0.99681765586906}
1285,St. Louis,LOCATION,{'LOCATION': 0.95915092566544}
1288,1871,DATE,{'DATE': 0.9932923306226}
1268,him,PERSON,
1294,him,PERSON,
1313,He,PERSON,
1318,he,PERSON,
1363,Frenchman,MISC,{'MISC': 0.99950824236014}
1390,Sherlock Holmes,PERSON,{'PERSON': 0.99951457030147}
1366,He,PERSON,
1372,his,PERSON,
1381,he,PERSON,
1396,He,PERSON,
1402,He,PERSON,
1416,He,PERSON,
1427,He,PERSON,
1449,French,MISC,{'MISC': 0.99931650832859}
1441,He,PERSON,
1466,he,PERSON,
1586,Indian,MISC,{'MISC': 0.99998093915791}
1671,Paris,LOCATION,{'LOCATION': 0.98916500159091}
1822,he,PERSON,
1829,his,PERSON,
1839,his,PERSON,
1858,this morning,TIME,{'TIME': 0.73112586630286}
1927,he,PERSON,
2196,he,PERSON,
2254,his,PERSON,
2309,him,PERSON,
2349,he,PERSON,
2353,He,PERSON,
2358,his,PERSON,
2378,his,PERSON,
2396,his,PERSON,
2400,he,PERSON,
2419,he,PERSON,
2478,his,PERSON,
2484,he,PERSON,
2504,he,PERSON,
2613,he,PERSON,
2670,He,PERSON,
2684,He,PERSON,
2692,he,PERSON,
2695,his,PERSON,
2718,he,PERSON,
2754,Holmes,PERSON,{'PERSON': 0.92665782982295}
2813,his,PERSON,
2843,he,PERSON,
3146,his,PERSON,
3157,England,LOCATION,{'LOCATION': 0.99948376014291}
3241,he,PERSON,
3249,he,PERSON,
3318,He,PERSON,
3325,he,PERSON,
3330,his,PERSON,
3539,she,PERSON,
3547,Miss Mary Morstan,PERSON,
3552,he,PERSON,
3574,Mrs. Hudson,PERSON,
3591,Miss Morstan,MISC,{'MISC': 0.98150304586738}
3607,She,PERSON,
3639,her,PERSON,
3664,she,PERSON,
3687,Her,PERSON,
3700,her,PERSON,
3708,her,PERSON,
3764,Sherlock Holmes,PERSON,{'PERSON': 0.99958388587377}
3759,she,PERSON,
3768,her,PERSON,
3770,her,PERSON,
3774,her,PERSON,
3779,she,PERSON,
3795,Mr. Holmes,PERSON,
3810,Mrs. Cecil Forrester,PERSON,
3799,she,PERSON,
3821,She,PERSON,
3833,Mrs. Cecil Forrester,PERSON,
3838,he,PERSON,
3853,her,PERSON,
3873,She,PERSON,
3913,Holmes,PERSON,{'PERSON': 0.996510504636}
3915,his,PERSON,
3919,his,PERSON,
3923,He,PERSON,
3927,his,PERSON,
3936,his,PERSON,
3951,he,PERSON,
3998,her,PERSON,
4011,she,PERSON,
4022,he,PERSON,
4042,she,PERSON,
4058,Indian,MISC,{'MISC': 0.99999371508667}
4082,England,LOCATION,{'LOCATION': 0.99994080614473}
4096,Edinburgh,LOCATION,{'LOCATION': 0.99098043497132}
4112,year 1878,DATE,{'DATE': 0.95101307646764}
4122,his,PERSON,
4139,London,LOCATION,{'LOCATION': 0.99938641201642}
4158,Langham Hotel,LOCATION,{'LOCATION': 0.9442439094697}
4134,He,PERSON,
4141,he,PERSON,
4161,his,PERSON,
4164,His,PERSON,
4180,London,LOCATION,{'LOCATION': 0.99304564152489}
4185,Langham,LOCATION,{'LOCATION': 0.89413334557911}
4192,Morstan,PERSON,{'PERSON': 0.79521809950388}
4199,he,PERSON,
4219,him,PERSON,
4274,He,PERSON,
4278,his,PERSON,
4296,She,PERSON,
4298,her,PERSON,
4301,her,PERSON,
4319,Holmes,PERSON,{'PERSON': 0.96350772705586}
4322,his,PERSON,
4334,"December, 1878",DATE,{'DATE': 0.99753788052524}
4328,He,PERSON,
4346,His,PERSON,
4381,Andaman Islands,LOCATION,{'LOCATION': 0.99580239974894}
4384,He,PERSON,
4403,he,PERSON,
4429,Bombay Infantry,ORGANIZATION,{'ORGANIZATION': 0.88803288587029}
4423,his,PERSON,
4444,Upper Norwood,LOCATION,{'LOCATION': 0.94983665292896}
4467,England,LOCATION,{'LOCATION': 0.99994280662036}
4450,him,PERSON,
4456,he,PERSON,
4462,his,PERSON,
