lemma,pos,ner
it,PRP,O
be,VBD,O
in,IN,O
the,DT,O
year,NN,O
'95,CD,O
that,IN,O
a,DT,O
combination,NN,O
of,IN,O
event,NNS,O
",",",",O
into,IN,O
which,WDT,O
I,PRP,O
need,VBP,O
not,RB,O
enter,VB,O
",",",",O
cause,VBD,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
myself,PRP,O
to,TO,O
spend,VB,O
some,DT,O
week,NNS,O
in,IN,O
one,CD,O
of,IN,O
we,PRP$,O
great,JJ,O
University,NNP,O
town,NNS,O
",",",",O
and,CC,O
it,PRP,O
be,VBD,O
during,IN,O
this,DT,O
time,NN,O
that,IN,O
the,DT,O
small,JJ,O
but,CC,O
instructive,JJ,O
adventure,NN,O
which,WDT,O
I,PRP,O
be,VBP,O
about,RB,O
to,TO,O
relate,VB,O
befall,VBD,O
we,PRP,O
.,.,O
it,PRP,O
will,MD,O
be,VB,O
obvious,JJ,O
that,IN,O
any,DT,O
detail,NNS,O
which,WDT,O
would,MD,O
help,VB,O
the,DT,O
reader,NN,O
to,IN,O
exactly,RB,O
identify,VB,O
the,DT,O
college,NN,O
or,CC,O
the,DT,O
criminal,NN,O
would,MD,O
be,VB,O
injudicious,JJ,O
and,CC,O
offensive,JJ,O
.,.,O
so,RB,O
painful,JJ,O
a,DT,O
scandal,NN,O
may,MD,O
well,RB,O
be,VB,O
allow,VBN,O
to,TO,O
die,VB,O
out,RP,O
.,.,O
with,IN,O
due,JJ,O
discretion,NN,O
the,DT,O
incident,NN,O
itself,PRP,O
may,MD,O
",",",",O
however,RB,O
",",",",O
be,VB,O
describe,VBN,O
",",",",O
since,IN,O
it,PRP,O
serve,VBZ,O
to,TO,O
illustrate,VB,O
some,DT,O
of,IN,O
those,DT,O
quality,NNS,O
for,IN,O
which,WDT,O
my,PRP$,O
friend,NN,O
be,VBD,O
remarkable,JJ,O
.,.,O
I,PRP,O
will,MD,O
endeavour,VB,O
in,IN,O
my,PRP$,O
statement,NN,O
to,TO,O
avoid,VB,O
such,JJ,O
term,NNS,O
as,IN,O
would,MD,O
serve,VB,O
to,TO,O
limit,VB,O
the,DT,O
event,NNS,O
to,IN,O
any,DT,O
particular,JJ,O
place,NN,O
",",",",O
or,CC,O
give,VB,O
a,DT,O
clue,NN,O
as,IN,O
to,IN,O
the,DT,O
people,NNS,O
concerned,JJ,O
.,.,O
we,PRP,O
be,VBD,O
reside,VBG,O
at,IN,O
the,DT,O
time,NN,O
in,IN,O
furnished,JJ,O
lodgings,NNS,O
close,JJ,O
to,IN,O
a,DT,O
library,NN,O
where,WRB,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
pursue,VBG,O
some,DT,O
laborious,JJ,O
research,NNS,O
in,IN,O
early,JJ,O
English,NNP,MISC
charter,NNS,O
--,:,O
research,NNS,O
which,WDT,O
