lemma,pos,ner
I,PRP,O
have,VBP,O
never,RB,O
know,VBN,O
my,PRP$,O
friend,NN,O
to,TO,O
be,VB,O
in,IN,O
better,JJR,O
form,NN,O
",",",",O
both,CC,O
mental,JJ,O
and,CC,O
physical,JJ,O
",",",",O
than,IN,O
in,IN,O
the,DT,O
year,NN,O
','',DATE
95,CD,DATE
.,.,O
he,PRP$,O
increase,VBG,O
fame,NN,O
have,VBD,O
bring,VBN,O
with,IN,O
it,PRP,O
a,DT,O
immense,JJ,O
practice,NN,O
",",",",O
and,CC,O
I,PRP,O
should,MD,O
be,VB,O
guilty,JJ,O
of,IN,O
a,DT,O
indiscretion,NN,O
if,IN,O
I,PRP,O
be,VBD,O
even,RB,O
to,IN,O
hint,NN,O
at,IN,O
the,DT,O
identity,NN,O
of,IN,O
some,DT,O
of,IN,O
the,DT,O
illustrious,JJ,O
client,NNS,O
who,WP,O
cross,VBD,O
we,PRP$,O
humble,JJ,O
threshold,NN,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
Holmes,NNP,PERSON
",",",",O
however,RB,O
",",",",O
like,IN,O
all,DT,O
great,JJ,O
artist,NNS,O
",",",",O
live,VBD,O
for,IN,O
he,PRP$,O
art,NN,O
's,POS,O
sake,NN,O
",",",",O
and,CC,O
",",",",O
save,VB,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
Duke,NNP,ORGANIZATION
of,IN,ORGANIZATION
Holdernesse,NNP,ORGANIZATION
",",",",O
I,PRP,O
have,VBP,O
seldom,RB,O
know,VBN,O
he,PRP,O
claim,VBP,O
any,DT,O
large,JJ,O
reward,NN,O
for,IN,O
he,PRP$,O
inestimable,JJ,O
service,NNS,O
.,.,O
so,RB,O
unworldly,JJ,O
be,VBD,O
he,PRP,O
--,:,O
or,CC,O
so,RB,O
capricious,JJ,O
--,:,O
that,IN,O
he,PRP,O
frequently,RB,O
refuse,VBD,O
he,PRP$,O
help,NN,O
to,IN,O
the,DT,O
powerful,JJ,O
and,CC,O
wealthy,JJ,O
where,WRB,O
the,DT,O
problem,NN,O
make,VBD,O
no,DT,O
appeal,NN,O
to,IN,O
he,PRP$,O
sympathy,NNS,O
",",",",O
while,IN,O
he,PRP,O
would,MD,O
devote,VB,O
week,NNS,O
of,IN,O
most,JJS,O
intense,JJ,O
application,NN,O
to,IN,O
the,DT,O
affair,NNS,O
of,IN,O
some,DT,O
humble,JJ,O
client,NN,O
whose,WP$,O
case,NN,O
present,VBD,O
those,DT,O
strange,JJ,O
and,CC,O
dramatic,JJ,O
quality,NNS,O
which,WDT,O
appeal,VBD,O
to,IN,O
he,PRP$,O
imagination,NN,O
and,CC,O
challenge,VBD,O
he,PRP$,O
ingenuity,NN,O
.,.,O
in,IN,O
this,DT,O
memorable,JJ,O
year,NN,O
'95,CD,O
a,DT,O
curious,JJ,O
and,CC,O
incongruous,JJ,O
succession,NN,O
of,IN,O
case,NNS,O
have,VBD,O
engage,VBN,O
he,PRP$,O
attention,NN,O
",",",",O
range,VBG,O
from,IN,O
he,PRP$,O
famous,JJ,O
investigation,NN,O
of,IN,O
the,DT,O
sudden,JJ,O
death,NN,O
of,IN,O
Cardinal,NNP,O
Tosca,NNP,O
--,:,O
a,DT,O
inquiry,NN,O
which,WDT,O
be,VBD,O
carry,VBN,O
out,RP,O
by,IN,O
he,PRP,O
at,IN,O
the,DT,O
express,JJ,O
desire,NN,O
of,IN,O
he,PRP$,O
holiness,NN,O
the,DT,O
Pope,NNP,O
--,:,O
down,RB,O
to,IN,O
he,PRP$,O
arrest,NN,O
of,IN,O
Wilson,NNP,PERSON
",",",",O
the,DT,O
notorious,JJ,O
canary,JJ,O
-,HYPH,O
trainer,NN,O
",",",",O
which,WDT,O
remove,VBD,O
a,DT,O
plague,NN,O
-,HYPH,O
spot,NN,O
from,IN,O
the,DT,O
East,NNP,O
-,HYPH,O
End,NNP,O
of,IN,O
London,NNP,LOCATION
.,.,O
close,RB,O
on,IN,O
the,DT,O
heel,NNS,O
of,IN,O
these,DT,O
two,CD,O
famous,JJ,O
case,NNS,O
come,VBD,O
the,DT,O
tragedy,NN,O
of,IN,O
Woodman,NNP,PERSON
's,POS,O
Lee,NNP,LOCATION
",",",",O
and,CC,O
the,DT,O
very,RB,O
obscure,JJ,O
circumstance,NNS,O
which,WDT,O
surround,VBD,O
the,DT,O
death,NN,O
of,IN,O
Captain,NNP,O
Peter,NNP,PERSON
Carey,NNP,PERSON
.,.,O
no,DT,O
record,NN,O
of,IN,O
the,DT,O
doings,NNS,O
of,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
would,MD,O
be,VB,O
complete,JJ,O
which,WDT,O
