docTokenBegin,text,ner,nerConfidences
57,Sussex,LOCATION,{'ORGANIZATION': 0.72644364737035}
72,Nature,MISC,{'MISC': 0.5479527406148}
89,London,LOCATION,{'LOCATION': 0.98786021989335}
99,Watson,PERSON,{'PERSON': 0.96599493915015}
109,week-end,DATE,{'DATE': 0.51844600487366}
121,him,PERSON,
135,he,PERSON,
143,he,PERSON,
327,Fulworth,LOCATION,{'LOCATION': 0.97430888140918}
361,Harold Stackhurst,PERSON,{'PERSON': 0.99879616065292}
397,Stackhurst,PERSON,{'PERSON': 0.61370740307558}
407,his,PERSON,
418,He,PERSON,
434,he,PERSON,
465,"July, 1907",DATE,{'DATE': 0.99990699457732}
516,Nature,MISC,{'MISC': 0.6513679898103}
575,Harold Stackhurst,PERSON,{'PERSON': 0.99912789199769}
578,his,PERSON,
589,Mr. Holmes,PERSON,
619,he,PERSON,
623,his,PERSON,
630,McPherson,PERSON,{'PERSON': 0.9907697331051}
640,him,PERSON,
644,Fitzroy McPherson,PERSON,{'PERSON': 0.97759750680555}
668,He,PERSON,
690,him,PERSON,
695,he,PERSON,
698,his,PERSON,
714,him,PERSON,
725,His,PERSON,
740,his,PERSON,
757,he,PERSON,
760,his,PERSON,
771,his,PERSON,
789,him,PERSON,
791,his,PERSON,
794,He,PERSON,
818,his,PERSON,
825,he,PERSON,
859,his,PERSON,
890,he,PERSON,
899,his,PERSON,
909,his,PERSON,
912,He,PERSON,
970,his,PERSON,
974,his,PERSON,
991,Burberry,ORGANIZATION,{'ORGANIZATION': 0.66082460896264}
986,he,PERSON,
990,his,PERSON,
999,his,PERSON,
1006,his,PERSON,
1016,His,PERSON,
1026,he,PERSON,
1058,his,PERSON,
1068,his,PERSON,
1072,he,PERSON,
1076,his,PERSON,
1083,his,PERSON,
1086,His,PERSON,
1103,Stackhurst,PERSON,{'PERSON': 0.72098660859877}
1119,Ian Murdoch,PERSON,{'PERSON': 0.99977081084915}
1126,Murdoch,PERSON,{'PERSON': 0.99881868084481}
1155,his,PERSON,
1158,He,PERSON,
1178,him,PERSON,
1183,He,PERSON,
1218,his,PERSON,
1254,McPherson,PERSON,{'PERSON': 0.890277155731}
1276,Stackhurst,PERSON,{'PERSON': 0.46566301690566}
1256,he,PERSON,
1281,him,PERSON,
1282,his,PERSON,
1285,he,PERSON,
1305,He,PERSON,
1315,him,PERSON,
1360,him,PERSON,
1378,late this morning,TIME,{'TIME': 0.91255282221766}
1415,Fulworth,LOCATION,{'LOCATION': 0.97345288342222}
1445,Stackhurst,LOCATION,{'LOCATION': 0.34657833759934}
1427,he,PERSON,
1507,Fulworth,LOCATION,{'LOCATION': 0.98123777393268}
1589,McPherson,PERSON,{'PERSON': 0.99866797552692}
1593,he,PERSON,
1606,he,PERSON,
1611,his,PERSON,
1638,McPherson,PERSON,{'PERSON': 0.88873528576644}
1645,his,PERSON,
1667,he,PERSON,
1696,his,PERSON,
1703,his,PERSON,
1716,he,PERSON,
1729,he,PERSON,
1773,Stackhurst,PERSON,{'PERSON': 0.78271049714999}
1778,The Gables,LOCATION,{'LOCATION': 0.6833641549337}
1776,him,PERSON,
1790,He,PERSON,
1806,he,PERSON,
1811,his,PERSON,
1823,he,PERSON,
1841,his,PERSON,
1848,he,PERSON,
1861,he,PERSON,
1863,his,PERSON,
1867,his,PERSON,
1958,McPherson,PERSON,{'PERSON': 0.92275734379923}
1965,him,PERSON,
2038,Stackhurst,PERSON,{'PERSON': 0.62182167581288}
2048,Ian Murdoch,PERSON,{'PERSON': 0.99907348477197}
2054,Anderson,PERSON,{'PERSON': 0.92119910579419}
2072,Sussex,LOCATION,{'ORGANIZATION': 0.91087336249637}
2089,He,PERSON,
2116,Mr. Holmes,PERSON,
2136,Lewes,LOCATION,{'LOCATION': 0.92224748762573}
2145,him,PERSON,
2149,his,PERSON,
2194,his,PERSON,
2248,Maudie,PERSON,{'PERSON': 0.94573664484441}
2322,Stackhurst,PERSON,{'PERSON': 0.6781960460016}
2340,The Gables,LOCATION,{'LOCATION': 0.78369286525322}
2350,He,PERSON,
2353,him,PERSON,
2383,McPherson,PERSON,{'PERSON': 0.84917064317205}
2399,Miss Maud Bellamy,PERSON,{'MISC': 0.49967433835748}
2404,Fulworth,LOCATION,{'LOCATION': 0.82018218039537}
2377,he,PERSON,
2427,he,PERSON,
2476,him,PERSON,
2521,McPherson,PERSON,{'PERSON': 0.9682548659509}
2510,he,PERSON,
2533,his,PERSON,
2539,Ian Murdoch,PERSON,{'PERSON': 0.99893336917034}
2547,he,PERSON,
2550,He,PERSON,
2563,he,PERSON,
2599,Murdoch,PERSON,{'PERSON': 0.97193038210838}
2605,McPherson,PERSON,{'PERSON': 0.98783342636877}
2607,he,PERSON,
2614,He,PERSON,
2701,her,PERSON,
2707,her,PERSON,
2721,Holmes,PERSON,{'PERSON': 0.96058524958464}
2709,She,PERSON,
2732,McPherson,PERSON,{'PERSON': 0.99839853170637}
2736,her,PERSON,
2762,she,PERSON,
2772,Tom Bellamy,PERSON,{'PERSON': 0.9999014915348}
2785,Fulworth,LOCATION,{'LOCATION': 0.95822093065039}
2766,She,PERSON,
2787,He,PERSON,
2808,William,PERSON,{'PERSON': 0.9980017448245}
2804,He,PERSON,
2806,his,PERSON,
2819,Fulworth,LOCATION,{'LOCATION': 0.60275541632834}
2880,His,PERSON,
2951,Fulworth,LOCATION,{'LOCATION': 0.99716906738242}
2999,Bellamy,PERSON,{'PERSON': 0.98493587173599}
3025,Jove,PERSON,{'PERSON': 0.69445926789004}
3060,Ian Murdoch,PERSON,{'PERSON': 0.99994404061323}
3071,him,PERSON,
3081,Stackhurst,PERSON,{'PERSON': 0.78035770705423}
3093,his,PERSON,
3105,his,PERSON,
3108,him,PERSON,
3119,he,PERSON,
3122,Murdoch,PERSON,{'PERSON': 0.99793688842647}
3166,he,PERSON,
3174,he,PERSON,
3180,he,PERSON,
3182,his,PERSON,
3196,Mr. Murdoch,PERSON,
3285,Stackhurst,PERSON,{'PERSON': 0.63086243791556}
3277,He,PERSON,
3281,his,PERSON,
3294,him,PERSON,
3298,he,PERSON,
3307,he,PERSON,
3322,Mr. Ian Murdoch,PERSON,
3364,Bellamys,ORGANIZATION,{'ORGANIZATION': 0.42135649685893}
3374,Stackhurst,PERSON,{'PERSON': 0.83243156395026}
3387,Mr. Bellamy,PERSON,
3403,He,PERSON,
3414,his,PERSON,
3421,his,PERSON,
3471,Mr. McPherson,PERSON,
3476,Maud,PERSON,{'PERSON': 0.86745402335496}
3514,She,PERSON,
3522,her,PERSON,
3537,his,PERSON,
3552,she,PERSON,
3607,her,PERSON,
3623,her,PERSON,
3635,her,PERSON,
3662,Harold Stackhurst,PERSON,{'PERSON': 0.96835441750161}
3670,Fitzroy,PERSON,{'PERSON': 0.90181691148972}
3675,she,PERSON,
3737,him,PERSON,
3745,William,PERSON,{'PERSON': 0.9890762518203}
3786,him,PERSON,
3792,She,PERSON,
3810,she,PERSON,
3820,Maud Bellamy,PERSON,{'PERSON': 0.99887064703615}
3839,she,PERSON,
3847,she,PERSON,
3861,Mr. Holmes,PERSON,
3883,she,PERSON,
3887,her,PERSON,
3892,she,PERSON,
3934,Mr. McPherson,PERSON,
3942,he,PERSON,
3962,him,PERSON,
3981,Maud,PERSON,{'PERSON': 0.9735113865084}
3994,her,PERSON,
3998,She,PERSON,
4051,he,PERSON,
4110,she,PERSON,
4128,Fitzroy,PERSON,{'PERSON': 0.87495429271943}
4145,him,PERSON,
4147,he,PERSON,
4151,his,PERSON,
4170,Mr. Bellamy,PERSON,
4199,her,PERSON,
4210,him,PERSON,
4224,she,PERSON,
4227,her,PERSON,
4261,Tuesday,DATE,{'DATE': 0.99964763982219}
4273,F. M.,MISC,{'MISC': 0.49295904720193}
4276,Tuesday,DATE,{'DATE': 0.98481828264528}
4288,him,PERSON,
4350,She,PERSON,
4355,her,PERSON,
4369,She,PERSON,
4376,her,PERSON,
4384,she,PERSON,
4387,she,PERSON,
4399,Mr. Ian Murdoch,PERSON,
4408,She,PERSON,
4422,he,PERSON,
4436,Fitzroy,PERSON,{'PERSON': 0.59894162043915}
4431,he,PERSON,
4458,His,PERSON,
4464,His,PERSON,
4471,Stackhurst,PERSON,{'PERSON': 0.61725448166733}
4479,his,PERSON,
4532,Stackhurst,PERSON,{'PERSON': 0.61464052238909}
4538,his,PERSON,
4549,his,PERSON,
4654,Mr. McPherson,PERSON,
4661,she,PERSON,
4682,Mr. McPherson,PERSON,
4742,The Gables,LOCATION,{'LOCATION': 0.70667551485384}
4763,his,PERSON,
4875,The Gables,LOCATION,{'LOCATION': 0.63095010077534}
4881,Stackhurst,PERSON,{'PERSON': 0.86590897534941}
4883,his,PERSON,
4892,Sudbury,LOCATION,{'LOCATION': 0.81548024284045}
4894,Blount,PERSON,{'PERSON': 0.98446564571875}
4889,he,PERSON,
4945,Airedale,MISC,{'MISC': 0.61133499140887}
4984,Gables,MISC,{'MISC': 0.3969094310821}
5065,his,PERSON,
5206,Watson,PERSON,{'PERSON': 0.76477727856351}
5470,Bardle,PERSON,{'PERSON': 0.87865633909288}
5473,Sussex,LOCATION,{'ORGANIZATION': 0.64700323262076}
5474,Constabulary,ORGANIZATION,{'ORGANIZATION': 0.49316461114635}
5509,he,PERSON,
5535,McPherson,PERSON,{'PERSON': 0.99067557160333}
