lemma,pos,ner
glance,VBG,O
over,IN,O
the,DT,O
somewhat,RB,O
incoherent,JJ,O
series,NN,O
of,IN,O
Memoirs,NNPS,O
with,IN,O
which,WDT,O
I,PRP,O
have,VBP,O
endeavor,VBN,O
to,TO,O
illustrate,VB,O
a,DT,O
few,JJ,O
of,IN,O
the,DT,O
mental,JJ,O
peculiarity,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
I,PRP,O
have,VBP,O
be,VBN,O
strike,VBN,O
by,IN,O
the,DT,O
difficulty,NN,O
which,WDT,O
I,PRP,O
have,VBP,O
experience,VBN,O
in,IN,O
pick,VBG,O
out,RP,O
example,NNS,O
which,WDT,O
shall,MD,O
in,IN,O
every,DT,O
way,NN,O
answer,VB,O
my,PRP$,O
purpose,NN,O
.,.,O
for,IN,O
in,IN,O
those,DT,O
case,NNS,O
in,IN,O
which,WDT,O
Holmes,NNP,PERSON
have,VBZ,O
perform,VBN,O
some,DT,O
tour,NN,O
de,IN,O
force,NN,O
of,IN,O
analytical,JJ,O
reasoning,NN,O
",",",",O
and,CC,O
have,VBZ,O
demonstrate,VBN,O
the,DT,O
value,NN,O
of,IN,O
he,PRP$,O
peculiar,JJ,O
method,NNS,O
of,IN,O
investigation,NN,O
",",",",O
the,DT,O
fact,NNS,O
themselves,PRP,O
have,VBP,O
often,RB,O
be,VBN,O
so,RB,O
slight,JJ,O
or,CC,O
so,RB,O
commonplace,JJ,O
that,IN,O
I,PRP,O
could,MD,O
not,RB,O
feel,VB,O
justified,JJ,O
in,IN,O
lay,VBG,O
they,PRP,O
before,IN,O
the,DT,O
public,NN,O
.,.,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
",",",",O
it,PRP,O
have,VBZ,O
frequently,RB,O
happen,VBN,O
that,IN,O
he,PRP,O
have,VBZ,O
be,VBN,O
concern,VBN,O
in,IN,O
some,DT,O
research,NN,O
where,WRB,O
the,DT,O
fact,NNS,O
have,VBP,O
be,VBN,O
of,IN,O
the,DT,O
most,RBS,O
remarkable,JJ,O
and,CC,O
dramatic,JJ,O
character,NN,O
",",",",O
but,CC,O
where,WRB,O
the,DT,O
share,NN,O
which,WDT,O
he,PRP,O
have,VBZ,O
himself,PRP,O
take,VBN,O
in,IN,O
determine,VBG,O
they,PRP$,O
cause,NNS,O
have,VBZ,O
be,VBN,O
less,RBR,O
pronounced,JJ,O
than,IN,O
I,PRP,O
",",",",O
as,IN,O
he,PRP$,O
biographer,NN,O
",",",",O
could,MD,O
wish,VB,O
.,.,O
the,DT,O
small,JJ,O
matter,NN,O
which,WDT,O
I,PRP,O
have,VBP,O
chronicle,VBN,O
under,IN,O
the,DT,O
heading,NN,O
of,IN,O
"""",``,O
a,DT,O
study,NN,O
in,IN,O
Scarlet,NNP,LOCATION
",",",",O
"""",'',O
and,CC,O
that,IN,O
other,JJ,O
later,RB,O
one,CD,O
connect,VBN,O
with,IN,O
the,DT,O
loss,NN,O
of,IN,O
the,DT,O
Gloria,NNP,PERSON
Scott,NNP,PERSON
",",",",O
may,MD,O
serve,VB,O
as,IN,O
example,NNS,O
of,IN,O
this,DT,O
scylla,NN,O
and,CC,O
Charybdis,NNP,MISC
which,WDT,O
be,VBP,O
forever,RB,O
threaten,VBG,O
the,DT,O
historian,NN,O
.,.,O
it,PRP,O
may,MD,O
be,VB,O
that,IN,O
in,IN,O
the,DT,O
business,NN,O
of,IN,O
which,WDT,O
I,PRP,O
be,VBP,O
now,RB,O
about,RB,O
to,TO,O
write,VB,O
the,DT,O
part,NN,O
which,WDT,O
my,PRP$,O
friend,NN,O
play,VBD,O
be,VBZ,O
not,RB,O
sufficiently,RB,O
accentuate,VBN,O
;,:,O
and,CC,O
yet,RB,O
the,DT,O
whole,JJ,O
train,NN,O
of,IN,O
circumstance,NNS,O
be,VBZ,O
so,RB,O
remarkable,JJ,O
that,IN,O
I,PRP,O
can,MD,O
not,RB,O
bring,VB,O
myself,PRP,O
to,TO,O
omit,VB,O
it,PRP,O
entirely,RB,O
from,IN,O
this,DT,O
series,NN,O
.,.,O
it,PRP,O
have,VBD,O
be,VBN,O
a,DT,O
close,JJ,O
",",",",O
rainy,JJ,O
day,NN,O
in,IN,O
October,NNP,DATE
.,.,O
we,PRP$,O
blind,NNS,O
be,VBD,O
half,RB,O
-,HYPH,O
draw,VBN,O
",",",",O
and,CC,O
Holmes,NNP,PERSON
lay,VBD,O
curl,VBN,O
upon,IN,O
the,DT,O
