docTokenBegin,text,ner,nerConfidences
6,Sherlock Holmes,PERSON,{'PERSON': 0.99920027633966}
13,Christmas,DATE,{'DATE': 0.76304460876948}
20,him,PERSON,
27,He,PERSON,
45,his,PERSON,
178,he,PERSON,
180,his,PERSON,
216,his,PERSON,
223,his,PERSON,
305,Sherlock Holmes,PERSON,{'PERSON': 0.99967241936598}
439,Irene Adler,PERSON,{'PERSON': 0.97611910839941}
448,Miss Mary Sutherland,PERSON,{'MISC': 0.60509423719174}
484,Peterson,PERSON,{'PERSON': 0.92529310696392}
498,him,PERSON,
508,his,PERSON,
517,he,PERSON,
559,Christmas,DATE,{'DATE': 0.54713448361627}
560,morning,TIME,{'TIME': 0.63030502002497}
585,Peterson,PERSON,{'PERSON': 0.90418307031367}
598,Christmas,DATE,{'DATE': 0.61314627181611}
599,morning,TIME,{'TIME': 0.68582642133505}
601,Peterson,PERSON,{'PERSON': 0.94641054143472}
628,Tottenham Court Road,ORGANIZATION,{'ORGANIZATION': 0.78610872887198}
624,his,PERSON,
635,him,PERSON,
636,he,PERSON,
660,his,PERSON,
669,Goodge Street,LOCATION,{'LOCATION': 0.75972737200898}
664,he,PERSON,
699,he,PERSON,
701,his,PERSON,
711,his,PERSON,
719,him,PERSON,
721,Peterson,PERSON,{'PERSON': 0.9875652749035}
780,Tottenham Court Road,LOCATION,{'LOCATION': 0.97836698130053}
730,his,PERSON,
755,him,PERSON,
758,his,PERSON,
763,his,PERSON,
793,Peterson,PERSON,{'PERSON': 0.49555560066806}
797,he,PERSON,
833,he,PERSON,
856,Mrs. Henry Baker,PERSON,
910,Henry Bakers,PERSON,{'PERSON': 0.49311076454196}
939,Peterson,PERSON,{'PERSON': 0.99117729733273}
954,Christmas,DATE,{'DATE': 0.67157691194106}
955,morning,TIME,{'TIME': 0.7038905815251}
944,He,PERSON,
974,this morning,TIME,{'TIME': 0.93599792671989}
1035,Christmas,MISC,{'MISC': 0.51624590191266}
1034,his,PERSON,
1041,he,PERSON,
1060,his,PERSON,
1076,his,PERSON,
1192,Holmes,PERSON,{'PERSON': 0.99262047014708}
1284,Watson,PERSON,{'PERSON': 0.75155050897071}
1331,He,PERSON,
1348,him,PERSON,
1363,he,PERSON,
1422,last three years,DATE,{'DATE': 0.86309179881349}
1412,he,PERSON,
1427,he,PERSON,
1435,He,PERSON,
1460,his,PERSON,
1476,him,PERSON,
1487,his,PERSON,
1493,him,PERSON,
1499,Holmes,PERSON,{'PERSON': 0.95316301171585}
1503,He,PERSON,
1517,he,PERSON,
1525,He,PERSON,
1554,he,PERSON,
1566,he,PERSON,
1585,his,PERSON,
1600,he,PERSON,
1606,his,PERSON,
1616,Holmes,PERSON,{'PERSON': 0.958494181005}
1689,Holmes,PERSON,{'PERSON': 0.98057660591322}
1694,his,PERSON,
1709,his,PERSON,
1723,he,PERSON,
1744,his,PERSON,
1814,he,PERSON,
1845,Sherlock Holmes,PERSON,{'PERSON': 0.9986163424163}
1857,he,PERSON,
1859,his,PERSON,
1899,he,PERSON,
1903,his,PERSON,
1918,he,PERSON,
1935,he,PERSON,
1958,he,PERSON,
1981,he,PERSON,
1986,his,PERSON,
2006,he,PERSON,
2013,his,PERSON,
2027,he,PERSON,
2162,--you,PERSON,{'PERSON': 0.7895874966617}
2160,his,PERSON,
2166,she,PERSON,
2171,him,PERSON,
2191,Watson,PERSON,{'PERSON': 0.96802376902087}
2238,he,PERSON,
2248,he,PERSON,
2260,his,PERSON,
2296,his,PERSON,
2350,his,PERSON,
2365,he,PERSON,
2436,Sherlock Holmes,PERSON,{'PERSON': 0.99957901874445}
2452,Peterson,PERSON,{'PERSON': 0.92064153834987}
2440,his,PERSON,
2480,Mr. Holmes,PERSON,
2489,he,PERSON,
2515,Holmes,PERSON,{'PERSON': 0.96817195745687}
2550,He,PERSON,
2553,his,PERSON,
2595,his,PERSON,
2598,Sherlock Holmes,PERSON,{'PERSON': 0.99735673940465}
2608,Jove,PERSON,{'PERSON': 0.50836347141372}
2610,Peterson,PERSON,{'PERSON': 0.99187166629847}
2614,he,PERSON,
2675,Morcar,PERSON,{'PERSON': 0.55145924254275}
2708,Times,ORGANIZATION,{'ORGANIZATION': 0.89549311584412}
2732,1000,DATE,{'DATE': 0.56449091171163}
2803,her,PERSON,
2806,she,PERSON,
2838,December 22nd,DATE,{'DATE': 0.87256123768554}
2846,John Horner,PERSON,{'PERSON': 0.99995992827537}
2881,Assizes,LOCATION,{'LOCATION': 0.52733214903}
2869,him,PERSON,
2896,He,PERSON,
2899,his,PERSON,
2910,he,PERSON,
2931,John Horner,PERSON,{'PERSON': 0.99997229949875}
2961,Morcar,LOCATION,{'LOCATION': 0.49661084464016}
2971,James Ryder,PERSON,{'PERSON': 0.97141346592232}
2991,Horner,PERSON,{'PERSON': 0.97417464604356}
3002,Morcar,LOCATION,{'LOCATION': 0.57495935492821}
2982,his,PERSON,
2988,he,PERSON,
3012,he,PERSON,
3030,Horner,PERSON,{'PERSON': 0.98834251850184}
3026,He,PERSON,
3048,Horner,PERSON,{'PERSON': 0.99682961275028}
3045,he,PERSON,
3080,her,PERSON,
3099,Horner,PERSON,{'PERSON': 0.99667390179434}
3115,his,PERSON,
3119,his,PERSON,
3122,Catherine Cusack,PERSON,{'PERSON': 0.99939378028727}
3134,Ryder,ORGANIZATION,{'ORGANIZATION': 0.42907324406198}
3153,she,PERSON,
3164,Bradstreet,PERSON,
3176,Horner,PERSON,{'PERSON': 0.8759368082803}
3184,his,PERSON,
3220,Assizes,LOCATION,{'LOCATION': 0.54707712033541}
3222,Horner,PERSON,{'PERSON': 0.98686214757797}
3261,Holmes,PERSON,{'PERSON': 0.98424689327547}
3299,Tottenham Court Road,LOCATION,{'LOCATION': 0.98020989228563}
3309,Watson,PERSON,{'PERSON': 0.92734483415713}
3343,Mr. Henry Baker,PERSON,
3381,he,PERSON,
3455,Goodge Street,LOCATION,{'LOCATION': 0.91300087317961}
3466,Mr. Henry Baker,PERSON,
3476,6.30 this evening,TIME,{'TIME': 0.88808792043685}
3482,Baker Street,LOCATION,{'LOCATION': 0.98027281334399}
3498,he,PERSON,
3506,he,PERSON,
3548,Peterson,PERSON,{'PERSON': 0.9190119146555}
3531,He,PERSON,
3537,his,PERSON,
3550,he,PERSON,
3560,he,PERSON,
3569,him,PERSON,
3572,his,PERSON,
3582,his,PERSON,
3586,him,PERSON,
3595,him,PERSON,
3598,his,PERSON,
3607,Peterson,PERSON,{'PERSON': 0.9831754205003}
3641,Pall Mall,LOCATION,{'LOCATION': 0.9703422681168}
3644,St. James,PERSON,{'PERSON': 0.53296845217793}
3651,Standard,ORGANIZATION,{'ORGANIZATION': 0.63432324094254}
