lemma,pos,ner
in,IN,O
record,VBG,O
from,IN,O
time,NN,O
to,IN,O
time,NN,O
some,DT,O
of,IN,O
the,DT,O
curious,JJ,O
experience,NNS,O
and,CC,O
interesting,JJ,O
recollection,NNS,O
which,WDT,O
I,PRP,O
associate,VBP,O
with,IN,O
my,PRP$,O
long,JJ,O
and,CC,O
intimate,JJ,O
friendship,NN,O
with,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
I,PRP,O
have,VBP,O
continually,RB,O
be,VBN,O
face,VBN,O
by,IN,O
difficulty,NNS,O
cause,VBN,O
by,IN,O
he,PRP$,O
own,JJ,O
aversion,NN,O
to,IN,O
publicity,NN,O
.,.,O
to,IN,O
he,PRP$,O
sombre,JJ,O
and,CC,O
cynical,JJ,O
spirit,NN,O
all,DT,O
popular,JJ,O
applause,NN,O
be,VBD,O
always,RB,O
abhorrent,JJ,O
",",",",O
and,CC,O
nothing,NN,O
amuse,VBD,O
he,PRP,O
more,RBR,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
a,DT,O
successful,JJ,O
case,NN,O
than,IN,O
to,TO,O
hand,VB,O
over,RP,O
the,DT,O
actual,JJ,O
exposure,NN,O
to,IN,O
some,DT,O
orthodox,JJ,O
official,NN,O
",",",",O
and,CC,O
to,TO,O
listen,VB,O
with,IN,O
a,DT,O
mock,VBG,O
smile,NN,O
to,IN,O
the,DT,O
general,JJ,O
chorus,NN,O
of,IN,O
misplace,VBN,O
congratulation,NN,O
.,.,O
it,PRP,O
be,VBD,O
indeed,RB,O
this,DT,O
attitude,NN,O
upon,IN,O
the,DT,O
part,NN,O
of,IN,O
my,PRP$,O
friend,NN,O
and,CC,O
certainly,RB,O
not,RB,O
any,DT,O
lack,NN,O
of,IN,O
interesting,JJ,O
material,NN,O
which,WDT,O
have,VBZ,O
cause,VBN,O
I,PRP,O
of,IN,O
late,JJ,O
year,NNS,O
to,TO,O
lay,VB,O
very,RB,O
few,JJ,O
of,IN,O
my,PRP$,O
record,NNS,O
before,IN,O
the,DT,O
public,NN,O
.,.,O
my,PRP$,O
participation,NN,O
in,IN,O
some,DT,O
if,IN,O
he,PRP$,O
adventure,NNS,O
be,VBD,O
always,RB,O
a,DT,O
privilege,NN,O
which,WDT,O
entail,VBD,O
discretion,NN,O
and,CC,O
reticence,NN,O
upon,IN,O
I,PRP,O
.,.,O
it,PRP,O
be,VBD,O
",",",",O
then,RB,O
",",",",O
with,IN,O
considerable,JJ,O
surprise,NN,O
that,WDT,O
I,PRP,O
receive,VBD,O
a,DT,O
telegram,NN,O
from,IN,O
Homes,NNP,O
last,JJ,O
Tuesday,NNP,DATE
--,:,O
he,PRP,O
have,VBZ,O
never,RB,O
be,VBN,O
know,VBN,O
to,TO,O
write,VB,O
where,WRB,O
a,DT,O
telegram,NN,O
would,MD,O
serve,VB,O
--,:,O
in,IN,O
the,DT,O
follow,VBG,O
term,NNS,O
:,:,O
why,WRB,O
not,RB,O
tell,VB,O
they,PRP,O
of,IN,O
the,DT,O
Cornish,NNP,MISC
horror,NN,MISC
--,:,O
