text,ner
Lestrade,PERSON
three,NUMBER
Gregson,PERSON
his,PERSON
his,PERSON
Sherlock Holmes,PERSON
his,PERSON
his,PERSON
he,PERSON
Lestrade,PERSON
Gregson,PERSON
Lestrade,PERSON
his,PERSON
first,ORDINAL
Gregson,PERSON
Holmes,PERSON
Lestrade,PERSON
Stangerson,PERSON
one,NUMBER
Euston Station,ORGANIZATION
eight,NUMBER
evening,TIME
third,ORDINAL
two in the morning,TIME
Brixton Road,LOCATION
Stangerson,PERSON
8.30,NUMBER
him,PERSON
Liverpool,ORGANIZATION
American,MISC
Drebber,PERSON
night,TIME
next morning,DATE
his,PERSON
Holmes,PERSON
yesterday evening,DATE
This morning,DATE
eight o'clock,TIME
Halliday,PERSON
Little George Street,LOCATION
Mr. Stangerson,PERSON
once,DATE
he,PERSON
two days,DURATION
He,PERSON
now,DATE
he,PERSON
He,PERSON
nine,NUMBER
He,PERSON
once,DATE
him,PERSON
his,PERSON
him,PERSON
second,ORDINAL
twenty years,DURATION
He,PERSON
he,PERSON
his,PERSON
He,PERSON
his,PERSON
once,DATE
Joseph Stangerson,PERSON
him,PERSON
him,PERSON
now,DATE
Sherlock Holmes,PERSON
he,PERSON
Lestrade,PERSON
his,PERSON
Lestrade,PERSON
his,PERSON
one,NUMBER
second,ORDINAL
He,PERSON
he,PERSON
He,PERSON
him,PERSON
He,PERSON
him,PERSON
his,PERSON
him,PERSON
He,PERSON
He,PERSON
he,PERSON
his,PERSON
he,PERSON
his,PERSON
Holmes,PERSON
his,PERSON
his,PERSON
he,PERSON
Stangerson,PERSON
Drebber,PERSON
his,PERSON
he,PERSON
eighty,NUMBER
one,NUMBER
Cleveland,LOCATION
about a month ago,DATE
Europe,LOCATION
Holmes,PERSON
he,PERSON
his,PERSON
him,PERSON
Sherlock Holmes,PERSON
his,PERSON
he,PERSON
two,NUMBER
him,PERSON
now,DATE
Drebber,PERSON
Stangerson,LOCATION
Lestrade,PERSON
Holmes,PERSON
Now,DATE
Holmes,PERSON
Now,DATE
yesterday,DATE
now,DATE
one,NUMBER
two,NUMBER
Holmes,PERSON
his,PERSON
he,PERSON
One,NUMBER
future,DATE
This may,DATE
Lestrade,PERSON
one,NUMBER
Mr. Joseph Stangerson,PERSON
he,PERSON
now,DATE
he,PERSON
he,PERSON
he,PERSON
Sherlock Holmes,PERSON
Holmes,PERSON
minute,DURATION
minute,DURATION
his,PERSON
his,PERSON
He,PERSON
his,PERSON
his,PERSON
two,NUMBER
his,PERSON
him,PERSON
he,PERSON
he,PERSON
his,PERSON
Stangerson,LOCATION
two,NUMBER
he,PERSON
Sherlock Holmes,PERSON
his,PERSON
he,PERSON
two,NUMBER
one,NUMBER
he,PERSON
his,PERSON
his,PERSON
Holmes,PERSON
Mr. Gregson,PERSON
Mr. Sherlock Holmes,PERSON
he,PERSON
now,DATE
Charpentier,PERSON
this second,DATE
Lestrade,PERSON
Stangerson,PERSON
his,PERSON
he,PERSON
Gregson,PERSON
Lestrade,PERSON
once,DATE
him,PERSON
Holmes,PERSON
He,PERSON
his,PERSON
his,PERSON
his,PERSON
his,PERSON
he,PERSON
his,PERSON
him,PERSON
four million,NUMBER
him,PERSON
he,PERSON
he,PERSON
his,PERSON
present,DATE
Gregson,PERSON
Lestrade,PERSON
his,PERSON
Arabs,MISC
Wiggins,PERSON
his,PERSON
he,PERSON
his,PERSON
Holmes,PERSON
Scotland Yard,LOCATION
he,PERSON
spring,DATE
Lestrade,PERSON
Holmes,PERSON
Wiggins,PERSON
him,PERSON
he,PERSON
he,PERSON
he,PERSON
He,PERSON
he,PERSON
his,PERSON
his,PERSON
his,PERSON
Sherlock Holmes,PERSON
his,PERSON
Mr. Jefferson Hope,PERSON
Enoch Drebber,PERSON
Joseph Stangerson,PERSON
he,PERSON
Holmes,PERSON
his,PERSON
he,PERSON
his,PERSON
a second,DURATION
two,NUMBER
Holmes,PERSON
Gregson,PERSON
Lestrade,PERSON
Holmes,PERSON
him,PERSON
he,PERSON
him,PERSON
He,PERSON
four,NUMBER
he,PERSON
He,PERSON
His,PERSON
his,PERSON
his,PERSON
Lestrade,PERSON
his,PERSON
his,PERSON
him,PERSON
him,PERSON
his,PERSON
his,PERSON
his,PERSON
Sherlock Holmes,PERSON
his,PERSON
Scotland Yard,LOCATION
him,PERSON
now,DATE
he,PERSON
now,DATE
