lemma,pos,ner
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
who,WP,O
be,VBD,O
usually,RB,O
very,RB,O
late,RB,O
in,IN,O
the,DT,O
morning,NNS,O
",",",",O
save,VB,O
upon,IN,O
those,DT,O
not,RB,O
infrequent,JJ,O
occasion,NNS,O
when,WRB,O
he,PRP,O
be,VBD,O
up,RB,O
all,DT,O
night,NN,O
",",",",O
be,VBD,O
seat,VBN,O
at,IN,O
the,DT,O
breakfast,NN,O
table,NN,O
.,.,O
I,PRP,O
stand,VBD,O
upon,IN,O
the,DT,O
hearth,NN,O
-,HYPH,O
rug,NN,O
and,CC,O
pick,VBD,O
up,RP,O
the,DT,O
stick,NN,O
which,WDT,O
we,PRP$,O
visitor,NN,O
have,VBD,O
leave,VBN,O
behind,IN,O
he,PRP,O
the,DT,O
night,NN,O
before,RB,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
fine,JJ,O
",",",",O
thick,JJ,O
piece,NN,O
of,IN,O
wood,NN,O
",",",",O
bulbous,JJ,O
-,HYPH,O
head,VBN,O
",",",",O
of,IN,O
the,DT,O
sort,NN,O
which,WDT,O
be,VBZ,O
know,VBN,O
as,IN,O
a,DT,O
"""",``,O
Penang,NNP,O
lawyer,NN,O
.,.,O
"""",'',O
just,RB,O
under,IN,O
the,DT,O
head,NN,O
be,VBD,O
a,DT,O
broad,JJ,O
silver,NN,O
band,NN,O
nearly,RB,O
a,DT,O
inch,NN,O
across,IN,O
.,.,O
"""",``,O
to,TO,O
James,NNP,PERSON
Mortimer,NNP,PERSON
",",",",O
M.R.C.S.,NNP,O
",",",",O
from,IN,O
he,PRP$,O
friend,NNS,O
of,IN,O
the,DT,O
C.C.H.,NNP,MISC
",",",",O
"""",'',O
be,VBD,O
engrave,VBN,O
upon,IN,O
it,PRP,O
",",",",O
with,IN,O
the,DT,O
date,NN,O
"""",``,O
1884,CD,O
.,.,O
"""",'',O
it,PRP,O
be,VBD,O
just,RB,O
such,PDT,O
a,DT,O
stick,NN,O
as,IN,O
the,DT,O
old,JJ,O
-,HYPH,O
fashioned,JJ,O
family,NN,O
practitioner,NN,O
use,VBN,O
to,TO,O
carry,VB,O
--,:,O
dignified,JJ,O
",",",",O
solid,JJ,O
",",",",O
and,CC,O
reassure,VBG,O
.,.,O
"""",``,O
well,UH,O
",",",",O
Watson,NNP,PERSON
",",",",O
what,WP,O
do,VBP,O
you,PRP,O
make,VB,O
of,IN,O
it,PRP,O
?,.,O
"""",'',O
Holmes,NNP,PERSON
be,VBD,O
sit,VBG,O
with,IN,O
he,PRP$,O
back,NN,O
to,IN,O
I,PRP,O
",",",",O
and,CC,O
I,PRP,O
have,VBD,O
give,VBN,O
he,PRP,O
no,DT,O
sign,NN,O
of,IN,O
my,PRP$,O
occupation,NN,O
.,.,O
"""",``,O
how,WRB,O
do,VBD,O
you,PRP,O
know,VB,O
what,WP,O
I,PRP,O
be,VBD,O
do,VBG,O
?,.,O
I,PRP,O
