lemma,pos,ner
the,DT,O
Lord,NNP,O
St.,NNP,LOCATION
Simon,NNP,LOCATION
marriage,NN,O
",",",",O
and,CC,O
its,PRP$,O
curious,JJ,O
termination,NN,O
",",",",O
have,VBP,O
long,RB,O
cease,VBN,O
to,TO,O
be,VB,O
a,DT,O
subject,NN,O
of,IN,O
interest,NN,O
in,IN,O
those,DT,O
exalt,VBN,O
circle,NNS,O
in,IN,O
which,WDT,O
the,DT,O
unfortunate,JJ,O
bridegroom,NN,O
move,NNS,O
.,.,O
fresh,JJ,O
scandal,NNS,O
have,VBP,O
eclipse,VBN,O
it,PRP,O
",",",",O
and,CC,O
they,PRP$,O
more,JJR,O
piquant,JJ,O
detail,NNS,O
have,VBP,O
draw,VBN,O
the,DT,O
gossip,NNS,O
away,RB,O
from,IN,O
this,DT,O
four,CD,O
-,HYPH,O
year,NN,O
-,HYPH,O
old,JJ,O
drama,NN,O
.,.,O
as,IN,O
I,PRP,O
have,VBP,O
reason,NN,O
to,TO,O
believe,VB,O
",",",",O
however,RB,O
",",",",O
that,IN,O
the,DT,O
full,JJ,O
fact,NNS,O
have,VBP,O
never,RB,O
be,VBN,O
reveal,VBN,O
to,IN,O
the,DT,O
general,JJ,O
public,NN,O
",",",",O
and,CC,O
as,IN,O
my,PRP$,O
friend,NN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
have,VBD,O
a,DT,O
considerable,JJ,O
share,NN,O
in,IN,O
clear,VBG,O
the,DT,O
matter,NN,O
up,RP,O
",",",",O
I,PRP,O
feel,VBP,O
that,IN,O
no,DT,O
memoir,NN,O
of,IN,O
he,PRP,O
would,MD,O
be,VB,O
complete,JJ,O
without,IN,O
some,DT,O
little,JJ,O
sketch,NN,O
of,IN,O
this,DT,O
remarkable,JJ,O
episode,NN,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
few,JJ,O
week,NNS,O
before,IN,O
my,PRP$,O
own,JJ,O
marriage,NN,O
",",",",O
during,IN,O
the,DT,O
day,NNS,O
when,WRB,O
I,PRP,O
be,VBD,O
still,RB,O
share,VBG,O
room,NNS,O
with,IN,O
Holmes,NNP,PERSON
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
that,IN,O
he,PRP,O
come,VBD,O
home,RB,O
from,IN,O
a,DT,O
afternoon,NN,O
stroll,NN,O
to,TO,O
find,VB,O
a,DT,O
letter,NN,O
on,IN,O
the,DT,O
table,NN,O
wait,VBG,O
for,IN,O
he,PRP,O
.,.,O
I,PRP,O
have,VBD,O
remain,VBN,O
indoors,RB,O
all,DT,O
day,NN,O
",",",",O
for,IN,O
the,DT,O
weather,NN,O
have,VBD,O
take,VBN,O
a,DT,O
sudden,JJ,O
turn,NN,O
to,IN,O
rain,NN,O
",",",",O
with,IN,O
high,JJ,O
autumnal,JJ,O
wind,NNS,O
",",",",O
and,CC,O
the,DT,O
Jezail,NNP,MISC
bullet,NN,O
which,WDT,O
I,PRP,O
have,VBD,O
bring,VBN,O
back,RB,O
in,IN,O
one,CD,O
of,IN,O
my,PRP$,O
limb,NNS,O
as,IN,O
a,DT,O
relic,NN,O
of,IN,O
my,PRP$,O
afghan,JJ,MISC
campaign,NN,O
throb,VBN,O
with,IN,O
dull,JJ,O
persistence,NN,O
.,.,O
with,IN,O
my,PRP$,O
body,NN,O
in,IN,O
one,CD,O
easy,JJ,O
-,HYPH,O
chair,NN,O
and,CC,O
my,PRP$,O
leg,NNS,O
upon,IN,O
another,DT,O
",",",",O
I,PRP,O
have,VBD,O
surround,VBN,O
myself,PRP,O
with,IN,O
a,DT,O
cloud,NN,O
of,IN,O
newspaper,NNS,O
until,IN,O
at,IN,O
last,JJ,O
",",",",O
saturate,VBN,O
with,IN,O
the,DT,O
news,NN,O
of,IN,O
the,DT,O
day,NN,O
",",",",O
I,PRP,O
toss,VBD,O
they,PRP,O
all,DT,O
aside,RB,O
and,CC,O
lay,VBD,O
listless,JJ,O
",",",",O
watch,VBG,O
the,DT,O
huge,JJ,O
crest,NN,O
and,CC,O
monogram,NN,O
upon,IN,O
the,DT,O
envelope,NN,O
upon,IN,O
the,DT,O
table,NN,O
and,CC,O
wonder,VBG,O
lazily,RB,O
who,WP,O
my,PRP$,O
friend,NN,O
's,POS,O
noble,JJ,O
correspondent,NN,O
could,MD,O
be,VB,O
.,.,O
"""",``,O
here,RB,O
be,VBZ,O
a,DT,O
very,RB,O
fashionable,JJ,O
epistle,NN,O
",",",",O
"""",``,O
I,PRP,O
remark,VBD,O
as,IN,O
he,PRP,O
enter,VBD,O
.,.,O
"""",``,O
you,PRP$,O
morning,NN,O
letter,NNS,O
",",",",O
if,IN,O
I,PRP,O
remember,VBP,O
right,RB,O
",",",",O
be,VBD,O
from,IN,O
a,DT,O
fish,NN,O
-,HYPH,O
monger,NN,O
and,CC,O
a,DT,O
tide,NN,O
-,HYPH,O
waiter,NN,O
.,.,O
"""",'',O
"""",``,O
yes,UH,O
",",",",O
my,PRP$,O
correspondence,NN,O
have,VBZ,O
certainly,RB,O
the,DT,O
charm,NN,O
of,IN,O
variety,NN,O
",",",",O
"""",'',O
he,PRP,O
answer,VBD,O
",",",",O
smile,VBG,O
",",",",O
"""",'',O
and,CC,O
the,DT,O
humbler,JJR,O
be,VBP,O
usually,RB,O
the,DT,O
more,RBR,O
interesting,JJ,O
.,.,O
this,DT,O
look,VBZ,O
like,IN,O
one,CD,O
of,IN,O
those,DT,O
unwelcome,JJ,O
social,JJ,O
summons,NNS,O
which,WDT,O
call,VBP,O
upon,IN,O
a,DT,O
man,NN,O
either,CC,O
to,TO,O
be,VB,O
bored,JJ,O
or,CC,O
to,TO,O
lie,VB,O
.,.,O
"""",``,O
he,PRP,O
break,VBD,O
the,DT,O
seal,NN,O
and,CC,O
glance,VBD,O
over,IN,O
the,DT,O
contents,NNS,O
.,.,O
"""",'',O
oh,UH,O
",",",",O
come,VB,O
",",",",O
it,PRP,O
may,MD,O
prove,VB,O
to,TO,O
be,VB,O
something,NN,O
of,IN,O
interest,NN,O
",",",",O
after,IN,O
all,DT,O
.,.,O
"""",``,O
"""",``,O
not,RB,O
social,JJ,O
",",",",O
then,RB,O
?,.,O
"""",``,O
"""",``,O
no,UH,O
",",",",O
distinctly,RB,O
professional,JJ,O
