lemma,pos,ner
the,DT,O
July,NNP,DATE
which,WDT,O
immediately,RB,O
succeed,VBD,O
my,PRP$,O
marriage,NN,O
be,VBD,O
make,VBN,O
memorable,JJ,O
by,IN,O
three,CD,O
case,NNS,O
of,IN,O
interest,NN,O
",",",",O
in,IN,O
which,WDT,O
I,PRP,O
have,VBD,O
the,DT,O
privilege,NN,O
of,IN,O
be,VBG,O
associate,VBN,O
with,IN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
of,IN,O
study,VBG,O
he,PRP$,O
method,NNS,O
.,.,O
I,PRP,O
find,VBP,O
they,PRP,O
record,VBN,O
in,IN,O
my,PRP$,O
note,NNS,O
under,IN,O
the,DT,O
heading,NNS,O
of,IN,O
"""",``,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
second,JJ,O
stain,NN,O
",",",",O
"""",'',O
"""",``,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
Naval,NNP,O
Treaty,NNP,O
",",",",O
"""",'',O
and,CC,O
"""",``,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
tired,JJ,O
captain,NN,O
.,.,O
"""",'',O
the,DT,O
first,JJ,O
of,IN,O
these,DT,O
",",",",O
however,RB,O
",",",",O
deal,NNS,O
with,IN,O
interest,NN,O
of,IN,O
such,JJ,O
importance,NN,O
and,CC,O
implicate,VBZ,O
so,RB,O
many,JJ,O
of,IN,O
the,DT,O
first,JJ,O
family,NNS,O
in,IN,O
the,DT,O
kingdom,NN,O
that,WDT,O
for,IN,O
many,JJ,O
year,NNS,O
it,PRP,O
will,MD,O
be,VB,O
impossible,JJ,O
to,TO,O
make,VB,O
it,PRP,O
public,JJ,O
.,.,O
no,DT,O
case,NN,O
",",",",O
however,RB,O
",",",",O
in,IN,O
which,WDT,O
Holmes,NNP,PERSON
be,VBD,O
engage,VBN,O
have,VBZ,O
ever,RB,O
illustrate,VBN,O
the,DT,O
value,NN,O
of,IN,O
he,PRP$,O
analytical,JJ,O
method,NNS,O
so,RB,O
clearly,RB,O
or,CC,O
have,VBZ,O
impress,VBN,O
those,DT,O
who,WP,O
be,VBD,O
associate,VBN,O
with,IN,O
he,PRP,O
so,RB,O
deeply,RB,O
.,.,O
I,PRP,O
still,RB,O
retain,VBP,O
a,DT,O
almost,RB,O
verbatim,JJ,O
report,NN,O
of,IN,O
the,DT,O
interview,NN,O
in,IN,O
which,WDT,O
he,PRP,O
demonstrate,VBD,O
the,DT,O
true,JJ,O
fact,NNS,O
of,IN,O
the,DT,O
case,NN,O
to,IN,O
Monsieur,NNP,PERSON
Dubugue,NNP,PERSON
of,IN,O
the,DT,O
Paris,NNP,LOCATION
police,NN,O
",",",",O
and,CC,O
Fritz,NNP,PERSON
von,NNP,PERSON
Waldbaum,NNP,PERSON
",",",",O
