docTokenBegin,text,ner,nerConfidences
5,Watson,PERSON,{'PERSON': 0.98926822041792}
18,he,PERSON,
48,him,PERSON,
52,his,PERSON,
58,him,PERSON,
79,Holmes,PERSON,{'PERSON': 0.88144161710925}
82,he,PERSON,
148,Watson,PERSON,{'PERSON': 0.98138397383649}
155,his,PERSON,
200,Watson,PERSON,{'PERSON': 0.96914069201272}
206,his,PERSON,
211,his,PERSON,
213,he,PERSON,
219,his,PERSON,
279,"January, 1903",DATE,{'DATE': 0.9994629128622}
289,Boer War,MISC,{'MISC': 0.99878711705908}
298,Mr. James M. Dodd,PERSON,
311,Briton,MISC,{'MISC': 0.98713890097783}
315,Watson,PERSON,{'PERSON': 0.96224774522624}
372,Mr. James M. Dodd,PERSON,
393,him,PERSON,
396,his,PERSON,
423,him,PERSON,
431,South Africa,LOCATION,{'LOCATION': 0.99682118800668}
446,he,PERSON,
466,Middlesex,LOCATION,{'ORGANIZATION': 0.9993384901173}
467,Corps,ORGANIZATION,{'ORGANIZATION': 0.99929808167558}
478,Mr. Holmes,PERSON,
490,his,PERSON,
512,English,MISC,{'MISC': 0.9999990364919}
508,his,PERSON,
520,his,PERSON,
523,his,PERSON,
528,his,PERSON,
537,him,PERSON,
566,Middlesex,LOCATION,{'LOCATION': 0.55718171320137}
580,Throgmorton Street,LOCATION,{'LOCATION': 0.90433722592863}
618,Mr. Dodd,PERSON,
635,this morning,TIME,{'TIME': 0.8058235206513}
643,Tuxbury Old Park,LOCATION,{'LOCATION': 0.99897382542498}
649,Mr. Holmes,PERSON,
705,afternoon,TIME,{'TIME': 0.57065319516751}
718,Emsworth,PERSON,{'PERSON': 0.97996988139697}
750,Emsworth,PERSON,{'PERSON': 0.81011279320239}
742,He,PERSON,
757,Army,ORGANIZATION,{'ORGANIZATION': 0.89874423198869}
759,his,PERSON,
786,Godfrey,PERSON,{'PERSON': 0.88211636168126}
838,he,PERSON,
894,"January, 1901",DATE,{'DATE': 0.99894311425933}
904,Godfrey Emsworth,PERSON,{'PERSON': 0.99738995554537}
915,Emsworth,PERSON,{'PERSON': 0.95827105384626}
923,Crimean,MISC,{'MISC': 0.9824477896888}
912,He,PERSON,
928,he,PERSON,
934,him,PERSON,
941,he,PERSON,
995,Army,ORGANIZATION,{'ORGANIZATION': 0.96101397472132}
982,He,PERSON,
1027,Diamond Hill,LOCATION,{'LOCATION': 0.97344767479879}
1030,Pretoria,LOCATION,{'LOCATION': 0.99980707503383}
1013,he,PERSON,
1040,Cape Town,LOCATION,{'LOCATION': 0.99874118942838}
1045,Southampton,LOCATION,{'LOCATION': 0.89853797790513}
1057,Mr. Holmes,PERSON,
1067,he,PERSON,
1095,Godfrey,PERSON,{'PERSON': 0.98783292546061}
1090,his,PERSON,
1122,Godfrey,PERSON,{'PERSON': 0.9875318383077}
1138,he,PERSON,
1156,Mr. Holmes,PERSON,
1169,He,PERSON,
1176,he,PERSON,
1189,him,PERSON,
1200,he,PERSON,
1212,his,PERSON,
1215,he,PERSON,
1235,Godfrey,PERSON,{'PERSON': 0.99562875056664}
1302,Godfrey,PERSON,{'PERSON': 0.98915688779427}
1327,Mr. James M. Dodd,PERSON,
1353,His,PERSON,
1359,his,PERSON,
1366,he,PERSON,
1393,Tuxbury Old Park,LOCATION,{'LOCATION': 0.97618644742721}
1398,Bedford,LOCATION,{'LOCATION': 0.99423465324454}
1390,his,PERSON,
1438,Godfrey,PERSON,{'PERSON': 0.99087616028492}
1454,her,PERSON,
1485,her,PERSON,
1504,Monday,DATE,{'DATE': 0.99926675703872}
1507,Tuxbury Old Hall,MISC,{'MISC': 0.50935553744455}
1577,Elizabethan,MISC,{'MISC': 0.9938004914434}
1583,Victorian,MISC,{'MISC': 0.97208193493368}
1613,Ralph,PERSON,{'PERSON': 0.99615447558666}
1628,his,PERSON,
1640,Godfrey,PERSON,{'PERSON': 0.98696181662036}
1637,She,PERSON,
1648,him,PERSON,
1651,her,PERSON,
1656,his,PERSON,
1659,his,PERSON,
1667,her,PERSON,
1671,her,PERSON,
1729,his,PERSON,
1742,his,PERSON,
1749,him,PERSON,
1770,his,PERSON,
1805,Godfrey,PERSON,{'PERSON': 0.99657432121917}
1809,his,PERSON,
1820,he,PERSON,
1853,his,PERSON,
1868,Godfrey,PERSON,{'PERSON': 0.87561753847513}
1870,Africa,LOCATION,{'LOCATION': 0.99453684805392}
1889,his,PERSON,
1908,He,PERSON,
1916,him,PERSON,
1920,he,PERSON,
1933,he,PERSON,
1944,Godfrey,PERSON,{'PERSON': 0.99294501707943}
1964,his,PERSON,
1976,him,PERSON,
2003,him,PERSON,
2005,He,PERSON,
2024,African,MISC,{'MISC': 0.99987808618782}
2015,His,PERSON,
2023,his,PERSON,
2029,his,PERSON,
2093,he,PERSON,
2116,him,PERSON,
2132,His,PERSON,
2138,his,PERSON,
2142,he,PERSON,
2144,his,PERSON,
2151,He,PERSON,
2164,his,PERSON,
2186,Mr. Dodd,PERSON,
2191,he,PERSON,
2296,Godfrey,PERSON,{'PERSON': 0.71804785115194}
2307,her,PERSON,
2352,Mr. Holmes,PERSON,
2419,her,PERSON,
2487,Mr. Holmes,PERSON,
2559,Ralph,PERSON,{'PERSON': 0.99773791590926}
2603,He,PERSON,
2615,he,PERSON,
2625,his,PERSON,
2648,Master Godfrey,PERSON,{'PERSON': 0.94431103282287}
2662,him,PERSON,
2671,his,PERSON,
2688,he,PERSON,
2718,Boers,MISC,{'MISC': 0.40556729424026}
2707,He,PERSON,
2734,his,PERSON,
2749,Godfrey,PERSON,{'PERSON': 0.76524622964491}
2753,He,PERSON,
2770,he,PERSON,
2778,him,PERSON,
2780,He,PERSON,
2791,he,PERSON,
2817,he,PERSON,
2824,he,PERSON,
2838,Godfrey Emsworth,PERSON,{'PERSON': 0.99238762970161}
2853,he,PERSON,
2873,Master Godfrey,PERSON,{'PERSON': 0.61515160338595}
2876,He,PERSON,
2889,He,PERSON,
2898,his,PERSON,
2930,Godfrey,PERSON,{'PERSON': 0.85180251327735}
2935,He,PERSON,
2942,He,PERSON,
2954,his,PERSON,
2971,he,PERSON,
2975,he,PERSON,
2984,he,PERSON,
2995,Mr. Holmes,PERSON,
3056,his,PERSON,
3061,him,PERSON,
3073,Godfrey,PERSON,{'PERSON': 0.99574380705612}
3079,He,PERSON,
3086,him,PERSON,
3090,he,PERSON,
3100,his,PERSON,
3124,him,PERSON,
3132,him,PERSON,
3148,Godfrey Emsworth,PERSON,{'PERSON': 0.99410341897253}
3190,Mr. Holmes,PERSON,
3184,He,PERSON,
3194,his,PERSON,
3211,night,TIME,{'TIME': 0.81415904702205}
3224,His,PERSON,
3252,his,PERSON,
3259,He,PERSON,
3282,his,PERSON,
3297,He,PERSON,
3301,he,PERSON,
3308,him,PERSON,
3311,he,PERSON,
3326,Mr. Holmes,PERSON,
3399,Boer,PERSON,{'PERSON': 0.99331620063181}
3404,he,PERSON,
3406,his,PERSON,
3412,Godfrey,PERSON,{'PERSON': 0.99173692280235}
3458,he,PERSON,
3494,his,PERSON,
3566,Mr. Holmes,PERSON,
3582,Godfrey,PERSON,{'PERSON': 0.99194143738597}
3590,he,PERSON,
3596,him,PERSON,
3650,his,PERSON,
3708,Godfrey,PERSON,{'PERSON': 0.98034141701162}
3919,he,PERSON,
3923,him,PERSON,
3929,his,PERSON,
3933,he,PERSON,
3941,his,PERSON,
3953,he,PERSON,
3969,Godfrey,PERSON,{'PERSON': 0.86955923763235}
3978,he,PERSON,
3983,his,PERSON,
3987,he,PERSON,
4009,he,PERSON,
4031,He,PERSON,
4042,he,PERSON,
4277,morning,TIME,{'TIME': 0.6111954630926}
4279,He,PERSON,
4306,his,PERSON,
4315,he,PERSON,
4410,Godfrey,PERSON,{'PERSON': 0.89342042919267}
4395,his,PERSON,
4416,his,PERSON,
4426,his,PERSON,
4429,He,PERSON,
4433,his,PERSON,
4442,his,PERSON,
4472,Emsworth,PERSON,{'PERSON': 0.74472029532402}
4485,he,PERSON,
4491,He,PERSON,
4502,him,PERSON,
4508,He,PERSON,
4527,London,LOCATION,{'LOCATION': 0.99736158129504}
4533,he,PERSON,
4548,He,PERSON,
4602,he,PERSON,
4663,Mr. Holmes,PERSON,
4695,him,PERSON,
4710,him,PERSON,
4721,he,PERSON,
4734,Emsworth,PERSON,{'PERSON': 0.94885677173605}
4799,he,PERSON,
4810,he,PERSON,
4838,him,PERSON,
4848,he,PERSON,
4851,his,PERSON,
4871,morning,TIME,{'TIME': 0.5163105818512}
5020,his,PERSON,
5061,He,PERSON,
5108,Ralph,PERSON,{'PERSON': 0.97724890763861}
5182,Godfrey Emsworth,PERSON,{'PERSON': 0.99785853733392}
5191,he,PERSON,
5201,He,PERSON,
5257,Tuxbury Old Park,LOCATION,{'LOCATION': 0.9882533677791}
5283,Watson,PERSON,{'PERSON': 0.99733879438633}
5290,Abbey School,ORGANIZATION,{'ORGANIZATION': 0.9099897111757}
5298,Greyminster,LOCATION,{'LOCATION': 0.69845715354871}
5313,Turkey,LOCATION,{'LOCATION': 0.99925238819174}
5361,Bedfordshire,LOCATION,{'LOCATION': 0.97803337274487}
5365,Mr. James M. Dodd,PERSON,
5409,Dodd,PERSON,{'PERSON': 0.6728467660032}
5416,his,PERSON,
5454,Watson,PERSON,{'PERSON': 0.82538063736967}
5484,Dodd,PERSON,{'PERSON': 0.69847643193752}
5544,his,PERSON,
5557,His,PERSON,
5570,him,PERSON,
5581,him,PERSON,
5591,he,PERSON,
5598,he,PERSON,
5608,His,PERSON,
5649,his,PERSON,
5670,him,PERSON,
5687,him,PERSON,
5742,Ralph,PERSON,{'PERSON': 0.99329322978454}
5775,him,PERSON,
5777,Ralph,PERSON,{'PERSON': 0.99430883513881}
5807,He,PERSON,
5818,he,PERSON,
5842,Watson,PERSON,{'PERSON': 0.99386149924449}
5958,Watson,PERSON,{'PERSON': 0.99090945834363}
5963,his,PERSON,
5968,Emsworth,PERSON,{'PERSON': 0.98828474650966}
5983,Ralph,PERSON,{'PERSON': 0.97300372329776}
5972,his,PERSON,
5976,he,PERSON,
5989,his,PERSON,
6004,he,PERSON,
6025,He,PERSON,
6030,his,PERSON,
6034,he,PERSON,
6171,Godfrey,PERSON,{'PERSON': 0.94966022415235}
6176,he,PERSON,
6191,Ralph,PERSON,{'PERSON': 0.98729533992376}
6194,he,PERSON,
6215,him,PERSON,
6237,Mr. Dodd,PERSON,
6242,Emsworth,PERSON,{'PERSON': 0.78750073230948}
6245,his,PERSON,
6255,his,PERSON,
6263,he,PERSON,
6275,his,PERSON,
6295,Emsworth,PERSON,{'PERSON': 0.86821496498276}
6300,his,PERSON,
6322,Ralph,PERSON,{'PERSON': 0.99573939833009}
6403,Emsworth,PERSON,{'PERSON': 0.75934249070629}
6414,He,PERSON,
6438,he,PERSON,
6445,his,PERSON,
6463,He,PERSON,
6469,his,PERSON,
6474,his,PERSON,
6479,he,PERSON,
6494,Godfrey,PERSON,{'PERSON': 0.95728409772394}
6513,Ralph,PERSON,{'PERSON': 0.98090974471925}
6516,Mr. Godfrey,PERSON,
6520,Kent,LOCATION,{'PERSON': 0.99670856298025}
6572,his,PERSON,
6582,Emsworth,PERSON,{'PERSON': 0.82992527608244}
6586,he,PERSON,
6605,Kent,LOCATION,{'PERSON': 0.99741899357122}
6614,Mr. Godfrey,PERSON,
6623,he,PERSON,
6629,He,PERSON,
6648,his,PERSON,
6659,him,PERSON,
6671,Godfrey,PERSON,{'PERSON': 0.95295101137707}
6685,him,PERSON,
6694,Jimmie,PERSON,{'PERSON': 0.99941282042987}
6717,Emsworth,PERSON,{'PERSON': 0.82094207014641}
6720,B Squadron,ORGANIZATION,{'ORGANIZATION': 0.69643360344222}
6727,His,PERSON,
6752,African,MISC,{'MISC': 0.99997737433722}
6737,he,PERSON,
6770,his,PERSON,
6785,he,PERSON,
6794,Jimmie,PERSON,{'PERSON': 0.99914027684598}
6837,Godfrey,PERSON,{'PERSON': 0.98158216497979}
6869,Ralph,PERSON,{'PERSON': 0.9943653270428}
6939,he,PERSON,
6952,Buffelsspruit,LOCATION,{'LOCATION': 0.79779186566013}
6955,Pretoria,LOCATION,{'LOCATION': 0.99972489626169}
6959,Eastern,MISC,{'MISC': 0.98569227794496}
7006,Simpson,PERSON,{'PERSON': 0.75534610952935}
7012,Baldy Simpson,PERSON,{'PERSON': 0.87618610368511}
7016,Anderson,PERSON,{'PERSON': 0.98045360365445}
7025,Boer,PERSON,{'PERSON': 0.98929325233794}
7028,he,PERSON,
7063,he,PERSON,
7299,African,MISC,{'MISC': 0.999134661904}
7351,Dutch,MISC,{'MISC': 0.99989377257273}
7366,him,PERSON,
