occurence,speaker,canonicalSpeaker,text
0,Sherlock Holmes,Sherlock Holmes,"My dear fellow,"
1,Sherlock Holmes,Sherlock Holmes,"life is infinitely stranger than anything which the mind of man could invent. We would not dare to conceive the things which are really mere commonplaces of existence. If we could fly out of that window hand in hand, hover over this great city, gently remove the roofs, and peep in at the queer things which are going on, the strange coincidences, the plannings, the cross-purposes, the wonderful chains of events, working through generations, and leading to the most outré results, it would make all fiction with its conventionalities and foreseen conclusions most stale and unprofitable."
2,Sherlock Holmes,Sherlock Holmes,"And yet I am not convinced of it,"
3,Sherlock Holmes,Sherlock Holmes,"The cases which come to light in the papers are, as a rule, bald enough, and vulgar enough. We have in our police reports realism pushed to its extreme limits, and yet the result is, it must be confessed, neither fascinating nor artistic."
4,Holmes,Sherlock Holmes,"A certain selection and discretion must be used in producing a realistic effect,"
5,Holmes,Sherlock Holmes,"This is wanting in the police report, where more stress is laid, perhaps, upon the platitudes of the magistrate than upon the details, which to an observer contain the vital essence of the whole matter. Depend upon it, there is nothing so unnatural as the commonplace."
6,Sherlock Holmes,Unknown,I can quite understand your thinking so.
7,Holmes,Unknown,"Of course, in your position of unofficial adviser and helper to everybody who is absolutely puzzled, throughout three continents, you are brought in contact with all that is strange and bizarre. But here"
8,Holmes,Unknown,"let us put it to a practical test. Here is the first heading upon which I come. 'A husband's cruelty to his wife.' There is half a column of print, but I know without reading it that it is all perfectly familiar to me. There is, of course, the other woman, the drink, the push, the blow, the bruise, the sympathetic sister or landlady. The crudest of writers could invent nothing more crude."
9,Holmes,Holmes,"Indeed, your example is an unfortunate one for your argument,"
10,his,his,"This is the Dundas separation case, and, as it happens, I was engaged in clearing up some small points in connection with it. The husband was a teetotaler, there was no other woman, and the conduct complained of was that he had drifted into the habit of winding up every meal by taking out his false teeth and hurling them at his wife, which, you will allow, is not an action likely to occur to the imagination of the average story-teller. Take a pinch of snuff, Doctor, and acknowledge that I have scored over you in your example."
11,his,his,"Ah,"
12,his,his,I forgot that I had not seen you for some weeks. It is a little souvenir from the King of Bohemia in return for my assistance in the case of the Irene Adler papers.
13,his,his,And the ring?
14,his,his,"It was from the reigning family of Holland, though the matter in which I served them was of such delicacy that I cannot confide it even to you, who have been good enough to chronicle one or two of my little problems."
15,his,his,And have you any on hand just now?
16,his,his,"Some ten or twelve, but none which present any feature of interest. They are important, you understand, without being interesting. Indeed, I have found that it is usually in unimportant matters that there is a field for the observation, and for the quick analysis of cause and effect which gives the charm to an investigation. The larger crimes are apt to be the simpler, for the bigger the crime the more obvious, as a rule, is the motive. In these cases, save for one rather intricate matter which has been referred to me from Marseilles, there is nothing which presents any features of interest. It is possible, however, that I may have something better before very many minutes are over, for this is one of my clients, or I am much mistaken."
17,Holmes,Holmes,"I have seen those symptoms before,"
18,Holmes,Holmes,"Oscillation upon the pavement always means an affaire de coeur. She would like advice, but is not sure that the matter is not too delicate for communication. And yet even here we may discriminate. When a woman has been seriously wronged by a man she no longer oscillates, and the usual symptom is a broken bell wire. Here we may take it that there is a love matter, but that the maiden is not so much angry as perplexed, or grieved. But here she comes in person to resolve our doubts."
19,her,Sherlock Holmes,"Do you not find,"
20,Unknown,Sherlock Holmes,that with your short sight it is a little trying to do so much typewriting?
21,Unknown,her,"I did at first,"
22,his,her,but now I know where the letters are without looking.
23,her,her,"You've heard about me, Mr. Holmes,"
24,his,her,else how could you know all that?
25,Holmes,Holmes,"Never mind,"
26,Holmes,Holmes,"it is my business to know things. Perhaps I have trained myself to see what others overlook. If not, why should you come to consult me?"
27,Holmes,Holmes,"I came to you, sir, because I heard of you from Mrs. Etherege, whose husband you found so easy when the police and everyone had given him up for dead. Oh, Mr. Holmes, I wish you would do as much for me. I'm not rich, but still I have a hundred a year in my own right, besides the little that I make by the machine, and I would give it all to know what has become of Mr. Hosmer Angel."
28,Sherlock Holmes,Sherlock Holmes,Why did you come away to consult me in such a hurry?
29,his,Miss Mary Sutherland,"Yes, I did bang out of the house,"
30,Holmes,Miss Mary Sutherland,"for it made me angry to see the easy way in which Mr. Windibank--that is, my father--took it all. He would not go to the police, and he would not go to you, and so at last, as he would do nothing and kept on saying that there was no harm done, it made me mad, and I just on with my things and came right away to you."
31,Holmes,Sherlock Holmes,"Your father,"
32,Holmes,Sherlock Holmes,"your stepfather, surely, since the name is different."
33,Holmes,Sherlock Holmes,"Yes, my stepfather. I call him father, though it sounds funny, too, for he is only five years and two months older than myself."
34,Holmes,Sherlock Holmes,And your mother is alive?
35,Holmes,Sherlock Holmes,"Oh, yes, mother is alive and well. I wasn't best pleased, Mr. Holmes, when she married again so soon after father's death, and a man who was nearly fifteen years younger than herself. Father was a plumber in the Tottenham Court Road, and he left a tidy business behind him, which mother carried on with Mr. Hardy, the foreman; but when Mr. Windibank came he made her sell the business, for he was very superior, being a traveller in wines. They got £4700 for the goodwill and interest, which wasn't near as much as father could have got if he had been alive."
36,Unknown,Mr. Windibank,"Your own little income,"
37,Holmes,Mr. Windibank,does it come out of the business?
38,Holmes,Mr. Windibank,"Oh, no, sir. It is quite separate and was left me by my uncle Ned in Auckland. It is in New Zealand stock, paying 4½ per cent. Two thousand five hundred pounds was the amount, but I can only touch the interest."
39,Holmes,Sherlock Holmes,"You interest me extremely,"
40,Holmes,Sherlock Holmes,"And since you draw so large a sum as a hundred a year, with what you earn into the bargain, you no doubt travel a little and indulge yourself in every way. I believe that a single lady can get on very nicely upon an income of about £60."
41,Holmes,Sherlock Holmes,"I could do with much less than that, Mr. Holmes, but you understand that as long as I live at home I don't wish to be a burden to them, and so they have the use of the money just while I am staying with them. Of course, that is only just for the time. Mr. Windibank draws my interest every quarter and pays it over to mother, and I find that I can do pretty well with what I earn at typewriting. It brings me twopence a sheet, and I can often do from fifteen to twenty sheets in a day."
42,Holmes,Sherlock Holmes,"You have made your position very clear to me,"
43,Holmes,Sherlock Holmes,"This is my friend, Dr. Watson, before whom you can speak as freely as before myself. Kindly tell us now all about your connection with Mr. Hosmer Angel."
44,her,she,"I met him first at the gasfitters' ball,"
45,Holmes,she,"They used to send father tickets when he was alive, and then afterwards they remembered us, and sent them to mother. Mr. Windibank did not wish us to go. He never did wish us to go anywhere. He would get quite mad if I wanted so much as to join a Sunday-school treat. But this time I was set on going, and I would go; for what right had he to prevent? He said the folk were not fit for us to know, when all father's friends were to be there. And he said that I had nothing fit to wear, when I had my purple plush that I had never so much as taken out of the drawer. At last, when nothing else would do, he went off to France upon the business of the firm, but we went, mother and I, with Mr. Hardy, who used to be our foreman, and it was there I met Mr. Hosmer Angel."
46,Holmes,Sherlock Holmes,"I suppose,"
47,Holmes,Sherlock Holmes,that when Mr. Windibank came back from France he was very annoyed at your having gone to the ball.
48,Holmes,Sherlock Holmes,"Oh, well, he was very good about it. He laughed, I remember, and shrugged his shoulders, and said there was no use denying anything to a woman, for she would have her way."
49,Holmes,Sherlock Holmes,"I see. Then at the gasfitters' ball you met, as I understand, a gentleman called Mr. Hosmer Angel."
50,Holmes,Sherlock Holmes,"Yes, sir. I met him that night, and he called next day to ask if we had got home all safe, and after that we met him--that is to say, Mr. Holmes, I met him twice for walks, but after that father came back again, and Mr. Hosmer Angel could not come to the house any more."
51,Holmes,Sherlock Holmes,No?
52,Holmes,Sherlock Holmes,"Well, you know father didn't like anything of the sort. He wouldn't have any visitors if he could help it, and he used to say that a woman should be happy in her own family circle. But then, as I used to say to mother, a woman wants her own circle to begin with, and I had not got mine yet."
53,Holmes,Sherlock Holmes,But how about Mr. Hosmer Angel? Did he make no attempt to see you?
54,Holmes,Sherlock Holmes,"Well, father was going off to France again in a week, and Hosmer wrote and said that it would be safer and better not to see each other until he had gone. We could write in the meantime, and he used to write every day. I took the letters in in the morning, so there was no need for father to know."
55,Holmes,Sherlock Holmes,Were you engaged to the gentleman at this time?
56,Holmes,Sherlock Holmes,"Oh, yes, Mr. Holmes. We were engaged after the first walk that we took. Hosmer--Mr. Angel--was a cashier in an office in Leadenhall Street--and--"
57,Holmes,Sherlock Holmes,What office?
58,Holmes,Sherlock Holmes,"That's the worst of it, Mr. Holmes, I don't know."
59,Holmes,Sherlock Holmes,"Where did he live, then?"
60,Holmes,Sherlock Holmes,He slept on the premises.
61,Holmes,Sherlock Holmes,And you don't know his address?
62,Holmes,Sherlock Holmes,No--except that it was Leadenhall Street.
63,Holmes,Sherlock Holmes,"Where did you address your letters, then?"
64,Holmes,Sherlock Holmes,"To the Leadenhall Street Post Office, to be left till called for. He said that if they were sent to the office he would be chaffed by all the other clerks about having letters from a lady, so I offered to typewrite them, like he did his, but he wouldn't have that, for he said that when I wrote them they seemed to come from me, but when they were typewritten he always felt that the machine had come between us. That will just show you how fond he was of me, Mr. Holmes, and the little things that he would think of."
65,Holmes,Sherlock Holmes,"It was most suggestive,"
66,Holmes,Sherlock Holmes,It has long been an axiom of mine that the little things are infinitely the most important. Can you remember any other little things about Mr. Hosmer Angel?
67,Holmes,Sherlock Holmes,"He was a very shy man, Mr. Holmes. He would rather walk with me in the evening than in the daylight, for he said that he hated to be conspicuous. Very retiring and gentlemanly he was. Even his voice was gentle. He'd had the quinsy and swollen glands when he was young, he told me, and it had left him with a weak throat, and a hesitating, whispering fashion of speech. He was always well dressed, very neat and plain, but his eyes were weak, just as mine are, and he wore tinted glasses against the glare."
68,Holmes,Sherlock Holmes,"Well, and what happened when Mr. Windibank, your stepfather, returned to France?"
69,Holmes,Sherlock Holmes,"Mr. Hosmer Angel came to the house again and proposed that we should marry before father came back. He was in dreadful earnest and made me swear, with my hands on the Testament, that whatever happened I would always be true to him. Mother said he was quite right to make me swear, and that it was a sign of his passion. Mother was all in his favour from the first and was even fonder of him than I was. Then, when they talked of marrying within the week, I began to ask about father; but they both said never to mind about father, but just to tell him afterwards, and mother said she would make it all right with him. I didn't quite like that, Mr. Holmes. It seemed funny that I should ask his leave, as he was only a few years older than me; but I didn't want to do anything on the sly, so I wrote to father at Bordeaux, where the company has its French offices, but the letter came back to me on the very morning of the wedding."
70,Holmes,Sherlock Holmes,"It missed him, then?"
71,Holmes,Sherlock Holmes,"Yes, sir; for he had started to England just before it arrived."
72,Holmes,Sherlock Holmes,"Ha! that was unfortunate. Your wedding was arranged, then, for the Friday. Was it to be in church?"
73,Holmes,Sherlock Holmes,"Yes, sir, but very quietly. It was to be at St. Saviour's, near King's Cross, and we were to have breakfast afterwards at the St. Pancras Hotel. Hosmer came for us in a hansom, but as there were two of us he put us both into it and stepped himself into a four-wheeler, which happened to be the only other cab in the street. We got to the church first, and when the four-wheeler drove up we waited for him to step out, but he never did, and when the cabman got down from the box and looked there was no one there! The cabman said that he could not imagine what had become of him, for he had seen him get in with his own eyes. That was last Friday, Mr. Holmes, and I have never seen or heard anything since then to throw any light upon what became of him."
74,Holmes,Sherlock Holmes,"It seems to me that you have been very shamefully treated,"
75,Holmes,Sherlock Holmes,"Oh, no, sir! He was too good and kind to leave me so. Why, all the morning he was saying to me that, whatever happened, I was to be true; and that even if something quite unforeseen occurred to separate us, I was always to remember that I was pledged to him, and that he would claim his pledge sooner or later. It seemed strange talk for a wedding-morning, but what has happened since gives a meaning to it."
76,Holmes,Sherlock Holmes,"Most certainly it does. Your own opinion is, then, that some unforeseen catastrophe has occurred to him?"
77,Holmes,Sherlock Holmes,"Yes, sir. I believe that he foresaw some danger, or else he would not have talked so. And then I think that what he foresaw happened."
78,Holmes,Sherlock Holmes,But you have no notion as to what it could have been?
79,Holmes,Sherlock Holmes,None.
80,Holmes,Sherlock Holmes,One more question. How did your mother take the matter?
81,Holmes,Sherlock Holmes,"She was angry, and said that I was never to speak of the matter again."
82,Holmes,Sherlock Holmes,And your father? Did you tell him?
