lemma,pos,ner
we,PRP,O
be,VBD,O
seat,VBN,O
at,IN,O
breakfast,NN,O
one,CD,O
morning,NN,O
",",",",O
my,PRP$,O
wife,NN,O
and,CC,O
I,PRP,O
",",",",O
when,WRB,O
the,DT,O
maid,NN,O
bring,VBN,O
in,IN,O
a,DT,O
telegram,NN,O
.,.,O
it,PRP,O
be,VBD,O
from,IN,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
run,VBD,O
in,IN,O
this,DT,O
way,NN,O
:,:,O
"""",``,O
have,VBP,O
you,PRP,O
a,DT,O
couple,NN,O
of,IN,O
day,NNS,O
to,TO,O
spare,VB,O
?,.,O
have,VBP,O
just,RB,O
be,VBN,O
wire,VBN,O
for,IN,O
from,IN,O
the,DT,O
west,NN,O
of,IN,O
England,NNP,LOCATION
in,IN,O
connection,NN,O
with,IN,O
Boscombe,NNP,LOCATION
Valley,NNP,LOCATION
tragedy,NN,O
.,.,O
shall,MD,O
be,VB,O
glad,JJ,O
if,IN,O
you,PRP,O
will,MD,O
come,VB,O
with,IN,O
I,PRP,O
.,.,O
air,NN,O
and,CC,O
scenery,NN,O
perfect,JJ,O
.,.,O
leave,VB,O
Paddington,NNP,O
by,IN,O
the,DT,O
11.15,CD,O
.,.,O
"""",``,O
"""",``,O
what,WP,O
do,VBP,O
you,PRP,O
say,VB,O
",",",",O
dear,JJ,O
?,.,O
"""",``,O
say,VBD,O
my,PRP$,O
wife,NN,O
",",",",O
look,VBG,O
across,IN,O
at,IN,O
I,PRP,O
.,.,O
"""",'',O
will,MD,O
you,PRP,O
go,VB,O
?,.,O
"""",``,O
"""",``,O
I,PRP,O
really,RB,O
do,VBP,O
not,RB,O
know,VB,O
what,WP,O
to,TO,O
say,VB,O
.,.,O
I,PRP,O
have,VBP,O
a,DT,O
fairly,RB,O
long,JJ,O
list,NN,O
at,IN,O
present,JJ,O
.,.,O
"""",``,O
"""",``,O
oh,UH,O
",",",",O
Anstruther,NNP,PERSON
would,MD,O
do,VB,O
you,PRP$,O
work,NN,O
for,IN,O
you,PRP,O
.,.,O
you,PRP,O
have,VBP,O
be,VBN,O
look,VBG,O
a,DT,O
little,JJ,O
pale,JJ,O
lately,RB,O
.,.,O
I,PRP,O
think,VBP,O
that,IN,O
the,DT,O
change,NN,O
would,MD,O
do,VB,O
you,PRP,O
good,JJ,O
",",",",O
and,CC,O
you,PRP,O
be,VBP,O
always,RB,O
so,RB,O
interested,JJ,O
in,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
',POS,O
case,NNS,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
should,MD,O
be,VB,O
ungrateful,JJ,O
if,IN,O
I,PRP,O
be,VBD,O
not,RB,O
",",",",O
see,VBG,O
what,WP,O
I,PRP,O
gain,VBD,O
through,IN,O
one,CD,O
of,IN,O
they,PRP,O
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
.,.,O
"""",'',O
but,CC,O
if,IN,O
I,PRP,O
be,VBP,O
to,TO,O
go,VB,O
",",",",O
I,PRP,O
must,MD,O
pack,VB,O
at,IN,O
once,RB,O
",",",",O
for,IN,O
I,PRP,O
have,VBP,O
only,RB,O
half,PDT,O
a,DT,O
hour,NN,O
.,.,O
"""",``,O
my,PRP$,O
experience,NN,O
of,IN,O
camp,NN,O
life,NN,O
in,IN,O
Afghanistan,NNP,LOCATION
have,VBD,O
