lemma,pos,ner
it,PRP,O
be,VBZ,O
year,NNS,O
since,IN,O
the,DT,O
incident,NNS,O
of,IN,O
which,WDT,O
I,PRP,O
speak,VBP,O
take,VBD,O
place,NN,O
",",",",O
and,CC,O
yet,CC,O
it,PRP,O
be,VBZ,O
with,IN,O
diffidence,NN,O
that,WDT,O
I,PRP,O
allude,NN,O
to,IN,O
they,PRP,O
.,.,O
for,IN,O
a,DT,O
long,JJ,O
time,NN,O
",",",",O
even,RB,O
with,IN,O
the,DT,O
utmost,JJ,O
discretion,NN,O
and,CC,O
reticence,NN,O
",",",",O
it,PRP,O
would,MD,O
have,VB,O
be,VBN,O
impossible,JJ,O
to,TO,O
make,VB,O
the,DT,O
fact,NNS,O
public,JJ,O
;,:,O
but,CC,O
now,RB,O
the,DT,O
principal,JJ,O
person,NN,O
concerned,JJ,O
be,VBZ,O
beyond,IN,O
the,DT,O
reach,NN,O
of,IN,O
human,JJ,O
law,NN,O
",",",",O
and,CC,O
with,IN,O
due,JJ,O
suppression,NN,O
the,DT,O
story,NN,O
may,MD,O
be,VB,O
tell,VBN,O
in,IN,O
such,JJ,O
fashion,NN,O
as,IN,O
to,IN,O
injure,VB,O
no,DT,O
one,NN,O
.,.,O
it,PRP,O
record,VBZ,O
a,DT,O
absolutely,RB,O
unique,JJ,O
experience,NN,O
in,IN,O
the,DT,O
career,NN,O
both,DT,O
of,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
and,CC,O
of,IN,O
myself,PRP,O
.,.,O
the,DT,O
reader,NN,O
will,MD,O
excuse,VB,O
I,PRP,O
if,IN,O
I,PRP,O
conceal,VBP,O
the,DT,O
date,NN,O
or,CC,O
any,DT,O
other,JJ,O
fact,NN,O
by,IN,O
which,WDT,O
he,PRP,O
might,MD,O
trace,VB,O
the,DT,O
actual,JJ,O
occurrence,NN,O
.,.,O
we,PRP,O
have,VBD,O
be,VBN,O
out,RB,O
for,IN,O
one,CD,O
of,IN,O
we,PRP$,O
evening,NN,O
ramble,VBZ,O
",",",",O
Holmes,NNP,PERSON
and,CC,O
I,PRP,O
",",",",O
and,CC,O
have,VBD,O
return,VBN,O
about,IN,O
six,CD,O
o'clock,NN,O
on,IN,O
a,DT,O
cold,NN,O
",",",",O
frosty,JJ,O
winter,NN,O
's,POS,O
evening,NN,O
.,.,O
as,IN,O
Holmes,NNP,PERSON
turn,VBD,O
up,RP,O
the,DT,O
lamp,NN,O
the,DT,O
light,NN,O
fall,VBD,O
upon,IN,O
a,DT,O
card,NN,O
on,IN,O
the,DT,O
table,NN,O
.,.,O
he,PRP,O
glance,VBD,O
at,IN,O
it,PRP,O
",",",",O
and,CC,O
then,RB,O
",",",",O
with,IN,O
a,DT,O
ejaculation,NN,O
of,IN,O
disgust,NN,O
",",",",O
throw,VBD,O
it,PRP,O
on,IN,O
the,DT,O
floor,NN,O
.,.,O
I,PRP,O
pick,VBD,O
it,PRP,O
up,RP,O
and,CC,O
read,VB,O
:,:,O
--,:,O
Charles,NNP,PERSON
Augustus,NNP,PERSON
Milverton,NNP,PERSON
",",",",O
Appledore,NNP,ORGANIZATION
Towers,NNP,ORGANIZATION
",",",",O
Hampstead,NNP,LOCATION
.,.,O
Agent,NNP,O
.,.,O
"""",``,O
who,WP,O
be,VBZ,O
he,PRP,O
?,.,O
"""",'',O
I,PRP,O
ask,VBD,O
.,.,O
"""",``,O
the,DT,O
worst,JJS,O
man,NN,O
in,IN,O
London,NNP,LOCATION
",",",",O
"""",``,O
Holmes,NNP,PERSON
answer,VBD,O
",",",",O
