lemma,pos,ner
Holmes,NNP,PERSON
have,VBD,O
read,VBN,O
carefully,RB,O
a,DT,O
note,NN,O
which,WDT,O
the,DT,O
last,JJ,O
post,NN,O
have,VBD,O
bring,VBN,O
he,PRP,O
.,.,O
then,RB,O
",",",",O
with,IN,O
the,DT,O
dry,JJ,O
chuckle,NN,O
which,WDT,O
be,VBD,O
he,PRP$,O
nearest,JJS,O
approach,NN,O
to,IN,O
a,DT,O
laugh,NN,O
",",",",O
he,PRP,O
toss,VBD,O
it,PRP,O
over,IN,O
to,IN,O
I,PRP,O
.,.,O
"""",``,O
for,IN,O
a,DT,O
mixture,NN,O
of,IN,O
the,DT,O
modern,JJ,O
and,CC,O
the,DT,O
mediaeval,JJ,O
",",",",O
of,IN,O
the,DT,O
practical,JJ,O
and,CC,O
of,IN,O
the,DT,O
wildly,RB,O
fanciful,JJ,O
",",",",O
I,PRP,O
think,VBP,O
this,DT,O
be,VBZ,O
surely,RB,O
the,DT,O
limit,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
what,WP,O
do,VBP,O
you,PRP,O
make,VB,O
of,IN,O
it,PRP,O
",",",",O
Watson,NNP,PERSON
?,.,O
"""",'',O
I,PRP,O
read,VBD,O
as,IN,O
follow,VBZ,O
:,:,O
46,CD,O
",",",",O
Old,NNP,LOCATION
Jewry,NNP,LOCATION
",",",",O
Nov.,NNP,DATE
19th,NN,DATE
.,.,O
re,IN,O
vampire,NNS,O
Sir,NNP,O
:,:,O
we,PRP$,O
client,NN,O
",",",",O
Mr.,NNP,PERSON
Robert,NNP,PERSON
Ferguson,NNP,PERSON
",",",",O
of,IN,O
Ferguson,NNP,PERSON
and,CC,O
Muirhead,NNP,PERSON
",",",",O
tea,NN,O
broker,NNS,O
",",",",O
of,IN,O
Mincing,NNP,LOCATION
Lane,NNP,LOCATION
",",",",O
have,VBZ,O
make,VBN,O
some,DT,O
inquiry,NN,O
from,IN,O
we,PRP,O
in,IN,O
a,DT,O
communication,NN,O
of,IN,O
even,RB,O
date,NN,O
concern,VBG,O
vampire,NNS,O
.,.,O
as,IN,O
we,PRP$,O
firm,NN,O
specialize,VBZ,O
entirely,RB,O
upon,IN,O
the,DT,O
assessment,NN,O
of,IN,O
machinery,NN,O
the,DT,O
matter,NN,O
hardly,RB,O
come,VBZ,O
within,IN,O
we,PRP$,O
purview,NN,O
",",",",O
and,CC,O
we,PRP,O
have,VBP,O
therefore,RB,O
recommend,VBN,O
Mr.,NNP,PERSON
Ferguson,NNP,PERSON
to,TO,O
call,VB,O
upon,IN,O
you,PRP,O
and,CC,O
lay,VBD,O
the,DT,O
matter,NN,O
before,IN,O
you,PRP,O
.,.,O
we,PRP,O
have,VBP,O
not,RB,O
forget,VBN,O
you,PRP$,O
successful,JJ,O
action,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
Matilda,NNP,PERSON
Briggs,NNP,PERSON
.,.,O
we,PRP,O
be,VBP,O
",",",",O
sir,NN,O
",",",",O
faithfully,RB,O
yours,PRP,O
",",",",O
Morrison,NNP,PERSON
",",",",O
Morrison,NNP,PERSON
",",",",O
and,CC,O
Dodd,NNP,PERSON
.,.,O
per,IN,O
E.,NNP,O
J.,NNP,O
C.,NNP,O
"""",'',O
Matilda,NNP,PERSON
Briggs,NNP,PERSON
be,VBD,O
not,RB,O
the,DT,O
name,NN,O
of,IN,O
a,DT,O
young,JJ,O
woman,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
in,IN,O
a,DT,O
reminiscent,JJ,O
voice,NN,O
.,.,O
"""",``,O
it,PRP,O
be,VBD,O
a,DT,O
ship,NN,O
which,WDT,O
be,VBZ,O
associate,VBN,O
with,IN,O
the,DT,O
giant,JJ,O
rat,NN,O
of,IN,O
Sumatra,NNP,LOCATION
",",",",O
a,DT,O
story,NN,O
for,IN,O
which,WDT,O
the,DT,O
world,NN,O
be,VBZ,O
not,RB,O
yet,RB,O
prepare,VBN,O
.,.,O
but,CC,O
what,WP,O
do,VBP,O
we,PRP,O
know,VB,O
about,IN,O
vampire,NNS,O
?,.,O
do,VBZ,O
it,PRP,O
come,VB,O
within,IN,O
we,PRP$,O
purview,NN,O
either,CC,O
?,.,O
anything,NN,O
be,VBZ,O
better,JJR,O
than,IN,O
stagnation,NN,O
",",",",O
but,CC,O
really,RB,O
we,PRP,O
seem,VBP,O
to,TO,O
have,VB,O
be,VBN,O
switch,VBN,O
on,IN,O
to,IN,O
a,DT,O
Grimms,NNP,O
',POS,O
fairy,NN,O
tale,NN,O
.,.,O
make,VB,O
a,DT,O
long,JJ,O
arm,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
and,CC,O
see,VB,O
what,WP,O
v,NN,O
have,VBZ,O
to,TO,O
say,VB,O
.,.,O
"""",``,O
I,PRP,O
lean,VBD,O
back,RB,O
and,CC,O
take,VBD,O
down,RP,O
the,DT,O
great,JJ,O
index,NN,O
volume,NN,O
to,IN,O
which,WDT,O
he,PRP,O
refer,VBD,O
.,.,O
Holmes,NNP,PERSON
balance,VBD,O
it,PRP,O
on,IN,O
he,PRP$,O
knee,NN,O
",",",",O
and,CC,O
he,PRP$,O
eye,NNS,O
move,VBD,O
slowly,RB,O
and,CC,O
lovingly,RB,O
over,IN,O
the,DT,O
record,NN,O
of,IN,O
old,JJ,O
case,NNS,O
",",",",O
mix,VBN,O
with,IN,O
the,DT,O
accumulate,VBN,O
information,NN,O
of,IN,O
a,DT,O
lifetime,NN,O
.,.,O
"""",``,O
voyage,NN,O
of,IN,O
the,DT,O
Gloria,NNP,PERSON
Scott,NNP,PERSON
",",",",O
"""",'',O
he,PRP,O
read,VBD,O
.,.,O
"""",``,O
that,DT,O
be,VBD,O
a,DT,O
bad,JJ,O
business,NN,O
.,.,O
I,PRP,O
have,VBP,O
some,DT,O
recollection,NN,O
that,WDT,O
you,PRP,O
make,VBD,O
a,DT,O
record,NN,O
of,IN,O
it,PRP,O
",",",",O
Watson,NNP,PERSON
",",",",O
though,IN,O
I,PRP,O
be,VBD,O
unable,JJ,O
to,TO,O
congratulate,VB,O
you,PRP,O
upon,IN,O
the,DT,O
result,NN,O
.,.,O
Victor,NNP,PERSON
Lynch,NNP,PERSON
",",",",O
the,DT,O
forger,NN,O
.,.,O
venomous,JJ,O
lizard,NN,O
or,CC,O
gila,NN,O
.,.,O
remarkable,JJ,O
case,NN,O
",",",",O
that,DT,O
!,.,O
Vittoria,NNP,PERSON
",",",",O
the,DT,O
circus,NN,O
belle,FW,O
.,.,O
Vanderbilt,NNP,ORGANIZATION
and,CC,O
the,DT,O
Yeggman,NNP,MISC
.,.,O
viper,NNS,O
.,.,O
Vigor,NNP,O
",",",",O
the,DT,O
Hammersmith,NNP,LOCATION
wonder,NN,O
.,.,O
Hullo,NNP,O
!,.,O
Hullo,NNP,O
!,.,O
good,JJ,O
old,JJ,O
index,NN,O
.,.,O
you,PRP,O
can,MD,O
not,RB,O
beat,VB,O
it,PRP,O
.,.,O
listen,VB,O
to,IN,O
this,DT,O
",",",",O
Watson,NNP,PERSON
.,.,O
Vampirism,NNP,O
in,IN,O
Hungary,NNP,LOCATION
.,.,O
and,CC,O
again,RB,O
",",",",O
Vampires,NNPS,O
in,IN,O
Transylvania,NNP,LOCATION
.,.,O
"""",``,O
he,PRP,O
turn,VBD,O
over,RP,O
the,DT,O
page,NNS,O
with,IN,O
eagerness,NN,O
",",",",O
but,CC,O
after,IN,O
a,DT,O
short,JJ,O
