lemma,pos,ner
it,PRP,O
be,VBD,O
nine,CD,O
o'clock,NN,O
at,IN,O
night,NN,O
upon,IN,O
the,DT,O
second,NN,O
of,IN,O
August,NNP,DATE
--,:,O
the,DT,O
most,RBS,O
terrible,JJ,O
August,NNP,DATE
in,IN,O
the,DT,O
history,NN,O
of,IN,O
the,DT,O
world,NN,O
.,.,O
one,PRP,O
might,MD,O
have,VB,O
think,VBN,O
already,RB,O
that,IN,O
God,NNP,O
's,POS,O
curse,NN,O
hang,VBD,O
heavy,JJ,O
over,IN,O
a,DT,O
degenerate,JJ,O
world,NN,O
",",",",O
for,IN,O
there,EX,O
be,VBD,O
a,DT,O
awesome,JJ,O
hush,JJ,O
and,CC,O
a,DT,O
feeling,NN,O
of,IN,O
vague,JJ,O
expectancy,NN,O
in,IN,O
the,DT,O
sultry,NN,O
and,CC,O
stagnant,JJ,O
air,NN,O
.,.,O
the,DT,O
sun,NN,O
have,VBD,O
long,RB,O
set,VBN,O
",",",",O
but,CC,O
one,CD,O
blood,NN,O
-,HYPH,O
red,JJ,O
gash,NN,O
like,IN,O
a,DT,O
open,JJ,O
wound,NN,O
lay,VBD,O
low,JJ,O
in,IN,O
the,DT,O
distant,JJ,O
west,NN,O
.,.,O
above,IN,O
",",",",O
the,DT,O
star,NNS,O
be,VBD,O
shine,VBG,O
brightly,RB,O
",",",",O
and,CC,O
below,RB,O
",",",",O
the,DT,O
light,NNS,O
of,IN,O
the,DT,O
shipping,NN,O
glimmer,VBD,O
in,IN,O
the,DT,O
bay,NN,O
.,.,O
the,DT,O
two,CD,O
famous,JJ,O
Germans,NNPS,MISC
stand,VBD,O
beside,IN,O
the,DT,O
stone,NN,O
parapet,NN,O
of,IN,O
the,DT,O
garden,NN,O
walk,NN,O
",",",",O
with,IN,O
the,DT,O
long,JJ,O
",",",",O
low,JJ,O
",",",",O
heavily,RB,O
gable,VBN,O
house,NN,O
behind,IN,O
they,PRP,O
",",",",O
and,CC,O
they,PRP,O
look,VBD,O
down,RP,O
upon,IN,O
the,DT,O
broad,JJ,O
sweep,NN,O
of,IN,O
the,DT,O
beach,NN,O
at,IN,O
the,DT,O
foot,NN,O
of,IN,O
the,DT,O
great,JJ,O
chalk,NN,O
cliff,NN,O
in,IN,O
which,WDT,O
Von,NNP,PERSON
Bork,NNP,PERSON
",",",",O
like,IN,O
some,DT,O
wander,VBG,O
eagle,NN,O
",",",",O
have,VBD,O
perch,VBN,O
himself,PRP,O
four,CD,O
year,NNS,O
before,RB,O
.,.,O
they,PRP,O
stand,VBD,O
with,IN,O
they,PRP$,O
head,NNS,O
close,RB,O
together,RB,O
",",",",O
talk,VBG,O
in,IN,O
low,JJ,O
",",",",O
confidential,JJ,O
tone,NNS,O
.,.,O
from,IN,O
below,IN,O
the,DT,O
two,CD,O
glow,VBG,O
end,NNS,O
of,IN,O
they,PRP$,O
cigar,NNS,O
