lemma,pos,ner
the,DT,O
singular,JJ,O
experience,NN,O
of,IN,O
Mr.,NNP,PERSON
John,NNP,PERSON
Scott,NNP,PERSON
Eccles,NNP,PERSON
I,PRP,O
find,VBP,O
it,PRP,O
record,VBN,O
in,IN,O
my,PRP$,O
notebook,NN,O
that,IN,O
it,PRP,O
be,VBD,O
a,DT,O
bleak,JJ,O
and,CC,O
windy,JJ,O
day,NN,O
towards,IN,O
the,DT,O
end,NN,O
of,IN,O
March,NNP,DATE
in,IN,DATE
the,DT,DATE
year,NN,DATE
1892,CD,DATE
.,.,O
Holmes,NNP,PERSON
have,VBD,O
receive,VBN,O
a,DT,O
telegram,NN,O
while,IN,O
we,PRP,O
sit,VBD,O
at,IN,O
we,PRP$,O
lunch,NN,O
",",",",O
and,CC,O
he,PRP,O
have,VBD,O
scribble,VBN,O
a,DT,O
reply,NN,O
.,.,O
he,PRP,O
make,VBD,O
no,DT,O
remark,NN,O
",",",",O
but,CC,O
the,DT,O
matter,NN,O
remain,VBD,O
in,IN,O
he,PRP$,O
thought,NNS,O
",",",",O
for,IN,O
he,PRP,O
stand,VBD,O
in,IN,O
front,NN,O
of,IN,O
the,DT,O
fire,NN,O
afterwards,RB,O
with,IN,O
a,DT,O
thoughtful,JJ,O
face,NN,O
",",",",O
smoke,VBG,O
he,PRP$,O
pipe,NN,O
",",",",O
and,CC,O
cast,VBG,O
a,DT,O
occasional,JJ,O
glance,NN,O
at,IN,O
the,DT,O
message,NN,O
.,.,O
suddenly,RB,O
he,PRP,O
turn,VBD,O
upon,IN,O
I,PRP,O
with,IN,O
a,DT,O
mischievous,JJ,O
twinkle,NN,O
in,IN,O
he,PRP$,O
eye,NNS,O
.,.,O
"""",``,O
I,PRP,O
suppose,VBP,O
",",",",O
Watson,NNP,PERSON
",",",",O
we,PRP,O
must,MD,O
look,VB,O
upon,IN,O
you,PRP,O
as,IN,O
a,DT,O
man,NN,O
of,IN,O
letter,NNS,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
how,WRB,O
do,VBP,O
you,PRP,O
define,VB,O
the,DT,O
word,NN,O
',``,O
grotesque,JJ,O
','',O
?,.,O
"""",'',O
"""",``,O
strange,JJ,O
--,:,O
remarkable,JJ,O
",",",",O
"""",'',O
I,PRP,O
suggest,VBD,O
.,.,O
he,PRP,O
shake,VBD,O
he,PRP$,O
head,NN,O
at,IN,O
my,PRP$,O
definition,NN,O
.,.,O
"""",``,O
there,EX,O
be,VBZ,O
surely,RB,O
something,NN,O
more,JJR,O
than,IN,O
that,DT,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
;,:,O
"""",``,O
some,DT,O
underlying,JJ,O
suggestion,NN,O
of,IN,O
the,DT,O
tragic,JJ,O
and,CC,O
the,DT,O
terrible,JJ,O
.,.,O
if,IN,O
you,PRP,O
cast,VBP,O
you,PRP$,O
mind,NN,O
back,RB,O
to,IN,O
some,DT,O
of,IN,O
those,DT,O
narrative,NNS,O
with,IN,O
which,WDT,O
you,PRP,O
have,VBP,O
afflict,VBN,O
a,DT,O
long,JJ,O
-,HYPH,O
suffer,VBG,O
