lemma,pos,ner
when,WRB,O
one,CD,O
consider,VBZ,O
that,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
in,IN,O
active,JJ,O
practice,NN,O
for,IN,O
twenty,CD,O
-,HYPH,O
three,CD,O
year,NNS,O
",",",",O
and,CC,O
that,IN,O
during,IN,O
seventeen,CD,O
of,IN,O
these,DT,O
I,PRP,O
be,VBD,O
allow,VBN,O
to,TO,O
cooperate,VB,O
with,IN,O
he,PRP,O
and,CC,O
to,TO,O
keep,VB,O
note,NNS,O
of,IN,O
he,PRP$,O
doings,NNS,O
",",",",O
it,PRP,O
will,MD,O
be,VB,O
clear,JJ,O
that,IN,O
I,PRP,O
have,VBP,O
a,DT,O
mass,NN,O
of,IN,O
material,NN,O
at,IN,O
my,PRP$,O
command,NN,O
.,.,O
the,DT,O
problem,NN,O
have,VBZ,O
always,RB,O
be,VBN,O
not,RB,O
to,TO,O
find,VB,O
but,CC,O
to,TO,O
choose,VB,O
.,.,O
there,EX,O
be,VBZ,O
the,DT,O
long,JJ,O
row,NN,O
of,IN,O
year,NN,O
-,HYPH,O
book,NNS,O
which,WDT,O
fill,VBP,O
a,DT,O
shelf,NN,O
",",",",O
and,CC,O
there,EX,O
be,VBP,O
the,DT,O
dispatch,NN,O
-,HYPH,O
case,NNS,O
fill,VBN,O
with,IN,O
document,NNS,O
",",",",O
a,DT,O
perfect,JJ,O
quarry,NN,O
for,IN,O
the,DT,O
student,NN,O
not,RB,O
only,RB,O
of,IN,O
crime,NN,O
but,CC,O
of,IN,O
the,DT,O
social,JJ,O
and,CC,O
official,JJ,O
scandal,NNS,O
of,IN,O
the,DT,O
late,JJ,O
victorian,JJ,MISC
era,NN,O
.,.,O
concern,VBG,O
these,DT,O
latter,JJ,O
",",",",O
I,PRP,O
may,MD,O
say,VB,O
that,IN,O
the,DT,O
writer,NNS,O
of,IN,O
agonized,JJ,O
letter,NNS,O
",",",",O
who,WP,O
beg,VBP,O
that,IN,O
the,DT,O
honour,NN,O
of,IN,O
they,PRP$,O
family,NNS,O
or,CC,O
the,DT,O
reputation,NN,O
of,IN,O
famous,JJ,O
forebear,NNS,O
may,MD,O
not,RB,O
be,VB,O
touch,VBN,O
",",",",O
have,VBP,O
nothing,NN,O
to,TO,O
fear,VB,O
.,.,O
the,DT,O
discretion,NN,O
and,CC,O
high,JJ,O
sense,NN,O
of,IN,O
professional,JJ,O
honour,NN,O
which,WDT,O
have,VBP,O
always,RB,O
distinguish,VBN,O
my,PRP$,O
friend,NN,O
be,VBP,O
still,RB,O
at,IN,O
work,NN,O
in,IN,O
the,DT,O
choice,NN,O
of,IN,O
these,DT,O
memoirs,NNS,O
",",",",O
and,CC,O
no,DT,O
confidence,NN,O
will,MD,O
be,VB,O
abuse,VBN,O
.,.,O
I,PRP,O
deprecate,VBP,O
",",",",O
however,RB,O
",",",",O
in,IN,O
the,DT,O
strongest,JJS,O
way,NN,O
the,DT,O
attempt,NNS,O
which,WDT,O
have,VBP,O
be,VBN,O
make,VBN,O
lately,RB,O
to,TO,O
get,VB,O
at,IN,O
and,CC,O
to,TO,O
destroy,VB,O
these,DT,O
papers,NNS,O
.,.,O
the,DT,O
source,NN,O
of,IN,O
these,DT,O
outrage,NNS,O
be,VBZ,O
know,VBN,O
",",",",O
and,CC,O
if,IN,O
they,PRP,O
be,VBP,O
repeat,VBN,O
I,PRP,O
have,VBP,O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
's,POS,O
authority,NN,O
for,IN,O
say,VBG,O
that,IN,O
the,DT,O
whole,JJ,O
story,NN,O
concern,VBG,O
the,DT,O
politician,NN,O
",",",",O
the,DT,O
lighthouse,NN,O
",",",",O
and,CC,O
the,DT,O
train,VBN,O
cormorant,NN,O
will,MD,O
be,VB,O
give,VBN,O
to,IN,O
the,DT,O
public,NN,O
.,.,O
there,EX,O
be,VBZ,O
at,IN,O
least,JJS,O
one,CD,O
reader,NN,O
who,WP,O
will,MD,O
understand,VB,O
.,.,O
it,PRP,O
be,VBZ,O
not,RB,O
reasonable,JJ,O
to,TO,O
suppose,VB,O
that,IN,O
every,DT,O
one,CD,O
of,IN,O
these,DT,O
case,NNS,O
give,VBD,O
Holmes,NNP,PERSON
the,DT,O
opportunity,NN,O
of,IN,O
show,VBG,O
those,DT,O
curious,JJ,O
gift,NNS,O
of,IN,O
instinct,NN,O
and,CC,O
observation,NN,O
which,WDT,O
I,PRP,O
have,VBP,O
endeavour,VBN,O
to,TO,O
set,VB,O
forth,RP,O
in,IN,O
these,DT,O
memoirs,NNS,O
.,.,O
sometimes,RB,O
he,PRP,O
have,VBD,O
with,IN,O
much,JJ,O
effort,NN,O
to,TO,O
pick,VB,O
the,DT,O
fruit,NN,O
",",",",O
sometimes,RB,O
it,PRP,O
fall,VBD,O
easily,RB,O
into,IN,O
he,PRP$,O
lap,NN,O
.,.,O
but,CC,O
the,DT,O
most,RBS,O
terrible,JJ,O
human,JJ,O
tragedy,NNS,O
be,VBD,O
often,RB,O
involve,VBN,O
in,IN,O
those,DT,O
case,NNS,O
which,WDT,O
bring,VBD,O
he,PRP,O
the,DT,O
fewest,JJS,O
personal,JJ,O
opportunity,NNS,O
",",",",O
and,CC,O
it,PRP,O
be,VBZ,O
one,CD,O
of,IN,O
these,DT,O
which,WDT,O
I,PRP,O
now,RB,O
desire,VBP,O
to,TO,O
record,VB,O
.,.,O
in,IN,O
tell,VBG,O
it,PRP,O
",",",",O
I,PRP,O
have,VBP,O
make,VBN,O
a,DT,O
slight,JJ,O
change,NN,O
of,IN,O
name,NN,O
and,CC,O
place,NN,O
",",",",O
but,CC,O
otherwise,RB,O
the,DT,O
fact,NNS,O
be,VBP,O
as,IN,O
state,VBN,O
.,.,O
one,CD,O
forenoon,NN,O
--,:,O
it,PRP,O
be,VBD,O
late,JJ,O
in,IN,O
1896,CD,DATE
--,:,O
I,PRP,O
receive,VBD,O
a,DT,O
hurried,JJ,O
note,NN,O
from,IN,O
Holmes,NNP,PERSON
ask,VBG,O
for,IN,O
my,PRP$,O
attendance,NN,O
.,.,O
when,WRB,O
I,PRP,O
arrive,VBD,O
I,PRP,O
find,VBD,O
he,PRP,O
seat,VBN,O
in,IN,O
a,DT,O
smoke,NN,O
-,HYPH,O
laden,JJ,O
atmosphere,NN,O
",",",",O
with,IN,O
a,DT,O
elderly,JJ,O
",",",",O
motherly,JJ,O
woman,NN,O
of,IN,O
the,DT,O
buxom,JJ,O
landlady,NN,O
type,NN,O
in,IN,O
the,DT,O
correspond,VBG,O
chair,NN,O
in,IN,O
front,NN,O
of,IN,O
he,PRP,O
.,.,O
"""",``,O
this,DT,O
be,VBZ,O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
",",",",O
of,IN,O
South,NNP,LOCATION
Brixton,NNP,LOCATION
",",",",O
"""",'',O
say,VBD,O
my,PRP$,O
friend,NN,O
with,IN,O
a,DT,O
wave,NN,O
of,IN,O
the,DT,O
hand,NN,O
.,.,O
"""",``,O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
do,VBZ,O
not,RB,O
object,VB,O
to,IN,O
tobacco,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
if,IN,O
you,PRP,O
wish,VBP,O
to,TO,O
indulge,VB,O
you,PRP$,O
filthy,JJ,O
habit,NNS,O
.,.,O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
have,VBZ,O
a,DT,O
interesting,JJ,O
story,NN,O
to,TO,O
tell,VB,O
which,WDT,O
may,MD,O
well,RB,O
lead,VB,O
to,IN,O
further,JJ,O
development,NNS,O
in,IN,O
which,WDT,O
you,PRP$,O
presence,NN,O
may,MD,O
be,VB,O
useful,JJ,O
.,.,O
"""",``,O
"""",``,O
anything,NN,O
I,PRP,O
can,MD,O
do,VB,O
--,:,O
"""",'',O
"""",``,O
you,PRP,O
will,MD,O
understand,VB,O
",",",",O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
",",",",O
that,IN,O
if,IN,O
I,PRP,O
come,VBP,O
to,IN,O
Mrs.,NNP,PERSON
Ronder,NNP,PERSON
I,PRP,O
should,MD,O
prefer,VB,O
to,TO,O
have,VB,O
a,DT,O
witness,NN,O
.,.,O
you,PRP,O
will,MD,O
make,VB,O
she,PRP,O
understand,VB,O
that,IN,O
before,IN,O
we,PRP,O
arrive,VBP,O
.,.,O
"""",``,O
"""",``,O
Lord,NNP,O
bless,VBP,O
you,PRP,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
we,PRP$,O
visitor,NN,O
",",",",O
"""",'',O
she,PRP,O
be,VBZ,O
that,IN,O
anxious,JJ,O
to,TO,O
see,VB,O
you,PRP,O
that,IN,O
you,PRP,O
might,MD,O
bring,VB,O
the,DT,O
whole,JJ,O
parish,NN,O
at,IN,O
you,PRP$,O
heel,NNS,O
!,.,O
"""",``,O
"""",``,O
then,RB,O
we,PRP,O
shall,MD,O
come,VB,O
early,RB,O
in,IN,O
the,DT,O
afternoon,NN,O
.,.,O
let,VB,O
we,PRP,O
see,VB,O
that,IN,O
we,PRP,O
have,VBP,O
we,PRP$,O
fact,NNS,O
correct,JJ,O
before,IN,O
we,PRP,O
start,VBP,O
.,.,O
if,IN,O
we,PRP,O
go,VBP,O
over,IN,O
they,PRP,O
it,PRP,O
will,MD,O
help,VB,O
Dr.,NNP,O
Watson,NNP,PERSON
to,TO,O
understand,VB,O
the,DT,O
situation,NN,O
.,.,O
you,PRP,O
say,VBP,O
that,IN,O
Mrs.,NNP,PERSON
Ronder,NNP,PERSON
have,VBZ,O
be,VBN,O
you,PRP$,O
lodger,NN,O
for,IN,O
seven,CD,O
year,NNS,O
and,CC,O
that,IN,O
you,PRP,O
have,VBP,O
only,RB,O
once,RB,O
see,VBN,O
she,PRP$,O
face,NN,O
.,.,O
"""",``,O
"""",``,O
and,CC,O
I,PRP,O
wish,VBP,O
to,IN,O
God,NNP,O
I,PRP,O
have,VBD,O
not,RB,O
!,.,O
"""",``,O
say,VBD,O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
.,.,O
"""",'',O
it,PRP,O
be,VBD,O
",",",",O
I,PRP,O
understand,VBP,O
",",",",O
terribly,RB,O
mutilate,VBN,O
.,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
you,PRP,O
would,MD,O
hardly,RB,O
say,VB,O
it,PRP,O
be,VBD,O
a,DT,O
face,NN,O
at,IN,O
all,DT,O
.,.,O
that,DT,O
be,VBZ,O
how,WRB,O
it,PRP,O
look,VBD,O
.,.,O
we,PRP$,O
milkman,NN,O
get,VBD,O
a,DT,O
glimpse,NN,O
of,IN,O
she,PRP$,O
once,RB,O
peep,VBG,O
out,IN,O
of,IN,O
the,DT,O
upper,JJ,O
window,NN,O
",",",",O
and,CC,O
he,PRP,O
drop,VBD,O
he,PRP$,O
tin,NN,O
and,CC,O
the,DT,O
milk,NN,O
all,RB,O
over,IN,O
the,DT,O
front,JJ,O
garden,NN,O
.,.,O
that,DT,O
be,VBZ,O
the,DT,O
kind,NN,O
of,IN,O
face,NN,O
it,PRP,O
be,VBZ,O
.,.,O
when,WRB,O
I,PRP,O
see,VBD,O
she,PRP,O
--,:,O
I,PRP,O
happen,VBD,O
on,IN,O
she,PRP$,O
unawares,RB,O
--,:,O
she,PRP,O
cover,VBD,O
up,RP,O
quick,RB,O
",",",",O
and,CC,O
then,RB,O
she,PRP,O
say,VBD,O
",",",",O
','',O
now,RB,O
",",",",O
Mrs.,NNP,PERSON
Merrilow,NNP,PERSON
",",",",O
you,PRP,O
know,VBP,O
at,IN,O
last,JJ,O
why,WRB,O
it,PRP,O
be,VBZ,O
that,IN,O
I,PRP,O
never,RB,O
raise,VBP,O
my,PRP$,O
veil,NN,O
.,.,O
','',O
"""",``,O
"""",``,O
do,VBP,O
you,PRP,O
know,VB,O
anything,NN,O
about,IN,O
she,PRP$,O
history,NN,O
?,.,O
"""",``,O
"""",``,O
nothing,NN,O
at,IN,O
all,DT,O
.,.,O
"""",``,O
"""",``,O
do,VBD,O
she,PRP,O
give,VB,O
reference,NNS,O
when,WRB,O
she,PRP,O
come,VBD,O
?,.,O
"""",``,O
"""",``,O
no,UH,O
",",",",O
sir,NN,O
",",",",O
but,CC,O
she,PRP,O
give,VBD,O
hard,JJ,O
cash,NN,O
",",",",O
and,CC,O
