docTokenBegin,text,ner,nerConfidences
1,July,DATE,{'DATE': 0.96812695158736}
26,Sherlock Holmes,PERSON,{'PERSON': 0.99830613935437}
31,his,PERSON,
117,Holmes,PERSON,{'PERSON': 0.97010141154081}
126,his,PERSON,
139,him,PERSON,
164,Monsieur Dubugue,PERSON,{'PERSON': 0.99272169774647}
168,Paris,LOCATION,{'LOCATION': 0.99126722062704}
172,Fritz von Waldbaum,PERSON,{'PERSON': 0.9969504751282}
182,Dantzig,PERSON,{'PERSON': 0.97473640416594}
155,he,PERSON,
268,Percy Phelps,PERSON,{'PERSON': 0.99890044973388}
282,he,PERSON,
326,Cambridge,LOCATION,{'LOCATION': 0.99808526265697}
290,He,PERSON,
310,his,PERSON,
318,him,PERSON,
322,his,PERSON,
356,Holdhurst,PERSON,{'PERSON': 0.94587026905469}
328,He,PERSON,
350,his,PERSON,
367,him,PERSON,
387,him,PERSON,
393,him,PERSON,
407,he,PERSON,
434,Foreign Office,ORGANIZATION,{'ORGANIZATION': 0.97790534449225}
456,Woking,ORGANIZATION,{'ORGANIZATION': 0.35072396737103}
418,his,PERSON,
424,he,PERSON,
428,him,PERSON,
439,he,PERSON,
451,his,PERSON,
460,Watson,PERSON,{'PERSON': 0.98996799938682}
471,Tadpole,MISC,{'MISC': 0.86836773005898}
473,Phelps,PERSON,{'PERSON': 0.84926731758195}
510,Foreign Office,ORGANIZATION,{'ORGANIZATION': 0.99577764370672}
598,Mr. Holmes,PERSON,
610,his,PERSON,
632,him,PERSON,
657,him,PERSON,
664,his,PERSON,
675,his,PERSON,
735,him,PERSON,
743,Percy Phelps,PERSON,{'PERSON': 0.99619745418146}
766,Holmes,PERSON,{'PERSON': 0.94598557516528}
793,Holmes,PERSON,{'PERSON': 0.99779528946425}
795,his,PERSON,
800,he,PERSON,
807,his,PERSON,
810,his,PERSON,
857,Baker Street,LOCATION,{'LOCATION': 0.99936411497388}
835,him,PERSON,
860,Holmes,PERSON,{'PERSON': 0.99711910684916}
864,his,PERSON,
870,his,PERSON,
896,Bunsen,MISC,{'MISC': 0.9687898438212}
926,his,PERSON,
943,He,PERSON,
959,his,PERSON,
979,his,PERSON,
982,he,PERSON,
998,Watson,PERSON,{'PERSON': 0.91710096753758}
1002,he,PERSON,
1028,He,PERSON,
1057,he,PERSON,
1071,Watson,PERSON,{'PERSON': 0.87738064349739}
1079,Persian,MISC,{'MISC': 0.9599403367355}
1083,He,PERSON,
1086,his,PERSON,
1105,he,PERSON,
1117,his,PERSON,
1120,his,PERSON,
1124,his,PERSON,
1139,he,PERSON,
1159,Watson,PERSON,{'PERSON': 0.92593995812682}
1168,him,PERSON,
1173,he,PERSON,
1194,he,PERSON,
1198,he,PERSON,
1226,his,PERSON,
1319,Woking,LOCATION,{'LOCATION': 0.50808482402057}
1337,he,PERSON,
1339,his,PERSON,
1353,Waterloo,LOCATION,{'LOCATION': 0.99935845721524}
1374,Woking,LOCATION,{'LOCATION': 0.62334732848734}
1434,His,PERSON,
1445,his,PERSON,
1451,his,PERSON,
1456,he,PERSON,
1480,he,PERSON,
1489,Percy,PERSON,{'PERSON': 0.96917470243691}
1504,he,PERSON,
1510,His,PERSON,
1513,his,PERSON,
1545,Holmes,PERSON,{'PERSON': 0.96915971306532}
1573,he,PERSON,
1593,he,PERSON,
1607,Joseph Harrison,PERSON,{'PERSON': 0.99973550316512}
1615,Percy,PERSON,{'PERSON': 0.98399145501458}
1621,Annie,PERSON,{'PERSON': 0.96790610141402}
1638,his,PERSON,
1642,she,PERSON,
1645,him,PERSON,
1670,he,PERSON,
1746,summer,DATE,{'DATE': 0.92771493377763}
1754,him,PERSON,
1767,Percy,PERSON,{'PERSON': 0.97003186640926}
1770,she,PERSON,
1773,He,PERSON,
1775,her,PERSON,
1779,her,PERSON,
1786,Watson,PERSON,{'PERSON': 0.99614278882136}
1790,he,PERSON,
1827,Mr. Sherlock Holmes,PERSON,
1834,him,PERSON,
1855,his,PERSON,
1860,her,PERSON,
1895,Italian,MISC,{'MISC': 0.9999983444086}
1868,She,PERSON,
1906,Her,PERSON,
1914,her,PERSON,
1935,he,PERSON,
1962,Mr. Holmes,PERSON,
1991,Watson,PERSON,{'PERSON': 0.97793144214466}
1999,Foreign Office,ORGANIZATION,{'ORGANIZATION': 0.99546598610254}
2011,Holdhurst,PERSON,{'PERSON': 0.94066898647543}
2030,he,PERSON,
2049,he,PERSON,
2081,May,DATE,{'DATE': 0.95371056225632}
2083,he,PERSON,
2087,his,PERSON,
2105,he,PERSON,
2109,he,PERSON,
2148,England,LOCATION,{'LOCATION': 0.99984656449094}
2150,Italy,LOCATION,{'LOCATION': 0.96544584020219}
2127,he,PERSON,
2136,his,PERSON,
2182,French,MISC,{'MISC': 0.99997834111374}
2185,Russian,MISC,{'MISC': 0.999992997885}
2321,Holmes,PERSON,{'PERSON': 0.98978867724294}
2392,Holmes,PERSON,{'PERSON': 0.99273211466504}
2395,his,PERSON,
2409,he,PERSON,
2428,Charles Gorot,PERSON,{'PERSON': 0.99980783831507}
2443,him,PERSON,
2454,he,PERSON,
2470,Joseph,PERSON,{'PERSON': 0.94784274357255}
2473,Mr. Harrison,PERSON,
2492,Woking,LOCATION,{'LOCATION': 0.44707603535114}
2487,he,PERSON,
2538,he,PERSON,
2556,Great Britain,LOCATION,{'LOCATION': 0.95614079232425}
2560,Triple Alliance,ORGANIZATION,{'ORGANIZATION': 0.85219411248522}
2579,French,MISC,{'MISC': 0.99999535949754}
2588,Italy,LOCATION,{'LOCATION': 0.96517414118938}
2591,Mediterranean,LOCATION,{'LOCATION': 0.98667790149917}
2644,French,MISC,{'MISC': 0.99999918002197}
2744,his,PERSON,
2769,him,PERSON,
2799,She,PERSON,
2802,she,PERSON,
2817,her,PERSON,
2985,Charles Street,LOCATION,{'LOCATION': 0.66030668011941}
3012,Sherlock Holmes,PERSON,{'PERSON': 0.99948844755215}
3047,his,PERSON,
3105,his,PERSON,
3111,he,PERSON,
3119,Mr. Phelps,PERSON,
3126,he,PERSON,
3163,He,PERSON,
3182,his,PERSON,
3201,he,PERSON,
3283,Mr. Holmes,PERSON,
3337,Holmes,PERSON,{'PERSON': 0.98848526091664}
3341,his,PERSON,
3345,his,PERSON,
3357,his,PERSON,
3370,he,PERSON,
3399,him,PERSON,
3401,he,PERSON,
3414,he,PERSON,
3513,Charles Street,LOCATION,{'LOCATION': 0.85818518235692}
3569,Holmes,PERSON,{'PERSON': 0.98486744156742}
3575,his,PERSON,
3601,Charles Street,LOCATION,{'LOCATION': 0.89326635310982}
3616,Whitehall,ORGANIZATION,{'ORGANIZATION': 0.76091524060954}
3669,Foreign Office,ORGANIZATION,{'ORGANIZATION': 0.94231876540624}
3698,he,PERSON,
3787,he,PERSON,
3821,her,PERSON,
3832,her,PERSON,
3834,She,PERSON,
3949,he,PERSON,
3962,him,PERSON,
3968,him,PERSON,
