lemma,pos,ner
I,PRP,O
have,VBD,O
intend,VBN,O
"""",``,O
the,DT,O
adventure,NN,O
of,IN,O
the,DT,O
Abbey,NNP,LOCATION
Grange,NNP,LOCATION
"""",'',O
to,TO,O
be,VB,O
the,DT,O
last,JJ,O
of,IN,O
those,DT,O
exploit,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
",",",",O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
which,WDT,O
I,PRP,O
should,MD,O
ever,RB,O
communicate,VB,O
to,IN,O
the,DT,O
public,NN,O
.,.,O
this,DT,O
resolution,NN,O
of,IN,O
mine,PRP,O
be,VBD,O
not,RB,O
due,JJ,O
to,IN,O
any,DT,O
lack,NN,O
of,IN,O
material,NN,O
",",",",O
since,IN,O
I,PRP,O
have,VBP,O
note,NNS,O
of,IN,O
many,JJ,O
hundred,NNS,O
of,IN,O
case,NNS,O
to,TO,O
which,WDT,O
I,PRP,O
have,VBP,O
never,RB,O
allude,VBN,O
",",",",O
nor,CC,O
be,VBD,O
it,PRP,O
cause,VBN,O
by,IN,O
any,DT,O
wane,VBG,O
interest,NN,O
on,IN,O
the,DT,O
part,NN,O
of,IN,O
my,PRP$,O
reader,NNS,O
in,IN,O
the,DT,O
singular,JJ,O
personality,NN,O
and,CC,O
unique,JJ,O
method,NNS,O
of,IN,O
this,DT,O
remarkable,JJ,O
man,NN,O
.,.,O
the,DT,O
real,JJ,O
reason,NN,O
lay,VBD,O
in,IN,O
the,DT,O
reluctance,NN,O
which,WDT,O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
have,VBZ,O
show,VBN,O
to,IN,O
the,DT,O
continue,VBN,O
publication,NN,O
of,IN,O
he,PRP$,O
experience,NNS,O
.,.,O
so,RB,O
long,RB,O
as,IN,O
he,PRP,O
be,VBD,O
in,IN,O
actual,JJ,O
professional,JJ,O
practice,NN,O
the,DT,O
record,NNS,O
of,IN,O
he,PRP$,O
success,NNS,O
be,VBD,O
of,IN,O
