docTokenBegin,text,ner,nerConfidences
12,Sherlock Holmes,PERSON,{'PERSON': 0.99995581288174}
19,his,PERSON,
23,he,PERSON,
36,he,PERSON,
45,he,PERSON,
51,his,PERSON,
91,Afghanistan,LOCATION,{'LOCATION': 0.99900049658776}
148,Persian,MISC,{'MISC': 0.99809517061811}
132,his,PERSON,
140,his,PERSON,
152,his,PERSON,
166,his,PERSON,
200,Holmes,PERSON,{'PERSON': 0.96848964674161}
205,his,PERSON,
217,his,PERSON,
301,his,PERSON,
308,He,PERSON,
322,his,PERSON,
338,he,PERSON,
366,he,PERSON,
373,his,PERSON,
385,he,PERSON,
390,his,PERSON,
393,his,PERSON,
410,his,PERSON,
465,him,PERSON,
469,he,PERSON,
475,his,PERSON,
481,he,PERSON,
497,He,PERSON,
513,he,PERSON,
517,his,PERSON,
522,he,PERSON,
531,him,PERSON,
534,he,PERSON,
554,he,PERSON,
590,Watson,PERSON,{'PERSON': 0.93181608051173}
594,he,PERSON,
683,He,PERSON,
704,Watson,PERSON,{'PERSON': 0.97075526234084}
708,he,PERSON,
727,Tarleton,LOCATION,{'LOCATION': 0.95843665033299}
734,Vamberry,LOCATION,{'LOCATION': 0.40013875722415}
746,Russian,MISC,{'MISC': 0.99999955583722}
765,Ricoletti,PERSON,{'PERSON': 0.52171191296336}
773,his,PERSON,
793,He,PERSON,
795,his,PERSON,
828,he,PERSON,
879,he,PERSON,
944,Sherlock Holmes,PERSON,{'PERSON': 0.99358150714428}
964,he,PERSON,
968,his,PERSON,
980,his,PERSON,
988,he,PERSON,
1012,him,PERSON,
1064,he,PERSON,
1080,Watson,PERSON,{'PERSON': 0.96525600739622}
1153,Gloria Scott,PERSON,{'PERSON': 0.7764651509592}
1250,Scarlet,LOCATION,{'LOCATION': 0.4066306908952}
1305,London,LOCATION,{'LOCATION': 0.99693620184132}
1310,Montague Street,LOCATION,{'LOCATION': 0.98670968969843}
1319,British,MISC,{'MISC': 0.74109962919968}
1374,University,ORGANIZATION,{'ORGANIZATION': 0.58465269550921}
1398,Musgrave Ritual,ORGANIZATION,{'ORGANIZATION': 0.47367122571654}
1443,Reginald Musgrave,PERSON,{'PERSON': 0.99963718407237}
1461,him,PERSON,
1463,He,PERSON,
1497,he,PERSON,
1558,sixteenth century,DATE,{'DATE': 0.59681589086755}
1567,Sussex,LOCATION,{'ORGANIZATION': 0.47635148183013}
1571,Manor House of Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.84295351429428}
1524,He,PERSON,
1541,his,PERSON,
1587,his,PERSON,
1602,his,PERSON,
1611,his,PERSON,
1615,him,PERSON,
1648,he,PERSON,
1680,Montague Street,LOCATION,{'LOCATION': 0.99714996149676}
1670,him,PERSON,
1674,he,PERSON,
1683,He,PERSON,
1697,he,PERSON,
1718,him,PERSON,
1728,Musgrave,PERSON,{'PERSON': 0.99762672584192}
1755,he,PERSON,
1758,he,PERSON,
1803,Holmes,PERSON,{'PERSON': 0.96027660285508}
1871,Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.41838205205076}
1910,Watson,PERSON,{'PERSON': 0.93192794884142}
1908,him,PERSON,
1975,Reginald Musgrave,PERSON,{'PERSON': 0.99903356541063}
1992,him,PERSON,
2023,Hurlstone,LOCATION,{'LOCATION': 0.44126639232851}
2002,he,PERSON,
2118,Brunton,LOCATION,{'LOCATION': 0.42606199900413}
2122,He,PERSON,
2133,he,PERSON,
2143,he,PERSON,
2154,he,PERSON,
2163,He,PERSON,
2180,he,PERSON,
2188,he,PERSON,
2198,his,PERSON,
2202,his,PERSON,
2207,he,PERSON,
2223,he,PERSON,
2239,he,PERSON,
2283,Don Juan,PERSON,{'PERSON': 0.77269999885782}
2277,He,PERSON,
2295,him,PERSON,
2312,he,PERSON,
2322,he,PERSON,
2335,him,PERSON,
2358,Rachel Howells,PERSON,{'PERSON': 0.99963489744264}
2379,Janet Tregellis,PERSON,{'PERSON': 0.99931444993345}
2346,he,PERSON,
2354,he,PERSON,
2368,he,PERSON,
2371,her,PERSON,
2391,Rachel--who,PERSON,{'PERSON': 0.68625655085904}
2404,Welsh,MISC,{'MISC': 0.76417296966221}
2435,her,PERSON,
2445,Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.46878903000412}
2470,Brunton,PERSON,{'PERSON': 0.73275831007845}
2496,his,PERSON,
2518,him,PERSON,
2532,him,PERSON,
2563,Thursday,DATE,{'DATE': 0.99271092368638}
2564,night,TIME,{'TIME': 0.90383796883802}
2600,morning,TIME,{'TIME': 0.76180933787765}
2751,Hurlstone,LOCATION,{'LOCATION': 0.38909196930439}
2800,Brunton,PERSON,{'PERSON': 0.74030591344422}
2810,He,PERSON,
2834,his,PERSON,
2838,his,PERSON,
2843,his,PERSON,
2856,him,PERSON,
2880,he,PERSON,
2891,he,PERSON,
2894,his,PERSON,
2907,he,PERSON,
2920,he,PERSON,
2928,his,PERSON,
2930,he,PERSON,
2975,Brunton,PERSON,{'PERSON': 0.56676317612579}
2987,He,PERSON,
2990,his,PERSON,
2993,his,PERSON,
3001,he,PERSON,
3004,his,PERSON,
3012,he,PERSON,
3053,He,PERSON,
3095,Brunton,PERSON,{'PERSON': 0.96276255600009}
3146,Musgrave,PERSON,{'PERSON': 0.91793503906583}
3154,his,PERSON,
3215,he,PERSON,
3239,Brunton,PERSON,{'PERSON': 0.96947684176446}
3270,Mr. Musgrave,PERSON,
3276,he,PERSON,
3376,Mr. Musgrave,PERSON,
3406,Brunton,PERSON,{'PERSON': 0.87220658401383}
3479,he,PERSON,
3525,He,PERSON,
3529,his,PERSON,
3533,his,PERSON,
3560,Brunton,PERSON,{'PERSON': 0.969036762764}
3565,his,PERSON,
3568,his,PERSON,
3588,he,PERSON,
3591,his,PERSON,
3596,third morning,TIME,{'TIME': 0.5901432661925}
3600,he,PERSON,
3607,his,PERSON,
3631,Rachel Howells,PERSON,{'PERSON': 0.99990200567566}
3642,she,PERSON,
3663,her,PERSON,
3696,She,PERSON,
3711,her,PERSON,
3724,Mr. Musgrave,PERSON,
3729,she,PERSON,
3765,Brunton,PERSON,{'PERSON': 0.87524140901308}
3778,she,PERSON,
3792,He,PERSON,
3800,him,PERSON,
3802,He,PERSON,
3806,his,PERSON,
3813,he,PERSON,
3817,he,PERSON,
3822,She,PERSON,
3871,Brunton,PERSON,{'PERSON': 0.84222467253832}
3858,her,PERSON,
3880,he,PERSON,
3937,morning,TIME,{'TIME': 0.58033019536861}
3884,His,PERSON,
3892,he,PERSON,
3900,he,PERSON,
3904,his,PERSON,
3918,he,PERSON,
3939,His,PERSON,
3942,his,PERSON,
3947,his,PERSON,
3951,his,PERSON,
3959,he,PERSON,
3965,His,PERSON,
3974,his,PERSON,
3984,Brunton,PERSON,{'PERSON': 0.87176855591322}
3989,night,TIME,{'TIME': 0.6627352861685}
3997,him,PERSON,
4019,him,PERSON,
4070,he,PERSON,
4077,his,PERSON,
4080,him,PERSON,
4086,he,PERSON,
4105,night before,TIME,{'TIME': 0.82807599740708}
4149,Rachel Howells,PERSON,{'PERSON': 0.99942190725196}
4172,her,PERSON,
4178,third night,TIME,{'TIME': 0.68365774473269}
4181,Brunton,PERSON,{'PERSON': 0.94996579997367}
4189,her,PERSON,
4206,she,PERSON,
4261,she,PERSON,
4270,her,PERSON,
4276,her,PERSON,
4449,Rachel Howells,PERSON,{'PERSON': 0.99316025966416}
4453,Richard Brunton,PERSON,{'PERSON': 0.93710285574565}
4484,Watson,PERSON,{'PERSON': 0.95633090363702}
4542,him,PERSON,
4547,Welsh,MISC,{'MISC': 0.91626855312483}
4544,She,PERSON,
4554,She,PERSON,
4561,his,PERSON,
4564,She,PERSON,
4632,Musgrave,PERSON,{'PERSON': 0.99183506440332}
4647,his,PERSON,
4660,his,PERSON,
4679,he,PERSON,
4730,Watson,PERSON,{'PERSON': 0.59916180181899}
4741,Musgrave,PERSON,{'PERSON': 0.95728616799796}
4719,He,PERSON,
4746,he,PERSON,
4774,His,PERSON,
4790,He,PERSON,
4941,seventeenth century,DATE,{'DATE': 0.5813210099852}
4946,Musgrave,PERSON,{'PERSON': 0.9888067243599}
5021,Musgrave,PERSON,{'PERSON': 0.97976095685272}
5051,his,PERSON,
5064,Musgrave,PERSON,{'PERSON': 0.9979308284684}
5094,Brunton,PERSON,{'PERSON': 0.98922335386935}
5100,He,PERSON,
5112,him,PERSON,
5133,He,PERSON,
5143,his,PERSON,
5150,He,PERSON,
5164,he,PERSON,
5173,he,PERSON,
5176,his,PERSON,
5192,he,PERSON,
5244,Sussex,LOCATION,{'ORGANIZATION': 0.64402370043735}
5268,Hurlstone,LOCATION,{'LOCATION': 0.52330376896006}
5350,1607,DATE,{'DATE': 0.92161930426513}
5383,last century,DATE,{'DATE': 0.74471319696078}
5460,Watson,PERSON,{'PERSON': 0.9609006486708}
5482,Musgrave Ritual,PERSON,{'PERSON': 0.57057955622899}
5504,Brunton,PERSON,{'PERSON': 0.85234432997004}
5508,Howells,PERSON,{'PERSON': 0.97363100780658}
5534,he,PERSON,
5552,he,PERSON,
5568,his,PERSON,
5626,Musgraves,PERSON,{'PERSON': 0.3770861897608}
5732,Norman Conquest,PERSON,{'PERSON': 0.38988133253519}
5739,he,PERSON,
6052,Reginald Musgrave,PERSON,{'PERSON': 0.99555367812273}
6075,Brunton,PERSON,{'PERSON': 0.936343704696}
6071,he,PERSON,
6106,Watson,PERSON,{'PERSON': 0.58692889442103}
6227,Holmes,PERSON,{'PERSON': 0.86684879675553}
6247,Brunton,PERSON,{'PERSON': 0.99457727567672}
6267,Musgrave,PERSON,{'PERSON': 0.99972503494038}
6269,his,PERSON,
6446,Watson,PERSON,{'PERSON': 0.92574737586245}
6473,Brunton,PERSON,{'PERSON': 0.955202260126}
6475,his,PERSON,
6484,his,PERSON,
6606,Watson,PERSON,{'PERSON': 0.94173481930869}
6671,Brunton,PERSON,{'PERSON': 0.98135848310649}
6707,Musgrave,PERSON,{'PERSON': 0.99529039985762}
6731,his,PERSON,
6744,he,PERSON,
6954,Jove,PERSON,{'PERSON': 0.75688455014843}
6964,Brunton,PERSON,{'PERSON': 0.7698847399279}
6973,him,PERSON,
7062,Musgrave,PERSON,{'PERSON': 0.99105269289785}
7239,his,PERSON,
7242,his,PERSON,
7252,his,PERSON,
7289,his,PERSON,
7292,his,PERSON,
7296,his,PERSON,
7318,his,PERSON,
7322,He,PERSON,
7337,his,PERSON,
7342,he,PERSON,
7345,his,PERSON,
7350,his,PERSON,
7386,Watson,PERSON,{'PERSON': 0.89341509740101}
7414,Ritual,MISC,{'MISC': 0.47108072215969}
7457,Brunton,PERSON,{'PERSON': 0.7496531654903}
7471,him,PERSON,
7515,Watson,PERSON,{'PERSON': 0.75271695858215}
7530,his,PERSON,
7556,Brunton,PERSON,{'PERSON': 0.97071996315094}
7586,He,PERSON,
7594,He,PERSON,
7600,He,PERSON,
7621,he,PERSON,
7625,He,PERSON,
7635,he,PERSON,
7640,he,PERSON,
7660,he,PERSON,
7665,his,PERSON,
7674,he,PERSON,
7683,him,PERSON,
7694,he,PERSON,
7706,he,PERSON,
7710,her,PERSON,
7726,Howells,PERSON,{'PERSON': 0.93888356423903}
7712,He,PERSON,
7721,his,PERSON,
7732,her,PERSON,
7734,his,PERSON,
7799,Sussex,LOCATION,{'ORGANIZATION': 0.8489312982277}
8002,Brunton,PERSON,{'PERSON': 0.75089897595689}
8011,Brunton,PERSON,{'PERSON': 0.93687330799049}
8053,Celtic,MISC,{'MISC': 0.75603774341863}
8058,she,PERSON,
8065,her,PERSON,
8068,her,PERSON,
8079,her,PERSON,
8098,Brunton,PERSON,{'PERSON': 0.90163382466194}
8103,his,PERSON,
8107,she,PERSON,
8115,his,PERSON,
8124,her,PERSON,
8157,her,PERSON,
8169,her,PERSON,
8179,her,PERSON,
8195,her,PERSON,
8208,her,PERSON,
8212,her,PERSON,
8216,her,PERSON,
8236,she,PERSON,
8262,She,PERSON,
8278,her,PERSON,
8295,Musgrave,PERSON,{'PERSON': 0.99527733726537}
8305,his,PERSON,
8320,Charles the First,PERSON,{'PERSON': 0.62358240425015}
8326,he,PERSON,
8362,Charles the First,PERSON,{'PERSON': 0.44874451382062}
8408,his,PERSON,
8412,he,PERSON,
8422,his,PERSON,
8519,England,LOCATION,{'LOCATION': 0.99973702681482}
8567,Ralph Musgrave,PERSON,{'PERSON': 0.9999881683802}
8581,Charles the Second,PERSON,{'PERSON': 0.52710557793289}
8585,his,PERSON,
8668,he,PERSON,
8687,England,LOCATION,{'LOCATION': 0.99894940183607}
8718,His,PERSON,
8730,Charles,PERSON,{'PERSON': 0.95857106007538}
8742,He,PERSON,
8750,Charles the Second,PERSON,{'PERSON': 0.96382071078178}
8782,Stuarts,ORGANIZATION,{'ORGANIZATION': 0.76312288108308}
8820,him,PERSON,
8863,Charles,PERSON,{'PERSON': 0.99869308252324}
8867,his,PERSON,
8870,he,PERSON,
8875,Musgrave,PERSON,{'PERSON': 0.9928448680376}
8915,Musgrave,PERSON,{'PERSON': 0.7882655167889}
8933,his,PERSON,
8976,his,PERSON,
