docTokenBegin,text,ner,nerConfidences
5,Mrs. Warren,PERSON,
53,Sherlock Holmes,PERSON,{'PERSON': 0.99935110908386}
64,he,PERSON,
71,his,PERSON,
86,her,PERSON,
89,She,PERSON,
91,her,PERSON,
113,Mr. Fairdale Hobbs,PERSON,
109,she,PERSON,
130,he,PERSON,
157,his,PERSON,
178,Holmes,PERSON,{'PERSON': 0.9875753888738}
192,him,PERSON,
205,him,PERSON,
208,his,PERSON,
220,his,PERSON,
228,Mrs. Warren,PERSON,
253,Watson,PERSON,{'PERSON': 0.9776952327382}
272,his,PERSON,
279,him,PERSON,
286,Mrs. Warren,PERSON,
321,Mr. Holmes,PERSON,
333,his,PERSON,
360,him,PERSON,
382,he,PERSON,
386,his,PERSON,
401,he,PERSON,
407,he,PERSON,
423,him,PERSON,
436,Holmes,PERSON,{'PERSON': 0.99244832906996}
441,his,PERSON,
452,He,PERSON,
461,he,PERSON,
469,her,PERSON,
473,her,PERSON,
482,She,PERSON,
489,he,PERSON,
507,he,PERSON,
546,He,PERSON,
587,He,PERSON,
619,Mr. Warren,PERSON,
632,He,PERSON,
642,he,PERSON,
673,he,PERSON,
706,he,PERSON,
729,he,PERSON,
783,Mr. Warren,PERSON,
773,He,PERSON,
797,him,PERSON,
806,his,PERSON,
829,he,PERSON,
843,he,PERSON,
851,he,PERSON,
871,He,PERSON,
875,he,PERSON,
881,he,PERSON,
902,midnight,TIME,{'TIME': 0.91057302521443}
896,him,PERSON,
907,his,PERSON,
914,his,PERSON,
923,he,PERSON,
927,his,PERSON,
934,his,PERSON,
938,he,PERSON,
942,he,PERSON,
957,he,PERSON,
961,he,PERSON,
1017,he,PERSON,
1031,his,PERSON,
1041,Watson,PERSON,{'PERSON': 0.92011824020283}
1062,him,PERSON,
1096,Watson,PERSON,{'PERSON': 0.99278511131467}
1101,he,PERSON,
1105,his,PERSON,
1118,him,PERSON,
1120,his,PERSON,
1127,his,PERSON,
1221,Watson,PERSON,{'PERSON': 0.74613570631367}
1259,Mrs. Warren,PERSON,
1280,he,PERSON,
1310,English,MISC,{'MISC': 0.99999436283409}
1307,He,PERSON,
1318,he,PERSON,
1323,his,PERSON,
1329,he,PERSON,
1356,He,PERSON,
1390,his,PERSON,
1402,he,PERSON,
1420,his,PERSON,
1425,He,PERSON,
1432,him,PERSON,
1474,her,PERSON,
1479,she,PERSON,
1500,this morning,TIME,{'TIME': 0.93209910368075}
1498,his,PERSON,
1522,Holmes,PERSON,{'PERSON': 0.99522069950111}
1524,his,PERSON,
1535,he,PERSON,
1627,Watson,PERSON,{'PERSON': 0.8853900564524}
1669,Mrs. Warren,PERSON,
1678,He,PERSON,
1725,he,PERSON,
1733,he,PERSON,
1740,He,PERSON,
1747,he,PERSON,
1768,his,PERSON,
1833,Watson,PERSON,{'PERSON': 0.93744793883076}
1836,he,PERSON,
1933,his,PERSON,
1938,He,PERSON,
1984,English,MISC,{'MISC': 0.9999097257888}
2040,English,MISC,{'MISC': 0.99990547374122}
2044,Watson,PERSON,{'PERSON': 0.88922607846549}
2109,London,LOCATION,{'LOCATION': 0.96909789408156}
2088,He,PERSON,
2101,he,PERSON,
2118,he,PERSON,
2196,him,PERSON,
2227,the Daily Gazette,ORGANIZATION,{'ORGANIZATION': 0.42484271968892}
2243,Prince's Skating Club,ORGANIZATION,{'ORGANIZATION': 0.64155977232791}
2256,Jimmy,PERSON,{'PERSON': 0.99227250564425}
2260,his,PERSON,
2279,Brixton,LOCATION,{'LOCATION': 0.9716126262146}
2283,she,PERSON,
2299,Watson,PERSON,{'PERSON': 0.93512875255715}
2341,Mrs. Warren,PERSON,
2360,English,MISC,{'MISC': 0.99997897867499}
2364,he,PERSON,
2479,Mrs. Warren,PERSON,
2490,Watson,PERSON,{'PERSON': 0.94866034995252}
2522,his,PERSON,
2534,his,PERSON,
2542,Watson,PERSON,{'PERSON': 0.99629931302769}
2545,he,PERSON,
2594,Mrs. Warren,PERSON,
2601,Mrs. Warren,PERSON,
2610,this morning,TIME,{'TIME': 0.59848347952669}
2642,Mr. Holmes,PERSON,
2646,she,PERSON,
2658,He,PERSON,
2665,his,PERSON,
2676,him,PERSON,
2718,Mr. Warren,PERSON,
2725,him,PERSON,
2735,him,PERSON,
2752,this morning,TIME,{'TIME': 0.89456754422085}
2757,Mr. Warren,PERSON,
2763,Morton,PERSON,{'PERSON': 0.49724308102333}
2765,Waylight,PERSON,{'PERSON': 0.38254020051012}
2769,Tottenham Court Road,LOCATION,{'LOCATION': 0.97394998964744}
2773,He,PERSON,
2788,he,PERSON,
2803,him,PERSON,
2809,his,PERSON,
2814,him,PERSON,
2826,him,PERSON,
2837,him,PERSON,
2840,He,PERSON,
2848,his,PERSON,
2851,he,PERSON,
2870,Hampstead Heath,PERSON,{'PERSON': 0.95426495891451}
2861,he,PERSON,
2865,he,PERSON,
2867,he,PERSON,
2874,he,PERSON,
2882,he,PERSON,
2886,his,PERSON,
2908,Holmes,PERSON,{'PERSON': 0.97970249002208}
2912,he,PERSON,
2921,he,PERSON,
2930,he,PERSON,
2935,He,PERSON,
2939,he,PERSON,
2999,him,PERSON,
3009,him,PERSON,
3026,Mrs. Warren,PERSON,
3069,his,PERSON,
3076,him,PERSON,
3085,him,PERSON,
3098,him,PERSON,
3127,Mr. Holmes,PERSON,
3144,Mrs. Warren,PERSON,
3170,him,PERSON,
3187,He,PERSON,
3202,him,PERSON,
3251,Holmes,PERSON,{'PERSON': 0.98770483246369}
3256,he,PERSON,
3270,Watson,PERSON,{'PERSON': 0.99996273899021}
3283,Mrs. Warren,PERSON,
3303,Mrs. Warren,PERSON,
3318,Great Orme Street,LOCATION,{'LOCATION': 0.96740121139757}
3331,British,MISC,{'MISC': 0.62719527569817}
3350,Howe Street,LOCATION,{'LOCATION': 0.9519087576994}
3359,Holmes,PERSON,{'PERSON': 0.99051404242528}
3391,Watson,PERSON,{'PERSON': 0.98013231928388}
3395,he,PERSON,
3461,Mrs. Warren,PERSON,
3508,she,PERSON,
3542,Mrs. Warren,PERSON,
3690,Holmes,PERSON,{'PERSON': 0.94896573510817}
3714,he,PERSON,
3724,Watson,PERSON,{'PERSON': 0.89516887109608}
3753,he,PERSON,
3760,his,PERSON,
3792,Watson,PERSON,{'PERSON': 0.95825901535307}
3796,She,PERSON,
3804,she,PERSON,
3809,her,PERSON,
3833,London,LOCATION,{'LOCATION': 0.98689748876191}
3862,he,PERSON,
3875,he,PERSON,
3887,he,PERSON,
3899,her,PERSON,
3910,her,PERSON,
3926,her,PERSON,
3931,her,PERSON,
3944,he,PERSON,
3950,her,PERSON,
3953,he,PERSON,
3958,her,PERSON,
3961,he,PERSON,
3995,Watson,PERSON,{'PERSON': 0.96064070402439}
4012,Mrs. Warren,PERSON,
4100,Mr. Warren,PERSON,
4134,Watson,PERSON,{'PERSON': 0.9546048143256}
4168,Watson,PERSON,{'PERSON': 0.95408533007169}
4192,Holmes,PERSON,{'PERSON': 0.95599563601248}
4200,Watson,PERSON,{'PERSON': 0.95921637341062}
4259,Mrs. Warren,PERSON,
4268,London,LOCATION,{'LOCATION': 0.99779931243742}
4269,winter,DATE,{'DATE': 0.40339891123628}
4270,evening,TIME,{'TIME': 0.66040147216438}
4340,Holmes,PERSON,{'PERSON': 0.99441498493849}
4345,his,PERSON,
4364,his,PERSON,
4368,he,PERSON,
4372,He,PERSON,
4377,his,PERSON,
4381,he,PERSON,
4386,He,PERSON,
4392,she,PERSON,
4399,he,PERSON,
4409,Watson,PERSON,{'PERSON': 0.94514007327688}
4483,Watson,PERSON,{'PERSON': 0.99517630764887}
4485,ATTENTA,ORGANIZATION,{'ORGANIZATION': 0.61075506247538}
4502,TA,LOCATION,{'LOCATION': 0.53149659724974}
4522,ATTE,ORGANIZATION,{'ORGANIZATION': 0.47369862758152}
4536,Watson,PERSON,{'PERSON': 0.91896651448626}
4542,he,PERSON,
4551,he,PERSON,
4567,he,PERSON,
4580,He,PERSON,
4594,Watson,PERSON,{'PERSON': 0.99521018144683}
4602,Holmes,PERSON,{'PERSON': 0.94194918777785}
4622,Watson,PERSON,{'PERSON': 0.95412741438224}
4626,he,PERSON,
4636,Italian,MISC,{'MISC': 0.99999419979063}
4661,Watson,PERSON,{'PERSON': 0.99608013755006}
4703,he,PERSON,
4767,Watson,PERSON,{'PERSON': 0.99632408567932}
4780,Jove,PERSON,{'PERSON': 0.89169332130531}
4789,he,PERSON,
