docTokenBegin,text,ner,nerConfidences
1,summer,DATE,{'DATE': 0.95539644942717}
2,night,TIME,{'TIME': 0.87483042735261}
151,Sherlock Holmes,PERSON,{'PERSON': 0.99847383938967}
162,Watson,PERSON,{'PERSON': 0.97779598181078}
166,he,PERSON,
215,Arcadia,LOCATION,{'LOCATION': 0.90482601598681}
249,Watson,PERSON,{'PERSON': 0.90023155211731}
353,British,MISC,{'MISC': 0.99972659653395}
359,He,PERSON,
384,He,PERSON,
392,his,PERSON,
414,Waterloo,LOCATION,{'LOCATION': 0.99657011979451}
430,him,PERSON,
435,he,PERSON,
462,him,PERSON,
475,he,PERSON,
496,he,PERSON,
546,Holmes,PERSON,{'PERSON': 0.98478697905571}
563,Watson,PERSON,{'PERSON': 0.96584271621671}
567,he,PERSON,
637,he,PERSON,
657,his,PERSON,
786,Watson,PERSON,{'PERSON': 0.96788570853924}
794,His,PERSON,
803,his,PERSON,
815,his,PERSON,
836,red-Indian,MISC,{'MISC': 0.82061666710375}
831,his,PERSON,
846,him,PERSON,
865,he,PERSON,
932,Aldershot,LOCATION,{'LOCATION': 0.9092043151933}
943,Jackson,PERSON,{'PERSON': 0.99590169809385}
962,Waterloo,LOCATION,{'LOCATION': 0.99690952182476}
1060,Barclay,PERSON,{'PERSON': 0.80548220149904}
1068,Aldershot,LOCATION,{'LOCATION': 0.97351626626446}
1125,Irish,MISC,{'MISC': 0.99996626360601}
1129,British,MISC,{'MISC': 0.9999896875955}
1138,Crimea,LOCATION,{'LOCATION': 0.99551829480254}
1160,Monday,DATE,{'DATE': 0.99661338817144}
1161,night,TIME,{'TIME': 0.78696489942514}
1163,James Barclay,PERSON,{'PERSON': 0.9848592521888}
1183,his,PERSON,
1201,he,PERSON,
1210,Barclay,PERSON,{'PERSON': 0.99382991393112}
1230,Miss Nancy Devoy,PERSON,
1217,he,PERSON,
1223,his,PERSON,
1292,Mrs. Barclay,PERSON,
1310,her,PERSON,
1314,his,PERSON,
1322,she,PERSON,
1336,she,PERSON,
1346,she,PERSON,
1358,Barclay,PERSON,{'PERSON': 0.9856856688729}
1372,Murphy,PERSON,{'PERSON': 0.98024460661244}
1386,he,PERSON,
1404,Barclay,ORGANIZATION,{'ORGANIZATION': 0.50331186723741}
1417,Barclay,ORGANIZATION,{'ORGANIZATION': 0.56455877084526}
1401,he,PERSON,
1408,his,PERSON,
1413,his,PERSON,
1419,He,PERSON,
1424,he,PERSON,
1428,her,PERSON,
1433,She,PERSON,
1489,Barclay,PERSON,{'PERSON': 0.97058738890952}
1499,his,PERSON,
1502,He,PERSON,
1511,his,PERSON,
1521,he,PERSON,
1536,his,PERSON,
1548,his,PERSON,
1558,Murphy,PERSON,{'PERSON': 0.99739425725815}
1582,him,PERSON,
1599,his,PERSON,
1610,he,PERSON,
1634,him,PERSON,
1636,he,PERSON,
1658,his,PERSON,
1661,his,PERSON,
1723,Aldershot,LOCATION,{'LOCATION': 0.9953489637895}
1748,Lachine,LOCATION,{'LOCATION': 0.97895228754644}
1807,Lachine,LOCATION,{'LOCATION': 0.99272678754869}
1811,Barclays,ORGANIZATION,{'ORGANIZATION': 0.71836218355056}
1833,Lachine,LOCATION,{'LOCATION': 0.96293275704384}
1842,last Monday,DATE,{'DATE': 0.99749164293608}
1846,Mrs. Barclay,PERSON,
1857,Roman Catholic Church,ORGANIZATION,{'ORGANIZATION': 0.98703087198599}
1884,Watt Street Chapel,LOCATION,{'LOCATION': 0.49542173880064}
1914,Mrs. Barclay,PERSON,
1919,her,PERSON,
1933,she,PERSON,
1945,her,PERSON,
1951,him,PERSON,
1953,she,PERSON,
