docTokenBegin,text,ner,nerConfidences
24,Sherlock Holmes,PERSON,{'PERSON': 0.99452279966831}
51,England,LOCATION,{'LOCATION': 0.99991575385715}
55,Boscombe Valley,LOCATION,{'LOCATION': 0.9775920101314}
128,Anstruther,PERSON,{'PERSON': 0.93176275551618}
162,Mr. Sherlock Holmes,PERSON,
221,Afghanistan,LOCATION,{'LOCATION': 0.99897294457655}
264,Paddington Station,LOCATION,{'LOCATION': 0.56909405935017}
267,Sherlock Holmes,PERSON,{'PERSON': 0.99894827085936}
277,his,PERSON,
288,his,PERSON,
312,Watson,PERSON,{'PERSON': 0.96203781008224}
316,he,PERSON,
377,Holmes,PERSON,{'PERSON': 0.9577952333428}
381,him,PERSON,
385,he,PERSON,
407,he,PERSON,
434,he,PERSON,
455,London,LOCATION,{'LOCATION': 0.98355518877763}
630,Boscombe Valley,LOCATION,{'LOCATION': 0.99766837160727}
640,Ross,PERSON,{'PERSON': 0.96440350899489}
643,Herefordshire,LOCATION,{'LOCATION': 0.99645818602156}
654,Mr. John Turner,PERSON,
663,Australia,LOCATION,{'LOCATION': 0.99897682965748}
660,his,PERSON,
684,Hatherley,LOCATION,{'LOCATION': 0.51350502713128}
689,Mr. Charles McCarthy,PERSON,
697,ex-Australian,MISC,{'MISC': 0.99958296329712}
679,he,PERSON,
733,Turner,PERSON,{'PERSON': 0.38342669302718}
741,McCarthy,PERSON,{'PERSON': 0.99957942008422}
743,his,PERSON,
764,McCarthy,PERSON,{'PERSON': 0.99066941949438}
775,Turner,ORGANIZATION,{'ORGANIZATION': 0.51394784707187}
803,English,MISC,{'MISC': 0.99998788426917}
815,McCarthys,ORGANIZATION,{'ORGANIZATION': 0.6917022953397}
833,McCarthy,PERSON,{'PERSON': 0.99521932228599}
844,Turner,ORGANIZATION,{'ORGANIZATION': 0.77441143797528}
880,June,DATE,{'DATE': 0.8362373217408}
887,Monday,DATE,{'DATE': 0.99481199747354}
890,McCarthy,PERSON,{'PERSON': 0.99956091034295}
895,Hatherley,LOCATION,{'LOCATION': 0.9112013710474}
906,Boscombe Pool,LOCATION,{'LOCATION': 0.68491333270485}
926,Boscombe Valley,LOCATION,{'LOCATION': 0.99923483228926}
892,his,PERSON,
940,morning,TIME,{'TIME': 0.60894137968387}
942,Ross,PERSON,{'PERSON': 0.78321781427886}
929,He,PERSON,
934,his,PERSON,
945,he,PERSON,
951,he,PERSON,
956,he,PERSON,
970,he,PERSON,
978,Hatherley Farm-house,PERSON,{'PERSON': 0.6117939374824}
984,Boscombe Pool,LOCATION,{'LOCATION': 0.53788650344057}
997,him,PERSON,
999,he,PERSON,
1021,William Crowder,PERSON,{'PERSON': 0.99984262502924}
1032,Mr. Turner,PERSON,
1040,Mr. McCarthy,PERSON,
1059,Mr. McCarthy,PERSON,
1068,Mr. James McCarthy,PERSON,
1057,his,PERSON,
1062,he,PERSON,
1065,his,PERSON,
1080,his,PERSON,
1087,his,PERSON,
1105,him,PERSON,
1107,He,PERSON,
1115,he,PERSON,
1137,William Crowder,PERSON,{'PERSON': 0.99997741436363}
1176,Patience Moran,PERSON,{'PERSON': 0.78403151231292}
1190,Boscombe Valley,LOCATION,{'LOCATION': 0.99932841629476}
1225,Mr. McCarthy,PERSON,
1203,She,PERSON,
1207,she,PERSON,
1210,she,PERSON,
1228,his,PERSON,
1244,Mr. McCarthy,PERSON,
1242,She,PERSON,
1253,his,PERSON,
1257,she,PERSON,
1263,his,PERSON,
1269,his,PERSON,
1300,Boscombe Pool,LOCATION,{'LOCATION': 0.99271626581161}
1272,She,PERSON,
1280,she,PERSON,
1285,her,PERSON,
1288,she,PERSON,
1292,she,PERSON,
1305,she,PERSON,
1323,Mr. McCarthy,PERSON,
1315,She,PERSON,
1334,he,PERSON,
1337,his,PERSON,
1356,He,PERSON,
1363,his,PERSON,
1366,his,PERSON,
1370,his,PERSON,
1386,him,PERSON,
1434,his,PERSON,
1479,Tuesday,DATE,{'DATE': 0.99963061644886}
1484,Wednesday,DATE,{'DATE': 0.99711066882042}
1490,Ross,PERSON,{'PERSON': 0.90447180718296}
1481,he,PERSON,
1564,Holmes,PERSON,{'PERSON': 0.93393948771586}
1630,he,PERSON,
1649,Miss Turner,ORGANIZATION,{'ORGANIZATION': 0.38950465034884}
1669,Lestrade,PERSON,{'PERSON': 0.61439354541306}
1681,Scarlet,LOCATION,{'LOCATION': 0.54294475728132}
1662,his,PERSON,
1689,his,PERSON,
1692,Lestrade,PERSON,{'PERSON': 0.63755801585748}
1776,he,PERSON,
1803,Mr. Lestrade,PERSON,
1827,his,PERSON,
1832,he,PERSON,
1875,Mr. Lestrade,PERSON,
2074,his,PERSON,
2097,him,PERSON,
2099,he,PERSON,
2104,he,PERSON,
2107,he,PERSON,
2122,his,PERSON,
2128,his,PERSON,
2207,Holmes,PERSON,{'PERSON': 0.95877311693663}
2227,he,PERSON,
2231,he,PERSON,
2250,him,PERSON,
2253,he,PERSON,
2257,his,PERSON,
2304,His,PERSON,
2311,him,PERSON,
2333,his,PERSON,
2336,his,PERSON,
2348,he,PERSON,
2355,his,PERSON,
2365,he,PERSON,
2373,his,PERSON,
2381,him,PERSON,
2399,his,PERSON,
2405,him,PERSON,
2417,his,PERSON,
2498,his,PERSON,
2539,Herefordshire,LOCATION,{'LOCATION': 0.85884781639819}
2528,He,PERSON,
2532,his,PERSON,
2548,he,PERSON,
2561,his,PERSON,
2592,Mr. James McCarthy,PERSON,
2623,Bristol,LOCATION,{'LOCATION': 0.91670209578306}
2634,last Monday,DATE,{'DATE': 0.99875334834957}
2666,Ross,PERSON,{'PERSON': 0.99727538281071}
2668,John Cobb,PERSON,{'PERSON': 0.99690180506159}
2661,he,PERSON,
2683,his,PERSON,
2699,him,PERSON,
2718,he,PERSON,
2758,William Crowder,PERSON,{'PERSON': 0.99998826829032}
2767,he,PERSON,
2771,his,PERSON,
2775,he,PERSON,
2792,he,PERSON,
2834,him,PERSON,
2840,He,PERSON,
2887,his,PERSON,
2895,him,PERSON,
2940,his,PERSON,
2951,him,PERSON,
2957,he,PERSON,
2976,Mr. Turner,PERSON,
2965,him,PERSON,
2983,his,PERSON,
3011,he,PERSON,
3014,his,PERSON,
3017,He,PERSON,
3030,his,PERSON,
3034,he,PERSON,
3069,he,PERSON,
3075,He,PERSON,
3116,he,PERSON,
3295,Bristol,LOCATION,{'LOCATION': 0.97459415566949}
3277,he,PERSON,
3281,he,PERSON,
3287,he,PERSON,
3595,McCarthy,PERSON,{'PERSON': 0.99618748886206}
3587,his,PERSON,
3597,He,PERSON,
3609,his,PERSON,
3614,him,PERSON,
3617,him,PERSON,
3621,his,PERSON,
3627,his,PERSON,
3630,his,PERSON,
3634,his,PERSON,
3638,his,PERSON,
3649,he,PERSON,
3659,Holmes,PERSON,{'PERSON': 0.99408515667818}
3687,he,PERSON,
3712,him,PERSON,
3727,he,PERSON,
3738,him,PERSON,
3749,he,PERSON,
3752,his,PERSON,
3815,Petrarch,ORGANIZATION,{'ORGANIZATION': 0.48311533167686}
3839,Swindon,LOCATION,{'LOCATION': 0.80872854059511}
3869,Stroud Valley,LOCATION,{'LOCATION': 0.96771769393051}
3889,Ross,PERSON,{'PERSON': 0.97769163662911}
3940,Lestrade,PERSON,{'PERSON': 0.33695575856206}
3943,Scotland Yard,LOCATION,{'LOCATION': 0.95120816244137}
3925,he,PERSON,
3930,his,PERSON,
3952,Hereford Arms,ORGANIZATION,{'ORGANIZATION': 0.60930161462243}
3947,him,PERSON,
3973,Lestrade,PERSON,{'PERSON': 0.88768770740391}
4020,Holmes,PERSON,{'PERSON': 0.99389644462839}
4034,Lestrade,PERSON,
4046,he,PERSON,
4117,Lestrade,PERSON,{'PERSON': 0.59546039185017}
4137,he,PERSON,
4183,She,PERSON,
4199,her,PERSON,
4223,her,PERSON,
4230,He,PERSON,
4256,Her,PERSON,
4261,her,PERSON,
4269,her,PERSON,
4275,her,PERSON,
4280,her,PERSON,
4289,Mr. Sherlock Holmes,PERSON,
4294,she,PERSON,
4343,James,PERSON,{'PERSON': 0.98770897455304}
4389,his,PERSON,
4398,he,PERSON,
4419,him,PERSON,
4430,Miss Turner,PERSON,{'PERSON': 0.39339598637331}
4435,Sherlock Holmes,PERSON,{'PERSON': 0.99954770832729}
4428,him,PERSON,
4481,he,PERSON,
4513,Lestrade,PERSON,
4502,she,PERSON,
4507,her,PERSON,
4519,He,PERSON,
4525,Lestrade,PERSON,{'PERSON': 0.82196588631727}
4527,his,PERSON,
4544,his,PERSON,
4548,he,PERSON,
4553,he,PERSON,
4562,he,PERSON,
4566,James,PERSON,{'PERSON': 0.99223713962236}
4573,his,PERSON,
4576,his,PERSON,
4586,he,PERSON,
4611,Holmes,PERSON,{'PERSON': 0.93669854806052}
4624,James,PERSON,{'PERSON': 0.9990901860887}
4626,his,PERSON,
4634,Mr. McCarthy,PERSON,
4648,James,PERSON,{'PERSON': 0.99375077587584}
4664,he,PERSON,
4682,he,PERSON,
4719,Holmes,PERSON,{'PERSON': 0.93669854806052}
4723,he,PERSON,
4735,he,PERSON,
4745,Mr. McCarthy,PERSON,
4764,Holmes,PERSON,{'PERSON': 0.99776381913161}
4759,her,PERSON,
4768,his,PERSON,
4774,her,PERSON,
4785,he,PERSON,
4840,him,PERSON,
4853,Willows,PERSON,{'PERSON': 0.97940845340835}
4844,He,PERSON,
4848,his,PERSON,
4856,he,PERSON,
4862,his,PERSON,
4868,Mr. McCarthy,PERSON,
4884,Victoria,LOCATION,{'LOCATION': 0.98849371235894}
4891,Victoria,LOCATION,{'LOCATION': 0.96696015105245}
4922,Mr. Turner,PERSON,
4925,his,PERSON,
4939,Miss Turner,PERSON,{'PERSON': 0.39020060973089}
4976,James,PERSON,{'PERSON': 0.97814500404654}
4984,Mr. Holmes,PERSON,
4989,him,PERSON,
4993,him,PERSON,
5003,Miss Turner,ORGANIZATION,{'ORGANIZATION': 0.58703118814323}
5021,he,PERSON,
5028,him,PERSON,
5043,She,PERSON,
5051,she,PERSON,
5061,her,PERSON,
5076,Holmes,PERSON,{'PERSON': 0.93354372893936}
5080,Lestrade,PERSON,{'PERSON': 0.64645725270268}
5128,James McCarthy,PERSON,{'PERSON': 0.99997937669666}
5133,Holmes,PERSON,{'PERSON': 0.98493149579954}
5142,him,PERSON,
5178,Hereford,LOCATION,{'LOCATION': 0.66401070760443}
5181,him,PERSON,
5198,Watson,PERSON,{'PERSON': 0.9787410044614}
5359,he,PERSON,
5362,his,PERSON,
5373,his,PERSON,
5376,he,PERSON,
5501,he,PERSON,
5507,his,PERSON,
5527,his,PERSON,
5543,Holmes,PERSON,{'PERSON': 0.98581014961513}
5597,he,PERSON,
5599,his,PERSON,
5629,McCarthy,PERSON,{'PERSON': 0.99431944845305}
5643,his,PERSON,
5647,his,PERSON,
5651,his,PERSON,
5676,his,PERSON,
5702,Lestrade,PERSON,{'ORGANIZATION': 0.38850386687791}
5714,Sherlock Holmes,PERSON,{'PERSON': 0.99575922846024}
5737,McCarthy,PERSON,{'PERSON': 0.99766184525795}
5733,his,PERSON,
5745,Sherlock Holmes,PERSON,{'PERSON': 0.9992783784782}
5755,Lestrade,PERSON,{'PERSON': 0.4719534729296}
5749,He,PERSON,
5773,he,PERSON,
5776,he,PERSON,
5810,his,PERSON,
5841,McCarthy,PERSON,{'PERSON': 0.99718655394453}
5851,him,PERSON,
5860,he,PERSON,
5880,he,PERSON,
5889,him,PERSON,
5891,her,PERSON,
5899,he,PERSON,
5907,He,PERSON,
5967,Miss Turner,PERSON,
5938,his,PERSON,
5953,he,PERSON,
6040,Bristol,LOCATION,{'LOCATION': 0.99438088984734}
5991,her,PERSON,
6000,he,PERSON,
6008,he,PERSON,
6011,her,PERSON,
6014,she,PERSON,
6043,her,PERSON,
6068,him,PERSON,
6076,he,PERSON,
6079,his,PERSON,
6087,he,PERSON,
6127,Miss Turner,ORGANIZATION,{'ORGANIZATION': 0.25078204966623}
6103,him,PERSON,
6105,his,PERSON,
6112,his,PERSON,
6122,him,PERSON,
6135,he,PERSON,
6144,his,PERSON,
6160,him,PERSON,
6164,he,PERSON,
6184,Bristol,LOCATION,{'LOCATION': 0.98772211932867}
6172,his,PERSON,
6176,he,PERSON,
6187,his,PERSON,
6193,he,PERSON,
6196,Mark,PERSON,{'PERSON': 0.70129307698487}
6254,Bermuda Dockyard,LOCATION,{'LOCATION': 0.51188563429701}
6223,he,PERSON,
6236,him,PERSON,
6243,him,PERSON,
6247,she,PERSON,
6277,McCarthy,PERSON,{'PERSON': 0.99909161749473}
6281,he,PERSON,
6289,he,PERSON,
6338,his,PERSON,
6342,his,PERSON,
6348,he,PERSON,
6353,he,PERSON,
6373,he,PERSON,
6376,his,PERSON,
6398,George Meredith,PERSON,{'PERSON': 0.99795043551928}
6424,Holmes,PERSON,{'PERSON': 0.98578390028619}
6439,Lestrade,PERSON,{'PERSON': 0.40280578907299}
6464,this morning,TIME,{'TIME': 0.59706333569206}
6468,Lestrade,PERSON,{'PERSON': 0.77637018936375}
6476,Mr. Turner,PERSON,
6487,his,PERSON,
6504,Holmes,PERSON,{'PERSON': 0.98964266940932}
6511,his,PERSON,
6517,his,PERSON,
6522,he,PERSON,
6541,him,PERSON,
6549,McCarthy,PERSON,{'PERSON': 0.99313872412286}
6543,He,PERSON,
6562,him,PERSON,
6569,he,PERSON,
6571,him,PERSON,
6587,Holmes,PERSON,{'PERSON': 0.9801935697578}
6599,he,PERSON,
6602,him,PERSON,
6609,his,PERSON,
6612,him,PERSON,
6629,McCarthy,PERSON,{'PERSON': 0.97921770295431}
6649,Turner,ORGANIZATION,{'ORGANIZATION': 0.44465889561059}
6659,Turner,PERSON,{'PERSON': 0.68630257531515}
6638,his,PERSON,
6656,his,PERSON,
6708,Turner,PERSON,{'PERSON': 0.73841724068744}
6745,Lestrade,PERSON,{'PERSON': 0.56631279984084}
6761,Holmes,PERSON,{'PERSON': 0.86979068888317}
6779,Holmes,PERSON,{'PERSON': 0.97952678852983}
6817,Lestrade,PERSON,
6830,McCarthy,PERSON,{'PERSON': 0.99424566805199}
6836,McCarthy,PERSON,{'PERSON': 0.98507876347927}
6833,his,PERSON,
6864,Holmes,PERSON,{'PERSON': 0.96330967187395}
6963,Holmes,PERSON,{'PERSON': 0.91014176837287}
6972,her,PERSON,
6979,his,PERSON,
6996,he,PERSON,
7013,Holmes,PERSON,{'PERSON': 0.93366191729498}
7035,Boscombe Pool,LOCATION,{'LOCATION': 0.64145663555297}
7038,Sherlock Holmes,PERSON,{'PERSON': 0.99965617222704}
7043,he,PERSON,
7064,Baker Street,LOCATION,{'LOCATION': 0.98523957511294}
7071,him,PERSON,
7073,His,PERSON,
7079,His,PERSON,
7090,his,PERSON,
7102,His,PERSON,
7108,his,PERSON,
7112,his,PERSON,
7124,his,PERSON,
7130,His,PERSON,
7145,his,PERSON,
7155,him,PERSON,
7164,his,PERSON,
7186,he,PERSON,
7188,his,PERSON,
7249,Holmes,PERSON,{'PERSON': 0.97785855769753}
7260,he,PERSON,
7270,Lestrade,PERSON,{'PERSON': 0.76513756643564}
7275,him,PERSON,
7300,his,PERSON,
7344,Mr. Turner,PERSON,
7415,Lestrade,PERSON,{'PERSON': 0.67150342103283}
7459,Holmes,PERSON,{'PERSON': 0.71113881427789}
7466,his,PERSON,
7486,He,PERSON,
7518,he,PERSON,
7653,He,PERSON,
7662,his,PERSON,
7685,McCarthy,PERSON,{'PERSON': 0.99711112308971}
7690,he,PERSON,
7696,he,PERSON,
7716,his,PERSON,
7719,He,PERSON,
7722,he,PERSON,
7724,his,PERSON,
7738,he,PERSON,
7815,He,PERSON,
7854,Holmes,PERSON,{'PERSON': 0.99344325687437}
7856,his,PERSON,
7870,his,PERSON,
7883,he,PERSON,
7910,his,PERSON,
7926,he,PERSON,
7942,he,PERSON,
7949,he,PERSON,
7957,he,PERSON,
7980,he,PERSON,
7985,his,PERSON,
8016,Moran,PERSON,{'PERSON': 0.94830604650924}
8067,Ross,PERSON,{'PERSON': 0.96897244231065}
8069,Holmes,PERSON,{'PERSON': 0.98114170777958}
8073,him,PERSON,
8077,he,PERSON,
8091,Lestrade,PERSON,{'PERSON': 0.59381443743041}
8094,he,PERSON,
8213,Indian,MISC,{'MISC': 0.99997685561731}
8230,his,PERSON,
8252,Lestrade,PERSON,{'PERSON': 0.69300463645605}
8267,he,PERSON,
8287,British,MISC,{'MISC': 0.99999845566421}
8292,Nous verrons,MISC,{'MISC': 0.61424427784251}
8297,Holmes,PERSON,{'PERSON': 0.96553775944952}
8317,this afternoon,TIME,{'TIME': 0.75810494690032}
8325,London,LOCATION,{'LOCATION': 0.99833525008543}
8378,he,PERSON,
8401,Lestrade,PERSON,{'PERSON': 0.82196588631727}
8403,his,PERSON,
8414,he,PERSON,
8449,Scotland Yard,LOCATION,{'LOCATION': 0.78366488032194}
8459,Holmes,PERSON,{'PERSON': 0.98853775361928}
8492,Lestrade,PERSON,{'PERSON': 0.8246449077772}
8494,his,PERSON,
8511,Holmes,PERSON,{'PERSON': 0.99035845620887}
8523,his,PERSON,
8540,Watson,PERSON,{'PERSON': 0.9840845880162}
8543,he,PERSON,
8613,McCarthy,PERSON,{'PERSON': 0.98946528371262}
8627,his,PERSON,
8632,him,PERSON,
8639,his,PERSON,
8645,his,PERSON,
8655,him,PERSON,
8660,his,PERSON,
8668,He,PERSON,
8750,Bristol,LOCATION,{'LOCATION': 0.99393704971285}
8745,he,PERSON,
8757,he,PERSON,
8778,he,PERSON,
8791,Australian,MISC,{'MISC': 0.99999997009132}
8800,Australians,MISC,{'MISC': 0.99962979802889}
8811,McCarthy,PERSON,{'PERSON': 0.9879699130215}
8817,Boscombe Pool,LOCATION,{'LOCATION': 0.90545932058652}
8825,Australia,LOCATION,{'LOCATION': 0.99904019875468}
8815,him,PERSON,
8837,Sherlock Holmes,PERSON,{'PERSON': 0.99965100865967}
8844,his,PERSON,
8861,Colony of Victoria,ORGANIZATION,{'ORGANIZATION': 0.53749445641359}
8866,he,PERSON,
8873,Bristol,LOCATION,{'LOCATION': 0.97583379088632}
8876,last night,TIME,{'TIME': 0.94537766224049}
8880,He,PERSON,
8882,his,PERSON,
8909,He,PERSON,
8911,his,PERSON,
8915,BALLARAT,ORGANIZATION,{'ORGANIZATION': 0.94688815945983}
8933,his,PERSON,
8942,He,PERSON,
8950,his,PERSON,
8958,Ballarat,LOCATION,{'LOCATION': 0.85179685637341}
9028,Australian,MISC,{'MISC': 0.99999981726019}
9030,Ballarat,LOCATION,{'LOCATION': 0.77857390921458}
9106,Lestrade,PERSON,
9143,His,PERSON,
9156,his,PERSON,
9159,His,PERSON,
9183,his,PERSON,
9191,his,PERSON,
9199,his,PERSON,
9202,He,PERSON,
9212,he,PERSON,
9215,he,PERSON,
9222,his,PERSON,
9280,He,PERSON,
9295,He,PERSON,
9322,Indian,MISC,{'MISC': 0.99991634040513}
9376,he,PERSON,
9384,Indian,MISC,{'MISC': 0.99998761797162}
9394,Rotterdam,LOCATION,{'LOCATION': 0.99969685842585}
9416,his,PERSON,
9420,he,PERSON,
9456,Holmes,PERSON,{'PERSON': 0.68887447147766}
9473,he,PERSON,
9498,him,PERSON,
9516,Mr. John Turner,PERSON,
9552,His,PERSON,
9568,his,PERSON,
9579,his,PERSON,
9584,he,PERSON,
9596,His,PERSON,
9618,his,PERSON,
9622,his,PERSON,
9631,his,PERSON,
9637,his,PERSON,
9656,he,PERSON,
9678,Holmes,PERSON,{'PERSON': 0.98832002017428}
9738,He,PERSON,
9747,his,PERSON,
9753,his,PERSON,
9764,Holmes,PERSON,{'PERSON': 0.9656994448659}
9783,McCarthy,PERSON,{'PERSON': 0.99077556953464}
9790,his,PERSON,
9793,his,PERSON,
9802,he,PERSON,
9837,Assizes,LOCATION,{'LOCATION': 0.47938076637054}
9834,him,PERSON,
9852,Holmes,PERSON,{'PERSON': 0.98930067397888}
9873,her,PERSON,
9879,her,PERSON,
9882,she,PERSON,
9900,Holmes,PERSON,{'PERSON': 0.98695303211441}
9931,her,PERSON,
9935,McCarthy,PERSON,{'PERSON': 0.99830877816196}
9954,Turner,ORGANIZATION,{'ORGANIZATION': 0.30537965198091}
9993,Holmes,PERSON,{'PERSON': 0.91269470281848}
10002,his,PERSON,
10005,his,PERSON,
10013,him,PERSON,
10023,he,PERSON,
10040,Watson,PERSON,{'PERSON': 0.94802882060289}
10059,McCarthy,PERSON,{'PERSON': 0.9964437074009}
10100,Assizes,LOCATION,{'LOCATION': 0.74918554202715}
10115,Alice,PERSON,{'PERSON': 0.50014106898324}
10158,McCarthy,PERSON,{'PERSON': 0.97809642139936}
10160,He,PERSON,
10183,he,PERSON,
10185,His,PERSON,
10196,he,PERSON,
10213,his,PERSON,
10323,Black Jack of Ballarat,PERSON,{'PERSON': 0.43803005631148}
10345,Ballarat Gang,ORGANIZATION,{'ORGANIZATION': 0.73022817873846}
10357,Ballarat,LOCATION,{'LOCATION': 0.89180190061755}
10359,Melbourne,LOCATION,{'LOCATION': 0.99865963826138}
10433,McCarthy,PERSON,{'PERSON': 0.99146180656246}
10444,him,PERSON,
10450,him,PERSON,
10455,his,PERSON,
10488,England,LOCATION,{'LOCATION': 0.99980428457696}
10568,Alice,PERSON,{'PERSON': 0.94973628084346}
10562,she,PERSON,
10572,she,PERSON,
10577,her,PERSON,
10621,McCarthy,PERSON,{'PERSON': 0.99950305961399}
10623,his,PERSON,
10644,Regent Street,LOCATION,{'LOCATION': 0.9649695817705}
10642,him,PERSON,
10651,his,PERSON,
10657,his,PERSON,
10666,Jack,PERSON,{'PERSON': 0.99802923227708}
10670,he,PERSON,
10725,England,LOCATION,{'LOCATION': 0.99767271870143}
10789,his,PERSON,
10802,Alice,PERSON,{'PERSON': 0.98915823901217}
10807,he,PERSON,
10815,her,PERSON,
10825,he,PERSON,
10827,he,PERSON,
10837,him,PERSON,
10850,he,PERSON,
10863,Alice,PERSON,{'PERSON': 0.87702354307442}
10860,He,PERSON,
10866,His,PERSON,
10899,him,PERSON,
10901,his,PERSON,
10920,his,PERSON,
10938,his,PERSON,
10942,him,PERSON,
10953,McCarthy,PERSON,{'PERSON': 0.99427606851089}
10958,him,PERSON,
10961,his,PERSON,
10988,him,PERSON,
10991,his,PERSON,
11005,he,PERSON,
11015,his,PERSON,
11030,He,PERSON,
11033,his,PERSON,
11045,she,PERSON,
11050,she,PERSON,
11146,Mr. Holmes,PERSON,
11196,him,PERSON,
11204,he,PERSON,
11213,His,PERSON,
11217,his,PERSON,
11277,Holmes,PERSON,{'PERSON': 0.99871764043617}
11361,McCarthy,PERSON,{'PERSON': 0.99761201697642}
11446,his,PERSON,
11450,he,PERSON,
11464,Holmes,PERSON,{'PERSON': 0.97453454998164}
11498,Baxter,PERSON,{'PERSON': 0.9288403576763}
11516,Sherlock Holmes,PERSON,{'PERSON': 0.998343365514}
11521,James McCarthy,PERSON,{'PERSON': 0.99994272008371}
11527,Assizes,LOCATION,{'LOCATION': 0.67060962299285}
11542,Holmes,PERSON,{'PERSON': 0.98071553483381}
11561,he,PERSON,
