docTokenBegin,text,ner,nerConfidences
11,Sherlock Holmes,PERSON,{'PERSON': 0.99987726464854}
34,Watson,PERSON,{'PERSON': 0.88885567514992}
57,Gloria Scott,ORGANIZATION,{'ORGANIZATION': 0.51426586360801}
71,Trevor,PERSON,{'PERSON': 0.78490071467588}
76,he,PERSON,
81,He,PERSON,
98,he,PERSON,
122,London,LOCATION,{'LOCATION': 0.99269036250742}
136,Hudson,LOCATION,{'LOCATION': 0.61762163164761}
177,Holmes,PERSON,{'PERSON': 0.99351813776526}
195,he,PERSON,
322,his,PERSON,
335,him,PERSON,
343,he,PERSON,
347,his,PERSON,
357,his,PERSON,
361,he,PERSON,
363,his,PERSON,
383,Victor Trevor,PERSON,{'PERSON': 0.96095409958867}
387,he,PERSON,
391,He,PERSON,
415,Watson,PERSON,{'PERSON': 0.87468422540595}
485,Trevor,PERSON,{'PERSON': 0.9910970127146}
500,his,PERSON,
544,Trevor,PERSON,{'PERSON': 0.98601622985169}
566,his,PERSON,
644,Donnithorpe,LOCATION,{'LOCATION': 0.89586856433772}
647,Norfolk,LOCATION,{'LOCATION': 0.99892618747271}
582,He,PERSON,
626,he,PERSON,
634,he,PERSON,
639,his,PERSON,
652,his,PERSON,
664,Trevor,PERSON,{'PERSON': 0.95821225260731}
676,J.P.,ORGANIZATION,{'ORGANIZATION': 0.77926972347296}
693,Langmere,LOCATION,{'LOCATION': 0.92081300793448}
772,he,PERSON,
789,Trevor,PERSON,{'PERSON': 0.8822046503679}
798,his,PERSON,
823,Birmingham,LOCATION,{'LOCATION': 0.98581025399814}
813,she,PERSON,
831,He,PERSON,
853,He,PERSON,
860,he,PERSON,
877,he,PERSON,
883,he,PERSON,
920,he,PERSON,
941,his,PERSON,
969,Trevor,PERSON,{'PERSON': 0.99546369627028}
1012,his,PERSON,
1017,his,PERSON,
1036,Mr. Holmes,PERSON,
1041,he,PERSON,
1105,his,PERSON,
1109,he,PERSON,
1128,he,PERSON,
1134,Victor,PERSON,{'PERSON': 0.99411338754367}
1158,Edward Holly,PERSON,{'PERSON': 0.98854248387443}
1139,his,PERSON,
1268,he,PERSON,
1375,New Zealand,LOCATION,{'LOCATION': 0.99992111868653}
1390,Japan,LOCATION,{'LOCATION': 0.99117984860524}
1429,Mr. Trevor,PERSON,
1436,his,PERSON,
1454,his,PERSON,
1474,Watson,PERSON,{'PERSON': 0.98772303375444}
1479,his,PERSON,
1485,His,PERSON,
1498,his,PERSON,
1513,his,PERSON,
1516,he,PERSON,
1534,he,PERSON,
1583,Mr. Holmes,PERSON,
1660,Watson,PERSON,{'PERSON': 0.91962758013297}
1648,he,PERSON,
1757,He,PERSON,
1778,his,PERSON,
1891,he,PERSON,
1960,Mr. Trevor,PERSON,
1949,his,PERSON,
1968,his,PERSON,
1985,he,PERSON,
1989,he,PERSON,
2007,He,PERSON,
2025,his,PERSON,
2045,him,PERSON,
2128,Mr. Trevor,PERSON,
2135,his,PERSON,
2145,He,PERSON,
2156,he,PERSON,
2164,He,PERSON,
2169,him,PERSON,
2173,he,PERSON,
2185,him,PERSON,
2210,He,PERSON,
2243,His,PERSON,
2269,his,PERSON,
2293,Mr. Trevor,PERSON,
2285,he,PERSON,
2302,his,PERSON,
2309,his,PERSON,
2312,he,PERSON,
2318,He,PERSON,
2334,he,PERSON,
2347,he,PERSON,
2364,him,PERSON,
2378,his,PERSON,
2390,he,PERSON,
2403,Hudson,PERSON,{'PERSON': 0.68894881986883}
2407,Mr. Trevor,PERSON,
2466,Tut,PERSON,{'PERSON': 0.63563943652592}
2481,Mr. Trevor,PERSON,
2491,he,PERSON,
2506,he,PERSON,
2546,his,PERSON,
2587,Mr. Beddoes,PERSON,
2600,Trevor,PERSON,{'PERSON': 0.97384757238835}
2606,Mr. Beddoes,PERSON,
2637,he,PERSON,
2647,Mr. Trevor,PERSON,
2661,he,PERSON,
2678,he,PERSON,
2694,him,PERSON,
2751,the first month,DATE,{'DATE': 0.61905702047456}
2764,London,LOCATION,{'LOCATION': 0.98342082340516}
2812,Donnithorpe,PERSON,{'PERSON': 0.5740414050491}
2817,he,PERSON,
2843,He,PERSON,
2872,him,PERSON,
2874,He,PERSON,
2891,he,PERSON,
2908,he,PERSON,
2933,He,PERSON,
2948,him,PERSON,
2961,Watson,PERSON,{'PERSON': 0.84620995158477}
3054,Holmes,PERSON,{'PERSON': 0.96025417404404}
3057,he,PERSON,
3064,him,PERSON,
3121,Hudson,LOCATION,{'LOCATION': 0.64102585548749}
3096,his,PERSON,
3111,him,PERSON,
3113,his,PERSON,
3129,he,PERSON,
3160,he,PERSON,
3181,Holmes,PERSON,{'PERSON': 0.9737641966239}
3223,Broads,MISC,{'MISC': 0.49167503966355}
3286,him,PERSON,
3288,he,PERSON,
3301,his,PERSON,
3305,he,PERSON,
3311,he,PERSON,
3320,his,PERSON,
3324,his,PERSON,
3379,him,PERSON,
3385,he,PERSON,
3399,Holmes,PERSON,{'PERSON': 0.97753263434259}
3458,Hudson,PERSON,{'PERSON': 0.60710977949896}
3485,him,PERSON,
3491,him,PERSON,
3497,He,PERSON,
3513,his,PERSON,
3550,Hudson,LOCATION,{'LOCATION': 0.74386352061292}
3529,him,PERSON,
3565,he,PERSON,
3578,his,PERSON,
3591,he,PERSON,
3617,Victor,PERSON,{'PERSON': 0.98817989251256}
3648,He,PERSON,
3672,he,PERSON,
3694,Hudson,PERSON,{'PERSON': 0.95543824743313}
3698,he,PERSON,
3705,He,PERSON,
3720,his,PERSON,
3741,Norfolk,LOCATION,{'LOCATION': 0.92227557278342}
3745,he,PERSON,
3753,Mr. Beddoes,PERSON,
3756,Hampshire,LOCATION,{'LOCATION': 0.97129208681929}
3758,He,PERSON,
3789,Hudson,PERSON,{'PERSON': 0.51487435559096}
3821,he,PERSON,
3832,Victor,PERSON,{'PERSON': 0.9373057105652}
3873,him,PERSON,
3891,he,PERSON,
3909,He,PERSON,
3961,fall,DATE,{'DATE': 0.7462243572093}
3940,him,PERSON,
3942,his,PERSON,
3950,he,PERSON,
3953,his,PERSON,
4003,his,PERSON,
4006,his,PERSON,
4027,his,PERSON,
4035,him,PERSON,
4042,his,PERSON,
4057,he,PERSON,
4063,Fordham,PERSON,{'PERSON': 0.92153031608926}
4071,him,PERSON,
4081,he,PERSON,
4098,him,PERSON,
4108,Trevor,PERSON,{'PERSON': 0.95155943169867}
4164,he,PERSON,
4227,Trevor,PERSON,{'PERSON': 0.98473724325143}
4241,he,PERSON,
4277,Japanese,MISC,{'MISC': 0.99999980847248}
4331,Trevor,PERSON,{'PERSON': 0.8666806298085}
4345,he,PERSON,
