docTokenBegin,text,ner,nerConfidences
24,Mr. Sherlock Holmes,PERSON,
58,Holmes,PERSON,{'PERSON': 0.91616534448751}
75,his,PERSON,
115,he,PERSON,
140,he,PERSON,
156,his,PERSON,
177,Scarlet,LOCATION,{'LOCATION': 0.55158135328669}
191,Gloria Scott,PERSON,{'PERSON': 0.90950283367458}
202,Charybdis,MISC,{'MISC': 0.36607528303988}
269,October,DATE,{'DATE': 0.99966636421116}
279,Holmes,PERSON,{'PERSON': 0.98479459019428}
292,he,PERSON,
308,India,LOCATION,{'LOCATION': 0.99943497743614}
334,Parliament,ORGANIZATION,{'ORGANIZATION': 0.88347448160334}
358,Southsea,LOCATION,{'LOCATION': 0.9725627712693}
389,him,PERSON,
391,He,PERSON,
406,his,PERSON,
433,his,PERSON,
438,his,PERSON,
443,he,PERSON,
445,his,PERSON,
458,his,PERSON,
493,end of the first year,DATE,{'DATE': 0.97378421209044}
500,Holmes,PERSON,{'PERSON': 0.94599763123685}
506,Baker Street,LOCATION,{'LOCATION': 0.99850384140249}
512,October,DATE,{'DATE': 0.99534570929935}
540,he,PERSON,
552,him,PERSON,
557,he,PERSON,
576,his,PERSON,
584,he,PERSON,
588,his,PERSON,
607,Watson,PERSON,{'PERSON': 0.96030398349784}
611,he,PERSON,
627,he,PERSON,
640,London,LOCATION,{'LOCATION': 0.99536888783307}
678,Fleet Street,LOCATION,
684,His,PERSON,
712,Baker Street,LOCATION,{'LOCATION': 0.86362731586764}
739,Holmes,PERSON,{'PERSON': 0.98409194630638}
776,Holmes,PERSON,{'PERSON': 0.98087413346496}
784,his,PERSON,
814,him,PERSON,
818,his,PERSON,
860,Holmes,PERSON,{'PERSON': 0.99096044561378}
887,His,PERSON,
902,his,PERSON,
915,his,PERSON,
919,him,PERSON,
921,his,PERSON,
924,His,PERSON,
944,he,PERSON,
950,he,PERSON,
963,His,PERSON,
985,his,PERSON,
997,Holmes,PERSON,{'PERSON': 0.9622975791993}
1065,Percy Trevelyan,PERSON,{'PERSON': 0.99991646749798}
1079,Brook Street,LOCATION,{'LOCATION': 0.99398247073432}
1101,His,PERSON,
1110,his,PERSON,
1135,he,PERSON,
1199,he,PERSON,
1214,Mr. Sherlock Holmes,PERSON,
1245,Brook Street,LOCATION,{'LOCATION': 0.99717772247971}
1280,Sherlock Holmes,PERSON,{'PERSON': 0.99954823255576}
1286,his,PERSON,
1299,he,PERSON,
1333,Trevelyan,PERSON,{'PERSON': 0.99896376757908}
1407,London University,ORGANIZATION,{'ORGANIZATION': 0.94237157296488}
1467,King's College Hospital,ORGANIZATION,{'ORGANIZATION': 0.60671518090019}
1495,Bruce Pinkerton,PERSON,{'PERSON': 0.73906807654174}
1580,Cavendish Square,LOCATION,{'LOCATION': 0.99896864279424}
1582,quarter,DATE,{'DATE': 0.76121732231268}
1599,he,PERSON,
1682,Blessington,PERSON,{'PERSON': 0.92670742655577}
1692,He,PERSON,
1715,Percy Trevelyan,PERSON,{'PERSON': 0.99593785194602}
1733,he,PERSON,
1746,he,PERSON,
1874,he,PERSON,
1877,his,PERSON,
1910,Brook Street,LOCATION,{'LOCATION': 0.98667728364098}
1918,him,PERSON,
1937,he,PERSON,
2106,Mr. Holmes,PERSON,
2113,Blessington,PERSON,{'PERSON': 0.99377183135285}
