docTokenBegin,text,ner,nerConfidences
3,Turkish,MISC,{'MISC': 0.99999714827419}
7,Mr. Sherlock Holmes,PERSON,
36,his,PERSON,
43,English,MISC,{'MISC': 0.99999395625697}
57,Latimer,PERSON,{'PERSON': 0.4522448278164}
61,Oxford Street,LOCATION,{'LOCATION': 0.98575123997497}
65,Holmes,PERSON,{'PERSON': 0.98251272082732}
79,he,PERSON,
91,Turkish,MISC,{'MISC': 0.99999984961464}
118,Turkish,MISC,{'MISC': 0.99999794443699}
146,Holmes,PERSON,{'PERSON': 0.97732593892185}
164,Turkish,MISC,{'MISC': 0.99999969795117}
203,Watson,PERSON,{'PERSON': 0.92994731181771}
207,Holmes,PERSON,{'PERSON': 0.99191321356014}
267,Watson,PERSON,{'PERSON': 0.98060729513851}
490,Turkish,MISC,{'MISC': 0.99999927139431}
528,Lausanne,LOCATION,{'LOCATION': 0.89715792524748}
533,Watson,PERSON,{'PERSON': 0.92076393502303}
556,Holmes,PERSON,{'PERSON': 0.99659361733187}
560,his,PERSON,
564,his,PERSON,
567,his,PERSON,
583,he,PERSON,
593,She,PERSON,
607,she,PERSON,
617,She,PERSON,
621,She,PERSON,
625,She,PERSON,
631,her,PERSON,
642,She,PERSON,
660,She,PERSON,
672,she,PERSON,
676,she,PERSON,
692,Frances Carfax,PERSON,{'PERSON': 0.60182712284525}
710,Holmes,PERSON,{'PERSON': 0.99530515943365}
712,his,PERSON,
716,Lady Frances,PERSON,{'PERSON': 0.80345257037389}
735,Earl of Rufton,PERSON,{'PERSON': 0.49434348221002}
720,he,PERSON,
766,Spanish,MISC,{'MISC': 0.99999834503899}
753,She,PERSON,
776,she,PERSON,
785,she,PERSON,
791,her,PERSON,
799,her,PERSON,
807,Lady Frances,PERSON,{'PERSON': 0.50755799412211}
834,twenty years ago,DATE,{'DATE': 0.54258593084866}
848,her,PERSON,
862,Frances,PERSON,{'PERSON': 0.71004092908342}
865,she,PERSON,
899,Miss Dobney,PERSON,
913,Camberwell,LOCATION,
875,She,PERSON,
890,her,PERSON,
902,her,PERSON,
918,Miss Dobney,MISC,{'MISC': 0.62849663066713}
943,Lausanne,LOCATION,{'LOCATION': 0.99655095951509}
945,Lady Frances,PERSON,{'PERSON': 0.68472627387681}
983,Is Miss Dobney,MISC,{'MISC': 0.96730059046}
993,she,PERSON,
1010,Watson,PERSON,{'PERSON': 0.90402866413331}
