docTokenBegin,text,ner,nerConfidences
24,Mr. Sherlock Holmes,PERSON,
37,his,PERSON,
44,his,PERSON,
59,him,PERSON,
137,his,PERSON,
167,Tuesday,DATE,{'DATE': 0.99985260932159}
193,Cornish horror,MISC,{'MISC': 0.44880195574558}
169,he,PERSON,
217,his,PERSON,
225,him,PERSON,
275,spring of the year 1897,DATE,{'DATE': 0.89021122921947}
281,Holmes,PERSON,{'PERSON': 0.96814235700652}
312,his,PERSON,
316,March,DATE,{'DATE': 0.88522513447989}
321,Moore Agar,PERSON,{'PERSON': 0.99238469578862}
325,Harley Street,LOCATION,{'LOCATION': 0.72928837257291}
332,Holmes,PERSON,{'PERSON': 0.90263793357141}
350,his,PERSON,
359,he,PERSON,
370,his,PERSON,
378,he,PERSON,
386,his,PERSON,
393,he,PERSON,
426,early spring,DATE,{'DATE': 0.97887731379092}
440,Poldhu Bay,LOCATION,{'LOCATION': 0.99990017127622}
497,Mounts Bay,LOCATION,{'LOCATION': 0.94061461547982}
719,he,PERSON,
723,his,PERSON,
737,Cornish,PERSON,{'PERSON': 0.60600661600097}
761,Chaldean,MISC,{'MISC': 0.99987356584112}
770,Phoenician,MISC,{'MISC': 0.99649007522468}
742,his,PERSON,
746,he,PERSON,
844,London,LOCATION,{'LOCATION': 0.99804373372425}
775,He,PERSON,
800,his,PERSON,
878,Cornwall,LOCATION,{'LOCATION': 0.99435224125318}
885,England,LOCATION,{'LOCATION': 0.99993347236356}
904,Cornish Horror,MISC,{'MISC': 0.90686235091616}
918,London,LOCATION,{'LOCATION': 0.98752639309101}
955,Cornwall,LOCATION,{'LOCATION': 0.9753873478799}
965,Tredannick Wollas,LOCATION,{'LOCATION': 0.55235796982259}
993,Mr. Roundhay,PERSON,
1005,Holmes,PERSON,{'PERSON': 0.96822505963754}
1008,his,PERSON,
1011,He,PERSON,
1049,Mr. Mortimer Tregennis,PERSON,
1032,his,PERSON,
1068,his,PERSON,
1091,he,PERSON,
1097,his,PERSON,
1137,his,PERSON,
1158,his,PERSON,
1177,Tuesday,DATE,{'DATE': 0.99984052884398}
1179,March the 16th,DATE,{'DATE': 0.97429476979686}
1205,Mr. Holmes,PERSON,
1247,Providence,LOCATION,{'LOCATION': 0.56674699983899}
1262,England,LOCATION,{'LOCATION': 0.96734198665258}
1285,Holmes,PERSON,{'PERSON': 0.99938288652899}
1287,his,PERSON,
1290,his,PERSON,
1296,his,PERSON,
1309,He,PERSON,
1311,his,PERSON,
1322,his,PERSON,
1332,Mr. Mortimer Tregennis,PERSON,
1348,his,PERSON,
1355,his,PERSON,
1374,he,PERSON,
1418,Holmes,PERSON,{'PERSON': 0.98473396580036}
1444,Holmes,PERSON,{'PERSON': 0.79994364276285}
1435,him,PERSON,
1484,Mr. Tregennis,PERSON,
1524,Owen,PERSON,{'PERSON': 0.98859690582008}
1526,George,PERSON,{'PERSON': 0.97452786003303}
1532,Brenda,PERSON,{'PERSON': 0.99891789342975}
1538,Tredannick Wartha,LOCATION,{'LOCATION': 0.62551465912478}
1520,his,PERSON,
1530,his,PERSON,
1552,He,PERSON,
1598,Richards,PERSON,{'PERSON': 0.99991866154912}
1615,Tredannick Wartha,PERSON,{'PERSON': 0.7090529849228}
1583,he,PERSON,
1603,he,PERSON,
1618,Mr. Mortimer Tregennis,PERSON,
1624,him,PERSON,
1630,Tredannick Wartha,LOCATION,{'LOCATION': 0.84605783266336}
1627,he,PERSON,
1632,he,PERSON,
1640,His,PERSON,
1644,his,PERSON,
1653,he,PERSON,
1683,her,PERSON,
1695,her,PERSON,
1761,Mrs. Porter,PERSON,
1773,she,PERSON,
1825,Mr. Holmes,PERSON,
1880,his,PERSON,
1895,He,PERSON,
1926,he,PERSON,
1957,Mr. Roundhay,PERSON,
1964,Mr. Holmes,PERSON,
1967,Mr. Tregennis,PERSON,
1984,him,PERSON,
2032,Mr. Mortimer Tregennis,PERSON,
2051,his,PERSON,
2080,Holmes,PERSON,{'PERSON': 0.95461702057558}
2066,He,PERSON,
2075,his,PERSON,
2083,his,PERSON,
2090,His,PERSON,
2095,he,PERSON,
2104,his,PERSON,
2108,his,PERSON,
2128,Mr. Holmes,PERSON,
2133,he,PERSON,
2159,last night,TIME,{'TIME': 0.60647767022514}
2166,Mr. Holmes,PERSON,
2183,George,PERSON,{'PERSON': 0.99963433230292}
2234,Mrs. Porter,PERSON,
2283,this morning,TIME,{'TIME': 0.81045088682663}
2312,Brenda,PERSON,{'PERSON': 0.99804105152571}
2319,her,PERSON,
2365,Holmes,PERSON,{'PERSON': 0.97990476807769}
2392,Mr. Holmes,PERSON,
2399,Mortimer Tregennis,PERSON,{'PERSON': 0.97463482337969}
2441,Holmes,PERSON,{'PERSON': 0.99032382763878}
2479,Mr. Tregennis,PERSON,
2511,Mr. Holmes,PERSON,
2532,Redruth,LOCATION,{'LOCATION': 0.73263598686144}
2624,Mr. Tregennis,PERSON,
2699,Mortimer Tregennis,PERSON,{'PERSON': 0.99916470709644}
2718,he,PERSON,
2739,George,PERSON,{'PERSON': 0.99855827811096}
2741,he,PERSON,
2754,him,PERSON,
2831,him,PERSON,
2833,he,PERSON,
2838,he,PERSON,
2842,he,PERSON,
2908,this morning,TIME,{'TIME': 0.80297094294004}
2936,his,PERSON,
2946,Mrs. Porter,PERSON,
2941,He,PERSON,
2962,him,PERSON,
3008,Brenda,PERSON,{'PERSON': 0.99488408095642}
3025,She,PERSON,
3038,her,PERSON,
3041,George,PERSON,{'PERSON': 0.93671676484937}
3043,Owen,PERSON,{'PERSON': 0.95408452564642}
3082,he,PERSON,
3097,him,PERSON,
3113,Holmes,PERSON,{'PERSON': 0.99058752581947}
3118,his,PERSON,
3133,Tredannick Wartha,LOCATION,{'LOCATION': 0.52277347127678}
3284,Mortimer Tregennis,PERSON,{'PERSON': 0.99881392049407}
3289,his,PERSON,
3298,Helston,PERSON,{'PERSON': 0.54565690963853}
3360,Cornish,PERSON,{'PERSON': 0.89508238565199}
3366,spring,DATE,{'DATE': 0.6611964872425}
3387,Mortimer Tregennis,PERSON,{'PERSON': 0.92171927259062}
3410,Holmes,PERSON,{'PERSON': 0.99188940547064}
3433,he,PERSON,
3435,his,PERSON,
3442,he,PERSON,
3473,Cornish,PERSON,{'PERSON': 0.91322650748912}
3476,Mrs. Porter,PERSON,
3501,Holmes,PERSON,{'PERSON': 0.9630258479421}
3497,She,PERSON,
3511,night,TIME,{'TIME': 0.74191947670509}
3505,She,PERSON,
3513,Her,PERSON,
3524,she,PERSON,
3534,She,PERSON,
3555,She,PERSON,
3559,she,PERSON,
3582,she,PERSON,
3596,her,PERSON,
3604,her,PERSON,
3641,St. Ives,LOCATION,{'LOCATION': 0.5471326160618}
3620,She,PERSON,
3638,her,PERSON,
3653,Miss Brenda Tregennis,PERSON,
3670,Her,PERSON,
3699,her,PERSON,
3705,her,PERSON,
3775,night before,TIME,{'TIME': 0.5452208681689}
3778,Holmes,PERSON,{'PERSON': 0.98610707649161}
3789,he,PERSON,
3804,He,PERSON,
3814,he,PERSON,
