doc,sentences,Mesi,accordionmonkey,judge1,judge2,nltk_characters,nltk_text
doc_01,"The facts, as you state them, are certainly most remarkable,"" said Holmes.",Holmes,Holmes,1,1,1,Holmes
doc_15,"About the second week of it our water gave out, and it was a question whether we could communicate with General Neill's column, which was moving up country.",General Neill,General Neill,1,1,0,
doc_29,"No, no; the real name,"" said Holmes sweetly.",Holmes,Holmes,1,1,1,Holmes
doc_28,"In the meantime, the matter is being actively investigated, Mr. Lestrade, one of the very smartest of our detective officers, being in charge of the case.",Mr. Lestrade,Mr. Lestrade,1,1,1,Mr. Lestrade
doc_14,"The state of his health was not a matter in which he himself took the faintest interest, for his mental detachment was absolute, but he was induced at last, on the threat of being permanently disqualified from work, to give himself a complete change of scene and air.",,,0,0,0,
doc_16,"For a minute or more the hand, with its writhing fingers, protruded out of the floor.",,,0,0,0,
doc_02,"One evening, after the child was in bed, I began to amuse myself by examining the furniture of my room and by rearranging my own little things.",,,0,0,0,
doc_03,"Joseph Harrison is my name, and as Percy is to marry my sister Annie I shall at least be a relation by marriage.",Annie | Joseph Harrison | Percy,Annie | Joseph Harrison | Percy,1,1,1,Annie | Harrison | Joseph | Percy
doc_17,"Besides, I can read in a man's eye when it is his own skin that he is frightened for.",,,0,0,0,
doc_13,Has she perhaps met her end on the same night as the friend whom she had summoned?,,,0,0,0,
doc_07,"Accustomed as I was to my friend's amazing powers in the use of disguises, I had to look three times before I was certain that it was indeed he.",,,0,0,0,
doc_06,"Well, I am afraid I can't help you, Lestrade,"" said Holmes.",Holmes | Lestrade,Holmes | Lestrade,1,1,1,Holmes | Lestrade
doc_12,"As I stood in the passage gazing at the sinister door and wondering what secret it might veil, I suddenly heard the sound of steps within the room and saw a shadow pass backward and forward against the little slit of dim light which shone out from under the door.",,,0,0,0,
doc_38,"I rather think, Inspector Martin, that we have now exhausted all that this room can teach us.",Inspector Martin,Martin,1,1,1,Inspector Martin
doc_04,"With his personal advantages and his extraordinary gifts--for he can speak several languages and play nearly every musical instrument--it is wonderful that he should have been satisfied so long in such a position, but I suppose that he was comfortable, and lacked energy to make any change.",,,0,0,0,
doc_10,"If he talks of a radiator it is a battleship, of an oil pump a cruiser, and so on.",,,0,0,0,
doc_11,I suppose you haven't such a thing as a carriage in your stables?,,,0,0,0,
doc_05,"'This is Mr. Jabez Wilson,' said my assistant, 'and he is willing to fill a vacancy in the League.",Mr. Jabez Wilson,Mr. Jabez Wilson,1,1,1,Mr. Jabez Wilson
doc_39,"It is true that 'For Mrs. Henry Baker' was printed upon a small card which was tied to the bird's left leg, and it is also true that the initials 'H.",Mrs. Henry Baker,Mrs. Henry Baker,1,1,1,Henry Baker
doc_49,He impressed these points upon them with the utmost earnestness.,,,0,0,0,
doc_48,"In an instant he was tense and alert, his eyes shining, his face set, his limbs quivering with eager activity.",,,0,0,0,
doc_43,I claim the right to examine that parcel before you pick the money up.,,,0,0,0,
doc_42,"Be the cause what I may, it was the end of the Gloria Scott and of the rabble who held command of her.",Gloria Scott,Gloria Scott,1,1,0,
doc_40,"When once the law is evoked it cannot be stayed again, and this is just one of those cases where, for the credit of the college, it is most essential to avoid scandal.",,,0,0,0,
doc_41,"It is in New Zealand stock, paying 4½ per cent.",,,0,0,0,
