lemma,pos,ner
somewhere,RB,O
in,IN,O
the,DT,O
vault,NNS,O
of,IN,O
the,DT,O
bank,NN,O
of,IN,O
Cox,NNP,ORGANIZATION
and,CC,ORGANIZATION
Co.,NNP,ORGANIZATION
",",",",O
at,IN,O
Charing,NNP,ORGANIZATION
Cross,NNP,ORGANIZATION
",",",",O
there,EX,O
be,VBZ,O
a,DT,O
travel,NN,O
-,HYPH,O
wear,VBN,O
and,CC,O
batter,VBN,O
tin,NN,O
dispatch,NN,O
-,HYPH,O
box,NN,O
with,IN,O
my,PRP$,O
name,NN,O
",",",",O
John,NNP,PERSON
H.,NNP,PERSON
Watson,NNP,PERSON
",",",",O
M.D.,NNP,O
",",",",O
late,JJ,O
indian,JJ,O
Army,NNP,O
",",",",O
paint,VBN,O
upon,IN,O
the,DT,O
lid,NN,O
.,.,O
it,PRP,O
be,VBZ,O
cram,VBN,O
with,IN,O
papers,NNS,O
",",",",O
nearly,RB,O
all,DT,O
of,IN,O
which,WDT,O
be,VBP,O
record,NNS,O
of,IN,O
case,NNS,O
to,TO,O
illustrate,VB,O
the,DT,O
curious,JJ,O
problem,NNS,O
which,WDT,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
have,VBD,O
at,IN,O
various,JJ,O
time,NNS,O
to,TO,O
examine,VB,O
.,.,O
some,DT,O
",",",",O
and,CC,O
not,RB,O
the,DT,O
least,JJS,O
interesting,JJ,O
",",",",O
be,VBD,O
complete,JJ,O
failure,NNS,O
",",",",O
and,CC,O
as,IN,O
such,JJ,O
will,MD,O
hardly,RB,O
bear,VB,O
narrate,VBG,O
",",",",O
since,IN,O
no,DT,O
final,JJ,O
explanation,NN,O
be,VBZ,O
forthcoming,JJ,O
.,.,O
a,DT,O
problem,NN,O
without,IN,O
a,DT,O
solution,NN,O
may,MD,O
interest,VB,O
the,DT,O
student,NN,O
",",",",O
but,CC,O
can,MD,O
hardly,RB,O
fail,VB,O
to,TO,O
annoy,VB,O
the,DT,O
casual,JJ,O
reader,NN,O
.,.,O
among,IN,O
these,DT,O
unfinished,JJ,O
tale,NNS,O
be,VBZ,O
that,IN,O
of,IN,O
Mr.,NNP,PERSON
James,NNP,PERSON
Phillimore,NNP,PERSON
",",",",O
who,WP,O
",",",",O
step,VBG,O
back,RB,O
into,IN,O
he,PRP$,O
own,JJ,O
house,NN,O
to,TO,O
get,VB,O
he,PRP$,O
umbrella,NN,O
",",",",O
be,VBD,O
never,RB,O
more,RBR,O
see,VBN,O
in,IN,O
this,DT,O
world,NN,O
.,.,O
no,DT,O
less,RBR,O
remarkable,JJ,O
be,VBZ,O
that,IN,O
of,IN,O
the,DT,O
cutter,NN,O
Alicia,NNP,PERSON
",",",",O
which,WDT,O
sail,VBD,O
one,CD,O
spring,NN,DATE
morning,NN,O
into,IN,O
a,DT,O
small,JJ,O
patch,NN,O
of,IN,O
mist,NN,O
from,IN,O
where,WRB,O
she,PRP,O
never,RB,O
again,RB,O
emerge,VBD,O
",",",",O
nor,CC,O
be,VBD,O
anything,NN,O
further,JJ,O
ever,RB,O
hear,VBN,O
of,IN,O
herself,PRP,O
and,CC,O
she,PRP$,O
crew,NN,O
.,.,O
a,DT,O
third,JJ,O
case,NN,O
worthy,JJ,O
of,IN,O
note,NN,O
be,VBZ,O
that,IN,O
of,IN,O
Isadora,NNP,PERSON
Persano,NNP,PERSON
",",",",O
the,DT,O
well,RB,O
-,HYPH,O
know,VBN,O
journalist,NN,O
and,CC,O
duellist,NN,O
",",",",O
who,WP,O
be,VBD,O
find,VBN,O
stark,JJ,O
stare,VBG,O
mad,JJ,O
with,IN,O
a,DT,O
match,NN,O
box,NN,O
in,IN,O
front,NN,O
of,IN,O
he,PRP,O
which,WDT,O
contain,VBD,O
a,DT,O
remarkable,JJ,O
worm,NN,O
say,VBD,O
to,TO,O
be,VB,O
unknown,JJ,O
to,IN,O
science,NN,O
.,.,O
apart,RB,O
from,IN,O
these,DT,O
unfathomed,JJ,O
case,NNS,O
",",",",O
there,EX,O
be,VBP,O
some,DT,O
which,WDT,O
involve,VBP,O
the,DT,O
secret,NNS,O
of,IN,O
private,JJ,O
family,NNS,O
to,IN,O
a,DT,O
extent,NN,O
which,WDT,O
would,MD,O
mean,VB,O
consternation,NN,O
in,IN,O
many,JJ,O
exalt,VBN,O
quarter,NNS,O
if,IN,O
it,PRP,O
be,VBD,O
think,VBN,O
possible,JJ,O
that,IN,O
they,PRP,O
might,MD,O
find,VB,O
they,PRP$,O
way,NN,O
into,IN,O
print,NN,O
.,.,O
I,PRP,O
need,VBP,O
not,RB,O
say,VB,O
that,IN,O
such,PDT,O
a,DT,O
breach,NN,O
of,IN,O
confidence,NN,O
be,VBZ,O
unthinkable,JJ,O
",",",",O
and,CC,O
that,IN,O
these,DT,O
record,NNS,O
will,MD,O
be,VB,O
separate,VBN,O
and,CC,O
destroy,VBN,O
now,RB,O
that,IN,O
my,PRP$,O
friend,NN,O
have,VBZ,O
time,NN,O
to,TO,O
turn,VB,O
he,PRP$,O
energy,NNS,O
to,IN,O
the,DT,O
matter,NN,O
.,.,O
there,RB,O
remain,VBP,O
a,DT,O
considerable,JJ,O
residue,NN,O
of,IN,O
case,NNS,O
of,IN,O
greater,JJR,O
or,CC,O
less,JJR,O
interest,NN,O
which,WDT,O
I,PRP,O
might,MD,O
have,VB,O
edit,VBN,O
before,RB,O
have,VBN,O
I,PRP,O
not,RB,O
fear,VBD,O
to,TO,O
give,VB,O
the,DT,O
public,NN,O
a,DT,O
surfeit,NN,O
which,WDT,O
might,MD,O
react,VB,O
upon,IN,O
the,DT,O
reputation,NN,O
of,IN,O
the,DT,O
man,NN,O
whom,WP,O
above,RB,O
all,DT,O
other,NNS,O
I,PRP,O
revere,VBP,O
.,.,O
in,IN,O
some,DT,O
I,PRP,O
be,VBD,O
myself,PRP,O
concerned,JJ,O
and,CC,O
can,MD,O
speak,VB,O
as,IN,O
a,DT,O
eye,NN,O
-,HYPH,O
witness,NN,O
",",",",O
while,IN,O
in,IN,O
other,NNS,O
I,PRP,O
be,VBD,O
either,CC,O
not,RB,O
present,JJ,O
or,CC,O
play,VBN,O
so,RB,O
small,JJ,O
a,DT,O
part,NN,O
that,IN,O
they,PRP,O
could,MD,O
only,RB,O
be,VB,O
tell,VBN,O
as,IN,O
by,IN,O
a,DT,O
third,JJ,O
person,NN,O
.,.,O
the,DT,O
follow,VBG,O
narrative,NN,O
be,VBZ,O
draw,VBN,O
from,IN,O
my,PRP$,O
own,JJ,O
experience,NN,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
wild,JJ,O
morning,NN,O
in,IN,O
October,NNP,DATE
",",",",O
and,CC,O
I,PRP,O
observe,VBD,O
as,IN,O
I,PRP,O
be,VBD,O
dress,VBG,O
how,WRB,O
the,DT,O
last,JJ,O
remain,VBG,O
leaf,NNS,O
be,VBD,O
be,VBG,O
whirl,VBN,O
from,IN,O
the,DT,O
solitary,JJ,O
plane,NN,O
tree,NN,O
which,WDT,O
grace,VBZ,O
the,DT,O
yard,NN,O
behind,IN,O
we,PRP$,O
house,NN,O
.,.,O
I,PRP,O
descend,VBD,O
to,IN,O
breakfast,NN,O
prepare,VBN,O
to,TO,O
find,VB,O
my,PRP$,O
companion,NN,O
in,IN,O
depressed,JJ,O
spirit,NNS,O
",",",",O
for,IN,O
",",",",O
like,UH,O
all,DT,O
great,JJ,O
artist,NNS,O
",",",",O
he,PRP,O
be,VBD,O
easily,RB,O
impress,VBN,O
by,IN,O
he,PRP$,O
surroundings,NNS,O
.,.,O
on,IN,O
the,DT,O
contrary,NN,O
",",",",O
I,PRP,O
find,VBD,O
that,IN,O
he,PRP,O
have,VBD,O
nearly,RB,O
finish,VBN,O
he,PRP$,O
meal,NN,O
",",",",O
and,CC,O
that,IN,O
he,PRP$,O
mood,NN,O
be,VBD,O
particularly,RB,O
bright,JJ,O
and,CC,O
joyous,JJ,O
",",",",O
with,IN,O
that,DT,O
somewhat,RB,O
sinister,JJ,O
cheerfulness,NN,O
which,WDT,O
be,VBD,O
characteristic,JJ,O
of,IN,O
he,PRP$,O
lighter,JJR,O
moment,NNS,O
.,.,O
"""",``,O
you,PRP,O
have,VBP,O
a,DT,O
case,NN,O
",",",",O
Holmes,NNP,PERSON
?,.,O
"""",'',O
I,PRP,O
remark,VBD,O
.,.,O
"""",``,O
the,DT,O
faculty,NN,O
of,IN,O
deduction,NN,O
be,VBZ,O
certainly,RB,O
contagious,JJ,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
he,PRP,O
answer,VBD,O
.,.,O
"""",``,O
it,PRP,O
have,VBZ,O
enable,VBN,O
you,PRP,O
to,TO,O
probe,VB,O
my,PRP$,O
secret,NN,O
.,.,O
yes,UH,O
",",",",O
I,PRP,O
have,VBP,O
a,DT,O
case,NN,O
.,.,O
after,IN,O
a,DT,O
month,NN,O
of,IN,O
triviality,NNS,O
and,CC,O
stagnation,NN,O
the,DT,O
wheel,NNS,O
move,VBP,O
once,RB,O
more,RBR,O
.,.,O
"""",``,O
"""",``,O
might,MD,O
I,PRP,O
share,VB,O
it,PRP,O
?,.,O
"""",``,O
"""",``,O
there,EX,O
be,VBZ,O
little,JJ,O
to,TO,O
share,VB,O
",",",",O
but,CC,O
we,PRP,O
may,MD,O
discuss,VB,O
it,PRP,O
when,WRB,O
you,PRP,O
have,VBP,O
consume,VBN,O
the,DT,O
two,CD,O
hard,JJ,O
-,HYPH,O
boil,VBN,O
egg,NNS,O
with,IN,O
which,WDT,O
we,PRP$,O
new,JJ,O
cook,NN,O
have,VBZ,O
favour,VBN,O
we,PRP,O
.,.,O
they,PRP$,O
condition,NN,O
may,MD,O
not,RB,O
be,VB,O
unconnected,JJ,O
with,IN,O
the,DT,O
copy,NN,O
of,IN,O
the,DT,O
Family,NNP,ORGANIZATION
Herald,NNP,ORGANIZATION
which,WDT,O
I,PRP,O
observe,VBD,O
