occurence,speaker,canonicalSpeaker,text
0,him,Unknown,"Here is a very fashionable epistle,"
1,Unknown,Unknown,"Your morning letters, if I remember right, were from a fish-monger and a tide-waiter."
2,Unknown,he,"Yes, my correspondence has certainly the charm of variety,"
3,Unknown,he,and the humbler are usually the more interesting. This looks like one of those unwelcome social summonses which call upon a man either to be bored or to lie.
4,his,he,"Oh, come, it may prove to be something of interest, after all."
5,his,he,"Not social, then?"
6,his,he,"No, distinctly professional."
7,his,he,And from a noble client?
8,his,he,One of the highest in England.
9,his,he,"My dear fellow, I congratulate you."
10,his,he,"I assure you, Watson, without affectation, that the status of my client is a matter of less moment to me than the interest of his case. It is just possible, however, that that also may not be wanting in this new investigation. You have been reading the papers diligently of late, have you not?"
11,his,he,"It looks like it,"
12,his,he,I have had nothing else to do.
13,his,he,"It is fortunate, for you will perhaps be able to post me up. I read nothing except the criminal news and the agony column. The latter is always instructive. But if you have followed recent events so closely you must have read about Lord St. Simon and his wedding?"
14,his,he,"Oh, yes, with the deepest interest."
15,Holmes,Sherlock Holmes,"That is well. The letter which I hold in my hand is from Lord St. Simon. I will read it to you, and in return you must turn over these papers and let me have whatever bears upon the matter. This is what he says:

""'My dear Mr. Sherlock Holmes: ""'Lord Backwater tells me that I may place implicit reliance upon your judgment and discretion. I have determined, therefore, to call upon you and to consult you in reference to the very painful event which has occurred in connection with my wedding. Mr. Lestrade, of Scotland Yard, is acting already in the matter, but he assures me that he sees no objection to your co-operation, and that he even thinks that it might be of some assistance. I will call at four o'clock in the afternoon, and, should you have any other engagement at that time, I hope that you will postpone it, as this matter is of paramount importance. ""'Yours faithfully, ""'St. Simon.'

""It is dated from Grosvenor Mansions, written with a quill pen, and the noble lord has had the misfortune to get a smear of ink upon the outer side of his right little finger,"
16,Unknown,his,He says four o'clock. It is three now. He will be here in an hour.
17,Unknown,his,"Then I have just time, with your assistance, to get clear upon the subject. Turn over those papers and arrange the extracts in their order of time, while I take a glance as to who our client is."
18,Unknown,his,"Here he is,"
19,his,his,"'Lord Robert Walsingham de Vere St. Simon, second son of the Duke of Balmoral.' Hum! 'Arms: Azure, three caltrops in chief over a fess sable. Born in 1846.' He's forty-one years of age, which is mature for marriage. Was Under-Secretary for the colonies in a late administration. The Duke, his father, was at one time Secretary for Foreign Affairs. They inherit Plantagenet blood by direct descent, and Tudor on the distaff side. Ha! Well, there is nothing very instructive in all this. I think that I must turn to you Watson, for something more solid."
20,his,his,"I have very little difficulty in finding what I want,"
21,his,his,"for the facts are quite recent, and the matter struck me as remarkable. I feared to refer them to you, however, as I knew that you had an inquiry on hand and that you disliked the intrusion of other matters."
22,his,his,"Oh, you mean the little problem of the Grosvenor Square furniture van. That is quite cleared up now--though, indeed, it was obvious from the first. Pray give me the results of your newspaper selections."
23,his,his,"Here is the first notice which I can find. It is in the personal column of the Morning Post, and dates, as you see, some weeks back:

""'A marriage has been arranged [it says] and will, if rumour is correct, very shortly take place, between Lord Robert St. Simon, second son of the Duke of Balmoral, and Miss Hatty Doran, the only daughter of Aloysius Doran. Esq., of San Francisco, Cal., U.S.A.'

That is all."
24,Holmes,Sherlock Holmes,"Terse and to the point,"
25,Holmes,Holmes,"There was a paragraph amplifying this in one of the society papers of the same week. Ah, here it is:

""'There will soon be a call for protection in the marriage market, for the present free-trade principle appears to tell heavily against our home product. One by one the management of the noble houses of Great Britain is passing into the hands of our fair cousins from across the Atlantic. An important addition has been made during the last week to the list of the prizes which have been borne away by these charming invaders. Lord St. Simon, who has shown himself for over twenty years proof against the little god's arrows, has now definitely announced his approaching marriage with Miss Hatty Doran, the fascinating daughter of a California millionaire. Miss Doran, whose graceful figure and striking face attracted much attention at the Westbury House festivities, is an only child, and it is currently reported that her dowry will run to considerably over the six figures, with expectancies for the future. As it is an open secret that the Duke of Balmoral has been compelled to sell his pictures within the last few years, and as Lord St. Simon has no property of his own save the small estate of Birchmoor, it is obvious that the Californian heiress is not the only gainer by an alliance which will enable her to make the easy and common transition from a Republican lady to a British peeress.'"
26,Holmes,Holmes,Anything else?
27,Holmes,Holmes,"Oh, yes; plenty. Then there is another note in the Morning Post to say that the marriage would be an absolutely quiet one, that it would be at St. George's, Hanover Square, that only half a dozen intimate friends would be invited, and that the party would return to the furnished house at Lancaster Gate which has been taken by Mr. Aloysius Doran. Two days later--that is, on Wednesday last--there is a curt announcement that the wedding had taken place, and that the honeymoon would be passed at Lord Backwater's place, near Petersfield. Those are all the notices which appeared before the disappearance of the bride."
28,Holmes,Sherlock Holmes,Before the what?
29,Holmes,Sherlock Holmes,The vanishing of the lady.
30,Holmes,Sherlock Holmes,"When did she vanish, then?"
31,Holmes,Sherlock Holmes,At the wedding breakfast.
32,Holmes,Sherlock Holmes,"Indeed. This is more interesting than it promised to be; quite dramatic, in fact."
33,Holmes,Sherlock Holmes,Yes; it struck me as being a little out of the common.
34,Holmes,Sherlock Holmes,"They often vanish before the ceremony, and occasionally during the honeymoon; but I cannot call to mind anything quite so prompt as this. Pray let me have the details."
35,Holmes,Sherlock Holmes,I warn you that they are very incomplete.
36,Holmes,Sherlock Holmes,Perhaps we may make them less so.
37,Holmes,Sherlock Holmes,"Such as they are, they are set forth in a single article of a morning paper of yesterday, which I will read to you. It is headed, 'Singular Occurrence at a Fashionable Wedding':

""'The family of Lord Robert St. Simon has been thrown into the greatest consternation by the strange and painful episodes which have taken place in connection with his wedding. The ceremony, as shortly announced in the papers of yesterday, occurred on the previous morning; but it is only now that it has been possible to confirm the strange rumours which have been so persistently floating about. In spite of the attempts of the friends to hush the matter up, so much public attention has now been drawn to it that no good purpose can be served by affecting to disregard what is a common subject for conversation. ""'The ceremony, which was performed at St. George's, Hanover Square, was a very quiet one, no one being present save the father of the bride, Mr. Aloysius Doran, the Duchess of Balmoral, Lord Backwater, Lord Eustace and Lady Clara St. Simon (the younger brother and sister of the bridegroom), and Lady Alicia Whittington. The whole party proceeded afterwards to the house of Mr. Aloysius Doran, at Lancaster Gate, where breakfast had been prepared. It appears that some little trouble was caused by a woman, whose name has not been ascertained, who endeavoured to force her way into the house after the bridal party, alleging that she had some claim upon Lord St. Simon. It was only after a painful and prolonged scene that she was ejected by the butler and the footman. The bride, who had fortunately entered the house before this unpleasant interruption, had sat down to breakfast with the rest, when she complained of a sudden indisposition and retired to her room. Her prolonged absence having caused some comment, her father followed her, but learned from her maid that she had only come up to her chamber for an instant, caught up an ulster and bonnet, and hurried down to the passage. One of the footmen declared that he had seen a lady leave the house thus apparelled, but had refused to credit that it was his mistress, believing her to be with the company. On ascertaining that his daughter had disappeared, Mr. Aloysius Doran, in conjunction with the bridegroom, instantly put themselves in communication with the police, and very energetic inquiries are being made, which will probably result in a speedy clearing up of this very singular business. Up to a late hour last night, however, nothing had transpired as to the whereabouts of the missing lady. There are rumours of foul play in the matter, and it is said that the police have caused the arrest of the woman who had caused the original disturbance, in the belief that, from jealousy or some other motive, she may have been concerned in the strange disappearance of the bride.'"
38,Holmes,Sherlock Holmes,And is that all?
39,Holmes,Sherlock Holmes,"Only one little item in another of the morning papers, but it is a suggestive one."
40,Holmes,Sherlock Holmes,And it is--
41,Holmes,Sherlock Holmes,"That Miss Flora Millar, the lady who had caused the disturbance, has actually been arrested. It appears that she was formerly a danseuse at the Allegro, and that she has known the bridegroom for some years. There are no further particulars, and the whole case is in your hands now--so far as it has been set forth in the public press."
42,Holmes,Sherlock Holmes,"And an exceedingly interesting case it appears to be. I would not have missed it for worlds. But there is a ring at the bell, Watson, and as the clock makes it a few minutes after four, I have no doubt that this will prove to be our noble client. Do not dream of going, Watson, for I very much prefer having a witness, if only as a check to my own memory."
43,Holmes,Sherlock Holmes,"Lord Robert St. Simon,"
44,Holmes,Holmes,"Good-day, Lord St. Simon,"
45,Holmes,Holmes,"Pray take the basket-chair. This is my friend and colleague, Dr. Watson. Draw up a little to the fire, and we will talk this matter over."
46,Holmes,Holmes,"A most painful matter to me, as you can most readily imagine, Mr. Holmes. I have been cut to the quick. I understand that you have already managed several delicate cases of this sort, sir, though I presume that they were hardly from the same class of society."
47,Holmes,Holmes,"No, I am descending."
48,Holmes,Holmes,I beg pardon.
49,Holmes,Holmes,My last client of the sort was a king.
50,Holmes,Holmes,"Oh, really! I had no idea. And which king?"
51,Holmes,Sherlock Holmes,The King of Scandinavia.
52,Holmes,Sherlock Holmes,What! Had he lost his wife?
53,Holmes,Sherlock Holmes,"You can understand,"
54,Holmes,Sherlock Holmes,that I extend to the affairs of my other clients the same secrecy which I promise to you in yours.
55,Holmes,Sherlock Holmes,"Of course! Very right! very right! I'm sure I beg pardon. As to my own case, I am ready to give you any information which may assist you in forming an opinion."
56,Holmes,Sherlock Holmes,"Thank you. I have already learned all that is in the public prints, nothing more. I presume that I may take it as correct--this article, for example, as to the disappearance of the bride."
57,Holmes,Sherlock Holmes,"Yes, it is correct, as far as it goes."
58,Holmes,Sherlock Holmes,But it needs a great deal of supplementing before anyone could offer an opinion. I think that I may arrive at my facts most directly by questioning you.
59,Holmes,Sherlock Holmes,Pray do so.
