docTokenBegin,text,ner,nerConfidences
4,Mr. Sherlock Holmes,PERSON,
29,him,PERSON,
35,his,PERSON,
110,Victorian,MISC,{'MISC': 0.99007257844958}
223,Mr. Holmes,PERSON,
274,Holmes,PERSON,{'PERSON': 0.89386835700568}
298,he,PERSON,
313,his,PERSON,
330,him,PERSON,
379,1896,DATE,{'DATE': 0.9652311663641}
387,Holmes,PERSON,{'PERSON': 0.7555709873075}
398,him,PERSON,
425,him,PERSON,
430,Mrs. Merrilow,PERSON,
434,South Brixton,LOCATION,{'LOCATION': 0.98681959060741}
449,Mrs. Merrilow,PERSON,
457,Watson,PERSON,{'PERSON': 0.91809772313226}
468,Mrs. Merrilow,PERSON,
504,Mrs. Merrilow,PERSON,
512,Mrs. Ronder,PERSON,
525,her,PERSON,
538,Mr. Holmes,PERSON,
547,she,PERSON,
598,Watson,PERSON,{'PERSON': 0.99980854835629}
607,Mrs. Ronder,PERSON,
623,her,PERSON,
639,Mrs. Merrilow,PERSON,
656,Mr. Holmes,PERSON,
682,her,PERSON,
692,he,PERSON,
694,his,PERSON,
738,Mrs. Merrilow,PERSON,
717,her,PERSON,
722,her,PERSON,
725,she,PERSON,
732,she,PERSON,
763,her,PERSON,
775,she,PERSON,
779,she,PERSON,
789,she,PERSON,
838,she,PERSON,
884,she,PERSON,
893,her,PERSON,
899,she,PERSON,
904,she,PERSON,
917,she,PERSON,
920,her,PERSON,
962,Mr. Holmes,PERSON,
1008,Mr. Holmes,PERSON,
1005,Her,PERSON,
1011,She,PERSON,
1024,her,PERSON,
1031,she,PERSON,
1042,her,PERSON,
1053,she,PERSON,
1060,night,TIME,{'TIME': 0.70263134103197}
1083,morning,TIME,{'TIME': 0.57132399500164}
1080,her,PERSON,
1086,Mrs. Ronder,PERSON,
1141,she,PERSON,
1158,she,PERSON,
1209,Mr. Holmes,PERSON,
1213,she,PERSON,
1215,she,PERSON,
1229,she,PERSON,
1245,Mrs. Merrilow,PERSON,
1262,Ronder,PERSON,{'PERSON': 0.97866291811843}
1242,him,PERSON,
1250,he,PERSON,
1256,him,PERSON,
1276,Abbas Parva,LOCATION,{'PERSON': 0.97530074027057}
1273,him,PERSON,
1287,Abbas Parva,LOCATION,{'PERSON': 0.984123894672}
1283,she,PERSON,
1294,him,PERSON,
1296,he,PERSON,
1302,he,PERSON,
1316,Holmes,PERSON,{'PERSON': 0.93273492477252}
1322,Mrs. Merrilow,PERSON,
1335,Watson,PERSON,{'PERSON': 0.99858823134214}
1359,Brixton,LOCATION,{'LOCATION': 0.99937377519235}
1378,Mrs. Merrilow,PERSON,
1386,Sherlock Holmes,PERSON,{'PERSON': 0.99763112056646}
1423,he,PERSON,
1427,he,PERSON,
1448,Buddha,PERSON,{'PERSON': 0.83390870019259}
1433,he,PERSON,
1435,he,PERSON,
1459,him,PERSON,
1465,his,PERSON,
1477,Watson,PERSON,{'PERSON': 0.90189763447467}
1515,Abbas Parva,LOCATION,{'ORGANIZATION': 0.48885610759779}
1523,Holmes,PERSON,{'PERSON': 0.97007542830168}
1601,Ronder,PERSON,{'PERSON': 0.7719806146194}
1616,Wombwell,LOCATION,{'LOCATION': 0.50003436488134}
1620,Sanger,PERSON,{'PERSON': 0.92239728574895}
1611,He,PERSON,
1628,his,PERSON,
1638,he,PERSON,
1646,he,PERSON,
1648,his,PERSON,
1671,Abbas Parva,LOCATION,{'ORGANIZATION': 0.9772574747871}
1680,Berkshire,LOCATION,{'LOCATION': 0.6730128189105}
1693,Wimbledon,LOCATION,{'LOCATION': 0.37046019553462}
1735,North African,MISC,{'MISC': 0.99994978439355}
1739,Sahara King,ORGANIZATION,{'ORGANIZATION': 0.50893757093376}
1753,Ronder,PERSON,{'PERSON': 0.83349605856864}
1755,his,PERSON,
1782,Ronder,PERSON,{'PERSON': 0.83880514581075}
1790,his,PERSON,
1840,Ronder,PERSON,{'PERSON': 0.83364638293433}
1842,his,PERSON,
1881,he,PERSON,
1970,Ronder,PERSON,{'PERSON': 0.89877987899505}
1977,his,PERSON,
1987,his,PERSON,
2009,Mrs. Ronder,PERSON,
2012,her,PERSON,
2022,her,PERSON,
2027,her,PERSON,
2039,she,PERSON,
2051,Leonardo,PERSON,{'PERSON': 0.96864206969429}
2058,Griggs,PERSON,{'PERSON': 0.98755140590467}
2143,Coward,PERSON,{'PERSON': 0.9105595946977}
2145,Coward,PERSON,{'PERSON': 0.82486345235717}
2149,she,PERSON,
2166,she,PERSON,
2218,Edmunds,PERSON,{'PERSON': 0.84919412670332}
2222,Berkshire Constabulary,ORGANIZATION,{'ORGANIZATION': 0.97470265506858}
2235,Allahabad,LOCATION,{'LOCATION': 0.71005145606207}
2230,He,PERSON,
2247,he,PERSON,
2289,him,PERSON,
2321,He,PERSON,
2327,he,PERSON,
2342,Ronder,PERSON,{'PERSON': 0.5349565706421}
2330,He,PERSON,
