lemma,pos,ner
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
in,IN,O
a,DT,O
melancholy,JJ,O
and,CC,O
philosophic,JJ,O
mood,NN,O
that,WDT,O
morning,NN,O
.,.,O
he,PRP$,O
alert,NN,O
practical,JJ,O
nature,NN,O
be,VBD,O
subject,JJ,O
to,IN,O
such,JJ,O
reaction,NNS,O
.,.,O
"""",``,O
do,VBD,O
you,PRP,O
see,VB,O
he,PRP,O
?,.,O
"""",'',O
he,PRP,O
ask,VBD,O
.,.,O
"""",``,O
you,PRP,O
mean,VBP,O
the,DT,O
old,JJ,O
fellow,NN,O
who,WP,O
have,VBZ,O
just,RB,O
go,VBN,O
out,RP,O
?,.,O
"""",'',O
"""",``,O
precisely,RB,O
.,.,O
"""",'',O
"""",``,O
yes,UH,O
",",",",O
I,PRP,O
meet,VBD,O
he,PRP,O
at,IN,O
the,DT,O
door,NN,O
.,.,O
"""",'',O
"""",``,O
what,WP,O
do,VBD,O
you,PRP,O
think,VB,O
of,IN,O
he,PRP,O
?,.,O
"""",'',O
"""",``,O
a,DT,O
pathetic,JJ,O
",",",",O
futile,JJ,O
",",",",O
break,VBN,O
creature,NN,O
.,.,O
"""",'',O
"""",``,O
exactly,RB,O
",",",",O
Watson,NNP,PERSON
.,.,O
pathetic,JJ,O
and,CC,O
futile,JJ,O
.,.,O
but,CC,O
be,VBZ,O
not,RB,O
all,DT,O
life,NN,O
pathetic,JJ,O
and,CC,O
futile,JJ,O
?,.,O
be,VBZ,O
not,RB,O
he,PRP$,O
story,NN,O
a,DT,O
microcosm,NN,O
of,IN,O
the,DT,O
whole,JJ,O
?,.,O
we,PRP,O
reach,VBP,O
.,.,O
we,PRP,O
grasp,VBP,O
.,.,O
and,CC,O
what,WP,O
be,VBZ,O
leave,VBN,O
in,IN,O
we,PRP$,O
hand,NNS,O
at,IN,O
the,DT,O
end,NN,O
?,.,O
a,DT,O
shadow,NN,O
.,.,O
or,CC,O
worse,JJR,O
than,IN,O
a,DT,O
shadow,NN,O
--,:,O
misery,NN,O
.,.,O
"""",``,O
"""",``,O
be,VBZ,O
he,PRP,O
one,CD,O
of,IN,O
you,PRP$,O
client,NNS,O
?,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
I,PRP,O
suppose,VBP,O
I,PRP,O
may,MD,O
call,VB,O
he,PRP,O
so,RB,O
.,.,O
he,PRP,O
have,VBZ,O
be,VBN,O
send,VBN,O
on,RP,O
by,IN,O
the,DT,O
Yard,NNP,O
.,.,O
just,RB,O
as,IN,O
medical,JJ,O
man,NNS,O
occasionally,RB,O
send,VBP,O
they,PRP$,O
incurable,NNS,O
to,IN,O
a,DT,O
quack,UH,O
.,.,O
they,PRP,O
argue,VBP,O
that,IN,O
they,PRP,O
can,MD,O
do,VB,O
nothing,NN,O
more,JJR,O
",",",",O
and,CC,O
that,IN,O
whatever,WDT,O
happen,VBZ,O
the,DT,O
patient,NN,O
can,MD,O
be,VB,O
no,RB,O
worse,JJR,O
than,IN,O
he,PRP,O
be,VBZ,O
.,.,O
"""",``,O
"""",``,O
what,WP,O
be,VBZ,O
the,DT,O
matter,NN,O
?,.,O
"""",``,O
Holmes,NNP,PERSON
take,VBD,O
a,DT,O
rather,RB,O
soil,VBN,O
card,NN,O
from,IN,O
the,DT,O
table,NN,O
.,.,O
"""",'',O
Josiah,NNP,PERSON
Amberley,NNP,PERSON
.,.,O
he,PRP,O
say,VBZ,O
he,PRP,O
be,VBD,O
junior,JJ,O
partner,NN,O
of,IN,O
Brickfall,NNP,LOCATION
and,CC,O
Amberley,NNP,LOCATION
",",",",O
who,WP,O
be,VBP,O
manufacturer,NNS,O
of,IN,O
artistic,JJ,O
material,NNS,O
.,.,O
you,PRP,O
will,MD,O
see,VB,O
they,PRP$,O
name,NNS,O
upon,IN,O
paint,NN,O
-,HYPH,O
box,NNS,O
.,.,O
he,PRP,O
make,VBD,O
he,PRP$,O
little,JJ,O
pile,NN,O
",",",",O
retire,VBN,O
from,IN,O
business,NN,O
at,IN,O
the,DT,O
age,NN,O
of,IN,O
sixty,CD,O
-,HYPH,O
one,CD,O
",",",",O
buy,VBD,O
a,DT,O
house,NN,O
at,IN,O
Lewisham,NNP,LOCATION
",",",",O
and,CC,O
settle,VBD,O
down,RP,O
to,IN,O
rest,NN,O
after,IN,O
a,DT,O
life,NN,O
of,IN,O
ceaseless,NNS,O
grind,VBP,O
.,.,O
one,PRP,O
would,MD,O
think,VB,O
he,PRP$,O
future,NN,O
be,VBD,O
tolerably,RB,O
assure,VBN,O
.,.,O
"""",``,O
"""",``,O
yes,UH,O
",",",",O
indeed,RB,O
.,.,O
"""",``,O
Holmes,NNP,PERSON
glance,VBD,O
over,IN,O
some,DT,O
note,NNS,O
which,WDT,O
he,PRP,O
have,VBD,O
scribble,VBN,O
upon,IN,O
the,DT,O
back,NN,O
of,IN,O
a,DT,O
envelope,NN,O
.,.,O
"""",'',O
retire,VBN,O
in,IN,O
1896,CD,DATE
",",",",O
Watson,NNP,PERSON
.,.,O
early,RB,O
in,IN,O
1897,CD,DATE
he,PRP,O
marry,VBD,O
a,DT,O
woman,NN,O
twenty,CD,O
year,NNS,O
younger,JJR,O
than,IN,O
himself,PRP,O
--,:,O
a,DT,O
good,JJ,O
-,HYPH,O
looking,JJ,O
woman,NN,O
",",",",O
too,RB,O
",",",",O
if,IN,O
the,DT,O
photograph,NN,O
do,VBZ,O
not,RB,O
flatter,JJR,O
.,.,O
a,DT,O
competence,NN,O
",",",",O
a,DT,O
wife,NN,O
",",",",O
leisure,NN,O
--,:,O
it,PRP,O
seem,VBD,O
a,DT,O
straight,JJ,O
road,NN,O
which,WDT,O
lay,VBD,O
before,IN,O
he,PRP,O
.,.,O
and,CC,O
yet,RB,O
within,IN,O
two,CD,O
year,NNS,O
he,PRP,O
be,VBZ,O
",",",",O
as,IN,O
you,PRP,O
have,VBP,O
see,VBN,O
",",",",O
as,IN,O
broken,JJ,O
and,CC,O
miserable,JJ,O
a,DT,O
creature,NN,O
as,IN,O
crawl,VBZ,O
beneath,IN,O
the,DT,O
sun,NN,O
.,.,O
"""",``,O
"""",``,O
but,CC,O
what,WP,O
have,VBZ,O
happen,VBN,O
?,.,O
"""",``,O
"""",``,O
the,DT,O
old,JJ,O
story,NN,O
",",",",O
Watson,NNP,PERSON
.,.,O
a,DT,O
treacherous,JJ,O
friend,NN,O
and,CC,O
a,DT,O
fickle,JJ,O
wife,NN,O
.,.,O
it,PRP,O
would,MD,O
appear,VB,O
that,IN,O
Amberley,NNP,LOCATION
have,VBZ,O
one,CD,O
hobby,NN,O
in,IN,O
life,NN,O
",",",",O
and,CC,O
it,PRP,O
be,VBZ,O
chess,NN,O
.,.,O
not,RB,O
far,RB,O
from,IN,O
he,PRP,O
at,IN,O
Lewisham,NNP,LOCATION
there,RB,O
live,VBZ,O
a,DT,O
young,JJ,O
doctor,NN,O
who,WP,O
be,VBZ,O
also,RB,O
a,DT,O
chess,NN,O
-,HYPH,O
player,NN,O
.,.,O
I,PRP,O
have,VBP,O
note,VBN,O
he,PRP$,O
name,NN,O
as,IN,O
Dr.,NNP,O
Ray,NNP,PERSON
Ernest,NNP,PERSON
.,.,O
Ernest,NNP,PERSON
be,VBD,O
frequently,RB,O
in,IN,O
the,DT,O
house,NN,O
",",",",O
and,CC,O
a,DT,O
intimacy,NN,O
between,IN,O
he,PRP,O
and,CC,O
Mrs.,NNP,PERSON
Amberley,NNP,PERSON
be,VBD,O
a,DT,O
natural,JJ,O
sequence,NN,O
",",",",O
for,IN,O
you,PRP,O
must,MD,O
admit,VB,O
that,IN,O
we,PRP$,O
unfortunate,JJ,O
client,NN,O
have,VBZ,O
few,JJ,O
outward,RB,O
grace,VBZ,O
",",",",O
whatever,WDT,O
he,PRP$,O
inner,JJ,O
virtue,NNS,O
may,MD,O
be,VB,O
.,.,O
the,DT,O
couple,NN,O
go,VBD,O
off,RP,O
together,RB,O
last,JJ,O
week,NN,O
--,:,O
destination,NN,O
untraced,JJ,O
.,.,O
what,WP,O
be,VBZ,O
more,JJR,O
",",",",O
the,DT,O
