lemma,pos,ner
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
have,VBD,O
be,VBN,O
bend,VBG,O
for,IN,O
a,DT,O
long,JJ,O
time,NN,O
over,IN,O
a,DT,O
low,JJ,O
-,HYPH,O
power,NN,O
microscope,NN,O
.,.,O
now,RB,O
he,PRP,O
straighten,VBD,O
himself,PRP,O
up,RP,O
and,CC,O
look,VBD,O
round,RB,O
at,IN,O
I,PRP,O
in,IN,O
triumph,NN,O
.,.,O
"""",``,O
it,PRP,O
be,VBZ,O
glue,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
unquestionably,RB,O
it,PRP,O
be,VBZ,O
glue,NN,O
.,.,O
have,VBP,O
a,DT,O
look,NN,O
at,IN,O
these,DT,O
scatter,VBN,O
object,NNS,O
in,IN,O
the,DT,O
field,NN,O
!,.,O
"""",``,O
I,PRP,O
stoop,VBD,O
to,IN,O
the,DT,O
eyepiece,NN,O
and,CC,O
focus,VBN,O
for,IN,O
my,PRP$,O
vision,NN,O
.,.,O
"""",'',O
those,DT,O
hair,NNS,O
be,VBP,O
thread,NNS,O
from,IN,O
a,DT,O
tweed,NN,O
coat,NN,O
.,.,O
the,DT,O
irregular,JJ,O
gray,JJ,O
mass,NNS,O
be,VBP,O
dust,NN,O
.,.,O
there,EX,O
be,VBP,O
epithelial,JJ,O
scale,NNS,O
on,IN,O
the,DT,O
left,NN,O
.,.,O
those,DT,O
brown,JJ,O
blob,NNS,O
in,IN,O
the,DT,O
centre,NN,O
be,VBP,O
undoubtedly,RB,O
glue,NN,O
.,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
"""",``,O
I,PRP,O
say,VBD,O
",",",",O
laugh,VBG,O
",",",",O
"""",``,O
I,PRP,O
be,VBP,O
prepared,JJ,O
to,TO,O
take,VB,O
you,PRP$,O
word,NN,O
for,IN,O
it,PRP,O
.,.,O
do,VBZ,O
anything,NN,O
depend,VB,O
upon,IN,O
it,PRP,O
?,.,O
"""",``,O
"""",``,O
it,PRP,O
be,VBZ,O
a,DT,O
very,RB,O
fine,JJ,O
demonstration,NN,O
",",",",O
"""",'',O
he,PRP,O
answer,VBD,O
.,.,O
"""",'',O
in,IN,O
the,DT,O
St.,NNP,O
Pancras,NNP,PERSON
case,NN,O
you,PRP,O
may,MD,O
remember,VB,O
that,IN,O
a,DT,O
cap,NN,O
be,VBD,O
find,VBN,O
beside,IN,O
the,DT,O
dead,JJ,O
policeman,NN,O
.,.,O
the,DT,O
accuse,VBN,O
man,NN,O
deny,VBZ,O
that,IN,O
it,PRP,O
be,VBZ,O
he,PRP$,O
.,.,O
but,CC,O
he,PRP,O
be,VBZ,O
a,DT,O
picture,NN,O
-,HYPH,O
frame,NN,O
maker,NN,O
who,WP,O
habitually,RB,O
handle,VBZ,O
glue,NN,O
.,.,O
"""",``,O
"""",``,O
be,VBZ,O
it,PRP,O
one,CD,O
of,IN,O
you,PRP$,O
case,NNS,O
?,.,O
"""",``,O
"""",``,O
no,DT,O
;,:,O
my,PRP$,O
friend,NN,O
",",",",O
Merivale,NNP,PERSON
",",",",O
of,IN,O
the,DT,O
Yard,NNP,O
",",",",O
ask,VBD,O
I,PRP,O
to,TO,O
look,VB,O
into,IN,O
the,DT,O
case,NN,O
.,.,O
since,IN,O
I,PRP,O
run,VBD,O
down,RP,O
that,DT,O
coiner,NN,O
by,IN,O
the,DT,O
zinc,NN,O
and,CC,O
copper,NN,O
filings,NNS,O
in,IN,O
the,DT,O
seam,NN,O
of,IN,O
he,PRP$,O
cuff,NN,O
they,PRP,O
have,VBP,O
begin,VBN,O
to,TO,O
realize,VB,O
the,DT,O
importance,NN,O
of,IN,O
the,DT,O
microscope,NN,O
.,.,O
"""",``,O
he,PRP,O
look,VBD,O
impatiently,RB,O
at,IN,O
he,PRP$,O
watch,NN,O
.,.,O
"""",'',O
I,PRP,O
have,VBD,O
a,DT,O
new,JJ,O
client,NN,O
calling,NN,O
",",",",O
but,CC,O
he,PRP,O
be,VBZ,O
overdue,JJ,O
.,.,O
by,IN,O
the,DT,O
way,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
you,PRP,O
know,VBP,O
something,NN,O
of,IN,O
racing,NN,O
?,.,O
"""",``,O
"""",``,O
I,PRP,O
ought,MD,O
to,TO,O
.,.,O
I,PRP,O
pay,VBP,O
for,IN,O
it,PRP,O
with,IN,O
about,RB,O
half,PDT,O
my,PRP$,O
wound,NN,O
pension,NN,O
.,.,O
"""",``,O
"""",``,O
then,RB,O
I,PRP,O
will,MD,O
make,VB,O
you,PRP,O
my,PRP$,O
',``,O
handy,JJ,O
guide,NN,O
to,IN,O
the,DT,O
turf,NN,O
.,.,O
','',O
what,WP,O
about,IN,O
Sir,NNP,O
Robert,NNP,PERSON
Norberton,NNP,PERSON
?,.,O
do,VBZ,O
the,DT,O
name,NN,O
recall,VB,O
anything,NN,O
?,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
I,PRP,O
should,MD,O
say,VB,O
so,RB,O
.,.,O
he,PRP,O
live,VBZ,O
at,IN,O
Shoscombe,NNP,LOCATION
Old,NNP,LOCATION
Place,NNP,LOCATION
",",",",O
and,CC,O
I,PRP,O
know,VBP,O
it,PRP,O
well,RB,O
",",",",O
for,IN,O
my,PRP$,O
summer,NN,DATE
quarter,NNS,O
be,VBD,O
down,RB,O
there,RB,O
once,RB,O
.,.,O
Norberton,NNP,O
nearly,RB,O
come,VBD,O
within,IN,O
you,PRP$,O
province,NN,O
once,RB,O
.,.,O
"""",``,O
"""",``,O
how,WRB,O
be,VBD,O
that,DT,O
?,.,O
"""",``,O
"""",``,O
it,PRP,O
be,VBD,O
when,WRB,O
he,PRP,O
horsewhip,VBD,O
Sam,NNP,PERSON
Brewer,NNP,PERSON
",",",",O
the,DT,O
well,RB,O
-,HYPH,O
know,VBN,O
Curzon,NNP,LOCATION
Street,NNP,LOCATION
money,NN,O
-,HYPH,O
lender,NN,O
",",",",O
on,IN,O
Newmarket,NNP,ORGANIZATION
Heath,NNP,ORGANIZATION
.,.,O
he,PRP,O
nearly,RB,O
kill,VBD,O
the,DT,O
man,NN,O
.,.,O
"""",``,O
"""",``,O
ah,UH,O
",",",",O
he,PRP,O
sound,VBZ,O
interesting,JJ,O
!,.,O
do,VBZ,O
he,PRP,O
often,RB,O
indulge,VBP,O
in,IN,O
that,DT,O
way,NN,O
?,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
he,PRP,O
have,VBZ,O
the,DT,O
name,NN,O
of,IN,O
be,VBG,O
a,DT,O
dangerous,JJ,O
man,NN,O
.,.,O
he,PRP,O
be,VBZ,O
about,IN,O
the,DT,O
most,RBS,O
daredevil,JJ,O
rider,NN,O
in,IN,O
England,NNP,LOCATION
--,:,O
second,RB,O
in,IN,O
the,DT,O
Grand,NNP,MISC
National,NNP,MISC
a,DT,O
few,JJ,O
year,NNS,O
back,RB,O
.,.,O
he,PRP,O
be,VBZ,O
one,CD,O
of,IN,O
those,DT,O
man,NNS,O
who,WP,O
have,VBP,O
overshoot,VBN,O
they,PRP$,O
true,JJ,O
generation,NN,O
.,.,O
he,PRP,O
should,MD,O
have,VB,O
be,VBN,O
a,DT,O
buck,NN,O
in,IN,O
the,DT,O
day,NNS,O
of,IN,O
the,DT,O
Regency,NNP,O
--,:,O
a,DT,O
boxer,NN,O
",",",",O
a,DT,O
athlete,NN,O
",",",",O
a,DT,O
plunger,NN,O
on,IN,O
the,DT,O
turf,NN,O
",",",",O
a,DT,O
lover,NN,O
of,IN,O
fair,JJ,O
lady,NNS,O
",",",",O
and,CC,O
",",",",O
by,IN,O
all,DT,O
account,NN,O
",",",",O
so,RB,O
far,RB,O
down,IN,O
Queer,NNP,O
Street,NNP,O
that,IN,O
he,PRP,O
may,MD,O
never,RB,O
find,VB,O
he,PRP$,O
way,NN,O
back,RB,O
again,RB,O
.,.,O
"""",``,O
"""",``,O
Capital,NNP,O
",",",",O
Watson,NNP,PERSON
!,.,O
a,DT,O
thumb,NN,O
-,HYPH,O
nail,NN,O
sketch,NN,O
