docTokenBegin,text,ner,nerConfidences,title,clean_text,clean_text_others
0,Mrs. Hudson,PERSON,,the_adventure_of_the_dying_detective,Mrs. Hudson,Mrs. Hudson
6,Sherlock Holmes,PERSON,{'PERSON': 0.97454068167474},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
101,London,LOCATION,{'LOCATION': 0.99850934314106},the_adventure_of_the_dying_detective,London,London
128,Holmes,PERSON,{'PERSON': 0.96692649179661},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
253,Watson,PERSON,{'PERSON': 0.99924602753144},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
323,Mr. Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
343,Watson,PERSON,{'PERSON': 0.85852276314003},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
454,Wednesday,DATE,{'DATE': 0.99950865979927},the_adventure_of_the_dying_detective,Wednesday,Wednesday
455,afternoon,TIME,{'TIME': 0.96118974741103},the_adventure_of_the_dying_detective,afternoon,afternoon
553,November,DATE,{'DATE': 0.99662914604371},the_adventure_of_the_dying_detective,November,November
652,Watson,PERSON,{'PERSON': 0.90876102252043},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
724,Watson,PERSON,{'PERSON': 0.97407106274985},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
756,Mrs. Hudson,PERSON,,the_adventure_of_the_dying_detective,Mrs. Hudson,Mrs. Hudson
808,Holmes,PERSON,{'PERSON': 0.97078459215644},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
861,Watson,PERSON,{'PERSON': 0.9622792629607},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
889,Sumatra,LOCATION,{'LOCATION': 0.74556004806635},the_adventure_of_the_dying_detective,Sumatra,Sumatra
895,Dutch,MISC,{'MISC': 0.9999938769419},the_adventure_of_the_dying_detective,Dutch,Dutch
956,Watson,PERSON,{'PERSON': 0.9759005884038},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
978,Holmes,PERSON,{'PERSON': 0.95868813521606},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1071,Holmes,PERSON,{'PERSON': 0.86268032322517},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1115,Holmes,PERSON,{'PERSON': 0.76589674676908},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1220,Watson,PERSON,{'PERSON': 0.73139750522638},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1273,Holmes,PERSON,{'PERSON': 0.95105788308056},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1306,Jasper Meek,PERSON,{'PERSON': 0.99706148794928},the_adventure_of_the_dying_detective,Jasper Meek,other
1309,Penrose Fisher,PERSON,{'PERSON': 0.92674223761608},the_adventure_of_the_dying_detective,Penrose Fisher,other
1319,London,LOCATION,{'LOCATION': 0.99909877437407},the_adventure_of_the_dying_detective,London,London
1372,Watson,PERSON,{'PERSON': 0.96647000068939},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1442,East,LOCATION,{'LOCATION': 0.84127208508621},the_adventure_of_the_dying_detective,East,East
1444,Watson,PERSON,{'PERSON': 0.84643403004766},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1505,Dr. Ainstree,PERSON,,the_adventure_of_the_dying_detective,Dr. Ainstree,Dr. Ainstree
1519,London,LOCATION,{'LOCATION': 0.99873935939519},the_adventure_of_the_dying_detective,London,London
1526,Holmes,PERSON,{'PERSON': 0.89229508960535},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1614,Watson,PERSON,{'PERSON': 0.96967363630408},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1696,Watson,PERSON,{'PERSON': 0.92438324922781},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1718,Holmes,PERSON,{'PERSON': 0.94865601948706},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
1726,Watson,PERSON,{'PERSON': 0.98120504928707},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1758,Watson,PERSON,{'PERSON': 0.90579562331536},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1781,Watson,PERSON,{'PERSON': 0.85373922441527},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1836,Watson,PERSON,{'PERSON': 0.96073509633564},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1868,Watson,PERSON,{'PERSON': 0.82652543143942},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
1903,spring,DATE,{'DATE': 0.74258032293443},the_adventure_of_the_dying_detective,spring,spring
2114,Watson,PERSON,{'PERSON': 0.95445890011259},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2156,Watson,PERSON,{'PERSON': 0.97356486994759},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2303,Watson,PERSON,{'PERSON': 0.9773933304622},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2361,Watson,PERSON,{'PERSON': 0.98088878671589},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2432,Watson,PERSON,{'PERSON': 0.93160753146429},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2460,Watson,PERSON,{'PERSON': 0.96769112634155},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2511,Watson,PERSON,{'PERSON': 0.97390123945924},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2546,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
2552,Lower Burke Street,ORGANIZATION,{'ORGANIZATION': 0.31308161158089},the_adventure_of_the_dying_detective,Lower Burke Street,Lower Burke Street
2574,Holmes,PERSON,{'PERSON': 0.99757524658275},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
2623,Watson,PERSON,{'PERSON': 0.94632997656706},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2653,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
2663,Sumatra,LOCATION,{'LOCATION': 0.97984339790928},the_adventure_of_the_dying_detective,Sumatra,Sumatra
2667,London,LOCATION,{'LOCATION': 0.98860625406127},the_adventure_of_the_dying_detective,London,London
2777,Holmes,PERSON,{'PERSON': 0.98758648990146},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
2968,Watson,PERSON,{'PERSON': 0.99540174928793},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
2975,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
2998,Watson,PERSON,{'PERSON': 0.97451984201546},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3011,Watson,PERSON,{'PERSON': 0.9835332159948},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3044,Watson,PERSON,{'PERSON': 0.92638600832669},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3129,Watson,PERSON,{'PERSON': 0.94003659182188},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3161,Watson,PERSON,{'PERSON': 0.94234706056569},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3238,Mrs. Hudson,PERSON,,the_adventure_of_the_dying_detective,Mrs. Hudson,Mrs. Hudson
3261,Holmes,PERSON,{'PERSON': 0.97140761097674},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
3294,Mr. Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
3310,Morton,PERSON,{'PERSON': 0.98967445243875},the_adventure_of_the_dying_detective,Morton,Morton
3313,Scotland Yard,LOCATION,{'LOCATION': 0.61353621474845},the_adventure_of_the_dying_detective,Scotland Yard,Scotland Yard
3404,Notting,LOCATION,{'LOCATION': 0.9380986554645},the_adventure_of_the_dying_detective,Notting,Notting
3405,Hill,PERSON,{'LOCATION': 0.93827038094422},the_adventure_of_the_dying_detective,Hill,Hill
3407,Kensington,LOCATION,{'LOCATION': 0.79491869670122},the_adventure_of_the_dying_detective,Kensington,Kensington
3471,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
3478,Watson,PERSON,{'PERSON': 0.99953797804678},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
3503,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
3537,Staples,LOCATION,{'LOCATION': 0.40407685005241},the_adventure_of_the_dying_detective,Staples,Staples
3579,Staples,LOCATION,{'LOCATION': 0.46901191918061},the_adventure_of_the_dying_detective,Staples,Staples
3635,morning,TIME,{'TIME': 0.62796348278229},the_adventure_of_the_dying_detective,morning,morning
3654,Holmes,PERSON,{'PERSON': 0.82304166600243},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
3893,Mr. Sherlock Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
3938,Holmes,PERSON,{'PERSON': 0.93900324451618},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
3955,Holmes,PERSON,{'PERSON': 0.99447483932601},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4072,Mr. Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4172,Mr. Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4195,London,LOCATION,{'LOCATION': 0.99520634804537},the_adventure_of_the_dying_detective,London,London
4228,Mr. Homes,PERSON,,the_adventure_of_the_dying_detective,Mr. Homes,other
4247,Eastern,MISC,{'MISC': 0.98967427179974},the_adventure_of_the_dying_detective,Eastern,Eastern
