docTokenBegin,text,ner,nerConfidences
10,August,DATE,{'DATE': 0.99079057524591}
15,August,DATE,{'DATE': 0.95889299514137}
105,Germans,MISC,{'MISC': 0.99994155534538}
149,Von Bork,PERSON,{'PERSON': 0.95267601055544}
208,Von Bork,PERSON,{'PERSON': 0.93812669534453}
225,Kaiser,PERSON,{'PERSON': 0.59191085423693}
238,English,MISC,{'MISC': 0.99999628395241}
229,his,PERSON,
235,him,PERSON,
250,he,PERSON,
289,Baron Von Herling,PERSON,{'PERSON': 0.99817216046543}
323,London,LOCATION,{'LOCATION': 0.99527653378363}
285,his,PERSON,
343,Berlin,LOCATION,{'LOCATION': 0.99983825802097}
362,Von Bork,PERSON,{'PERSON': 0.99815462726298}
397,He,PERSON,
424,his,PERSON,
428,his,PERSON,
432,Von Bork,PERSON,{'PERSON': 0.9273498623317}
446,he,PERSON,
570,Von Bork,PERSON,{'PERSON': 0.98833131295755}
582,British,MISC,{'MISC': 0.96568156444519}
638,week-end,DATE,{'DATE': 0.61694023047279}
658,Von Bork,PERSON,{'PERSON': 0.97518412691319}
670,he,PERSON,
687,Berlin,LOCATION,{'LOCATION': 0.99906056424675}
704,he,PERSON,
711,he,PERSON,
750,British,MISC,{'MISC': 0.9999411106116}
856,Olympia,LOCATION,{'LOCATION': 0.75899568862974}
900,German,MISC,{'MISC': 0.99999780465398}
944,England,LOCATION,{'LOCATION': 0.99982714605512}
958,Europe,LOCATION,{'LOCATION': 0.99900668800792}
964,Von Bork,PERSON,{'PERSON': 0.95900184587339}
975,Baron,PERSON,{'PERSON': 0.87490001519029}
1024,Von Bork,PERSON,{'PERSON': 0.96065166451123}
1036,he,PERSON,
1045,He,PERSON,
1056,him,PERSON,
1079,he,PERSON,
1081,his,PERSON,
1086,his,PERSON,
1099,he,PERSON,
1111,Flushing,LOCATION,{'LOCATION': 0.76305181450066}
1177,England,LOCATION,{'LOCATION': 0.9976667892001}
1180,France,LOCATION,{'LOCATION': 0.99821760971094}
1182,her,PERSON,
1200,Belgium,LOCATION,{'LOCATION': 0.94066905823918}
1207,Belgium,LOCATION,{'LOCATION': 0.99645608804794}
1212,Von Bork,PERSON,{'PERSON': 0.99476753205358}
1215,his,PERSON,
1235,She,PERSON,
1246,She,PERSON,
1259,her,PERSON,
1284,England,LOCATION,{'LOCATION': 0.99289526994186}
1326,Times,ORGANIZATION,{'ORGANIZATION': 0.78251311728832}
1411,England,LOCATION,{'LOCATION': 0.99130860668616}
1428,Irish,MISC,{'MISC': 0.99995976086603}
