lemma,pos,ner
"""",``,O
but,CC,O
why,WRB,O
turkish,JJ,MISC
?,.,O
"""",'',O
ask,VBD,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
gaze,VBG,O
fixedly,RB,O
at,IN,O
my,PRP$,O
boot,NNS,O
.,.,O
I,PRP,O
be,VBD,O
recline,VBG,O
in,IN,O
a,DT,O
cane,NN,O
-,HYPH,O
back,VBN,O
chair,NN,O
at,IN,O
the,DT,O
moment,NN,O
",",",",O
and,CC,O
my,PRP$,O
protruded,JJ,O
foot,NNS,O
have,VBD,O
attract,VBN,O
he,PRP$,O
ever,RB,O
-,HYPH,O
active,JJ,O
attention,NN,O
.,.,O
"""",``,O
English,NNP,MISC
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
in,IN,O
some,DT,O
surprise,NN,O
.,.,O
"""",``,O
I,PRP,O
get,VBD,O
they,PRP,O
at,IN,O
Latimer,NNP,PERSON
's,POS,O
",",",",O
in,IN,O
Oxford,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
"""",'',O
Holmes,NNP,PERSON
smile,VBD,O
with,IN,O
a,DT,O
expression,NN,O
of,IN,O
weary,JJ,O
patience,NN,O
.,.,O
"""",``,O
the,DT,O
bath,NN,O
!,.,O
"""",'',O
he,PRP,O
say,VBD,O
;,:,O
"""",``,O
the,DT,O
bath,NN,O
!,.,O
why,WRB,O
the,DT,O
relaxing,JJ,O
and,CC,O
expensive,JJ,O
turkish,JJ,MISC
rather,RB,O
than,IN,O
the,DT,O
invigorate,VBG,O
home,NN,O
-,HYPH,O
make,VBN,O
article,NN,O
?,.,O
"""",``,O
"""",``,O
because,IN,O
for,IN,O
the,DT,O
last,JJ,O
few,JJ,O
day,NNS,O
I,PRP,O
have,VBP,O
be,VBN,O
feel,VBG,O
rheumatic,JJ,O
and,CC,O
old,JJ,O
.,.,O
a,DT,O
turkish,JJ,MISC
bath,NN,O
be,VBZ,O
what,WP,O
we,PRP,O
call,VBP,O
a,DT,O
alterative,NN,O
in,IN,O
medicine,NN,O
--,:,O
a,DT,O
fresh,JJ,O
starting,NN,O
-,HYPH,O
point,NN,O
",",",",O
a,DT,O
cleanser,NN,O
of,IN,O
the,DT,O
system,NN,O
.,.,O
"""",``,O
by,IN,O
the,DT,O
way,NN,O
",",",",O
Holmes,NNP,PERSON
",",",",O
"""",``,O
I,PRP,O
add,VBD,O
",",",",O
"""",``,O
I,PRP,O
have,VBP,O
no,DT,O
doubt,NN,O
the,DT,O
connection,NN,O
between,IN,O
my,PRP$,O
boot,NNS,O
and,CC,O
a,DT,O
turkish,JJ,MISC
bath,NN,O
be,VBZ,O
a,DT,O
perfectly,RB,O
self,NN,O
-,HYPH,O
evident,JJ,O
one,CD,O
to,IN,O
a,DT,O
logical,JJ,O
mind,NN,O
",",",",O
and,CC,O
yet,RB,O
I,PRP,O
should,MD,O
be,VB,O
oblige,VBN,O
to,IN,O
you,PRP,O
if,IN,O
you,PRP,O
would,MD,O
indicate,VB,O
it,PRP,O
.,.,O
"""",'',O
"""",``,O
the,DT,O
train,NN,O
of,IN,O
reasoning,NN,O
be,VBZ,O
not,RB,O
very,RB,O
obscure,JJ,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
with,IN,O
a,DT,O
mischievous,JJ,O
twinkle,NN,O
.,.,O
"""",``,O
it,PRP,O
belong,VBZ,O
to,IN,O
the,DT,O
same,JJ,O
elementary,JJ,O
class,NN,O
of,IN,O
deduction,NN,O
which,WDT,O
I,PRP,O
should,MD,O
illustrate,VB,O
if,IN,O
I,PRP,O
be,VBD,O
to,TO,O
ask,VB,O
you,PRP,O
who,WP,O
share,VBD,O
you,PRP$,O
cab,NN,O
in,IN,O
you,PRP$,O
drive,NN,O
this,DT,O
morning,NN,O
.,.,O
"""",'',O
"""",``,O
I,PRP,O
do,VBP,O
not,RB,O
admit,VB,O
that,IN,O
a,DT,O
fresh,JJ,O
illustration,NN,O
be,VBZ,O
a,DT,O
explanation,NN,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
with,IN,O
some,DT,O
asperity,NN,O
.,.,O
"""",``,O
Bravo,NNP,O
",",",",O
Watson,NNP,PERSON
!,.,O
a,DT,O
very,RB,O
dignified,JJ,O
and,CC,O
logical,JJ,O
remonstrance,NN,O
.,.,O
let,VB,O
I,PRP,O
see,VB,O
",",",",O
what,WP,O
be,VBD,O
the,DT,O
point,NNS,O
?,.,O
take,VB,O
the,DT,O
last,JJ,O
one,NN,O
first,RB,O
--,:,O
the,DT,O
cab,NN,O
.,.,O
you,PRP,O
observe,VBP,O
that,IN,O
you,PRP,O
have,VBP,O
some,DT,O
splash,NNS,O
on,IN,O
the,DT,O
left,JJ,O
sleeve,NN,O
and,CC,O
shoulder,NN,O
of,IN,O
you,PRP$,O
coat,NN,O
.,.,O
have,VBD,O
you,PRP,O
sit,VBD,O
in,IN,O
the,DT,O
centre,NN,O
of,IN,O
a,DT,O
hansom,NN,O
you,PRP,O
would,MD,O
probably,RB,O
have,VB,O
have,VBN,O
no,DT,O
splash,NNS,O
",",",",O
and,CC,O
if,IN,O
you,PRP,O
have,VBD,O
they,PRP,O
would,MD,O
certainly,RB,O
have,VB,O
be,VBN,O
symmetrical,JJ,O
.,.,O
therefore,RB,O
it,PRP,O
be,VBZ,O
clear,JJ,O
that,IN,O
you,PRP,O
sit,VBD,O
at,IN,O
the,DT,O
side,NN,O
.,.,O
therefore,RB,O
it,PRP,O
be,VBZ,O
equally,RB,O
clear,JJ,O
that,IN,O
you,PRP,O
have,VBD,O
a,DT,O
companion,NN,O
.,.,O
"""",``,O
"""",``,O
that,DT,O
be,VBZ,O
very,RB,O
evident,JJ,O
.,.,O
"""",``,O
"""",``,O
absurdly,RB,O
commonplace,JJ,O
",",",",O
be,VBZ,O
it,PRP,O
not,RB,O
?,.,O
"""",``,O
"""",``,O
but,CC,O
the,DT,O
boot,NNS,O
and,CC,O
the,DT,O
bath,NN,O
?,.,O
"""",``,O
"""",``,O
equally,RB,O
childish,JJ,O
.,.,O
you,PRP,O
be,VBP,O
in,IN,O
the,DT,O
habit,NN,O
of,IN,O
do,VBG,O
up,RP,O
you,PRP$,O
boot,NNS,O
in,IN,O
a,DT,O
certain,JJ,O
way,NN,O
.,.,O
I,PRP,O
see,VBP,O
they,PRP,O
on,IN,O
this,DT,O
occasion,NN,O
fasten,VBD,O
with,IN,O
a,DT,O
elaborate,JJ,O
double,JJ,O
bow,NN,O
",",",",O
which,WDT,O
be,VBZ,O
not,RB,O
you,PRP$,O
usual,JJ,O
method,NN,O
of,IN,O
tie,VBG,O
they,PRP,O
.,.,O
you,PRP,O
have,VBP,O
",",",",O
therefore,RB,O
",",",",O
have,VBD,O
they,PRP,O
off,RP,O
.,.,O
who,WP,O
have,VBZ,O
tie,VBN,O
they,PRP,O
?,.,O
a,DT,O
bootmaker,NN,O
--,:,O
or,CC,O
the,DT,O
boy,NN,O
at,IN,O
the,DT,O
bath,NN,O
.,.,O
it,PRP,O
be,VBZ,O
unlikely,JJ,O
that,IN,O
it,PRP,O
be,VBZ,O
the,DT,O
bootmaker,NN,O
",",",",O
since,IN,O
you,PRP$,O
boot,NNS,O
be,VBP,O
nearly,RB,O
new,JJ,O
.,.,O
well,UH,O
",",",",O
what,WP,O
remain,VBZ,O
?,.,O
the,DT,O
bath,NN,O
.,.,O
absurd,JJ,O
",",",",O
be,VBZ,O
it,PRP,O
not,RB,O
?,.,O
but,CC,O
",",",",O
for,IN,O
all,PDT,O
that,DT,O
",",",",O
the,DT,O
turkish,JJ,MISC
bath,NN,O
have,VBZ,O
serve,VBN,O
a,DT,O
purpose,NN,O
.,.,O
"""",``,O
"""",``,O
what,WP,O
be,VBZ,O
that,DT,O
?,.,O
"""",``,O
"""",``,O
you,PRP,O
say,VBP,O
that,IN,O
you,PRP,O
have,VBP,O
have,VBN,O
it,PRP,O
because,IN,O
you,PRP,O
need,VBP,O
a,DT,O
change,NN,O
.,.,O
let,VB,O
I,PRP,O
suggest,VB,O
that,IN,O
you,PRP,O
take,VBP,O
one,CD,O
.,.,O
how,WRB,O
would,MD,O
Lausanne,NNP,LOCATION
do,VB,O
",",",",O
my,PRP$,O
dear,JJ,O
Watson,NNP,PERSON
--,:,O
first,RB,O
-,HYPH,O
class,NN,O
ticket,NNS,O
and,CC,O
all,DT,O
expense,NNS,O
pay,VBN,O
on,IN,O
a,DT,O
princely,JJ,O
scale,NN,O
?,.,O
"""",``,O
"""",``,O
splendid,JJ,O
!,.,O
but,CC,O
why,WRB,O
?,.,O
"""",``,O
Holmes,NNP,PERSON
lean,VBD,O
back,RB,O
in,IN,O
he,PRP$,O
armchair,NN,O
and,CC,O
take,VBD,O
he,PRP$,O
notebook,NN,O
from,IN,O
he,PRP$,O
pocket,NN,O
.,.,O
"""",'',O
one,CD,O
of,IN,O
the,DT,O
most,RBS,O
dangerous,JJ,O
class,NNS,O
in,IN,O
the,DT,O
world,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
"""",``,O
be,VBZ,O
the,DT,O
drift,VBG,O
and,CC,O
friendless,JJ,O
woman,NN,O
.,.,O
she,PRP,O
be,VBZ,O
the,DT,O
most,RBS,O
harmless,JJ,O
and,CC,O
often,RB,O
the,DT,O
most,RBS,O
useful,JJ,O
of,IN,O
mortal,NNS,O
",",",",O
but,CC,O
she,PRP,O
be,VBZ,O
the,DT,O
inevitable,JJ,O
inciter,NN,O
of,IN,O
crime,NN,O
in,IN,O
other,NNS,O
.,.,O
she,PRP,O
be,VBZ,O
helpless,JJ,O
.,.,O
she,PRP,O
be,VBZ,O
migratory,JJ,O
.,.,O
she,PRP,O
have,VBZ,O
sufficient,JJ,O
means,NNS,O
to,TO,O
take,VB,O
she,PRP,O
from,IN,O
country,NN,O
to,IN,O
country,NN,O
and,CC,O
from,IN,O
hotel,NN,O
to,IN,O
hotel,NN,O
.,.,O
she,PRP,O
be,VBZ,O
lose,VBN,O
",",",",O
as,RB,O
often,RB,O
as,IN,O
not,RB,O
",",",",O
in,IN,O
a,DT,O
maze,NN,O
of,IN,O
obscure,JJ,O
pension,NNS,O
and,CC,O
boardinghouse,NNS,O
.,.,O
she,PRP,O
be,VBZ,O
a,DT,O
stray,JJ,O
chicken,NN,O
in,IN,O
a,DT,O
world,NN,O
of,IN,O
fox,NNS,O
.,.,O
when,WRB,O
she,PRP,O
be,VBZ,O
gobble,VBN,O
up,RP,O
she,PRP,O
be,VBZ,O
hardly,RB,O
miss,VBN,O
.,.,O
I,PRP,O
much,RB,O
fear,VBP,O
that,IN,O
some,DT,O
evil,NN,O
have,VBZ,O
come,VBN,O
to,IN,O
the,DT,O
Lady,NNP,O
Frances,NNP,PERSON
Carfax,NNP,PERSON
.,.,O
"""",``,O
I,PRP,O
be,VBD,O
relieve,VBN,O
at,IN,O
this,RB,O
sudden,JJ,O
descent,NN,O
from,IN,O
the,DT,O
general,JJ,O
to,IN,O
the,DT,O
particular,JJ,O
.,.,O
Holmes,NNP,PERSON
consult,VBD,O
he,PRP$,O
note,NNS,O
.,.,O
"""",``,O
Lady,NNP,PERSON
Frances,NNP,PERSON
",",",",O
"""",'',O
he,PRP,O
continue,VBD,O
",",",",O
"""",``,O
be,VBZ,O
the,DT,O
sole,JJ,O
survivor,NN,O
of,IN,O
the,DT,O
direct,JJ,O
family,NN,O
of,IN,O
the,DT,O
late,JJ,O
Earl,NNP,PERSON
of,IN,PERSON
Rufton,NNP,PERSON
.,.,O
the,DT,O
estate,NNS,O
go,VBD,O
",",",",O
as,IN,O
you,PRP,O
may,MD,O
remember,VB,O
",",",",O
in,IN,O
the,DT,O
male,JJ,O
line,NN,O
.,.,O
she,PRP,O
be,VBD,O
leave,VBN,O
with,IN,O
limited,JJ,O
means,NNS,O
",",",",O
but,CC,O
with,IN,O
some,DT,O
very,RB,O
remarkable,JJ,O
old,JJ,O
spanish,JJ,MISC
jewellery,NN,O
of,IN,O
silver,NN,O
and,CC,O
curiously,RB,O
cut,VBD,O
diamond,NNS,O
to,TO,O
which,WDT,O
she,PRP,O
be,VBD,O
fondly,RB,O
attach,VBN,O
--,:,O
too,RB,O
attach,VBN,O
",",",",O
for,IN,O
she,PRP,O
refuse,VBD,O
to,TO,O
leave,VB,O
they,PRP,O
with,IN,O
she,PRP$,O
banker,NN,O
and,CC,O
always,RB,O
carry,VBD,O
they,PRP,O
about,RB,O
with,IN,O
she,PRP,O
.,.,O
a,DT,O
rather,RB,O
pathetic,JJ,O
figure,NN,O
",",",",O
the,DT,O
Lady,NNP,PERSON
Frances,NNP,PERSON
",",",",O
a,DT,O
beautiful,JJ,O
woman,NN,O
",",",",O
still,RB,O
in,IN,O
fresh,JJ,O
middle,JJ,O
age,NN,O
",",",",O
and,CC,O
yet,RB,O
",",",",O
by,IN,O
a,DT,O
strange,JJ,O
change,NN,O
",",",",O
the,DT,O
last,JJ,O
derelict,NN,O
of,IN,O
what,WP,O
only,RB,O
twenty,CD,DATE
year,NNS,DATE
ago,IN,DATE
be,VBD,O
a,DT,O
goodly,JJ,O
fleet,NN,O
.,.,O
"""",``,O
"""",``,O
what,WP,O
have,VBZ,O
happen,VBN,O
to,IN,O
she,PRP,O
",",",",O
then,RB,O
?,.,O
"""",``,O
"""",``,O
ah,UH,O
",",",",O
what,WP,O
have,VBZ,O
happen,VBN,O
to,IN,O
the,DT,O
Lady,NNP,O
Frances,NNP,PERSON
?,.,O
be,VBZ,O
she,PRP,O
alive,JJ,O
or,CC,O
dead,JJ,O
?,.,O
there,EX,O
be,VBZ,O
we,PRP$,O
problem,NN,O
.,.,O
she,PRP,O
be,VBZ,O
a,DT,O
lady,NN,O
of,IN,O
precise,JJ,O
habit,NNS,O
",",",",O
and,CC,O
for,IN,O
four,CD,O
year,NNS,O
it,PRP,O
have,VBZ,O
be,VBN,O
she,PRP$,O
invariable,JJ,O
