count,dirty_character,strongly_suggested,similarity,clean_character,weakly_suggested,similarities
1940,Holmes,Mycroft Holmes / Sherlock Holmes,"[1.6201736729460423, 1.597614304667197]",,"Mr. Holmes / Sherlock Holmes / Mr. Sherlock Holmes / Masser Holmes / Mycroft Holmes / U. S. A.""

Holmes / Mr. Busybody Holmes / Mr. Mycroft Holmes / Mr. Holmes [ / Master Holmes","[1.7453559924999298, 1.597614304667197, 1.52704627669473, 1.6454972243679027, 1.6201736729460423, 1.52704627669473, 1.52704627669473, 1.5423261445466405, 1.674199862463242, 1.6454972243679027]"
1015,Watson,John H. Watson / Mrs. Watson,"[1.6201736729460423, 1.7071067811865475]",,Mrs. Watson / Dr. Watson / John H. Watson,"[1.7071067811865475, 1.7453559924999298, 1.6201736729460423]"
678,Mr. Holmes,,,,Holmes / Mr. Sherlock Holmes / Mr. Busybody Holmes / Mr. Mycroft Holmes / Mr. Holmes [ / Mr. Homes,"[1.7453559924999298, 1.7071067811865475, 1.7071067811865475, 1.727606875108999, 1.9045340337332908, 1.6999579113843055]"
270,Sherlock Holmes,Sherlock Holmes,[2.0],,Holmes / Mr. Sherlock Holmes / Sherlock / Mister Sherlock Holmes,"[1.597614304667197, 1.8819171036881968, 1.7071067811865475, 1.8164965809277258]"
225,Lestrade,Lestrade,[2.0],,Mr. Lestrade / G. Lestrade / Messrs. Lestrade,"[1.7977240352174655, 1.8366600265340756, 1.6831300510639733]"
134,Henry,,,,Mr. Henry Baker / Henry Wood / Henry Baker / Mrs. Henry Baker / Henry Bakers / Henry Peters / Henry Staunton / Mr. Henry Wood,"[1.5345224838248488, 1.6666666666666665, 1.632455532033676, 1.5163977794943222, 1.6030226891555273, 1.6030226891555273, 1.5547001962252291, 1.5547001962252291]"
98,Mr. Sherlock Holmes,Sherlock Holmes,[1.8819171036881968],,Holmes / Mr. Holmes / Sherlock Holmes / Sherlock / Mr. Sherlock / Mister Sherlock Holmes,"[1.52704627669473, 1.7071067811865475, 1.8819171036881968, 1.6236095644623236, 1.7817359599705718, 1.6048500831437928]"
88,Mortimer,,,,Mortimer Tregennis / Mr. Mortimer Tregennis / James Mortimer / Dr. Mortimer / Mortimer Maberley,"[1.6416889479197478, 1.5773502691896257, 1.7337993857053429, 1.7977240352174655, 1.6614378277661475]"
84,Charles,,,,Charles Baskerville / Charles the Second / Charles the First / Charles Appledore / Charles Chandos / Charles Gorot / Charles Hardy / Charles Milverton / Mr. Charles McCarthy,"[1.5773502691896257, 1.5940885257860047, 1.6123724356957947, 1.6123724356957947, 1.6546536707079773, 1.7071067811865475, 1.7071067811865475, 1.6123724356957947, 1.5619514869490163]"
71,McGinty,,,,Boss McGinty / Jack McGinty / Mr. McGinty / Bodymaster McGinty / John McGinty,"[1.7385489458759964, 1.7385489458759964, 1.7745966692414834, 1.5940885257860047, 1.7385489458759964]"
67,Stapleton,,,,Miss Stapleton / Mrs. Stapleton / Mr. Stapleton / Stapletons,"[1.7844645405527362, 1.7844645405527362, 1.8164965809277263, 1.9428090415820636]"
61,Barrymore,,,,Mr. Barrymore / Mrs. Barrymore,"[1.8164965809277263, 1.7844645405527362]"
60,Gregson,Tobias Gregson,[1.6793662204867574],,Mr. Gregson / Tobias Gregson,"[1.7745966692414834, 1.6793662204867574]"
54,Jack,,,,Jacky / Jack McMurdo / Jackson / Jack McGinty / Jack Woodley / Jack James / Jack Douglas / Jack Knox,"[1.8660254037844388, 1.5222329678670934, 1.7071067811865475, 1.5222329678670934, 1.5222329678670934, 1.5773502691896257, 1.5222329678670934, 1.6123724356957947]"
50,Moriarty,James Moriarty,[1.7337993857053429],,Mr. Moriarty / James Moriarty,"[1.7977240352174655, 1.7337993857053429]"
50,Barker,,,,Mr. Barker / Cecil Barker / Mr. Cecil Barker / Parker / Harker / Cecil James Barker,"[1.7453559924999298, 1.674199862463242, 1.5773502691896257, 1.6, 1.6, 1.5423261445466405]"
48,James,James Calhoun / James Moriarty / James Windibank,"[1.5773502691896257, 1.5547001962252291, 1.5345224838248488]",,Mount-James / Mr. James Wilder / James Mortimer / James Walter / James Barclay / James Wilder / James Stanger / James Ryder / James Moriarty / James McCarthy / James Damery / James Windibank / Jack James / St. James / James Browner / James Calhoun / James Desmond / James H. Scott / James Lancaster / James Murdoch / James Saunders / James Smith / James Winter / James Armitage / Billy James,"[1.632455532033676, 1.5163977794943222, 1.5547001962252291, 1.6030226891555273, 1.5773502691896257, 1.6030226891555273, 1.5773502691896257, 1.632455532033676, 1.5547001962252291, 1.5547001962252291, 1.6030226891555273, 1.5345224838248488, 1.6666666666666665, 1.7071067811865475, 1.5773502691896257, 1.5773502691896257, 1.5773502691896257, 1.5547001962252291, 1.5345224838248488, 1.5773502691896257, 1.5547001962252291, 1.632455532033676, 1.6030226891555273, 1.5547001962252291, 1.632455532033676]"
47,McMurdo,,,,Mr. McMurdo / Jack McMurdo / Brother McMurdo / John McMurdo / Jack McMurdo--see / Friend McMurdo / Mr. Crooked McMurdo / McMurdo the Scowrer,"[1.7745966692414834, 1.7385489458759964, 1.6546536707079773, 1.7385489458759964, 1.6123724356957947, 1.6793662204867574, 1.5773502691896257, 1.5773502691896257]"
46,Hopkins,Ezekiah Hopkins / Stanley Hopkins,"[1.6546536707079773, 1.6546536707079773]",,Stanley Hopkins / Ezekiah Hopkins / Mr. Hopkins,"[1.6546536707079773, 1.6546536707079773, 1.7745966692414834]"
44,Mycroft,Mycroft Holmes,[1.6793662204867574],,Mycroft Holmes / Pycroft / Mr. Mycroft Holmes,"[1.6793662204867574, 1.6666666666666667, 1.5940885257860047]"
42,Robert,Robert E. Lee,[1.6454972243679027],,Mr. Robert Ferguson / Robert St. Simon / Robert Norberton / Robert Ferguson / Robert Street / Roberts,"[1.52704627669473, 1.5773502691896257, 1.5773502691896257, 1.597614304667197, 1.6454972243679027, 1.912870929175277]"
40,Godfrey,Godfrey Norton,[1.6793662204867574],,Godfrey Staunton / Godfrey Emsworth / Mr. Godfrey Staunton / Godfrey Norton / Master Godfrey / Mr. Godfrey / Mr. Godfrey Norton / God / Godfrey Milner,"[1.632455532033676, 1.632455532033676, 1.5619514869490163, 1.6793662204867574, 1.6793662204867574, 1.7745966692414834, 1.5940885257860047, 1.5773502691896257, 1.6793662204867574]"
37,MacDonald,Alec MacDonald,[1.7844645405527362],,Alec MacDonald / Friend MacDonald / Mr. MacDonald,"[1.7844645405527362, 1.7302967433402214, 1.8164965809277263]"
37,Mr. Douglas,,,,Douglas / Mrs. Douglas / Mr. John Douglas,"[1.7745966692414834, 1.758116330321033, 1.816496580927726]"
36,Mary,Mary / Mary Jane,"[2.0, 1.6123724356957947]",,Mary Morstan / Mary Fraser / Mary Jane,"[1.5222329678670934, 1.547722557505166, 1.6123724356957947]"
35,Douglas,,,,Mr. Douglas / Mrs. Douglas / John Douglas / Mr. John Douglas / Douglas Maberley / Jack Douglas,"[1.7745966692414834, 1.7385489458759964, 1.7385489458759964, 1.632455532033676, 1.632455532033676, 1.7385489458759964]"
35,Morris,William Morris,[1.6201736729460423],,Miss Morrison / Annie Morrison / Morrison / Mr. William Morris / William Morris / Mr. Morris,"[1.6454972243679027, 1.6201736729460423, 1.8451542547285165, 1.5423261445466405, 1.6201736729460423, 1.7453559924999298]"
33,Drebber,,,,Mr. Drebber / Enoch Drebber / Enoch J. Drebber / E. J. Drebber / Mr. Enoch Drebber / Mr. Enoch J. Drebber,"[1.7745966692414834, 1.7071067811865475, 1.632455532033676, 1.7071067811865475, 1.6123724356957947, 1.5619514869490163]"
33,Baldwin,,,,Ted Baldwin / Mr. Baldwin / Teddy Baldwin,"[1.7745966692414834, 1.7745966692414834, 1.7071067811865475]"
32,Mrs. Hudson,Mrs. Hudson,[2.0],,Hudson / Mr. Morse Hudson,"[1.7071067811865475, 1.6348469228349534]"
31,Von Bork,,,,Mr. Von Bork / Mister Von Bork,"[1.7977240352174655, 1.7071067811865475]"
31,Jefferson Hope,,,,Mr. Jefferson Hope / Jefferson,"[1.8744746321952062, 1.7844645405527362]"
31,Milverton,,,,Overton / Charles Augustus Milverton / Charles Milverton / Mr. Milverton,"[1.5550211698203658, 1.565685424949238, 1.7071067811865475, 1.8164965809277263]"
30,Arthur,,,,Arthur Charpentier / Arthur Willaby / Arthur Cadogan West / Arthur Pinner / Arthur Morstan / Arthur H. Staunton,"[1.5423261445466405, 1.6201736729460423, 1.52704627669473, 1.6454972243679027, 1.6201736729460423, 1.5423261445466405]"
30,Jones,Athelney Jones / Peter Jones,"[1.5547001962252291, 1.632455532033676]",,Athelney Jones / Mr. Jones / Peter Jones / Johnny Hones,"[1.5547001962252291, 1.7071067811865475, 1.632455532033676, 1.6030226891555273]"
29,Billy,,,,Billy James / Bill,"[1.632455532033676, 1.8660254037844388]"
29,Mrs. Douglas,,,,Mr. Douglas / Douglas / Mr. John Douglas,"[1.758116330321033, 1.7385489458759964, 1.518830867927189]"
