lemma,pos,ner
"""",``,O
I,PRP,O
be,VBP,O
afraid,JJ,O
",",",",O
Watson,NNP,PERSON
",",",",O
that,IN,O
I,PRP,O
shall,MD,O
have,VB,O
to,TO,O
go,VB,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
as,IN,O
we,PRP,O
sit,VBD,O
down,RP,O
together,RB,O
to,IN,O
we,PRP$,O
breakfast,NN,O
one,CD,O
morning,NN,O
.,.,O
"""",``,O
go,VB,O
!,.,O
where,WRB,O
to,TO,O
?,.,O
"""",``,O
"""",``,O
to,TO,O
dartmoor,VB,O
;,:,O
to,IN,O
King,NNP,ORGANIZATION
's,POS,O
Pyland,NNP,LOCATION
.,.,O
"""",``,O
I,PRP,O
be,VBD,O
not,RB,O
surprised,JJ,O
.,.,O
indeed,RB,O
",",",",O
my,PRP$,O
only,JJ,O
wonder,NN,O
be,VBD,O
that,IN,O
he,PRP,O
have,VBD,O
not,RB,O
already,RB,O
be,VBN,O
mix,VBN,O
up,RP,O
in,IN,O
this,DT,O
extraordinary,JJ,O
case,NN,O
",",",",O
which,WDT,O
be,VBD,O
the,DT,O
one,CD,O
topic,NN,O
of,IN,O
conversation,NN,O
through,IN,O
the,DT,O
length,NN,O
and,CC,O
breadth,NN,O
of,IN,O
England,NNP,LOCATION
.,.,O
for,IN,O
a,DT,O
whole,JJ,O
day,NN,O
my,PRP$,O
companion,NN,O
have,VBD,O
ramble,VBN,O
about,IN,O
the,DT,O
room,NN,O
with,IN,O
he,PRP$,O
chin,NN,O
upon,IN,O
he,PRP$,O
chest,NN,O
and,CC,O
he,PRP$,O
brow,NNS,O
knit,VBN,O
",",",",O
charge,VBG,O
and,CC,O
recharge,VBG,O
he,PRP$,O
pipe,NN,O
with,IN,O
the,DT,O
strongest,JJS,O
black,JJ,O
tobacco,NN,O
",",",",O
and,CC,O
absolutely,RB,O
deaf,JJ,O
to,IN,O
any,DT,O
of,IN,O
my,PRP$,O
question,NNS,O
or,CC,O
remark,NNS,O
.,.,O
fresh,JJ,O
edition,NNS,O
of,IN,O
every,DT,O
paper,NN,O
have,VBD,O
be,VBN,O
send,VBN,O
up,RP,O
by,IN,O
we,PRP$,O
news,NN,O
agent,NN,O
",",",",O
only,RB,O
to,TO,O
be,VB,O
glance,VBN,O
over,RP,O
and,CC,O
toss,VBN,O
down,RP,O
into,IN,O
a,DT,O
corner,NN,O
.,.,O
yet,RB,O
",",",",O
silent,JJ,O
as,IN,O
he,PRP,O
be,VBD,O
",",",",O
I,PRP,O
know,VBD,O
perfectly,RB,O
well,RB,O
what,WP,O
it,PRP,O
be,VBD,O
over,IN,O
which,WDT,O
he,PRP,O
be,VBD,O
brooding,JJ,O
.,.,O
there,EX,O
be,VBD,O
but,CC,O
one,CD,O
problem,NN,O
before,IN,O
the,DT,O
public,NN,O
which,WDT,O
could,MD,O
challenge,VB,O
he,PRP$,O
power,NNS,O
of,IN,O
analysis,NN,O
",",",",O
and,CC,O
that,DT,O
be,VBD,O
the,DT,O
singular,JJ,O
disappearance,NN,O
of,IN,O
the,DT,O
favorite,JJ,O
for,IN,O
the,DT,O
Wessex,NNP,MISC
