lemma,pos,ner
during,IN,O
my,PRP$,O
long,JJ,O
and,CC,O
intimate,JJ,O
acquaintance,NN,O
with,IN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
I,PRP,O
have,VBD,O
never,RB,O
hear,VBN,O
he,PRP,O
refer,VB,O
to,IN,O
he,PRP$,O
relation,NNS,O
",",",",O
and,CC,O
hardly,RB,O
ever,RB,O
to,IN,O
he,PRP$,O
own,JJ,O
early,JJ,O
life,NN,O
.,.,O
this,DT,O
reticence,NN,O
upon,IN,O
he,PRP$,O
part,NN,O
have,VBD,O
increase,VBN,O
the,DT,O
somewhat,RB,O
inhuman,JJ,O
effect,NN,O
which,WDT,O
he,PRP,O
produce,VBD,O
upon,IN,O
I,PRP,O
",",",",O
until,IN,O
sometimes,RB,O
I,PRP,O
find,VBD,O
myself,PRP,O
regard,VBG,O
he,PRP,O
as,IN,O
a,DT,O
isolate,VBN,O
phenomenon,NN,O
",",",",O
a,DT,O
brain,NN,O
without,IN,O
a,DT,O
heart,NN,O
",",",",O
as,IN,O
deficient,JJ,O
in,IN,O
human,JJ,O
sympathy,NN,O
as,IN,O
he,PRP,O
be,VBD,O
pre-eminent,JJ,O
in,IN,O
intelligence,NN,O
.,.,O
he,PRP$,O
aversion,NN,O
to,IN,O
woman,NNS,O
and,CC,O
he,PRP$,O
disinclination,NN,O
to,TO,O
form,VB,O
new,JJ,O
friendship,NNS,O
be,VBD,O
both,DT,O
typical,JJ,O
of,IN,O
he,PRP$,O
unemotional,JJ,O
character,NN,O
",",",",O
but,CC,O
not,RB,O
more,RBR,O
so,RB,O
than,IN,O
he,PRP$,O
complete,JJ,O
suppression,NN,O
of,IN,O
every,DT,O
reference,NN,O
to,IN,O
he,PRP$,O
own,JJ,O
people,NNS,O
.,.,O
I,PRP,O
have,VBD,O
come,VBN,O
to,TO,O
believe,VB,O
that,IN,O
he,PRP,O
be,VBD,O
a,DT,O
orphan,NN,O
with,IN,O
no,DT,O
relative,NNS,O
live,VBG,O
",",",",O
but,CC,O
one,CD,O
day,NN,O
",",",",O
to,IN,O
my,PRP$,O
very,RB,O
great,JJ,O
surprise,NN,O
",",",",O
he,PRP,O
begin,VBD,O
to,TO,O
talk,VB,O
to,IN,O
I,PRP,O
about,IN,O
he,PRP$,O
brother,NN,O
.,.,O
it,PRP,O
be,VBD,O
after,IN,O
tea,NN,O
on,IN,O
a,DT,O
summer,NN,DATE
evening,NN,TIME
",",",",O
and,CC,O
the,DT,O
conversation,NN,O
",",",",O
which,WDT,O
have,VBD,O
roam,VBN,O
in,IN,O
a,DT,O
desultory,JJ,O
",",",",O
spasmodic,JJ,O
fashion,NN,O
from,IN,O
golf,NN,O
club,NNS,O
to,IN,O
the,DT,O
cause,NNS,O
of,IN,O
the,DT,O
change,NN,O
in,IN,O
the,DT,O
obliquity,NN,O
of,IN,O
the,DT,O
ecliptic,NN,O
",",",",O
come,VBD,O
round,RB,O
at,IN,O
last,JJ,O
to,IN,O
the,DT,O
question,NN,O
of,IN,O
atavism,NN,O
and,CC,O
hereditary,JJ,O
aptitude,NNS,O
.,.,O
the,DT,O
point,NN,O
under,IN,O
discussion,NN,O
be,VBD,O
",",",",O
how,WRB,O
far,RB,O
any,DT,O
singular,JJ,O
gift,NN,O
in,IN,O
a,DT,O
individual,NN,O
be,VBD,O
due,JJ,O
to,IN,O
he,PRP$,O
ancestry,NN,O
and,CC,O
how,WRB,O
far,RB,O
to,IN,O
he,PRP$,O
own,JJ,O
early,JJ,O
training,NN,O
.,.,O
"""",``,O
in,IN,O
you,PRP$,O
own,JJ,O
case,NN,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
",",",",O
"""",'',O
from,IN,O
all,DT,O
that,WDT,O
you,PRP,O
have,VBP,O
tell,VBN,O
I,PRP,O
",",",",O
it,PRP,O
seem,VBZ,O
obvious,JJ,O
that,IN,O
you,PRP$,O
faculty,NN,O
of,IN,O
observation,NN,O
and,CC,O
you,PRP$,O
peculiar,JJ,O
facility,NN,O
for,IN,O
deduction,NN,O
be,VBP,O
due,JJ,O
to,IN,O
you,PRP$,O
own,JJ,O
systematic,JJ,O
training,NN,O
.,.,O
"""",'',O
"""",``,O
to,IN,O
some,DT,O
extent,NN,O
",",",",O
"""",'',O
he,PRP,O
answer,VBD,O
",",",",O
thoughtfully,RB,O
.,.,O
"""",``,O
my,PRP$,O
ancestor,NNS,O
be,VBD,O
country,NN,O
squire,NNS,O
",",",",O
who,WP,O
appear,VBP,O
to,TO,O
have,VB,O
lead,VBN,O
much,RB,O
the,DT,O
same,JJ,O
life,NN,O
as,RB,O
