lemma,pos,ner
"""",``,O
I,PRP,O
be,VBP,O
inclined,JJ,O
to,TO,O
think,VB,O
--,:,O
"""",'',O
say,VBD,O
I.,NNP,O
"""",``,O
I,PRP,O
should,MD,O
do,VB,O
so,RB,O
",",",",O
"""",``,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
remark,VBD,O
impatiently,RB,O
.,.,O
I,PRP,O
believe,VBP,O
that,IN,O
I,PRP,O
be,VBP,O
one,CD,O
of,IN,O
the,DT,O
most,RBS,O
long,JJ,O
-,HYPH,O
suffering,NN,O
of,IN,O
mortal,NNS,O
;,:,O
but,CC,O
I,PRP,O
will,MD,O
admit,VB,O
that,IN,O
I,PRP,O
be,VBD,O
annoyed,JJ,O
at,IN,O
the,DT,O
sardonic,JJ,O
interruption,NN,O
.,.,O
"""",``,O
really,RB,O
",",",",O
Holmes,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
severely,RB,O
",",",",O
"""",``,O
you,PRP,O
be,VBP,O
a,DT,O
little,JJ,O
try,VBG,O
at,IN,O
time,NNS,O
.,.,O
"""",'',O
he,PRP,O
be,VBD,O
too,RB,O
much,JJ,O
absorb,VBN,O
with,IN,O
he,PRP$,O
own,JJ,O
thought,NNS,O
to,TO,O
give,VB,O
any,DT,O
immediate,JJ,O
answer,NN,O
to,IN,O
my,PRP$,O
remonstrance,NN,O
.,.,O
he,PRP,O
lean,VBD,O
upon,IN,O
he,PRP$,O
hand,NN,O
",",",",O
with,IN,O
he,PRP$,O
untasted,JJ,O
breakfast,NN,O
before,IN,O
he,PRP,O
",",",",O
and,CC,O
he,PRP,O
stare,VBD,O
at,IN,O
the,DT,O
slip,NN,O
of,IN,O
paper,NN,O
which,WDT,O
he,PRP,O
have,VBD,O
just,RB,O
draw,VBN,O
from,IN,O
its,PRP$,O
envelope,NN,O
.,.,O
then,RB,O
he,PRP,O
take,VBD,O
the,DT,O
envelope,NN,O
itself,PRP,O
",",",",O
hold,VBD,O
it,PRP,O
up,RP,O
to,IN,O
the,DT,O
light,NN,O
",",",",O
and,CC,O
very,RB,O
carefully,RB,O
study,VBN,O
both,CC,O
the,DT,O
exterior,NN,O
and,CC,O
the,DT,O
flap,NN,O
.,.,O
"""",``,O
it,PRP,O
be,VBZ,O
Porlock,NNP,PERSON
's,POS,O
writing,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
thoughtfully,RB,O
.,.,O
"""",``,O
I,PRP,O
can,MD,O
hardly,RB,O
doubt,VB,O
that,IN,O
it,PRP,O
be,VBZ,O
Porlock,NNP,PERSON
's,POS,O
writing,NN,O
",",",",O
though,IN,O
I,PRP,O
have,VBP,O
see,VBN,O
it,PRP,O
only,RB,O
twice,RB,O
before,RB,O
.,.,O
the,DT,O
greek,JJ,MISC
e,NN,O
with,IN,O
the,DT,O
peculiar,JJ,O
top,NN,O
flourish,VB,O
be,VBZ,O
distinctive,JJ,O
.,.,O
but,CC,O
if,IN,O
it,PRP,O
be,VBZ,O
porlock,NN,LOCATION
",",",",O
then,RB,O
it,PRP,O
must,MD,O
be,VB,O
something,NN,O
of,IN,O
the,DT,O
very,RB,O
