docTokenBegin,text,ner,nerConfidences
2,St. Simon,LOCATION,{'LOCATION': 0.63867533415252}
82,Sherlock Holmes,PERSON,{'PERSON': 0.99991087645967}
100,him,PERSON,
133,Holmes,PERSON,{'PERSON': 0.89839069520331}
135,Baker Street,LOCATION,{'LOCATION': 0.99548863078384}
139,he,PERSON,
155,him,PERSON,
182,Jezail,MISC,{'MISC': 0.75562566706501}
199,Afghan,MISC,{'MISC': 0.99999635563579}
286,he,PERSON,
325,he,PERSON,
363,He,PERSON,
419,England,LOCATION,{'LOCATION': 0.99990608040974}
437,Watson,PERSON,{'PERSON': 0.94390268378303}
460,his,PERSON,
576,St. Simon,PERSON,{'PERSON': 0.95431978819676}
579,his,PERSON,
609,Lord St. Simon,LOCATION,{'LOCATION': 0.35113412887936}
649,Mr. Sherlock Holmes,PERSON,
642,he,PERSON,
701,Mr. Lestrade,PERSON,
705,Scotland Yard,LOCATION,{'LOCATION': 0.93389703509579}
716,he,PERSON,
720,he,PERSON,
730,he,PERSON,
749,afternoon,TIME,{'TIME': 0.56295864912835}
787,Simon,PERSON,{'PERSON': 0.6254174467857}
795,Grosvenor Mansions,ORGANIZATION,{'ORGANIZATION': 0.55242435772975}
830,Holmes,PERSON,{'PERSON': 0.99603436948582}
823,his,PERSON,
832,he,PERSON,
839,He,PERSON,
849,He,PERSON,
903,He,PERSON,
923,he,PERSON,
928,he,PERSON,
937,his,PERSON,
943,Robert Walsingham de Vere St. Simon,PERSON,{'PERSON': 0.96475967165729}
956,Balmoral,LOCATION,{'LOCATION': 0.9434277366702}
977,1846,DATE,{'DATE': 0.98969671757959}
980,He,PERSON,
1008,Duke,PERSON,{'PERSON': 0.44822190469477}
1010,his,PERSON,
1031,Tudor,PERSON,{'PERSON': 0.43457372033513}
1058,Watson,PERSON,{'PERSON': 0.89837990251454}
1139,Grosvenor Square,LOCATION,{'LOCATION': 0.99887282963813}
1232,Robert St. Simon,PERSON,{'PERSON': 0.9913289571813}
1242,Balmoral,LOCATION,{'LOCATION': 0.97139997454218}
1245,Miss Hatty Doran,PERSON,
1253,Aloysius Doran,PERSON,{'PERSON': 0.99928150595223}
1256,Esq.,LOCATION,{'LOCATION': 0.76175906795505}
1259,San Francisco,LOCATION,{'LOCATION': 0.99935233569015}
1262,Cal.,LOCATION,{'LOCATION': 0.9995347525511}
1264,U.S.A.,LOCATION,{'LOCATION': 0.48068154056838}
1280,Holmes,PERSON,{'PERSON': 0.95838377438021}
1283,his,PERSON,
1357,Great Britain,LOCATION,{'LOCATION': 0.99584262384599}
1371,Atlantic,LOCATION,{'LOCATION': 0.99883872598702}
1400,St. Simon,PERSON,{'PERSON': 0.93771675720114}
1427,Miss Hatty Doran,PERSON,
1436,California,LOCATION,{'LOCATION': 0.99355529552351}
1423,his,PERSON,
1439,Miss Doran,PERSON,
1453,Westbury House,ORGANIZATION,{'ORGANIZATION': 0.98184673125872}
1468,her,PERSON,
1495,Balmoral,LOCATION,{'LOCATION': 0.97259815674465}
1512,St. Simon,PERSON,{'PERSON': 0.79543281179788}
1525,Birchmoor,LOCATION,{'LOCATION': 0.72607710345516}
1555,Republican,MISC,{'MISC': 0.99999680310463}
1559,British,MISC,{'MISC': 0.99987018815573}
1501,his,PERSON,
1518,his,PERSON,
1545,her,PERSON,
1570,Holmes,PERSON,{'PERSON': 0.93567008701182}
1607,St. George's,LOCATION,{'LOCATION': 0.76842572935137}
1611,Hanover Square,LOCATION,{'LOCATION': 0.99713024590929}
1636,Lancaster Gate,LOCATION,{'LOCATION': 0.9255958023961}
1643,Mr. Aloysius Doran,PERSON,
1655,Wednesday,DATE,{'DATE': 0.99561020130306}
1678,Lord Backwater,ORGANIZATION,{'ORGANIZATION': 0.46946230476202}
1684,Petersfield,LOCATION,{'LOCATION': 0.99963342163939}
1708,Holmes,PERSON,{'PERSON': 0.97110780314054}
1724,she,PERSON,
1867,Fashionable Wedding,MISC,{'MISC': 0.79940692255729}
1877,Robert St. Simon,PERSON,{'PERSON': 0.98013821719389}
1900,his,PERSON,
1996,St. George's,LOCATION,{'LOCATION': 0.73152444319112}
2000,Hanover Square,LOCATION,{'LOCATION': 0.99857368847526}
2020,Mr. Aloysius Doran,PERSON,
2027,Balmoral,LOCATION,{'LOCATION': 0.98372206231117}
2033,Eustace,PERSON,{'PERSON': 0.97455429926121}
2035,Lady Clara St. Simon,PERSON,{'PERSON': 0.67655258139618}
2052,Alicia Whittington,PERSON,{'PERSON': 0.99960839047479}
2064,Mr. Aloysius Doran,PERSON,
2069,Lancaster Gate,LOCATION,{'LOCATION': 0.99657144532755}
2119,St. Simon,PERSON,{'PERSON': 0.41620408527232}
2101,her,PERSON,
2113,she,PERSON,
2132,she,PERSON,
2166,she,PERSON,
2175,her,PERSON,
2178,Her,PERSON,
2186,her,PERSON,
2189,her,PERSON,
2194,her,PERSON,
2197,she,PERSON,
2203,her,PERSON,
2229,he,PERSON,
2248,his,PERSON,
2252,her,PERSON,
2267,Mr. Aloysius Doran,PERSON,
2262,his,PERSON,
2314,last night,TIME,{'TIME': 0.97055355809327}
2374,she,PERSON,
2424,Miss Flora Millar,PERSON,
2451,Allegro,LOCATION,{'LOCATION': 0.43593915206585}
2444,she,PERSON,
2455,she,PERSON,
2523,Watson,PERSON,{'PERSON': 0.64110113315197}
2557,Watson,PERSON,{'PERSON': 0.9299655260505}
2581,Robert St. Simon,PERSON,{'PERSON': 0.99851631308378}
2649,His,PERSON,
2656,his,PERSON,
2667,he,PERSON,
2681,he,PERSON,
2684,His,PERSON,
2690,he,PERSON,
2693,his,PERSON,
2713,his,PERSON,
2751,He,PERSON,
2759,his,PERSON,
2769,his,PERSON,
2776,his,PERSON,
2786,St. Simon,PERSON,{'PERSON': 0.86788920040887}
2791,Holmes,PERSON,{'PERSON': 0.94523276801203}
2813,Watson,PERSON,{'PERSON': 0.9994611643141}
2847,Mr. Holmes,PERSON,
2932,King of Scandinavia,PERSON,
2941,he,PERSON,
2943,his,PERSON,
2954,Holmes,PERSON,{'PERSON': 0.99111981899632}
3066,St. Simon,PERSON,{'PERSON': 0.77021300086363}
3130,Miss Hatty Doran,PERSON,
3137,San Francisco,LOCATION,{'LOCATION': 0.99970585161626}
3151,States,LOCATION,{'LOCATION': 0.71353947607881}
3185,her,PERSON,
3189,she,PERSON,
3199,Her,PERSON,
3217,Pacific,LOCATION,{'LOCATION': 0.85909817765588}
3207,He,PERSON,
3225,he,PERSON,
3227,his,PERSON,
3235,He,PERSON,
3244,he,PERSON,
3284,his,PERSON,
3300,Mr. Holmes,PERSON,
3305,he,PERSON,
3313,her,PERSON,
3323,she,PERSON,
3339,her,PERSON,
3357,England,LOCATION,{'LOCATION': 0.99979826893649}
3351,She,PERSON,
3377,She,PERSON,
3389,She,PERSON,
3395,her,PERSON,
3402,her,PERSON,
3415,her,PERSON,
3427,he,PERSON,
3439,her,PERSON,
3451,she,PERSON,
3467,her,PERSON,
3473,her,PERSON,
3485,He,PERSON,
3536,Holmes,PERSON,{'PERSON': 0.94133189498756}
3555,St. Simon,LOCATION,{'LOCATION': 0.56882713128209}
3545,he,PERSON,
3564,London,LOCATION,{'LOCATION': 0.99369875247925}
3586,London,LOCATION,{'LOCATION': 0.97242152850151}
3578,her,PERSON,
3581,her,PERSON,
3591,her,PERSON,
3598,her,PERSON,
3604,her,PERSON,
3608,She,PERSON,
3674,Miss Doran,PERSON,
3690,she,PERSON,
3700,She,PERSON,
3732,She,PERSON,
3755,her,PERSON,
3779,her,PERSON,
3826,She,PERSON,
3828,her,PERSON,
3837,She,PERSON,
3886,fall,DATE,{'DATE': 0.83273716440022}
3872,her,PERSON,
3893,her,PERSON,
3898,she,PERSON,
3913,she,PERSON,
3986,him,PERSON,
3993,he,PERSON,
4005,his,PERSON,
4024,Lady St. Simon,PERSON,{'PERSON': 0.54460796408833}
4042,she,PERSON,
4050,she,PERSON,
4054,her,PERSON,
4063,her,PERSON,
4067,her,PERSON,
