lemma,pos,ner
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
take,VBD,O
he,PRP$,O
bottle,NN,O
from,IN,O
the,DT,O
corner,NN,O
of,IN,O
the,DT,O
mantelpiece,NN,O
and,CC,O
he,PRP$,O
hypodermic,JJ,O
syringe,NN,O
from,IN,O
its,PRP$,O
neat,JJ,O
morocco,NN,O
case,NN,O
.,.,O
with,IN,O
he,PRP$,O
long,JJ,O
",",",",O
white,JJ,O
",",",",O
nervous,JJ,O
finger,NNS,O
he,PRP,O
adjust,VBD,O
the,DT,O
delicate,JJ,O
needle,NN,O
",",",",O
and,CC,O
roll,VBD,O
back,RB,O
he,PRP$,O
left,JJ,O
shirt,NN,O
-,HYPH,O
cuff,NN,O
.,.,O
for,IN,O
some,DT,O
little,JJ,O
time,NN,O
he,PRP$,O
eye,NNS,O
rest,VBD,O
thoughtfully,RB,O
upon,IN,O
the,DT,O
sinewy,JJ,O
forearm,NN,O
and,CC,O
wrist,NN,O
all,DT,O
dot,VBN,O
and,CC,O
scar,VBN,O
with,IN,O
innumerable,JJ,O
puncture,NN,O
-,HYPH,O
mark,NNS,O
.,.,O
finally,RB,O
he,PRP,O
thrust,VBD,O
the,DT,O
sharp,JJ,O
point,NN,O
home,NN,O
",",",",O
press,VBD,O
down,RP,O
the,DT,O
tiny,JJ,O
piston,NN,O
",",",",O
and,CC,O
sink,VBD,O
back,RB,O
into,IN,O
the,DT,O
velvet,NN,O
-,HYPH,O
line,VBN,O
arm,NN,O
-,HYPH,O
chair,NN,O
with,IN,O
a,DT,O
long,JJ,O
sigh,NN,O
of,IN,O
satisfaction,NN,O
.,.,O
three,CD,O
time,NNS,O
a,DT,O
day,NN,O
for,IN,O
many,JJ,O
month,NNS,O
I,PRP,O
have,VBD,O
witness,VBN,O
this,DT,O
performance,NN,O
",",",",O
but,CC,O
custom,NN,O
have,VBD,O
not,RB,O
reconcile,VBN,O
my,PRP$,O
mind,NN,O
to,IN,O
it,PRP,O
.,.,O
on,IN,O
the,DT,O
contrary,NN,O
",",",",O
from,IN,O
day,NN,O
to,IN,O
day,NN,O
I,PRP,O
have,VBD,O
become,VBN,O
more,RBR,O
irritable,JJ,O
at,IN,O
the,DT,O
sight,NN,O
",",",",O
and,CC,O
my,PRP$,O
conscience,NN,O
swell,VBD,O
nightly,RB,O
within,IN,O
I,PRP,O
at,IN,O
the,DT,O
thought,NN,O
that,WDT,O
I,PRP,O
have,VBD,O
lack,VBN,O
the,DT,O
courage,NN,O
to,TO,O
protest,VB,O
.,.,O
again,RB,O
and,CC,O
again,RB,O
I,PRP,O
have,VBD,O
register,VBN,O
a,DT,O
vow,NN,O
that,WDT,O
I,PRP,O
should,MD,O
deliver,VB,O
my,PRP$,O
soul,NN,O
upon,IN,O
the,DT,O
subject,NN,O
",",",",O
but,CC,O
there,EX,O
be,VBD,O
that,DT,O
in,IN,O
the,DT,O
cool,JJ,O
",",",",O
nonchalant,JJ,O
air,NN,O
of,IN,O
my,PRP$,O
companion,NN,O
which,WDT,O
make,VBD,O
he,PRP,O
the,DT,O
last,JJ,O
man,NN,O
with,IN,O
whom,WP,O
one,PRP,O
would,MD,O
care,VB,O
to,TO,O
take,VB,O
anything,NN,O
approach,VBG,O
to,IN,O
a,DT,O
liberty,NN,O
.,.,O
he,PRP$,O
great,JJ,O
power,NNS,O
",",",",O
he,PRP$,O
masterly,JJ,O
manner,NN,O
",",",",O
and,CC,O
the,DT,O
experience,NN,O
which,WDT,O
I,PRP,O
have,VBD,O
have,VBN,O
of,IN,O
he,PRP$,O
many,JJ,O
extraordinary,JJ,O
quality,NNS,O
",",",",O
all,DT,O
make,VBD,O
I,PRP,O
diffident,JJ,O
and,CC,O
backward,JJ,O
in,IN,O
cross,VBG,O
he,PRP,O
.,.,O
yet,CC,O
upon,IN,O
that,DT,O
afternoon,NN,O
",",",",O
whether,IN,O
it,PRP,O
be,VBD,O
the,DT,O
Beaune,NNP,LOCATION
which,WDT,O
I,PRP,O
have,VBD,O
take,VBN,O
with,IN,O
my,PRP$,O
lunch,NN,O
",",",",O
or,CC,O
the,DT,O
additional,JJ,O
exasperation,NN,O
produce,VBN,O
by,IN,O
the,DT,O
extreme,JJ,O
deliberation,NN,O
of,IN,O
he,PRP$,O
manner,NN,O
",",",",O
I,PRP,O
suddenly,RB,O
feel,VBD,O
that,IN,O
I,PRP,O
could,MD,O
hold,VB,O
out,RP,O
no,RB,O
longer,RBR,O
.,.,O
"""",``,O
which,WDT,O
be,VBZ,O
it,PRP,O
to,IN,O
-,HYPH,O
day,NN,O
?,.,O
"""",'',O
I,PRP,O
ask,VBD,O
",",",",O
--,:,O
"""",``,O
morphine,NN,O
or,CC,O
cocaine,NN,O
?,.,O
"""",'',O
he,PRP,O
raise,VBD,O
he,PRP$,O
eye,NNS,O
languidly,RB,O
from,IN,O
the,DT,O
old,JJ,O
black,JJ,O
-,HYPH,O
letter,NN,O
volume,NN,O
which,WDT,O
he,PRP,O
have,VBD,O
open,VBN,O
.,.,O
"""",``,O
it,PRP,O
be,VBZ,O
cocaine,NN,O
",",",",O
"""",'',O
he,PRP,O
say,VBD,O
",",",",O
--,:,O
"""",``,O
a,DT,O
seven,CD,O
-,HYPH,O
per,IN,O
-,HYPH,O
cent,NN,O
solution,NN,O
.,.,O
would,MD,O
you,PRP,O
care,VB,O
to,TO,O
try,VB,O
it,PRP,O
?,.,O
"""",``,O
"""",``,O
no,UH,O
",",",",O
indeed,RB,O
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
",",",",O
brusquely,RB,O
.,.,O
"""",'',O
my,PRP$,O
constitution,NN,O
have,VBZ,O
not,RB,O
get,VBN,O
over,IN,O
the,DT,O
afghan,JJ,MISC
campaign,NN,O
yet,RB,O
.,.,O
I,PRP,O
can,MD,O
not,RB,O
afford,VB,O
to,TO,O
throw,VB,O
any,DT,O
extra,JJ,O
strain,NN,O
upon,IN,O
it,PRP,O
.,.,O
"""",``,O
he,PRP,O
smile,VBD,O
at,IN,O
my,PRP$,O
vehemence,NN,O
.,.,O
"""",'',O
perhaps,RB,O
you,PRP,O
be,VBP,O
right,RB,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
he,PRP,O
say,VBD,O
.,.,O
"""",'',O
I,PRP,O
suppose,VBP,O
that,IN,O
its,PRP$,O
influence,NN,O
be,VBZ,O
physically,RB,O
a,DT,O
bad,JJ,O
one,CD,O
.,.,O
I,PRP,O
find,VBP,O
it,PRP,O
",",",",O
however,RB,O
",",",",O
so,RB,O
transcendently,RB,O
stimulate,VBG,O
and,CC,O
clarify,VBG,O
to,IN,O
the,DT,O
mind,NN,O
that,IN,O
its,PRP$,O
secondary,JJ,O
action,NN,O
be,VBZ,O
a,DT,O
matter,NN,O
of,IN,O
small,JJ,O
moment,NN,O
.,.,O
"""",``,O
"""",``,O
but,CC,O
consider,VB,O
!,.,O
"""",``,O
I,PRP,O
say,VBD,O
",",",",O
earnestly,RB,O
.,.,O
"""",'',O
count,VB,O
the,DT,O
cost,NN,O
!,.,O
you,PRP$,O
brain,NN,O
may,MD,O
",",",",O
as,IN,O
you,PRP,O
say,VBP,O
",",",",O
be,VB,O
rouse,VBN,O
and,CC,O
excite,VBN,O
",",",",O
but,CC,O
it,PRP,O
be,VBZ,O
a,DT,O
pathological,JJ,O
and,CC,O
morbid,JJ,O
process,NN,O
",",",",O
which,WDT,O
involve,VBZ,O
increase,VBN,O
tissue,NN,O
-,HYPH,O
change,NN,O
and,CC,O
may,MD,O
at,IN,O
last,JJ,O
leave,VB,O
a,DT,O
permanent,JJ,O
weakness,NN,O
.,.,O
you,PRP,O
know,VBP,O
",",",",O
too,RB,O
",",",",O
what,WP,O
a,DT,O
black,JJ,O
reaction,NN,O
come,VBZ,O
upon,IN,O
you,PRP,O
.,.,O
surely,RB,O
the,DT,O
game,NN,O
be,VBZ,O
hardly,RB,O
worth,JJ,O
the,DT,O
candle,NN,O
.,.,O
why,WRB,O
should,MD,O
you,PRP,O
",",",",O
for,IN,O
a,DT,O
mere,JJ,O
passing,NN,O
pleasure,NN,O
",",",",O
risk,VB,O
the,DT,O
