lemma,pos,ner
I,PRP,O
have,VBD,O
call,VBN,O
upon,IN,O
my,PRP$,O
friend,NN,O
",",",",O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
one,CD,O
day,NN,O
in,IN,O
the,DT,O
autumn,NN,O
of,IN,O
last,JJ,O
year,NN,O
and,CC,O
find,VBD,O
he,PRP,O
in,IN,O
deep,JJ,O
conversation,NN,O
with,IN,O
a,DT,O
very,RB,O
stout,JJ,O
",",",",O
florid,JJ,O
-,HYPH,O
faced,JJ,O
",",",",O
elderly,JJ,O
gentleman,NN,O
with,IN,O
fiery,JJ,O
red,JJ,O
hair,NN,O
.,.,O
with,IN,O
a,DT,O
apology,NN,O
for,IN,O
my,PRP$,O
intrusion,NN,O
",",",",O
I,PRP,O
be,VBD,O
about,RB,O
to,TO,O
withdraw,VB,O
when,WRB,O
Holmes,NNP,PERSON
pull,VBD,O
I,PRP,O
abruptly,RB,O
into,IN,O
the,DT,O
room,NN,O
and,CC,O
close,VBD,O
the,DT,O
door,NN,O
behind,IN,O
I,PRP,O
.,.,O
"""",``,O
you,PRP,O
could,MD,O
not,RB,O
possibly,RB,O
have,VBP,O
come,VBN,O
at,IN,O
a,DT,O
better,JJR,O
time,NN,O
",",",",O
my,PRP$,O
dear,JJ,O
Watson,NNP,PERSON
",",",",O
"""",'',O
he,PRP,O
say,VBD,O
cordially,RB,O
.,.,O
"""",``,O
I,PRP,O
be,VBD,O
afraid,JJ,O
that,IN,O
you,PRP,O
be,VBD,O
engage,VBN,O
.,.,O
"""",'',O
"""",``,O
so,RB,O
I,PRP,O
be,VBP,O
.,.,O
very,RB,O
much,RB,O
so,RB,O
.,.,O
"""",``,O
"""",``,O
then,RB,O
I,PRP,O
can,MD,O
wait,VB,O
in,IN,O
the,DT,O
next,JJ,O
room,NN,O
.,.,O
"""",``,O
"""",``,O
not,RB,O
at,IN,O
all,DT,O
.,.,O
this,DT,O
gentleman,NN,O
",",",",O
Mr.,NNP,PERSON
