docTokenBegin,text,ner,nerConfidences
21,'95,DATE,{'DATE': 0.96533871544344}
64,Baker Street,LOCATION,{'LOCATION': 0.99736073349243}
24,His,PERSON,
67,Holmes,PERSON,{'PERSON': 0.88206613171788}
91,Duke of Holdernesse,ORGANIZATION,{'ORGANIZATION': 0.253961782797}
78,his,PERSON,
99,him,PERSON,
105,his,PERSON,
112,he,PERSON,
119,he,PERSON,
122,his,PERSON,
136,his,PERSON,
140,he,PERSON,
166,his,PERSON,
170,his,PERSON,
226,Wilson,PERSON,{'PERSON': 0.98028146343012}
246,London,LOCATION,{'LOCATION': 0.97656270108357}
187,his,PERSON,
192,his,PERSON,
210,him,PERSON,
216,His,PERSON,
223,his,PERSON,
261,Woodman,PERSON,{'PERSON': 0.72708760106954}
263,Lee,LOCATION,{'PERSON': 0.91388254694604}
276,Peter Carey,PERSON,{'PERSON': 0.99991084162737}
285,Mr. Sherlock Holmes,PERSON,
305,first week of July,DATE,{'DATE': 0.99968667497765}
325,he,PERSON,
352,Holmes,PERSON,{'PERSON': 0.99333167860601}
366,he,PERSON,
368,his,PERSON,
384,London,LOCATION,{'LOCATION': 0.9974219692624}
373,He,PERSON,
387,he,PERSON,
392,his,PERSON,
395,He,PERSON,
399,his,PERSON,
420,he,PERSON,
427,his,PERSON,
436,He,PERSON,
452,he,PERSON,
458,his,PERSON,
461,his,PERSON,
475,his,PERSON,
482,Holmes,PERSON,{'PERSON': 0.95161766900922}
501,London,LOCATION,{'LOCATION': 0.99186062918855}
541,Watson,PERSON,{'PERSON': 0.86474750936852}
579,He,PERSON,
582,he,PERSON,
595,Allardyce,PERSON,{'PERSON': 0.994273740037}
618,his,PERSON,
694,Woodman,PERSON,{'PERSON': 0.87391118834621}
696,Lee,LOCATION,{'PERSON': 0.91838114537991}
700,Hopkins,PERSON,{'PERSON': 0.90364662493357}
706,last night,TIME,{'TIME': 0.79847501505538}
762,Stanley Hopkins,PERSON,{'ORGANIZATION': 0.49814019903255}
772,Holmes,PERSON,{'PERSON': 0.93035535359501}
758,him,PERSON,
778,he,PERSON,
798,Hopkins,PERSON,{'PERSON': 0.86002765540573}
805,he,PERSON,
899,Mr. Holmes,PERSON,
988,Hopkins,PERSON,{'PERSON': 0.90971647233989}
1003,His,PERSON,
1018,he,PERSON,
1026,he,PERSON,
1045,he,PERSON,
1052,he,PERSON,
1059,his,PERSON,
1100,Watson,PERSON,{'PERSON': 0.99995122511299}
1134,Stanley Hopkins,PERSON,{'PERSON': 0.93452026646413}
1142,his,PERSON,
1164,Peter Carey,PERSON,{'PERSON': 0.99984178270053}
1171,'45,DATE,{'DATE': 0.97932580365814}
1167,He,PERSON,
1179,He,PERSON,
1192,1883,DATE,{'DATE': 0.88770549759806}
1202,Dundee,LOCATION,{'LOCATION': 0.6311585396997}
1193,he,PERSON,
1220,1884,DATE,{'DATE': 0.88197757549488}
1204,He,PERSON,
1222,he,PERSON,
1241,Woodman,PERSON,{'PERSON': 0.61194565452281}
1243,Lee,LOCATION,{'PERSON': 0.75499862445447}
1246,Forest Row,LOCATION,{'LOCATION': 0.92675463958872}
1250,Sussex,LOCATION,{'LOCATION': 0.96773851281452}
1227,he,PERSON,
1235,he,PERSON,
1253,he,PERSON,
1262,he,PERSON,
1290,Puritan,MISC,{'MISC': 0.96421924350129}
1286,he,PERSON,
1298,His,PERSON,
1302,his,PERSON,
1305,his,PERSON,
1348,he,PERSON,
1353,him,PERSON,
1354,he,PERSON,
1379,night,TIME,{'TIME': 0.76978647336842}
1360,He,PERSON,
1366,his,PERSON,
1369,his,PERSON,
1401,He,PERSON,
1418,him,PERSON,
1422,him,PERSON,
1424,his,PERSON,
1430,Mr. Holmes,PERSON,
1445,Peter Carey,PERSON,{'PERSON': 0.99909859982627}
1453,he,PERSON,
1459,he,PERSON,
1461,his,PERSON,
1471,Black Peter,PERSON,{'PERSON': 0.4856852579445}
1464,He,PERSON,
1479,him,PERSON,
1486,his,PERSON,
1493,his,PERSON,
1508,him,PERSON,
1515,he,PERSON,
1524,his,PERSON,
1539,his,PERSON,
1560,Mr. Holmes,PERSON,
1574,He,PERSON,
1582,he,PERSON,
