docTokenBegin,text,ner,nerConfidences
17,Sherlock Holmes,PERSON,{'PERSON': 0.99910793235902}
53,Holmes,PERSON,{'PERSON': 0.95071439925351}
70,He,PERSON,
76,his,PERSON,
88,He,PERSON,
91,his,PERSON,
95,his,PERSON,
99,him,PERSON,
102,he,PERSON,
110,he,PERSON,
119,he,PERSON,
146,Porlock,PERSON,{'PERSON': 0.85509988693891}
152,he,PERSON,
163,Porlock,PERSON,{'PERSON': 0.94812354027169}
177,Greek,MISC,{'MISC': 0.99973234756842}
191,Porlock,LOCATION,{'LOCATION': 0.55103624134159}
205,He,PERSON,
231,Porlock,PERSON,{'PERSON': 0.72995356903427}
238,Porlock,PERSON,{'PERSON': 0.44300612980916}
240,Watson,PERSON,{'PERSON': 0.79885550820034}
267,he,PERSON,
276,his,PERSON,
285,him,PERSON,
310,he,PERSON,
346,Watson,PERSON,{'PERSON': 0.94143918502492}
360,he,PERSON,
373,Moriarty,PERSON,{'PERSON': 0.99964309977965}
393,Watson,PERSON,{'PERSON': 0.9847933304026}
396,Holmes,PERSON,{'PERSON': 0.98378189452135}
411,he,PERSON,
429,Holmes,PERSON,{'PERSON': 0.88745197958875}
443,Watson,PERSON,{'PERSON': 0.6485051101671}
457,Moriarty,PERSON,{'PERSON': 0.95567525643967}
524,he,PERSON,
537,his,PERSON,
553,he,PERSON,
571,his,PERSON,
576,he,PERSON,
643,Watson,PERSON,{'PERSON': 0.94412811039084}
682,Porlock,PERSON,{'PERSON': 0.50187872157341}
720,He,PERSON,
757,Watson,PERSON,{'PERSON': 0.94261605386581}
764,Porlock,LOCATION,{'LOCATION': 0.69598518042309}
790,him,PERSON,
795,he,PERSON,
850,Holmes,PERSON,{'PERSON': 0.98634670110181}
856,his,PERSON,
881,C2 13 127 36 31 4 17 21 41,DATE,{'DATE': 0.68045041430426}
890,DOUGLAS,ORGANIZATION,{'ORGANIZATION': 0.73675443268343}
895,BIRLSTONE,ORGANIZATION,{'ORGANIZATION': 0.90513990870091}
897,BIRLSTONE,ORGANIZATION,{'ORGANIZATION': 0.90149324734296}
909,Holmes,PERSON,{'PERSON': 0.995898987657}
866,him,PERSON,
1031,Douglas,PERSON,{'PERSON': 0.46260902810872}
1060,he,PERSON,
1074,Watson,PERSON,{'PERSON': 0.89036719084092}
1167,Holmes,PERSON,{'PERSON': 0.96265765447391}
1181,Billy,PERSON,{'PERSON': 0.81234238930475}
1202,Holmes,PERSON,{'PERSON': 0.96538684820223}
1205,he,PERSON,
1216,he,PERSON,
1223,he,PERSON,
1236,Watson,PERSON,{'PERSON': 0.91250984926554}
