docTokenBegin,text,ner,nerConfidences
9,Mr. Sherlock Holmes,PERSON,
27,his,PERSON,
65,Holmes,PERSON,{'PERSON': 0.98129755526265}
73,Turkish,MISC,{'MISC': 0.99999960993082}
94,him,PERSON,
110,Northumberland Avenue,LOCATION,{'LOCATION': 0.98810877070473}
135,"September 3, 1902",DATE,{'DATE': 0.99987844022754}
150,him,PERSON,
159,he,PERSON,
162,his,PERSON,
175,him,PERSON,
191,him,PERSON,
217,he,PERSON,
219,he,PERSON,
241,Carlton Club,PERSON,{'PERSON': 0.64674600915867}
256,James Damery,PERSON,{'PERSON': 0.99996724911938}
262,Mr. Sherlock Holmes,PERSON,
259,his,PERSON,
269,him,PERSON,
277,James,PERSON,{'PERSON': 0.99734957387118}
290,Mr. Holmes,PERSON,
286,he,PERSON,
306,Mr. Holmes,PERSON,
328,Carlton Club,ORGANIZATION,{'ORGANIZATION': 0.77612877144443}
300,He,PERSON,
319,he,PERSON,
342,Watson,PERSON,{'PERSON': 0.96385579413038}
346,Holmes,PERSON,{'PERSON': 0.99910263641485}
361,Damery,PERSON,{'PERSON': 0.98972595312059}
390,He,PERSON,
416,George Lewis,PERSON,{'PERSON': 0.99996158602392}
412,his,PERSON,
424,He,PERSON,
455,he,PERSON,
479,Watson,PERSON,{'PERSON': 0.92980203653567}
519,Queen Anne Street,LOCATION,{'LOCATION': 0.81262503599559}
531,Baker Street,LOCATION,{'LOCATION': 0.97915760273381}
547,James Damery,PERSON,{'PERSON': 0.99994294015733}
558,him,PERSON,
596,Irish,MISC,{'MISC': 0.99999603905422}
594,his,PERSON,
604,his,PERSON,
610,His,PERSON,
616,his,PERSON,
654,he,PERSON,
678,Watson,PERSON,{'PERSON': 0.99942805490866}
681,he,PERSON,
704,Mr. Holmes,PERSON,
689,His,PERSON,
736,Europe,LOCATION,{'LOCATION': 0.99884445736625}
756,Holmes,PERSON,{'PERSON': 0.99134227987675}
788,Moriarty,PERSON,{'PERSON': 0.99640277106626}
795,Sebastian Moran,PERSON,{'PERSON': 0.99481601508332}
799,he,PERSON,
808,his,PERSON,
818,Baron Gruner,PERSON,{'PERSON': 0.88171837615615}
826,Austrian,MISC,{'MISC': 0.99999988421884}
831,Damery,PERSON,{'PERSON': 0.99965328213421}
834,his,PERSON,
851,Mr. Holmes,PERSON,
861,him,PERSON,
878,Continental,ORGANIZATION,{'ORGANIZATION': 0.90279534621489}
889,Prague,LOCATION,{'LOCATION': 0.96224669455473}
917,him,PERSON,
939,Splugen Pass,LOCATION,{'LOCATION': 0.73329157248323}
924,he,PERSON,
926,his,PERSON,
946,him,PERSON,
960,England,LOCATION,{'LOCATION': 0.99962660424093}
956,he,PERSON,
969,he,PERSON,
982,Baron Gruner,PERSON,{'PERSON': 0.81280905575781}
1033,Mr. Holmes,PERSON,
1122,Mr. Holmes,PERSON,
1145,him,PERSON,
1147,his,PERSON,
1160,His,PERSON,
1174,he,PERSON,
1219,Holmes,PERSON,{'PERSON': 0.9870144873813}
1250,James,PERSON,{'PERSON': 0.99951364625601}
1266,His,PERSON,
1289,Mr. Holmes,PERSON,
1294,he,PERSON,
1391,de Merville,PERSON,{'PERSON': 0.87065419291708}
1396,De Merville,PERSON,{'PERSON': 0.51247615089532}
1408,him,PERSON,
1417,Violet de Merville,ORGANIZATION,{'ORGANIZATION': 0.50535654223055}
1412,He,PERSON,
1463,Baron Gruner,PERSON,{'PERSON': 0.98615102198985}
1469,her,PERSON,
1529,He,PERSON,
1538,his,PERSON,
1566,Miss Violet de Merville,PERSON,
1577,Mediterranean,MISC,{'MISC': 0.95307618551957}
1622,he,PERSON,
1628,her,PERSON,
1634,she,PERSON,
1636,him,PERSON,
1641,She,PERSON,
1644,him,PERSON,
1646,she,PERSON,
1650,him,PERSON,
1654,him,PERSON,
1661,She,PERSON,
1668,him,PERSON,
1676,her,PERSON,
1678,her,PERSON,
1689,she,PERSON,
1693,him,PERSON,
1698,she,PERSON,
1717,her,PERSON,
1726,Austrian,MISC,{'MISC': 0.99999985051094}
1722,she,PERSON,
1736,her,PERSON,
1742,his,PERSON,
1763,She,PERSON,
1766,his,PERSON,
1797,General de Merville,ORGANIZATION,{'ORGANIZATION': 0.47170802907375}
1806,his,PERSON,
1818,Mr. Holmes,PERSON,
1828,De Merville,PERSON,{'PERSON': 0.49252097646952}
1880,Austrian,MISC,{'MISC': 0.99999959258767}
1846,He,PERSON,
1854,him,PERSON,
1912,she,PERSON,
1917,He,PERSON,
1936,Scotland Yard,LOCATION,{'LOCATION': 0.75184791264438}
1943,his,PERSON,
1967,he,PERSON,
1982,Mr. Holmes,PERSON,
2023,his,PERSON,
2027,Holmes,PERSON,{'PERSON': 0.98809376079362}
2044,he,PERSON,
2079,Carlton Club,ORGANIZATION,{'ORGANIZATION': 0.79453386267628}
2104,Holmes,PERSON,{'PERSON': 0.99448144789118}
2121,his,PERSON,
2135,Vernon Lodge,ORGANIZATION,{'ORGANIZATION': 0.67260629246256}
2139,Kingston,LOCATION,{'LOCATION': 0.98126851512814}
2147,He,PERSON,
2165,him,PERSON,
2174,he,PERSON,
2207,He,PERSON,
2212,He,PERSON,
2226,Hurlingham,LOCATION,{'LOCATION': 0.70315951558023}
2231,Prague,LOCATION,{'LOCATION': 0.98442344497042}
2222,he,PERSON,
2237,he,PERSON,
2242,He,PERSON,
2248,He,PERSON,
2258,his,PERSON,
2271,Chinese,MISC,{'MISC': 0.99999463037719}
2261,He,PERSON,
2290,Holmes,PERSON,{'PERSON': 0.97911463966248}
2302,Charlie Peace,PERSON,{'PERSON': 0.98516686162781}
2309,Wainwright,PERSON,{'PERSON': 0.99614889605751}
2324,James,PERSON,{'PERSON': 0.99897354661763}
2338,Baron Gruner,PERSON,{'PERSON': 0.98296328575539}
2379,Holmes,PERSON,{'PERSON': 0.97417199472722}
2392,he,PERSON,
2403,he,PERSON,
2413,Watson,PERSON,{'PERSON': 0.92654076560291}
2419,he,PERSON,
2439,Watson,PERSON,{'PERSON': 0.99316095088455}
2442,her,PERSON,
2450,her,PERSON,
2489,Shinwell Johnson,PERSON,{'PERSON': 0.99469789616674}
2504,Shinwell Johnson,PERSON,{'PERSON': 0.95829295740017}
2533,he,PERSON,
2539,Johnson,PERSON,{'PERSON': 0.97957132618712}
2560,Parkhurst,LOCATION,{'LOCATION': 0.54475464214858}
2547,his,PERSON,
2569,Holmes,PERSON,{'PERSON': 0.97917444470751}
2581,London,LOCATION,{'LOCATION': 0.97088365287339}
2563,he,PERSON,
2573,his,PERSON,
2595,Johnson,PERSON,{'PERSON': 0.85094147539323}
2604,he,PERSON,
2613,he,PERSON,
2625,his,PERSON,
2631,his,PERSON,
2638,his,PERSON,
2642,him,PERSON,
2644,he,PERSON,
2666,his,PERSON,
2673,him,PERSON,
2686,Sherlock Holmes,PERSON,{'PERSON': 0.9992737318007}
2684,him,PERSON,
2729,Simpson,PERSON,{'PERSON': 0.51804770296024}
2723,him,PERSON,
2756,he,PERSON,
2766,Johnson,PERSON,{'PERSON': 0.94421227849914}
2774,he,PERSON,
2777,He,PERSON,
2836,her,PERSON,
2838,her,PERSON,
2846,Watson,PERSON,{'PERSON': 0.99579394043121}
2875,Baron Gruner,PERSON,{'PERSON': 0.90495929136174}
2883,He,PERSON,
2907,Watson,PERSON,{'PERSON': 0.95508975371715}
2924,him,PERSON,
2935,he,PERSON,
2944,Johnson,PERSON,{'PERSON': 0.98786621630472}
2953,Kingston,LOCATION,{'LOCATION': 0.96099574453306}
2945,his,PERSON,
2967,he,PERSON,
2988,He,PERSON,
3015,He,PERSON,
3019,him,PERSON,
3056,Baron Adelbert Gruner,PERSON,{'PERSON': 0.92070524935435}
3064,he,PERSON,
3075,he,PERSON,
3094,His,PERSON,
3111,Mr. Holmes,PERSON,
3116,he,PERSON,
3127,General de Merville,ORGANIZATION,{'ORGANIZATION': 0.65751176590848}
3141,Violet,PERSON,{'PERSON': 0.58188203138678}
3138,his,PERSON,
3164,he,PERSON,
3250,Baron,PERSON,{'PERSON': 0.56552747205155}
3330,England,LOCATION,{'LOCATION': 0.9897309291124}
3371,her,PERSON,
3377,Baron,PERSON,{'PERSON': 0.5734797323131}
3385,his,PERSON,
3401,he,PERSON,
3405,he,PERSON,
3419,Mr. Holmes,PERSON,
3424,he,PERSON,
3472,Mr. Holmes,PERSON,
3548,her,PERSON,
3564,her,PERSON,
3581,her,PERSON,
3584,her,PERSON,
3591,her,PERSON,
3604,Mr. Holmes,PERSON,
3632,she,PERSON,
3651,she,PERSON,
3656,her,PERSON,
3673,Watson,PERSON,{'PERSON': 0.94249572467504}
3712,he,PERSON,
3722,Mr. Holmes,PERSON,
3733,Le Brun,PERSON,{'PERSON': 0.99329340432633}
3737,French,MISC,{'MISC': 0.99999093234648}
3727,he,PERSON,
3755,him,PERSON,
3768,Apaches,MISC,{'MISC': 0.96498549785665}
3771,Montmartre,LOCATION,{'LOCATION': 0.99765141830844}
3763,he,PERSON,
3784,Mr. Holmes,PERSON,
3791,he,PERSON,
3808,Mr. Holmes,PERSON,
3854,Watson,PERSON,{'PERSON': 0.95626346434373}
3892,he,PERSON,
3906,he,PERSON,
3915,he,PERSON,
3918,his,PERSON,
3967,his,PERSON,
3973,him,PERSON,
4012,he,PERSON,
4020,his,PERSON,
4025,him,PERSON,
4033,he,PERSON,
4079,her,PERSON,
4084,Miss Kitty Winter,PERSON,
4090,Shinwell Johnson,PERSON,{'PERSON': 0.99871789406676}
4094,his,PERSON,
4103,she,PERSON,
4112,she,PERSON,
4125,Mr. Holmes,PERSON,
4123,her,PERSON,
4152,London,LOCATION,{'LOCATION': 0.99310548101591}
4170,Porky,PERSON,{'PERSON': 0.76279314046164}
4211,Mr. Holmes,PERSON,
4215,Holmes,PERSON,{'PERSON': 0.98665589165181}
4238,him,PERSON,
4240,he,PERSON,
4265,her,PERSON,
4271,her,PERSON,
4293,Mr. Holmes,PERSON,
4307,Adelbert Gruner,PERSON,{'PERSON': 0.9990108796545}
4316,him,PERSON,
4320,She,PERSON,
4324,her,PERSON,
4338,him,PERSON,
4343,he,PERSON,
4360,Porky Shinwell,PERSON,{'PERSON': 0.60646728222769}
4367,He,PERSON,
4378,her,PERSON,
4403,her,PERSON,
4413,him,PERSON,
4417,She,PERSON,
4421,her,PERSON,
4424,She,PERSON,
4430,She,PERSON,
4436,him,PERSON,
4438,She,PERSON,
4458,she,PERSON,
4466,She,PERSON,
4482,her,PERSON,
4510,her,PERSON,
4513,her,PERSON,
4515,he,PERSON,
4546,he,PERSON,
4549,her,PERSON,
4552,his,PERSON,
4558,her,PERSON,
4563,she,PERSON,
4584,Miss Winter,MISC,{'MISC': 0.85537433973734}
4575,he,PERSON,
4579,her,PERSON,
4606,He,PERSON,
4612,his,PERSON,
4628,He,PERSON,
4654,him,PERSON,
4661,he,PERSON,
4694,his,PERSON,
4708,him,PERSON,
4717,he,PERSON,
4729,his,PERSON,
4739,he,PERSON,
4748,he,PERSON,
4771,Mr. Holmes,PERSON,
4784,his,PERSON,
4795,He,PERSON,
4827,he,PERSON,
4842,Adelbert Gruner,PERSON,{'PERSON': 0.99364227665677}
4857,He,PERSON,
4866,he,PERSON,
4928,him,PERSON,
4933,he,PERSON,
4938,He,PERSON,
4951,his,PERSON,
4976,his,PERSON,
4990,Holmes,PERSON,{'PERSON': 0.97223309409222}
5010,this morning,TIME,{'TIME': 0.81067209115068}
5015,Adelbert,PERSON,{'PERSON': 0.98721029461921}
5018,his,PERSON,
5031,Chinese,MISC,{'MISC': 0.99999039025774}
5045,his,PERSON,
5061,he,PERSON,
5070,he,PERSON,
5078,Adelbert,PERSON,{'PERSON': 0.90090189229541}
5083,His,PERSON,
5091,him,PERSON,
5093,He,PERSON,
5133,Shinwell Johnson,PERSON,{'PERSON': 0.99768953354197}
5166,Holmes,PERSON,{'PERSON': 0.98687879174873}
5173,Miss Winter,PERSON,{'PERSON': 0.5182491633789}
5234,Mr. Holmes,PERSON,
5277,his,PERSON,
5303,his,PERSON,
5322,Holmes,PERSON,{'PERSON': 0.99214549518195}
5335,Strand,LOCATION,{'LOCATION': 0.59468310263801}
5338,He,PERSON,
5340,his,PERSON,
5345,him,PERSON,
5348,he,PERSON,
5352,his,PERSON,
5356,he,PERSON,
5369,His,PERSON,
5401,Holmes,PERSON,{'PERSON': 0.97466160964139}
5423,her,PERSON,
5429,her,PERSON,
5444,Miss W.,MISC,{'MISC': 0.9565979820801}
5465,Berkeley Square,LOCATION,{'LOCATION': 0.9979184959324}
5479,London,LOCATION,{'LOCATION': 0.98759573660399}
5545,Watson,PERSON,{'PERSON': 0.95339712701075}
5540,her,PERSON,
5551,her,PERSON,
5567,She,PERSON,
5612,his,PERSON,
5662,She,PERSON,
5681,her,PERSON,
5687,Winter,DATE,{'DATE': 0.50405460585385}
5692,her,PERSON,
5698,she,PERSON,
5725,Watson,PERSON,{'PERSON': 0.90079145321066}
