docTokenBegin,text,ner,nerConfidences
7,Mr. Sherlock Holmes,PERSON,
14,him,PERSON,
17,his,PERSON,
24,his,PERSON,
32,his,PERSON,
41,he,PERSON,
52,him,PERSON,
70,he,PERSON,
76,His,PERSON,
81,his,PERSON,
91,his,PERSON,
100,his,PERSON,
107,his,PERSON,
117,he,PERSON,
136,he,PERSON,
143,his,PERSON,
152,summer,DATE,{'DATE': 0.95438514910223}
153,evening,TIME,{'TIME': 0.90269699628757}
214,his,PERSON,
220,his,PERSON,
273,he,PERSON,
332,French,MISC,{'MISC': 0.99998664969125}
364,Mycroft,PERSON,{'PERSON': 0.99120412316039}
393,England,LOCATION,{'LOCATION': 0.99984186853211}
406,him,PERSON,
425,him,PERSON,
427,his,PERSON,
430,his,PERSON,
433,Holmes,PERSON,{'PERSON': 0.98164331072344}
442,Watson,PERSON,{'PERSON': 0.98514852250745}
446,he,PERSON,
503,Mycroft,PERSON,{'PERSON': 0.98052550315454}
529,he,PERSON,
546,he,PERSON,
554,he,PERSON,
560,his,PERSON,
576,Diogenes Club,ORGANIZATION,{'ORGANIZATION': 0.59601426861834}
601,Sherlock Holmes,PERSON,{'PERSON': 0.99635580687178}
605,his,PERSON,
610,Diogenes Club,ORGANIZATION,{'ORGANIZATION': 0.80846961918079}
617,London,LOCATION,{'LOCATION': 0.99931353878969}
620,Mycroft,PERSON,{'PERSON': 0.83062971146929}
627,He,PERSON,
681,Circus,MISC,{'MISC': 0.4177093210179}
697,Mycroft,PERSON,{'PERSON': 0.9891480399967}
701,his,PERSON,
707,He,PERSON,
726,he,PERSON,
765,he,PERSON,
773,He,PERSON,
780,his,PERSON,
784,his,PERSON,
812,him,PERSON,
831,he,PERSON,
863,his,PERSON,
884,him,PERSON,
892,He,PERSON,
911,Mycroft,PERSON,{'PERSON': 0.62646894034469}
914,Pall Mall,LOCATION,{'LOCATION': 0.60940166997817}
924,Whitehall,ORGANIZATION,{'ORGANIZATION': 0.50849365165392}
918,he,PERSON,
956,Diogenes Club,ORGANIZATION,{'ORGANIZATION': 0.95608643161433}
940,he,PERSON,
963,his,PERSON,
986,London,LOCATION,{'LOCATION': 0.99765551477305}
1033,Diogenes Club,ORGANIZATION,{'ORGANIZATION': 0.8482855620717}
1125,Pall Mall,LOCATION,{'LOCATION': 0.89154260054764}
1139,James,PERSON,{'PERSON': 0.90966402953458}
1143,Sherlock Holmes,PERSON,{'PERSON': 0.99711220601003}
1154,Carlton,LOCATION,{'LOCATION': 0.55466157429034}
1164,he,PERSON,
1203,his,PERSON,
1208,Holmes,PERSON,{'PERSON': 0.9707427203439}
1219,Pall Mall,LOCATION,{'LOCATION': 0.99024825093953}
1231,he,PERSON,
1243,his,PERSON,
1246,Mycroft Holmes,PERSON,{'PERSON': 0.99917844743533}
1256,Sherlock,PERSON,{'PERSON': 0.93564280998067}
1258,His,PERSON,
1265,his,PERSON,
1286,his,PERSON,
1319,Sherlock,PERSON,{'PERSON': 0.93214342292774}
1289,His,PERSON,
1322,he,PERSON,
1325,his,PERSON,
1341,he,PERSON,
1361,Sherlock,PERSON,{'PERSON': 0.75474440192108}
1366,his,PERSON,
1373,Sherlock,PERSON,{'PERSON': 0.98213028983397}
1389,Manor House,ORGANIZATION,{'ORGANIZATION': 0.86161850237758}
1423,Adams,PERSON,{'PERSON': 0.96870497932039}
1434,Adams,PERSON,{'PERSON': 0.88021743291633}
1478,Mycroft,PERSON,{'PERSON': 0.98973999179871}
1566,his,PERSON,
1574,his,PERSON,
1587,Sherlock,PERSON,{'PERSON': 0.99312771011096}
1603,India,LOCATION,{'LOCATION': 0.99299168703871}
1625,Sherlock,PERSON,{'PERSON': 0.99385173802548}
1673,Holmes,PERSON,{'PERSON': 0.8229459256907}
1712,India,LOCATION,{'LOCATION': 0.99067077872775}
1743,Mycroft,PERSON,{'PERSON': 0.96152928755072}
1717,he,PERSON,
1727,his,PERSON,
1730,his,PERSON,
1746,He,PERSON,
1754,he,PERSON,
1756,his,PERSON,
1773,his,PERSON,
1776,His,PERSON,
1780,his,PERSON,
1785,He,PERSON,
1798,his,PERSON,
1803,he,PERSON,
1814,he,PERSON,
1817,his,PERSON,
1825,his,PERSON,
1828,He,PERSON,
1864,he,PERSON,
1871,his,PERSON,
1894,he,PERSON,
1897,his,PERSON,
1904,he,PERSON,
1908,He,PERSON,
1916,Mycroft,PERSON,{'PERSON': 0.98591116011298}
1933,his,PERSON,
1949,Sherlock,PERSON,{'PERSON': 0.98880922377939}
1953,he,PERSON,
2017,Mycroft,PERSON,{'PERSON': 0.96498274919942}
2034,his,PERSON,
2045,he,PERSON,
2056,Mr. Melas,PERSON,
2064,he,PERSON,
2067,He,PERSON,
2082,him,PERSON,
2086,him,PERSON,
2092,his,PERSON,
2095,Mr. Melas,PERSON,
2099,Greek,MISC,{'MISC': 0.99996949975709}
2108,he,PERSON,
2139,Northumberland Avenue,LOCATION,{'LOCATION': 0.98855863984625}
2114,He,PERSON,
2116,his,PERSON,
2148,him,PERSON,
2151,his,PERSON,
2156,his,PERSON,
2184,Southern,MISC,{'MISC': 0.98654082156253}
2195,Englishman,MISC,{'MISC': 0.99092734081667}
2183,his,PERSON,
2188,his,PERSON,
2202,Sherlock Holmes,PERSON,{'PERSON': 0.99927487682808}
2197,He,PERSON,
2206,his,PERSON,
2213,he,PERSON,
2222,his,PERSON,
2246,he,PERSON,
2301,his,PERSON,
2313,Sherlock Holmes,PERSON,{'PERSON': 0.99974133602451}
2319,Wednesday,DATE,{'DATE': 0.98584097710531}
2320,evening,TIME,{'TIME': 0.80817885056114}
2324,Mr. Melas,PERSON,
2333,Monday,DATE,{'DATE': 0.99932352250242}
2334,night,TIME,{'TIME': 0.91983407252342}
2377,Greek,MISC,{'MISC': 0.99996234664293}
2383,Grecian,MISC,{'MISC': 0.94241820041689}
2406,Greek,MISC,{'MISC': 0.99983345706092}
2409,London,LOCATION,{'LOCATION': 0.99927760883822}
2460,Monday,DATE,{'DATE': 0.99945591393902}
2461,night,TIME,{'TIME': 0.98457577655938}
2464,Mr. Latimer,PERSON,
2484,him,PERSON,
2496,Greek,MISC,{'MISC': 0.99998253724228}
2502,him,PERSON,
2506,he,PERSON,
2511,he,PERSON,
2516,his,PERSON,
2543,Kensington,LOCATION,{'LOCATION': 0.97674186455853}
2528,He,PERSON,
2534,his,PERSON,
2546,he,PERSON,
2608,London,LOCATION,{'LOCATION': 0.99189386776713}
2622,Mr. Latimer,PERSON,
2634,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.96152304869037}
2639,Shaftesbury Avenue,LOCATION,{'LOCATION': 0.99394494771474}
2647,Oxford Street,LOCATION,{'LOCATION': 0.482585454712}
2663,Kensington,LOCATION,{'LOCATION': 0.53628592572705}
2679,He,PERSON,
2693,his,PERSON,
2715,he,PERSON,
2725,him,PERSON,
2731,he,PERSON,
2772,Mr. Melas,PERSON,
2777,he,PERSON,
2866,him,PERSON,
2876,Mr. Latimer,PERSON,
2912,he,PERSON,
2931,Mr. Melas,PERSON,
3002,His,PERSON,
3008,he,PERSON,
3031,his,PERSON,
3180,Pall Mall,LOCATION,{'LOCATION': 0.71825768926272}
3354,he,PERSON,
3366,he,PERSON,
3375,Mr. Melas,PERSON,
3378,Harold,PERSON,{'PERSON': 0.99828406101636}
3382,he,PERSON,
3402,Mr. Melas,PERSON,
3441,He,PERSON,
3460,he,PERSON,
3493,Greek,MISC,{'MISC': 0.99998673290408}
3541,he,PERSON,
3543,he,PERSON,
3629,Japanese,MISC,{'MISC': 0.99999964990736}
3665,he,PERSON,
3674,him,PERSON,
3693,he,PERSON,
3706,him,PERSON,
3715,his,PERSON,
3718,He,PERSON,
3740,his,PERSON,
3756,his,PERSON,
3778,his,PERSON,
3788,Harold,PERSON,{'PERSON': 0.99936296825253}
3811,his,PERSON,
3820,him,PERSON,
3831,Mr. Melas,PERSON,
3835,he,PERSON,
3842,him,PERSON,
3847,he,PERSON,
3872,Greek,MISC,{'MISC': 0.99996009415508}
3869,he,PERSON,
3907,Greek,MISC,{'MISC': 0.99999637715765}
3900,her,PERSON,
3919,his,PERSON,
3973,him,PERSON,
3975,he,PERSON,
4087,London,LOCATION,{'LOCATION': 0.99846942257272}
4184,her,PERSON,
4199,her,PERSON,
4211,her,PERSON,
4229,her,PERSON,
4231,Athens,LOCATION,{'LOCATION': 0.97893101509204}
4239,Mr. Holmes,PERSON,
4286,her,PERSON,
4294,she,PERSON,
4316,Harold,PERSON,{'PERSON': 0.95542575190809}
4323,English,MISC,{'MISC': 0.99998881620563}
4320,she,PERSON,
4353,Paul,PERSON,{'PERSON': 0.99734768410351}
4362,Greek,MISC,{'MISC': 0.99924575335838}
4379,his,PERSON,
4388,Sophy,PERSON,{'PERSON': 0.53139062298785}
4417,her,PERSON,
4428,his,PERSON,
4434,him,PERSON,
4508,his,PERSON,
4520,Mr. Melas,PERSON,
4525,he,PERSON,
4557,Greek,MISC,{'MISC': 0.99971718586124}
4584,his,PERSON,
4612,he,PERSON,
4635,he,PERSON,
4698,him,PERSON,
4708,him,PERSON,
4710,His,PERSON,
4718,his,PERSON,
4749,St. Vitus,ORGANIZATION,{'ORGANIZATION': 0.54278552496069}
4729,He,PERSON,
4731,his,PERSON,
4735,he,PERSON,
4738,his,PERSON,
4760,his,PERSON,
4778,his,PERSON,
4782,his,PERSON,
4816,he,PERSON,
4869,Mr. Latimer,PERSON,
4879,his,PERSON,
4908,midnight,TIME,{'TIME': 0.84901952119085}
4923,Mr. Melas,PERSON,
4983,spring,DATE,{'DATE': 0.61610376381979}
4969,He,PERSON,
4974,he,PERSON,
5096,he,PERSON,
5105,he,PERSON,
5128,Wandsworth Common,ORGANIZATION,{'ORGANIZATION': 0.43266568879556}
5133,he,PERSON,
5157,Clapham Junction,LOCATION,{'LOCATION': 0.56384603669198}
5175,Victoria,PERSON,{'PERSON': 0.61251824351323}
5162,he,PERSON,
5188,Mr. Holmes,PERSON,
5243,Mr. Mycroft Holmes,PERSON,
5273,Sherlock,PERSON,{'PERSON': 0.92841838136525}
5277,his,PERSON,
5285,he,PERSON,
5288,Mycroft,PERSON,{'PERSON': 0.98122786316318}
5292,Daily News,ORGANIZATION,{'ORGANIZATION': 0.73509824329578}
5315,Greek,MISC,{'MISC': 0.99999327638316}
5318,Paul Kratides,PERSON,{'PERSON': 0.99986406878229}
5322,Athens,LOCATION,{'LOCATION': 0.99494973014952}
5329,English,MISC,{'MISC': 0.99999055016352}
5346,Greek,MISC,{'MISC': 0.99999057501682}
