lemma,pos,ner
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
always,RB,O
of,IN,O
opinion,NN,O
that,IN,O
I,PRP,O
should,MD,O
publish,VB,O
the,DT,O
singular,JJ,O
fact,NNS,O
connect,VBN,O
with,IN,O
Professor,NNP,O
Presbury,NNP,PERSON
",",",",O
if,IN,O
only,RB,O
to,TO,O
dispel,VB,O
once,RB,O
for,IN,O
all,PDT,O
the,DT,O
ugly,JJ,O
rumour,NNS,O
which,WDT,O
some,DT,O
twenty,CD,O
year,NNS,O
ago,IN,O
agitate,VBN,O
the,DT,O
university,NN,O
and,CC,O
be,VBD,O
echo,VBN,O
in,IN,O
the,DT,O
learn,VBN,O
society,NNS,O
of,IN,O
London,NNP,LOCATION
.,.,O
there,EX,O
be,VBD,O
",",",",O
however,RB,O
",",",",O
certain,JJ,O
obstacle,NNS,O
in,IN,O
the,DT,O
way,NN,O
",",",",O
and,CC,O
the,DT,O
true,JJ,O
history,NN,O
of,IN,O
this,DT,O
curious,JJ,O
case,NN,O
remain,VBD,O
entomb,VBN,O
in,IN,O
the,DT,O
tin,NN,O
box,NN,O
which,WDT,O
contain,VBZ,O
so,RB,O
many,JJ,O
record,NNS,O
of,IN,O
my,PRP$,O
friend,NN,O
's,POS,O
adventure,NNS,O
.,.,O
now,RB,O
we,PRP,O
have,VBP,O
at,IN,O
last,JJ,O
obtain,VBN,O
permission,NN,O
to,IN,O
ventilate,VB,O
the,DT,O
fact,NNS,O
which,WDT,O
form,VBD,O
one,CD,O
of,IN,O
the,DT,O
very,RB,O
last,JJ,O
case,NNS,O
handle,VBN,O
by,IN,O
Holmes,NNP,PERSON
before,IN,O
he,PRP$,O
retirement,NN,O
from,IN,O
practice,NN,O
.,.,O
even,RB,O
now,RB,O
a,DT,O
certain,JJ,O
reticence,NN,O
and,CC,O
discretion,NN,O
have,VBP,O
to,TO,O
be,VB,O
observe,VBN,O
in,IN,O
lay,VBG,O
the,DT,O
matter,NN,O
before,IN,O
the,DT,O
public,NN,O
.,.,O
it,PRP,O
be,VBD,O
one,CD,O
Sunday,NNP,DATE
evening,NN,TIME
early,RB,O
in,IN,O
September,NNP,DATE
of,IN,DATE
the,DT,DATE
year,NN,DATE
1903,CD,DATE
that,WDT,O
I,PRP,O
receive,VBD,O
one,CD,O
of,IN,O
Holmes,NNP,PERSON
's,POS,O
laconic,JJ,O
message,NNS,O
:,:,O
come,VB,O
at,IN,O
once,RB,O
if,IN,O
convenient,JJ,O
--,:,O
if,IN,O
inconvenient,JJ,O
come,VB,O
all,PDT,O
the,DT,O
same,JJ,O
.,.,O
S.,NNP,O
H,NNP,O
.,.,O
the,DT,O
relation,NNS,O
between,IN,O
we,PRP,O
in,IN,O
those,DT,O
latter,JJ,O
day,NNS,O
be,VBD,O
peculiar,JJ,O
.,.,O
he,PRP,O
be,VBD,O
a,DT,O
man,NN,O
of,IN,O
habit,NNS,O
",",",",O
narrow,JJ,O
and,CC,O
