docTokenBegin,text,ner,nerConfidences
10,Sherlock Holmes,PERSON,{'PERSON': 0.76140958046273}
18,'90,DATE,{'DATE': 0.99695028269744}
100,his,PERSON,
146,him,PERSON,
254,Amateur Mendicant Society,ORGANIZATION,{'ORGANIZATION': 0.96771290972587}
281,British,MISC,{'MISC': 0.9999654796036}
284,Sophy Anderson,LOCATION,{'PERSON': 0.97430785338665}
294,Grice Patersons,PERSON,{'ORGANIZATION': 0.89431661610116}
300,Uffa,LOCATION,{'LOCATION': 0.96568320729623}
306,Camberwell,LOCATION,{'MISC': 0.45093556635435}
319,Sherlock Holmes,PERSON,{'PERSON': 0.99936751173174}
415,September,DATE,{'DATE': 0.99900498987039}
456,London,LOCATION,{'LOCATION': 0.99088190474544}
490,his,PERSON,
525,Sherlock Holmes,PERSON,{'PERSON': 0.99783822822026}
551,Clark Russell,PERSON,{'PERSON': 0.99621926810734}
536,his,PERSON,
618,Baker Street,LOCATION,{'LOCATION': 0.99765435217385}
598,her,PERSON,
664,he,PERSON,
728,Sherlock Holmes,PERSON,{'PERSON': 0.9997663999445}
733,his,PERSON,
753,He,PERSON,
756,his,PERSON,
784,he,PERSON,
817,his,PERSON,
824,he,PERSON,
827,his,PERSON,
831,his,PERSON,
842,he,PERSON,
846,He,PERSON,
849,him,PERSON,
863,his,PERSON,
868,his,PERSON,
894,he,PERSON,
898,his,PERSON,
904,his,PERSON,
945,Holmes,PERSON,{'PERSON': 0.98606501399501}
979,Horsham,LOCATION,{'LOCATION': 0.48386322341981}
1036,Mr. Holmes,PERSON,
1043,Prendergast,PERSON,{'PERSON': 0.99863263988301}
1050,Tankerville Club,ORGANIZATION,{'ORGANIZATION': 0.97688067587296}
1047,him,PERSON,
1061,He,PERSON,
1072,He,PERSON,
1082,He,PERSON,
1252,Holmes,PERSON,{'PERSON': 0.98568425337748}
1289,his,PERSON,
1294,his,PERSON,
1312,John Openshaw,PERSON,{'PERSON': 0.99995160153934}
1308,he,PERSON,
1378,Elias,PERSON,{'PERSON': 0.99402492995196}
1382,Joseph,PERSON,{'PERSON': 0.99947594054544}
1391,Coventry,LOCATION,{'ORGANIZATION': 0.79982443326556}
1394,he,PERSON,
1411,Openshaw,PERSON,{'PERSON': 0.71187607421884}
1405,He,PERSON,
1416,his,PERSON,
1423,he,PERSON,
1440,Elias,PERSON,{'PERSON': 0.99946727878863}
1443,America,LOCATION,{'LOCATION': 0.98945405696269}
1455,Florida,LOCATION,{'LOCATION': 0.9996331539179}
1445,he,PERSON,
1458,he,PERSON,
1476,Jackson,PERSON,{'PERSON': 0.94581970340171}
1473,he,PERSON,
1486,he,PERSON,
1494,Lee,LOCATION,{'PERSON': 0.9992815893955}
1497,his,PERSON,
1503,his,PERSON,
1507,he,PERSON,
1523,Europe,LOCATION,{'LOCATION': 0.99414166425405}
1530,Sussex,LOCATION,{'LOCATION': 0.78122352754629}
1533,Horsham,LOCATION,{'LOCATION': 0.97267922853893}
1519,he,PERSON,
1544,States,LOCATION,{'LOCATION': 0.81054735707418}
1564,Republican,MISC,{'MISC': 0.99999941179596}
1535,He,PERSON,
1547,his,PERSON,
1553,his,PERSON,
1560,his,PERSON,
1573,He,PERSON,
1590,he,PERSON,
1609,Horsham,LOCATION,{'LOCATION': 0.49134242107866}
1606,he,PERSON,
1615,he,PERSON,
1622,He,PERSON,
1632,his,PERSON,
1637,he,PERSON,
1640,his,PERSON,
1650,he,PERSON,
1654,his,PERSON,
1657,He,PERSON,
1670,he,PERSON,
1684,his,PERSON,
1689,He,PERSON,
1698,he,PERSON,
1710,he,PERSON,
1728,year 1878,DATE,{'DATE': 0.94813793905995}
1740,England,LOCATION,{'LOCATION': 0.99993808024579}
1732,he,PERSON,
1742,He,PERSON,
1751,him,PERSON,
1753,he,PERSON,
1760,his,PERSON,
1764,he,PERSON,
1767,he,PERSON,
1781,he,PERSON,
1785,his,PERSON,
1837,him,PERSON,
1839,his,PERSON,
1851,he,PERSON,
1873,he,PERSON,
1930,"March, 1883",DATE,{'DATE': 0.9711166203416}
1959,him,PERSON,
1965,his,PERSON,
1975,he,PERSON,
1985,India,LOCATION,{'LOCATION': 0.98200914643422}
1997,Pondicherry,LOCATION,{'LOCATION': 0.74177485169046}
1989,he,PERSON,
1991,he,PERSON,
2023,his,PERSON,
2045,his,PERSON,
2081,K. K. K.,PERSON,{'PERSON': 0.97108992563635}
2048,His,PERSON,
2053,his,PERSON,
