occurence,speaker,canonicalSpeaker,text
0,his,Holmes,"Wedlock suits you,"
1,Holmes,Unknown,"I think, Watson, that you have put on seven and a half pounds since I saw you."
2,Watson,Unknown,Seven!
3,his,his,"Indeed, I should have thought a little more. Just a trifle more, I fancy, Watson. And in practice again, I observe. You did not tell me that you intended to go into harness."
4,his,his,"Then, how do you know?"
5,Watson,his,"I see it, I deduce it. How do I know that you have been getting yourself very wet lately, and that you have a most clumsy and careless servant girl?"
6,his,his,"My dear Holmes,"
7,his,his,"this is too much. You would certainly have been burned, had you lived a few centuries ago. It is true that I had a country walk on Thursday and came home in a dreadful mess, but as I have changed my clothes I can't imagine how you deduce it. As to Mary Jane, she is incorrigible, and my wife has given her notice, but there, again, I fail to see how you work it out."
8,Watson,his,"It is simplicity itself,"
9,Unknown,his,"my eyes tell me that on the inside of your left shoe, just where the firelight strikes it, the leather is scored by six almost parallel cuts. Obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it. Hence, you see, my double deduction that you had been out in vile weather, and that you had a particularly malignant boot-slitting specimen of the London slavey. As to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope, I must be dull, indeed, if I do not pronounce him to be an active member of the medical profession."
10,Watson,his,"When I hear you give your reasons,"
11,his,his,"the thing always appears to me to be so ridiculously simple that I could easily do it myself, though at each successive instance of your reasoning I am baffled until you explain your process. And yet I believe that my eyes are as good as yours."
12,his,his,"Quite so,"
13,Unknown,his,"You see, but you do not observe. The distinction is clear. For example, you have frequently seen the steps which lead up from the hall to this room."
14,Unknown,his,Frequently.
15,Unknown,his,How often?
16,Unknown,his,"Well, some hundreds of times."
17,Unknown,his,Then how many are there?
18,Unknown,his,How many? I don't know.
19,Unknown,He,"Quite so! You have not observed. And yet you have seen. That is just my point. Now, I know that there are seventeen steps, because I have both seen and observed. By-the-way, since you are interested in these little problems, and since you are good enough to chronicle one or two of my trifling experiences, you may be interested in this."
20,Unknown,He,"It came by the last post,"
21,Holmes,He,Read it aloud.
22,Holmes,He,"There will call upon you to-night, at a quarter to eight o'clock,"
23,Holmes,He,"a gentleman who desires to consult you upon a matter of the very deepest moment. Your recent services to one of the royal houses of Europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated. This account of you we have from all quarters received. Be in your chamber then at that hour, and do not take it amiss if your visitor wear a mask."
24,Holmes,He,"This is indeed a mystery,"
25,Holmes,He,What do you imagine that it means?
26,Holmes,He,"I have no data yet. It is a capital mistake to theorize before one has data. Insensibly one begins to twist facts to suit theories, instead of theories to suit facts. But the note itself. What do you deduce from it?"
27,Holmes,He,"The man who wrote it was presumably well to do,"
28,Holmes,He,Such paper could not be bought under half a crown a packet. It is peculiarly strong and stiff.
29,Holmes,Holmes,"Peculiar--that is the very word,"
30,Holmes,Holmes,It is not an English paper at all. Hold it up to the light.
31,Holmes,Holmes,E
32,Holmes,Holmes,"g,"
33,Holmes,Holmes,"P,"
34,Holmes,Holmes,G
35,Holmes,Holmes,t
36,Holmes,Holmes,What do you make of that?
37,Holmes,Holmes,"The name of the maker, no doubt; or his monogram, rather."
38,Holmes,his,"Not at all. The 'G' with the small 't' stands for 'Gesellschaft,' which is the German for 'Company.' It is a customary contraction like our 'Co.' 'P,' of course, stands for 'Papier.' Now for the 'Eg.' Let us glance at our Continental Gazetteer."
39,his,his,"Eglow, Eglonitz--here we are, Egria. It is in a German-speaking country--in Bohemia, not far from Carlsbad. 'Remarkable as being the scene of the death of Wallenstein, and for its numerous glass-factories and paper-mills.' Ha, ha, my boy, what do you make of that?"
40,his,his,"The paper was made in Bohemia,"
41,Holmes,his,"Precisely. And the man who wrote the note is a German. Do you note the peculiar construction of the sentence--'This account of you we have from all quarters received.' A Frenchman or Russian could not have written that. It is the German who is so uncourteous to his verbs. It only remains, therefore, to discover what is wanted by this German who writes upon Bohemian paper and prefers wearing a mask to showing his face. And here he comes, if I am not mistaken, to resolve all our doubts."
42,Holmes,his,"A pair, by the sound,"
43,Unknown,his,"Yes,"
44,Holmes,Holmes,"A nice little brougham and a pair of beauties. A hundred and fifty guineas apiece. There's money in this case, Watson, if there is nothing else."
45,Holmes,Holmes,"I think that I had better go, Holmes."
46,Holmes,Holmes,"Not a bit, Doctor. Stay where you are. I am lost without my Boswell. And this promises to be interesting. It would be a pity to miss it."
47,Holmes,Holmes,But your client--
48,Holmes,Holmes,"Never mind him. I may want your help, and so may he. Here he comes. Sit down in that armchair, Doctor, and give us your best attention."
49,Holmes,Holmes,Come in!
50,Unknown,his,You had my note?
51,Unknown,his,I told you that I would call.
52,Holmes,Holmes,"Pray take a seat,"
53,Holmes,he,"This is my friend and colleague, Dr. Watson, who is occasionally good enough to help me in my cases. Whom have I the honour to address?"
54,Holmes,he,"You may address me as the Count Von Kramm, a Bohemian nobleman. I understand that this gentleman, your friend, is a man of honour and discretion, whom I may trust with a matter of the most extreme importance. If not, I should much prefer to communicate with you alone."
55,Holmes,he,"It is both, or none,"
56,Holmes,he,You may say before this gentleman anything which you may say to me.
57,Holmes,his,"Then I must begin,"
58,Holmes,his,by binding you both to absolute secrecy for two years; at the end of that time the matter will be of no importance. At present it is not too much to say that it is of such weight it may have an influence upon European history.
59,Holmes,Holmes,"I promise,"
60,Holmes,Holmes,And I.
61,Holmes,Holmes,"You will excuse this mask,"
62,Holmes,Holmes,"The august person who employs me wishes his agent to be unknown to you, and I may confess at once that the title by which I have just called myself is not exactly my own."
63,Holmes,Holmes,"I was aware of it,"
64,Holmes,Holmes,"The circumstances are of great delicacy, and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of Europe. To speak plainly, the matter implicates the great House of Ormstein, hereditary kings of Bohemia."
65,Holmes,Holmes,"I was also aware of that,"
66,his,Holmes,"If your Majesty would condescend to state your case,"
67,his,Holmes,I should be better able to advise you.
68,his,his,"You are right,"
69,his,his,I am the King. Why should I attempt to conceal it?
70,Holmes,Holmes,"Why, indeed?"
71,Holmes,Holmes,"Your Majesty had not spoken before I was aware that I was addressing Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia."
72,Holmes,Holmes,"But you can understand,"
73,Holmes,Holmes,you can understand that I am not accustomed to doing such business in my own person. Yet the matter was so delicate that I could not confide it to an agent without putting myself in his power. I have come incognito from Prague for the purpose of consulting you.
74,Holmes,Holmes,"Then, pray consult,"
75,Holmes,Holmes,"The facts are briefly these: Some five years ago, during a lengthy visit to Warsaw, I made the acquaintance of the well-known adventuress, Irene Adler. The name is no doubt familiar to you."
76,Holmes,Holmes,"Kindly look her up in my index, Doctor,"
77,Holmes,Holmes,Let me see!
78,Holmes,Holmes,"Hum! Born in New Jersey in the year 1858. Contralto--hum! La Scala, hum! Prima donna Imperial Opera of Warsaw--yes! Retired from operatic stage--ha! Living in London--quite so! Your Majesty, as I understand, became entangled with this young person, wrote her some compromising letters, and is now desirous of getting those letters back."
79,Holmes,Holmes,Precisely so. But how--
80,Holmes,Holmes,Was there a secret marriage?
81,Holmes,Holmes,None.
82,Holmes,Holmes,No legal papers or certificates?
83,Holmes,Holmes,None.
84,Holmes,Holmes,"Then I fail to follow your Majesty. If this young person should produce her letters for blackmailing or other purposes, how is she to prove their authenticity?"
85,Holmes,Holmes,There is the writing.
86,Holmes,Holmes,"Pooh, pooh! Forgery."
87,Holmes,Holmes,My private note-paper.
88,Holmes,Holmes,Stolen.
89,Holmes,Holmes,My own seal.
90,Holmes,Holmes,Imitated.
91,Holmes,Holmes,My photograph.
92,Holmes,Holmes,Bought.
93,Holmes,Holmes,We were both in the photograph.
94,Holmes,Holmes,"Oh, dear! That is very bad! Your Majesty has indeed committed an indiscretion."
95,Holmes,Holmes,I was mad--insane.
96,Holmes,Holmes,You have compromised yourself seriously.
97,Holmes,Holmes,I was only Crown Prince then. I was young. I am but thirty now.
98,Holmes,Holmes,It must be recovered.
99,Holmes,Holmes,We have tried and failed.
100,Holmes,Holmes,Your Majesty must pay. It must be bought.
101,Holmes,Holmes,She will not sell.
102,Holmes,Holmes,"Stolen, then."
103,Holmes,Holmes,Five attempts have been made. Twice burglars in my pay ransacked her house. Once we diverted her luggage when she travelled. Twice she has been waylaid. There has been no result.
104,Holmes,Holmes,No sign of it?
105,Holmes,Holmes,Absolutely none.
106,Holmes,he,"It is quite a pretty little problem,"
107,Unknown,he,"But a very serious one to me,"
108,Holmes,he,"Very, indeed. And what does she propose to do with the photograph?"
109,her,he,To ruin me.
110,Holmes,he,But how?
111,her,he,I am about to be married.
112,Holmes,he,So I have heard.
113,her,he,"To Clotilde Lothman von Saxe-Meningen, second daughter of the King of Scandinavia. You may know the strict principles of her family. She is herself the very soul of delicacy. A shadow of a doubt as to my conduct would bring the matter to an end."
114,Unknown,he,And Irene Adler?
115,her,he,"Threatens to send them the photograph. And she will do it. I know that she will do it. You do not know her, but she has a soul of steel. She has the face of the most beautiful of women, and the mind of the most resolute of men. Rather than I should marry another woman, there are no lengths to which she would not go--none."
116,Unknown,he,You are sure that she has not sent it yet?
117,Unknown,he,I am sure.
118,Unknown,he,And why?
119,Von Kramm,he,Because she has said that she would send it on the day when the betrothal was publicly proclaimed. That will be next Monday.
120,Holmes,Holmes,"Oh, then we have three days yet,"
121,Holmes,Holmes,"That is very fortunate, as I have one or two matters of importance to look into just at present. Your Majesty will, of course, stay in London for the present?"
122,Holmes,Holmes,Certainly. You will find me at the Langham under the name of the Count Von Kramm.
123,Holmes,Holmes,Then I shall drop you a line to let you know how we progress.
124,Holmes,Holmes,Pray do so. I shall be all anxiety.
125,Holmes,Holmes,"Then, as to money?"
126,Holmes,Holmes,You have carte blanche.
127,Holmes,Holmes,Absolutely?
128,Von Kramm,his,I tell you that I would give one of the provinces of my kingdom to have that photograph.
129,Von Kramm,his,And for present expenses?
130,Von Kramm,his,"There are three hundred pounds in gold and seven hundred in notes,"
131,his,Unknown,And Mademoiselle's address?
132,his,Unknown,"Is Briony Lodge, Serpentine Avenue, St. John's Wood."
133,John,Holmes,"One other question,"
134,Watson,Holmes,Was the photograph a cabinet?
135,his,Unknown,It was.
136,Unknown,Holmes,"Then, good-night, your Majesty, and I trust that we shall soon have some good news for you. And good-night, Watson,"
137,John,Holmes,If you will be good enough to call to-morrow afternoon at three o'clock I should like to chat this little matter over with you.
138,he,his,"Well, really!"
139,Miss Irene Adler,Unknown,What is it?
140,he,Unknown,"It's quite too funny. I am sure you could never guess how I employed my morning, or what I ended by doing."
141,he,Unknown,"I can't imagine. I suppose that you have been watching the habits, and perhaps the house, of Miss Irene Adler."
142,Miss Irene Adler,Unknown,"Quite so; but the sequel was rather unusual. I will tell you, however. I left the house a little after eight o'clock this morning in the character of a groom out of work. There is a wonderful sympathy and freemasonry among horsey men. Be one of them, and you will know all that there is to know. I soon found Briony Lodge. It is a bijou villa, with a garden at the back, but built out in front right up to the road, two stories. Chubb lock to the door. Large sitting-room on the right side, well furnished, with long windows almost to the floor, and those preposterous English window fasteners which a child could open. Behind there was nothing remarkable, save that the passage window could be reached from the top of the coach-house. I walked round it and examined it closely from every point of view, but without noting anything else of interest.

""I then lounged down the street and found, as I expected, that there was a mews in a lane which runs down by one wall of the garden. I lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half and half, two fills of shag tobacco, and as much information as I could desire about Miss Adler, to say nothing of half a dozen other people in the neighbourhood in whom I was not in the least interested, but whose biographies I was compelled to listen to."
143,Miss Irene Adler,Unknown,And what of Irene Adler?
144,Miss Irene Adler,Unknown,"Oh, she has turned all the men's heads down in that part. She is the daintiest thing under a bonnet on this planet. So say the Serpentine-mews, to a man. She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner. Seldom goes out at other times, except when she sings. Has only one male visitor, but a good deal of him. He is dark, handsome, and dashing, never calls less than once a day, and often twice. He is a Mr. Godfrey Norton, of the Inner Temple. See the advantages of a cabman as a confidant. They had driven him home a dozen times from Serpentine-mews, and knew all about him. When I had listened to all they had to tell, I began to walk up and down near Briony Lodge once more, and to think over my plan of campaign.

""This Godfrey Norton was evidently an important factor in the matter. He was a lawyer. That sounded ominous. What was the relation between them, and what the object of his repeated visits? Was she his client, his friend, or his mistress? If the former, she had probably transferred the photograph to his keeping. If the latter, it was less likely. On the issue of this question depended whether I should continue my work at Briony Lodge, or turn my attention to the gentleman's chambers in the Temple. It was a delicate point, and it widened the field of my inquiry. I fear that I bore you with these details, but I have to let you see my little difficulties, if you are to understand the situation."
145,Miss Irene Adler,Unknown,"I am following you closely,"
