lemma,pos,ner
"""",``,O
to,IN,O
the,DT,O
man,NN,O
who,WP,O
love,VBZ,O
art,NN,O
for,IN,O
its,PRP$,O
own,JJ,O
sake,NN,O
",",",",O
"""",'',O
remark,VBD,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
toss,VBG,O
aside,RB,O
the,DT,O
advertisement,NN,O
sheet,NN,O
of,IN,O
the,DT,O
Daily,NNP,ORGANIZATION
Telegraph,NNP,ORGANIZATION
",",",",O
"""",'',O
it,PRP,O
be,VBZ,O
frequently,RB,O
in,IN,O
its,PRP$,O
least,RBS,O
important,JJ,O
and,CC,O
lowliest,JJS,O
manifestation,NNS,O
that,IN,O
the,DT,O
keenest,JJS,O
pleasure,NN,O
be,VBZ,O
to,TO,O
be,VB,O
derive,VBN,O
.,.,O
it,PRP,O
be,VBZ,O
pleasant,JJ,O
to,IN,O
I,PRP,O
to,TO,O
observe,VB,O
",",",",O
Watson,NNP,PERSON
",",",",O
that,IN,O
you,PRP,O
have,VBP,O
so,RB,O
far,RB,O
grasp,VBN,O
this,DT,O
truth,NN,O
that,WDT,O
in,IN,O
these,DT,O
little,JJ,O
record,NNS,O
of,IN,O
we,PRP$,O
case,NNS,O
which,WDT,O
you,PRP,O
have,VBP,O
be,VBN,O
good,JJ,O
enough,RB,O
to,TO,O
draw,VB,O
up,RP,O
",",",",O
and,CC,O
",",",",O
I,PRP,O
be,VBP,O
bind,VBN,O
to,TO,O
say,VB,O
",",",",O
occasionally,RB,O
to,TO,O
embellish,VB,O
",",",",O
you,PRP,O
have,VBP,O
give,VBN,O
prominence,NN,O
not,RB,O
so,RB,O
much,JJ,O
to,IN,O
the,DT,O
many,JJ,O
cause,NNS,O
célèbres,NNS,O
and,CC,O
sensational,JJ,O
trial,NNS,O
in,IN,O
which,WDT,O
I,PRP,O
have,VBP,O
figure,VBN,O
but,CC,O
rather,RB,O
to,IN,O
those,DT,O
incident,NNS,O
which,WDT,O
may,MD,O
have,VB,O
be,VBN,O
trivial,JJ,O
in,IN,O
themselves,PRP,O
",",",",O
but,CC,O
which,WDT,O
have,VBP,O
give,VBN,O
room,NN,O
for,IN,O
those,DT,O
faculty,NNS,O
of,IN,O
deduction,NN,O
and,CC,O
of,IN,O
logical,JJ,O
synthesis,NN,O
which,WDT,O
I,PRP,O
have,VBP,O
make,VBN,O
my,PRP$,O
special,JJ,O
province,NN,O
.,.,O
"""",``,O
"""",``,O
and,CC,O
yet,RB,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
",",",",O
smile,VBG,O
",",",",O
"""",``,O
I,PRP,O
can,MD,O
not,RB,O
quite,RB,O
hold,VB,O
myself,PRP,O
absolve,VBN,O
from,IN,O
the,DT,O
charge,NN,O
of,IN,O
sensationalism,NN,O
which,WDT,O
have,VBZ,O
be,VBN,O
urge,VBN,O
against,IN,O
my,PRP$,O
record,NNS,O
.,.,O
"""",``,O
"""",``,O
you,PRP,O
have,VBP,O
err,VBN,O
",",",",O
perhaps,RB,O
",",",",O
"""",'',O
he,PRP,O
observe,VBD,O
",",",",O
take,VBG,O
up,RP,O
a,DT,O
glow,VBG,O
cinder,NN,O
with,IN,O
the,DT,O
tong,NNS,O
and,CC,O
lighting,NN,O
with,IN,O
it,PRP,O
the,DT,O
long,JJ,O
cherry,NN,O
-,HYPH,O
wood,NN,O
pipe,NN,O
which,WDT,O
be,VBD,O
wont,JJ,O
to,TO,O
replace,VB,O
he,PRP$,O
clay,NN,O
when,WRB,O
he,PRP,O
be,VBD,O
in,IN,O
a,DT,O
disputatious,JJ,O
rather,RB,O
than,IN,O
a,DT,O
meditative,JJ,O
mood,NN,O
--,:,O
"""",``,O
you,PRP,O
have,VBP,O
err,VBN,O
perhaps,RB,O
in,IN,O
attempt,VBG,O
to,TO,O
put,VB,O
colour,NN,O
and,CC,O
life,NN,O
into,IN,O
each,DT,O
of,IN,O
you,PRP$,O
statement,NNS,O
instead,RB,O
of,IN,O
confine,VBG,O
yourself,PRP,O
to,IN,O
the,DT,O
task,NN,O
of,IN,O
place,VBG,O
upon,IN,O
record,NN,O
that,WDT,O
severe,JJ,O
reasoning,NN,O
from,IN,O
cause,NN,O
to,IN,O
effect,NN,O
which,WDT,O
be,VBZ,O
really,RB,O
the,DT,O
only,JJ,O
notable,JJ,O
feature,NN,O
about,IN,O
the,DT,O
thing,NN,O
.,.,O
"""",``,O
"""",``,O
it,PRP,O
seem,VBZ,O
to,IN,O
I,PRP,O
that,IN,O
I,PRP,O
have,VBP,O
do,VBN,O
you,PRP,O
full,JJ,O
justice,NN,O
in,IN,O
the,DT,O
matter,NN,O
",",",",O
"""",``,O
I,PRP,O
remark,VBD,O
with,IN,O
some,DT,O
coldness,NN,O
",",",",O
for,IN,O
I,PRP,O
be,VBD,O
repel,VBN,O
by,IN,O
the,DT,O
egotism,NN,O
which,WDT,O
I,PRP,O
have,VBD,O
more,JJR,O
than,IN,O
once,RB,O
observe,VBN,O
to,TO,O
be,VB,O
a,DT,O
strong,JJ,O
factor,NN,O
in,IN,O
my,PRP$,O
friend,NN,O
's,POS,O
singular,JJ,O
character,NN,O
.,.,O
"""",'',O
no,UH,O
",",",",O
it,PRP,O
be,VBZ,O
not,RB,O
selfishness,NN,O
or,CC,O
conceit,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
answer,VBG,O
",",",",O
as,IN,O
be,VBD,O
he,PRP$,O
wont,NN,O
",",",",O
my,PRP$,O
thought,NNS,O
rather,RB,O
than,IN,O
my,PRP$,O
word,NNS,O
.,.,O
"""",'',O
if,IN,O
I,PRP,O
claim,VBP,O
full,JJ,O
justice,NN,O
for,IN,O
my,PRP$,O
art,NN,O
",",",",O
it,PRP,O
be,VBZ,O
because,IN,O
it,PRP,O
be,VBZ,O
a,DT,O
impersonal,JJ,O
thing,NN,O
--,:,O
a,DT,O
thing,NN,O
beyond,IN,O
myself,PRP,O
.,.,O
crime,NN,O
be,VBZ,O
common,JJ,O
.,.,O
logic,NN,MISC
be,VBZ,O
rare,JJ,O
.,.,O
therefore,RB,O
it,PRP,O
be,VBZ,O
upon,IN,O
the,DT,O
logic,NN,O
rather,RB,O
than,IN,O
upon,IN,O
the,DT,O
crime,NN,O
that,WDT,O
you,PRP,O
should,MD,O
dwell,VB,O
.,.,O
you,PRP,O
have,VBP,O
degrade,VBN,O
what,WP,O
should,MD,O
have,VB,O
be,VBN,O
a,DT,O
course,NN,O
of,IN,O
lecture,NNS,O
into,IN,O
a,DT,O
series,NN,O
