lemma,pos,ner
it,PRP,O
be,VBD,O
on,IN,O
a,DT,O
bitterly,RB,O
cold,JJ,O
and,CC,O
frosty,JJ,O
morning,NN,O
during,IN,O
the,DT,O
winter,NN,O
of,IN,O
'97,CD,O
that,WDT,O
I,PRP,O
be,VBD,O
awaken,VBN,O
by,IN,O
a,DT,O
tug,VBG,O
at,IN,O
my,PRP$,O
shoulder,NN,O
.,.,O
it,PRP,O
be,VBD,O
Holmes,NNP,PERSON
.,.,O
the,DT,O
candle,NN,O
in,IN,O
he,PRP$,O
hand,NN,O
shine,VBD,O
upon,IN,O
he,PRP$,O
eager,JJ,O
",",",",O
stoop,VBG,O
face,NN,O
and,CC,O
tell,VBD,O
I,PRP,O
at,IN,O
a,DT,O
glance,NN,O
that,WDT,O
something,NN,O
be,VBD,O
amiss,JJ,O
.,.,O
"""",``,O
come,VB,O
",",",",O
Watson,NNP,PERSON
",",",",O
come,VB,O
!,.,O
"""",'',O
he,PRP,O
cry,VBD,O
.,.,O
"""",``,O
the,DT,O
game,NN,O
be,VBZ,O
afoot,JJ,O
.,.,O
not,RB,O
a,DT,O
word,NN,O
!,.,O
into,IN,O
you,PRP$,O
clothes,NNS,O
and,CC,O
come,VB,O
!,.,O
"""",``,O
ten,CD,O
minute,NNS,O
later,RB,O
we,PRP,O
be,VBD,O
both,CC,O
in,IN,O
a,DT,O
cab,NN,O
and,CC,O
rattle,VBG,O
through,IN,O
the,DT,O
silent,JJ,O
street,NNS,O
on,IN,O
we,PRP$,O
way,NN,O
to,IN,O
Charing,NNP,ORGANIZATION
Cross,NNP,ORGANIZATION
Station,NNP,ORGANIZATION
.,.,O
the,DT,O
first,JJ,O
faint,JJ,O
winter,NN,O
's,POS,O
dawn,NN,O
be,VBD,O
begin,VBG,O
to,TO,O
appear,VB,O
",",",",O
and,CC,O
we,PRP,O
could,MD,O
dimly,RB,O
see,VB,O
the,DT,O
occasional,JJ,O
figure,NN,O
of,IN,O
a,DT,O
early,JJ,O
workman,NN,O
as,IN,O
he,PRP,O
pass,VBD,O
we,PRP,O
",",",",O
blurred,JJ,O
and,CC,O
indistinct,JJ,O
in,IN,O
the,DT,O
opalescent,JJ,O
London,NNP,LOCATION
reek,NN,O
.,.,O
Holmes,NNP,PERSON
nestle,VBD,O
in,IN,O
silence,NN,O
into,IN,O
he,PRP$,O
heavy,JJ,O
coat,NN,O
",",",",O
and,CC,O
I,PRP,O
be,VBD,O
glad,JJ,O
to,TO,O
do,VB,O
the,DT,O
same,JJ,O
",",",",O
for,IN,O
the,DT,O
air,NN,O
be,VBD,O
most,RBS,O
bitter,JJ,O
and,CC,O
neither,DT,O
of,IN,O
we,PRP,O
have,VBD,O
break,VBN,O
we,PRP$,O
fast,JJ,O
.,.,O
it,PRP,O
be,VBD,O
not,RB,O
until,IN,O
we,PRP,O
have,VBD,O
consume,VBN,O
some,DT,O
hot,JJ,O
