lemma,pos,ner
it,PRP,O
be,VBZ,O
with,IN,O
a,DT,O
heavy,JJ,O
heart,NN,O
that,WDT,O
I,PRP,O
take,VBP,O
up,RP,O
my,PRP$,O
pen,NN,O
to,TO,O
write,VB,O
these,DT,O
the,DT,O
last,JJ,O
word,NNS,O
in,IN,O
which,WDT,O
I,PRP,O
shall,MD,O
ever,RB,O
record,VB,O
the,DT,O
singular,JJ,O
gift,NNS,O
by,IN,O
which,WDT,O
my,PRP$,O
friend,NN,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
be,VBD,O
distinguish,VBN,O
.,.,O
in,IN,O
a,DT,O
incoherent,JJ,O
and,CC,O
",",",",O
as,IN,O
I,PRP,O
deeply,RB,O
feel,VBP,O
",",",",O
a,DT,O
entirely,RB,O
inadequate,JJ,O
fashion,NN,O
",",",",O
I,PRP,O
have,VBP,O
endeavor,VBN,O
to,TO,O
give,VB,O
some,DT,O
account,NN,O
of,IN,O
my,PRP$,O
strange,JJ,O
experience,NNS,O
in,IN,O
he,PRP$,O
company,NN,O
from,IN,O
the,DT,O
chance,NN,O
which,WDT,O
first,RB,O
bring,VBD,O
we,PRP,O
together,RB,O
at,IN,O
the,DT,O
period,NN,O
of,IN,O
the,DT,O
"""",``,O
study,NN,O
in,IN,O
Scarlet,NNP,LOCATION
",",",",O
"""",``,O
up,RB,O
to,IN,O
the,DT,O
time,NN,O
of,IN,O
he,PRP$,O
interference,NN,O
in,IN,O
the,DT,O
matter,NN,O
of,IN,O
the,DT,O
"""",``,O
Naval,NNP,O
Treaty,NNP,O
"""",'',O
--,:,O
a,DT,O
interference,NN,O
which,WDT,O
have,VBD,O
the,DT,O
unquestionable,JJ,O
effect,NN,O
of,IN,O
prevent,VBG,O
a,DT,O
serious,JJ,O
international,JJ,O
complication,NN,O
.,.,O
it,PRP,O
be,VBD,O
my,PRP$,O
intention,NN,O
to,TO,O
have,VB,O
stop,VBN,O
there,RB,O
",",",",O
and,CC,O
to,TO,O
have,VB,O
say,VBN,O
nothing,NN,O
of,IN,O
that,DT,O
event,NN,O
which,WDT,O
have,VBZ,O
create,VBN,O
a,DT,O
void,NN,O
in,IN,O
my,PRP$,O
life,NN,O
which,WDT,O
the,DT,O
lapse,NN,O
of,IN,O
two,CD,O
year,NNS,O
have,VBZ,O
do,VBN,O
little,JJ,O
to,TO,O
fill,VB,O
.,.,O
my,PRP$,O
hand,NN,O
have,VBZ,O
be,VBN,O
force,VBN,O
",",",",O
however,RB,O
",",",",O
by,IN,O
the,DT,O
recent,JJ,O
letter,NNS,O
in,IN,O
which,WDT,O
Colonel,NNP,O
James,NNP,PERSON
Moriarty,NNP,PERSON
defend,VBZ,O
the,DT,O
memory,NN,O
of,IN,O
he,PRP$,O
brother,NN,O
",",",",O
and,CC,O
I,PRP,O
have,VBP,O
no,DT,O
choice,NN,O
but,IN,O
to,TO,O
lay,VB,O
the,DT,O
fact,NNS,O
before,IN,O
the,DT,O
public,JJ,O
exactly,RB,O
as,IN,O
they,PRP,O
occur,VBD,O
.,.,O
I,PRP,O
alone,RB,O
know,VBP,O
the,DT,O
absolute,JJ,O
truth,NN,O
of,IN,O
the,DT,O
matter,NN,O
",",",",O
and,CC,O
I,PRP,O
be,VBP,O
satisfied,JJ,O
that,IN,O
the,DT,O
time,NN,O
have,VBZ,O
come,VBN,O
when,WRB,O
no,DT,O
good,JJ,O
purpose,NN,O
be,VBZ,O
to,TO,O
be,VB,O
serve,VBN,O
by,IN,O
its,PRP$,O
suppression,NN,O
.,.,O
as,RB,O
