lemma,pos,ner
"""",``,O
Holmes,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
as,IN,O
I,PRP,O
stand,VBD,O
one,CD,O
morning,NN,O
in,IN,O
we,PRP$,O
bow,NN,O
-,HYPH,O
window,NN,O
look,VBG,O
down,IN,O
the,DT,O
street,NN,O
",",",",O
"""",'',O
here,RB,O
be,VBZ,O
a,DT,O
madman,NN,O
come,VBG,O
along,RB,O
.,.,O
it,PRP,O
seem,VBZ,O
rather,RB,O
sad,JJ,O
that,IN,O
he,PRP$,O
relative,NNS,O
should,MD,O
allow,VB,O
he,PRP,O
to,TO,O
come,VB,O
out,RB,O
alone,RB,O
.,.,O
"""",``,O
my,PRP$,O
friend,NN,O
rise,VBD,O
lazily,RB,O
from,IN,O
he,PRP$,O
armchair,NN,O
and,CC,O
stand,VBD,O
with,IN,O
he,PRP$,O
hand,NNS,O
in,IN,O
the,DT,O
pocket,NNS,O
of,IN,O
he,PRP$,O
dressing,NN,O
-,HYPH,O
gown,NN,O
",",",",O
look,VBG,O
over,IN,O
my,PRP$,O
shoulder,NN,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
bright,JJ,O
",",",",O
crisp,JJ,O
February,NNP,DATE
morning,NN,TIME
",",",",O
and,CC,O
the,DT,O
snow,NN,O
of,IN,O
the,DT,O
day,NN,O
before,IN,O
still,RB,O
lay,JJ,O
deep,JJ,O
upon,IN,O
the,DT,O
ground,NN,O
",",",",O
shimmering,JJ,O
brightly,RB,O
in,IN,O
the,DT,O
wintry,JJ,O
sun,NN,O
.,.,O
down,IN,O
the,DT,O
centre,NN,O
of,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
it,PRP,O
have,VBD,O
be,VBN,O
plough,VBN,O
into,IN,O
a,DT,O
brown,JJ,O
crumbly,JJ,O
band,NN,O
by,IN,O
the,DT,O
traffic,NN,O
",",",",O
but,CC,O
at,IN,O
either,DT,O
side,NN,O
and,CC,O
on,IN,O
the,DT,O
heap,VBN,O
-,HYPH,O
up,RP,O
edge,NNS,O
of,IN,O
the,DT,O
foot,NN,O
-,HYPH,O
path,NNS,O
it,PRP,O
still,RB,O
lay,VBD,O
as,IN,O
white,JJ,O
as,IN,O
when,WRB,O
it,PRP,O
fall,VBD,O
.,.,O
the,DT,O
grey,JJ,O
pavement,NN,O
have,VBD,O
be,VBN,O
clean,VBN,O
and,CC,O
scrape,VBN,O
",",",",O
but,CC,O
be,VBD,O
still,RB,O
dangerously,RB,O
slippery,JJ,O
",",",",O
so,IN,O
that,IN,O
there,EX,O
be,VBD,O
fewer,JJR,O
passenger,NNS,O
than,IN,O
usual,JJ,O
.,.,O
indeed,RB,O
",",",",O
from,IN,O
the,DT,O
direction,NN,O
of,IN,O
the,DT,O
Metropolitan,NNP,O
Station,NNP,O
no,DT,O
one,NN,O
be,VBD,O
come,VBG,O
save,IN,O
the,DT,O
single,JJ,O
gentleman,NN,O
whose,WP$,O
eccentric,JJ,O
conduct,NN,O
have,VBD,O
draw,VBN,O
my,PRP$,O
attention,NN,O
.,.,O
he,PRP,O
be,VBD,O
a,DT,O
man,NN,O
of,IN,O
about,RB,O
fifty,CD,O
",",",",O
tall,JJ,O
",",",",O
portly,JJ,O
",",",",O
and,CC,O
impose,VBG,O
",",",",O
with,IN,O
a,DT,O
massive,JJ,O
",",",",O
strongly,RB,O
marked,JJ,O
face,NN,O
and,CC,O
a,DT,O
command,VBG,O
figure,NN,O
.,.,O
he,PRP,O
be,VBD,O
dress,VBN,O
in,IN,O
a,DT,O
sombre,JJ,O
yet,CC,O
rich,JJ,O
style,NN,O
",",",",O
in,IN,O
black,JJ,O
frock,NN,O
-,HYPH,O
coat,NN,O
",",",",O
shine,VBG,O
hat,NN,O
",",",",O
neat,JJ,O
brown,JJ,O
gaiter,NNS,O
",",",",O
and,CC,O
well,RB,O
-,HYPH,O
cut,VBN,O
pearl,NN,O
-,HYPH,O
grey,JJ,O
trousers,NNS,O
.,.,O
yet,CC,O
he,PRP$,O
action,NNS,O
be,VBD,O
in,IN,O
absurd,JJ,O
contrast,NN,O
to,IN,O
the,DT,O
dignity,NN,O
of,IN,O
he,PRP$,O
dress,NN,O
and,CC,O
feature,NNS,O
",",",",O
for,IN,O
he,PRP,O
be,VBD,O
run,VBG,O
hard,RB,O
",",",",O
with,IN,O
occasional,JJ,O
little,JJ,O
spring,NNS,O
",",",",O
such,JJ,O
as,IN,O
a,DT,O
weary,JJ,O
man,NN,O
give,VBZ,O
who,WP,O
be,VBZ,O
little,JJ,O
accustomed,JJ,O
to,TO,O
set,VB,O
any,DT,O
tax,NN,O
upon,IN,O
he,PRP$,O
leg,NNS,O
.,.,O
as,IN,O
he,PRP,O
run,VBD,O
he,PRP,O
jerk,VBD,O
he,PRP$,O
hand,NNS,O
up,RP,O
and,CC,O
down,RP,O
",",",",O
waggle,VBD,O
he,PRP$,O
head,NN,O
",",",",O
and,CC,O
writhe,VBD,O
he,PRP$,O
face,NN,O
into,IN,O
the,DT,O
most,RBS,O
extraordinary,JJ,O
contortion,NNS,O
.,.,O
"""",``,O
what,WP,O
on,IN,O
earth,NN,O
can,MD,O
be,VB,O
the,DT,O
matter,NN,O
with,IN,O
he,PRP,O
?,.,O
"""",'',O
I,PRP,O
ask,VBD,O
.,.,O
"""",``,O
he,PRP,O
be,VBZ,O
look,VBG,O
up,RP,O
at,IN,O
the,DT,O
number,NNS,O
of,IN,O
the,DT,O
house,NNS,O
.,.,O
"""",'',O
"""",``,O
I,PRP,O
believe,VBP,O
that,IN,O
he,PRP,O
be,VBZ,O
come,VBG,O
here,RB,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
rub,VBG,O
he,PRP$,O
hand,NNS,O
.,.,O
"""",``,O
here,RB,O
?,.,O
"""",'',O
"""",``,O
yes,UH,O
;,:,O
I,PRP,O
rather,RB,O
think,VBP,O
he,PRP,O
be,VBZ,O
come,VBG,O
to,IN,O
consult,VB,O
I,PRP,O
