occurence,speaker,canonicalSpeaker,text
0,Holmes,Holmes,"You could not possibly have come at a better time, my dear Watson,"
1,Watson,Watson,I was afraid that you were engaged.
2,Holmes,Holmes,So I am. Very much so.
3,Holmes,Holmes,Then I can wait in the next room.
4,Holmes,Holmes,"Not at all. This gentleman, Mr. Wilson, has been my partner and helper in many of my most successful cases, and I have no doubt that he will be of the utmost use to me in yours also."
5,Holmes,Holmes,"Try the settee,"
6,Holmes,Holmes,"I know, my dear Watson, that you share my love of all that is bizarre and outside the conventions and humdrum routine of everyday life. You have shown your relish for it by the enthusiasm which has prompted you to chronicle, and, if you will excuse my saying so, somewhat to embellish so many of my own little adventures."
7,Holmes,Holmes,"Your cases have indeed been of the greatest interest to me,"
8,Holmes,Holmes,"You will remember that I remarked the other day, just before we went into the very simple problem presented by Miss Mary Sutherland, that for strange effects and extraordinary combinations we must go to life itself, which is always far more daring than any effort of the imagination."
9,Holmes,Holmes,A proposition which I took the liberty of doubting.
10,Holmes,Holmes,"You did, Doctor, but none the less you must come round to my view, for otherwise I shall keep on piling fact upon fact on you until your reason breaks down under them and acknowledges me to be right. Now, Mr. Jabez Wilson here has been good enough to call upon me this morning, and to begin a narrative which promises to be one of the most singular which I have listened to for some time. You have heard me remark that the strangest and most unique things are very often connected not with the larger but with the smaller crimes, and occasionally, indeed, where there is room for doubt whether any positive crime has been committed. As far as I have heard it is impossible for me to say whether the present case is an instance of crime or not, but the course of events is certainly among the most singular that I have ever listened to. Perhaps, Mr. Wilson, you would have the great kindness to recommence your narrative. I ask you not merely because my friend Dr. Watson has not heard the opening part but also because the peculiar nature of the story makes me anxious to have every possible detail from your lips. As a rule, when I have heard some slight indication of the course of events, I am able to guide myself by the thousands of other similar cases which occur to my memory. In the present instance I am forced to admit that the facts are, to the best of my belief, unique."
11,his,Unknown,"Beyond the obvious facts that he has at some time done manual labour, that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lately, I can deduce nothing else."
12,his,Mr. Jabez Wilson,"How, in the name of good-fortune, did you know all that, Mr. Holmes?"
13,Mr. Jabez Wilson,Mr. Jabez Wilson,"How did you know, for example, that I did manual labour. It's as true as gospel, for I began as a ship's carpenter."
14,Mr. Jabez Wilson,Mr. Jabez Wilson,"Your hands, my dear sir. Your right hand is quite a size larger than your left. You have worked with it, and the muscles are more developed."
15,Mr. Jabez Wilson,Mr. Jabez Wilson,"Well, the snuff, then, and the Freemasonry?"
16,his,Mr. Jabez Wilson,"I won't insult your intelligence by telling you how I read that, especially as, rather against the strict rules of your order, you use an arc-and-compass breastpin."
17,Mr. Jabez Wilson,Mr. Jabez Wilson,"Ah, of course, I forgot that. But the writing?"
18,his,Mr. Jabez Wilson,"What else can be indicated by that right cuff so very shiny for five inches, and the left one with the smooth patch near the elbow where you rest it upon the desk?"
19,Mr. Jabez Wilson,Mr. Jabez Wilson,"Well, but China?"
20,Mr. Jabez Wilson,Mr. Jabez Wilson,"The fish that you have tattooed immediately above your right wrist could only have been done in China. I have made a small study of tattoo marks and have even contributed to the literature of the subject. That trick of staining the fishes' scales of a delicate pink is quite peculiar to China. When, in addition, I see a Chinese coin hanging from your watch-chain, the matter becomes even more simple."
21,Mr. Jabez Wilson,he,"Well, I never!"
22,Watson,he,"I thought at first that you had done something clever, but I see that there was nothing in it, after all."
23,Holmes,Holmes,"I begin to think, Watson,"
