lemma,pos,ner
Isa,NNP,PERSON
Whitney,NNP,PERSON
",",",",O
brother,NN,O
of,IN,O
the,DT,O
late,JJ,O
Elias,NNP,PERSON
Whitney,NNP,PERSON
",",",",O
D.D.,NNP,O
",",",",O
principal,NN,O
of,IN,O
the,DT,O
Theological,NNP,ORGANIZATION
College,NNP,ORGANIZATION
of,IN,ORGANIZATION
St.,NNP,ORGANIZATION
George,NNP,ORGANIZATION
's,POS,O
",",",",O
be,VBD,O
much,JJ,O
addict,VBN,O
to,IN,O
opium,NN,O
.,.,O
the,DT,O
habit,NN,O
grow,VBD,O
upon,IN,O
he,PRP,O
",",",",O
as,IN,O
I,PRP,O
understand,VBP,O
",",",",O
from,IN,O
some,DT,O
foolish,JJ,O
freak,NN,O
when,WRB,O
he,PRP,O
be,VBD,O
at,IN,O
college,NN,O
;,:,O
for,IN,O
have,VBG,O
read,VBN,O
De,NNP,PERSON
Quincey,NNP,PERSON
's,POS,O
description,NN,O
of,IN,O
he,PRP$,O
dream,NNS,O
and,CC,O
sensation,NNS,O
",",",",O
he,PRP,O
have,VBD,O
drench,VBN,O
he,PRP$,O
tobacco,NN,O
with,IN,O
laudanum,NN,O
in,IN,O
a,DT,O
attempt,NN,O
to,TO,O
produce,VB,O
the,DT,O
same,JJ,O
effect,NNS,O
.,.,O
he,PRP,O
find,VBD,O
",",",",O
as,IN,O
so,RB,O
many,JJ,O
more,JJR,O
have,VBP,O
do,VBN,O
",",",",O
that,IN,O
the,DT,O
practice,NN,O
be,VBZ,O
easier,JJR,O
to,TO,O
attain,VB,O
than,IN,O
to,TO,O
get,VB,O
rid,VBN,O
of,IN,O
",",",",O
and,CC,O
for,IN,O
many,JJ,O
year,NNS,O
he,PRP,O
continue,VBD,O
to,TO,O
be,VB,O
a,DT,O
slave,NN,O
to,IN,O
the,DT,O
drug,NN,O
",",",",O
a,DT,O
object,NN,O
of,IN,O
mingle,VBN,O
horror,NN,O
and,CC,O
pity,NN,O
to,IN,O
he,PRP$,O
friend,NNS,O
and,CC,O
relative,NNS,O
.,.,O
I,PRP,O
can,MD,O
see,VB,O
he,PRP,O
now,RB,O
",",",",O
with,IN,O
yellow,JJ,O
",",",",O
pasty,JJ,O
face,NN,O
",",",",O
droop,VBG,O
lid,NNS,O
",",",",O
and,CC,O
pin,NN,O
-,HYPH,O
point,NN,O
pupil,NNS,O
",",",",O
all,DT,O
huddle,VBD,O
in,IN,O
a,DT,O
chair,NN,O
",",",",O
the,DT,O
wreck,NN,O
and,CC,O
ruin,NN,O
of,IN,O
a,DT,O
noble,JJ,O
man,NN,O
.,.,O
one,CD,O
night,NN,O
--,:,O
it,PRP,O
be,VBD,O
in,IN,O
June,NNP,DATE
",",",",O
','',DATE
89,CD,DATE
--,:,O
there,RB,O
come,VBD,O
a,DT,O
ring,NN,O
to,IN,O
my,PRP$,O
bell,NN,O
",",",",O
about,IN,O
the,DT,O
hour,NN,O
when,WRB,O
a,DT,O
man,NN,O
give,VBZ,O
he,PRP$,O
first,JJ,O
yawn,NN,O
and,CC,O
glance,NNS,O
at,IN,O
the,DT,O
clock,NN,O
.,.,O
I,PRP,O
sit,VBD,O
up,RP,O
in,IN,O
my,PRP$,O
chair,NN,O
",",",",O
and,CC,O
my,PRP$,O
wife,NN,O
lay,VBD,O
she,PRP$,O
needle,NN,O
-,HYPH,O
work,NN,O
down,RB,O
in,IN,O
she,PRP$,O
lap,NN,O
and,CC,O
make,VBD,O
a,DT,O
little,JJ,O
face,NN,O
of,IN,O
disappointment,NN,O
.,.,O
"""",``,O
a,DT,O
patient,NN,O
!,.,O
"""",'',O
say,VBD,O
she,PRP,O
.,.,O
"""",``,O
you,PRP,O
will,MD,O
have,VB,O
to,TO,O
go,VB,O
out,RP,O
.,.,O
"""",'',O
I,PRP,O
groan,VBD,O
",",",",O
for,IN,O
I,PRP,O
be,VBD,O
newly,RB,O
come,VBN,O
back,RB,O
from,IN,O
a,DT,O
weary,JJ,O
day,NN,O
.,.,O
we,PRP,O
hear,VBD,O
the,DT,O
door,NN,O
open,JJ,O
",",",",O
a,DT,O
few,JJ,O
hurried,JJ,O
word,NNS,O
",",",",O
and,CC,O
then,RB,O
quick,JJ,O
step,NNS,O
upon,IN,O
the,DT,O
