lemma,pos,ner
"""",``,O
my,PRP$,O
dear,JJ,O
fellow,NN,O
",",",",O
"""",'',O
say,VBD,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
as,IN,O
we,PRP,O
sit,VBD,O
on,IN,O
either,DT,O
side,NN,O
of,IN,O
the,DT,O
fire,NN,O
in,IN,O
he,PRP$,O
lodgings,NNS,O
at,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
"""",``,O
life,NN,O
be,VBZ,O
infinitely,RB,O
stranger,JJR,O
than,IN,O
anything,NN,O
which,WDT,O
the,DT,O
mind,NN,O
of,IN,O
man,NN,O
could,MD,O
invent,VB,O
.,.,O
we,PRP,O
would,MD,O
not,RB,O
dare,VB,O
to,TO,O
conceive,VB,O
the,DT,O
thing,NNS,O
which,WDT,O
be,VBP,O
really,RB,O
mere,JJ,O
commonplace,NNS,O
of,IN,O
existence,NN,O
.,.,O
if,IN,O
we,PRP,O
could,MD,O
fly,VB,O
out,IN,O
of,IN,O
that,DT,O
window,NN,O
hand,NN,O
in,IN,O
hand,NN,O
",",",",O
hover,VB,O
over,IN,O
this,DT,O
great,JJ,O
city,NN,O
",",",",O
gently,RB,O
remove,VB,O
the,DT,O
roof,NNS,O
",",",",O
and,CC,O
peep,NN,O
in,IN,O
at,IN,O
the,DT,O
queer,NN,O
thing,NNS,O
which,WDT,O
be,VBP,O
go,VBG,O
on,RP,O
",",",",O
the,DT,O
strange,JJ,O
coincidence,NNS,O
",",",",O
the,DT,O
planning,NNS,O
",",",",O
the,DT,O
cross-purposes,NNS,O
",",",",O
the,DT,O
wonderful,JJ,O
chain,NNS,O
of,IN,O
event,NNS,O
",",",",O
work,VBG,O
through,IN,O
generation,NNS,O
",",",",O
and,CC,O
lead,VBG,O
to,IN,O
the,DT,O
most,RBS,O
outré,JJ,O
result,NNS,O
",",",",O
it,PRP,O
would,MD,O
make,VB,O
all,DT,O
fiction,NN,O
with,IN,O
its,PRP$,O
conventionality,NNS,O
and,CC,O
foresee,VBN,O
conclusion,NNS,O
most,RBS,O
stale,JJ,O
and,CC,O
unprofitable,JJ,O
.,.,O
"""",``,O
"""",``,O
and,CC,O
yet,CC,O
I,PRP,O
be,VBP,O
not,RB,O
convince,VBN,O
of,IN,O
it,PRP,O
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
.,.,O
"""",'',O
the,DT,O
case,NNS,O
which,WDT,O
come,VBP,O
to,IN,O
light,NN,O
in,IN,O
the,DT,O
papers,NNS,O
be,VBP,O
",",",",O
as,IN,O
a,DT,O
rule,NN,O
",",",",O
bald,JJ,O
enough,RB,O
",",",",O
and,CC,O
vulgar,JJ,O
enough,JJ,O
.,.,O
we,PRP,O
have,VBP,O
in,IN,O
we,PRP$,O
police,NN,O
report,VBZ,O
realism,NN,O
push,VBN,O
to,IN,O
its,PRP$,O
extreme,JJ,O
limit,NNS,O
",",",",O
and,CC,O
yet,RB,O
the,DT,O
result,NN,O
be,VBZ,O
",",",",O
it,PRP,O
must,MD,O
be,VB,O
confess,VBN,O
",",",",O
neither,CC,O
fascinating,JJ,O
nor,CC,O
artistic,JJ,O
.,.,O
"""",``,O
"""",``,O
a,DT,O
certain,JJ,O
selection,NN,O
and,CC,O
