lemma,pos,ner
when,WRB,O
I,PRP,O
look,VBP,O
at,IN,O
the,DT,O
three,CD,O
massive,JJ,O
manuscript,NN,O
volume,NNS,O
which,WDT,O
contain,VBP,O
we,PRP$,O
work,NN,O
for,IN,O
the,DT,O
year,NN,O
1894,CD,DATE
I,PRP,O
confess,VBP,O
that,IN,O
it,PRP,O
be,VBZ,O
very,RB,O
difficult,JJ,O
for,IN,O
I,PRP,O
",",",",O
out,IN,O
of,IN,O
such,PDT,O
a,DT,O
wealth,NN,O
of,IN,O
material,NN,O
",",",",O
to,TO,O
select,VB,O
the,DT,O
case,NNS,O
which,WDT,O
be,VBP,O
most,RBS,O
interesting,JJ,O
in,IN,O
themselves,PRP,O
and,CC,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
most,RBS,O
conducive,JJ,O
to,IN,O
a,DT,O
display,NN,O
of,IN,O
those,DT,O
peculiar,JJ,O
power,NNS,O
for,IN,O
which,WDT,O
my,PRP$,O
friend,NN,O
be,VBD,O
famous,JJ,O
.,.,O
as,IN,O
I,PRP,O
turn,VBP,O
over,RP,O
the,DT,O
page,NNS,O
I,PRP,O
see,VBP,O
my,PRP$,O
note,NNS,O
upon,IN,O
the,DT,O
repulsive,JJ,O
story,NN,O
of,IN,O
the,DT,O
red,JJ,O
leech,NN,O
and,CC,O
the,DT,O
terrible,JJ,O
death,NN,O
of,IN,O
Crosby,NNP,LOCATION
the,DT,O
banker,NN,O
.,.,O
here,RB,O
also,RB,O
I,PRP,O
find,VBP,O
a,DT,O
account,NN,O
of,IN,O
the,DT,O
Addleton,NNP,O
tragedy,NN,O
and,CC,O
the,DT,O
singular,JJ,O
contents,NNS,O
of,IN,O
the,DT,O
ancient,JJ,O
british,JJ,MISC
barrow,NN,O
.,.,O
the,DT,O
famous,JJ,O
Smith,NNP,O
-,HYPH,O
Mortimer,NNP,O
succession,NN,O
case,NN,O
come,VBZ,O
also,RB,O
within,IN,O
this,DT,O
period,NN,O
",",",",O
and,CC,O
so,RB,O
do,VBZ,O
the,DT,O
tracking,NN,O
and,CC,O
arrest,NN,O
of,IN,O
Huret,NNP,LOCATION
",",",",O
the,DT,O
Boulevard,NNP,LOCATION
assassin,NN,O
--,:,O
a,DT,O
exploit,VB,O
which,WDT,O
win,VBD,O
for,IN,O
Holmes,NNP,PERSON
a,DT,O
autograph,NN,O
letter,NN,O
of,IN,O
thanks,NNS,O
from,IN,O
the,DT,O
french,JJ,MISC
President,NNP,O
and,CC,O
the,DT,O
Order,NNP,O
of,IN,O
the,DT,O
Legion,NNP,O
of,IN,O
Honour,NNP,O
.,.,O
each,DT,O
of,IN,O
these,DT,O
would,MD,O
furnish,VB,O
a,DT,O
narrative,NN,O
",",",",O
but,CC,O
on,IN,O
the,DT,O
whole,JJ,O
I,PRP,O
be,VBP,O
of,IN,O
opinion,NN,O
that,IN,O
none,NN,O
of,IN,O
they,PRP,O
unite,VB,O
so,RB,O
many,JJ,O
singular,JJ,O
point,NNS,O
of,IN,O
interest,NN,O
as,IN,O
the,DT,O
episode,NN,O
of,IN,O
Yoxley,NNP,O
Old,NNP,O
Place,NNP,O
",",",",O
which,WDT,O
include,VBZ,O
not,RB,O
only,RB,O
the,DT,O
lamentable,JJ,O
death,NN,O
of,IN,O
young,JJ,O
Willoughby,NNP,PERSON
Smith,NNP,PERSON
",",",",O
but,CC,O
also,RB,O
those,DT,O
subsequent,JJ,O
development,NNS,O
which,WDT,O
throw,VBD,O
so,RB,O
curious,JJ,O
a,DT,O
light,NN,O
upon,IN,O
the,DT,O
cause,NNS,O
of,IN,O
the,DT,O
crime,NN,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
wild,JJ,O
",",",",O
tempestuous,JJ,O
night,NN,O
towards,IN,O
the,DT,O
close,NN,O
of,IN,O
November,NNP,DATE
.,.,O
Holmes,NNP,PERSON
and,CC,O
I,PRP,O
sit,VBD,O
together,RB,O
in,IN,O
silence,NN,O
all,PDT,O
the,DT,O
evening,NN,TIME
",",",",O
he,PRP,O
engage,VBD,O
with,IN,O
a,DT,O
powerful,JJ,O
lens,NN,O
decipher,VBG,O
the,DT,O
remains,NNS,O
of,IN,O
the,DT,O
original,JJ,O
inscription,NN,O
upon,IN,O
a,DT,O
palimpsest,NN,O
",",",",O
I,PRP,O
deep,RB,O
in,IN,O
a,DT,O
recent,JJ,O
treatise,NN,O
upon,IN,O
surgery,NN,O
.,.,O
outside,IN,O
the,DT,O
wind,NN,O
howl,VBD,O
down,RP,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
while,IN,O
the,DT,O
rain,NN,O
beat,VBD,O
fiercely,RB,O
against,IN,O
the,DT,O
window,NNS,O
.,.,O
it,PRP,O
be,VBD,O
strange,JJ,O
there,RB,O
in,IN,O
the,DT,O
very,RB,O
depths,NNS,O
of,IN,O
the,DT,O
town,NN,O
",",",",O
with,IN,O
ten,CD,O
mile,NNS,O
of,IN,O
man,NN,O
's,POS,O
handiwork,NN,O
on,IN,O
every,DT,O
side,NN,O
of,IN,O
we,PRP,O
",",",",O
to,TO,O
feel,VB,O
the,DT,O
iron,NN,O
grip,NN,O
of,IN,O
Nature,NNP,O
",",",",O
and,CC,O
to,TO,O
be,VB,O
conscious,JJ,O
that,IN,O
to,IN,O
the,DT,O
huge,JJ,O
elemental,JJ,O
force,NNS,O
all,DT,O
London,NNP,LOCATION
be,VBD,O
no,DT,O
more,JJR,O
than,IN,O
the,DT,O
molehill,NNS,O
that,WDT,O
dot,VBP,O
the,DT,O
field,NNS,O
.,.,O
I,PRP,O
walk,VBD,O
to,IN,O
the,DT,O
window,NN,O
and,CC,O
look,VBD,O
out,RP,O
on,IN,O
the,DT,O
deserted,JJ,O
street,NN,O
.,.,O
the,DT,O
occasional,JJ,O
lamp,NNS,O
gleam,VBD,O
on,IN,O
the,DT,O
expanse,NN,O
of,IN,O
muddy,JJ,O
road,NN,O
and,CC,O
shine,VBG,O
pavement,NN,O
.,.,O
a,DT,O
single,JJ,O
cab,NN,O
be,VBD,O
splash,VBG,O
its,PRP$,O
way,NN,O
from,IN,O
the,DT,O
Oxford,NNP,LOCATION
Street,NNP,LOCATION
end,NN,O
.,.,O
"""",``,O
well,UH,O
",",",",O
Watson,NNP,PERSON
",",",",O
it,PRP,O
be,VBZ,O
as,RB,O
well,RB,O
we,PRP,O
have,VBP,O
not,RB,O
to,TO,O
turn,VB,O
out,RP,O
to,IN,O
-,HYPH,O
night,NN,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
lay,VBG,O
aside,RB,O
he,PRP$,O
lens,NN,O
and,CC,O
roll,VBG,O
up,RP,O
the,DT,O
palimpsest,NN,O
.,.,O
"""",``,O
I,PRP,O
have,VBP,O
do,VBN,O
enough,RB,O
for,IN,O
one,CD,O
sit,VBG,O
.,.,O
it,PRP,O
be,VBZ,O
try,VBG,O
work,NN,O
for,IN,O
the,DT,O
eye,NNS,O
.,.,O
so,RB,O
far,RB,O
as,IN,O
I,PRP,O
can,MD,O
make,VB,O
out,RP,O
it,PRP,O
be,VBZ,O
nothing,NN,O
more,RBR,O
exciting,JJ,O
than,IN,O
a,DT,O
Abbey,NNP,ORGANIZATION
's,POS,O
account,NNS,O
date,VBG,O
from,IN,O
the,DT,O
second,JJ,DATE
half,NN,DATE
of,IN,DATE
the,DT,DATE
fifteenth,NN,DATE
century,NN,DATE
.,.,O
Halloa,NNP,O
!,.,O
halloa,FW,O
!,.,O
halloa,FW,O
!,.,O
what,WP,O
be,VBZ,O
this,DT,O
?,.,O
"""",``,O
amid,IN,O
the,DT,O
droning,NN,O
of,IN,O
the,DT,O
wind,NN,O
there,RB,O
have,VBD,O
come,VBN,O
the,DT,O
stamp,VBG,O
of,IN,O
a,DT,O
horse,NN,O
's,POS,O
hoof,NNS,O
and,CC,O
the,DT,O
long,RB,O
grind,VBP,O
of,IN,O
a,DT,O
wheel,NN,O
as,IN,O
it,PRP,O
rasp,VBD,O
against,IN,O
the,DT,O
kerb,NN,O
.,.,O
the,DT,O
cab,NN,O
which,WDT,O
I,PRP,O
have,VBD,O
see,VBN,O
have,VBD,O
pull,VBN,O
up,RP,O
at,IN,O
we,PRP$,O
door,NN,O
.,.,O
"""",``,O
what,WP,O
can,MD,O
he,PRP,O
want,VB,O
?,.,O
"""",'',O
I,PRP,O
ejaculate,VBD,O
",",",",O
as,IN,O
a,DT,O
man,NN,O
step,VBD,O
out,IN,O
of,IN,O
it,PRP,O
.,.,O
"""",``,O
want,VB,O
!,.,O
he,PRP,O
want,VBZ,O
we,PRP,O
.,.,O
and,CC,O
we,PRP,O
",",",",O
my,PRP$,O
poor,JJ,O
Watson,NNP,PERSON
",",",",O
want,VBP,O
overcoat,NNS,O
and,CC,O
cravat,NNS,O
and,CC,O
galosh,NNS,O
",",",",O
and,CC,O
every,DT,O
aid,NN,O
that,WDT,O
man,NN,O
ever,RB,O
invent,VBN,O
to,TO,O
fight,VB,O
the,DT,O
weather,NN,O
.,.,O
wait,VB,O
a,DT,O
bit,NN,O
",",",",O
though,RB,O
!,.,O
there,EX,O
be,VBZ,O
the,DT,O
cab,NN,O
off,RP,O
again,RB,O
!,.,O
there,EX,O
be,VBZ,O
hope,NN,O
yet,RB,O
.,.,O
he,PRP,O
would,MD,O
have,VB,O
keep,VBN,O
it,PRP,O
if,IN,O
he,PRP,O
have,VBD,O
want,VBN,O
we,PRP,O
to,TO,O
come,VB,O
.,.,O
run,VB,O
down,RP,O
",",",",O
my,PRP$,O
dear,JJ,O
fellow,NN,O
",",",",O
and,CC,O
open,VB,O
the,DT,O
door,NN,O
",",",",O
for,IN,O
all,DT,O
virtuous,JJ,O
folk,NN,O
have,VBP,O
be,VBN,O
long,RB,O
in,IN,O
bed,NN,O
.,.,O
"""",``,O
when,WRB,O
the,DT,O
