lemma,pos,ner
one,CD,O
summer,NN,DATE
night,NN,TIME
",",",",O
a,DT,O
few,JJ,O
month,NNS,O
after,IN,O
my,PRP$,O
marriage,NN,O
",",",",O
I,PRP,O
be,VBD,O
seat,VBN,O
by,IN,O
my,PRP$,O
own,JJ,O
hearth,NN,O
smoke,VBG,O
a,DT,O
last,JJ,O
pipe,NN,O
and,CC,O
nod,VBG,O
over,IN,O
a,DT,O
novel,NN,O
",",",",O
for,IN,O
my,PRP$,O
day,NN,O
's,POS,O
work,NN,O
have,VBD,O
be,VBN,O
a,DT,O
exhausting,JJ,O
one,NN,O
.,.,O
my,PRP$,O
wife,NN,O
have,VBD,O
already,RB,O
go,VBN,O
upstairs,RB,O
",",",",O
and,CC,O
the,DT,O
sound,NN,O
of,IN,O
the,DT,O
locking,NN,O
of,IN,O
the,DT,O
hall,NN,O
door,NN,O
some,DT,O
time,NN,O
before,IN,O
tell,VBD,O
I,PRP,O
that,IN,O
the,DT,O
servant,NNS,O
have,VBD,O
also,RB,O
retire,VBN,O
.,.,O
I,PRP,O
have,VBD,O
rise,VBN,O
from,IN,O
my,PRP$,O
seat,NN,O
and,CC,O
be,VBD,O
knock,VBG,O
out,RP,O
the,DT,O
ash,NNS,O
of,IN,O
my,PRP$,O
pipe,NN,O
when,WRB,O
I,PRP,O
suddenly,RB,O
hear,VBD,O
the,DT,O
clang,NN,O
of,IN,O
the,DT,O
bell,NN,O
.,.,O
I,PRP,O
look,VBD,O
at,IN,O
the,DT,O
clock,NN,O
.,.,O
it,PRP,O
be,VBD,O
a,DT,O
quarter,NN,O
to,IN,O
twelve,CD,O
.,.,O
this,DT,O
could,MD,O
not,RB,O
be,VB,O
a,DT,O
visitor,NN,O
at,IN,O
so,RB,O
late,RB,O
a,DT,O
hour,NN,O
.,.,O
a,DT,O
patient,NN,O
",",",",O
evidently,RB,O
",",",",O
and,CC,O
possibly,RB,O
a,DT,O
all,DT,O
-,HYPH,O
night,NN,O
sit,VBG,O
.,.,O
with,IN,O
a,DT,O
wry,JJ,O
face,NN,O
I,PRP,O
go,VBD,O
out,RP,O
into,IN,O
the,DT,O
hall,NN,O
and,CC,O
open,VBD,O
the,DT,O
door,NN,O
.,.,O
to,IN,O
my,PRP$,O
astonishment,NN,O
it,PRP,O
be,VBD,O
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
who,WP,O
stand,VBD,O
upon,IN,O
my,PRP$,O
step,NN,O
.,.,O
"""",``,O
ah,UH,O
",",",",O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
"""",``,O
I,PRP,O
hope,VBD,O
that,IN,O
I,PRP,O
might,MD,O
not,RB,O
be,VB,O
too,RB,O
late,JJ,O
to,TO,O
catch,VB,O
you,PRP,O
.,.,O
"""",'',O
"""",``,O
my,PRP$,O
dear,JJ,O
fellow,NN,O
",",",",O
pray,VBP,O
come,VB,O
in,RP,O
.,.,O
"""",'',O
"""",``,O
you,PRP,O
look,VBP,O
surprised,JJ,O
",",",",O
and,CC,O
no,DT,O
wonder,NN,O
!,.,O
relieve,VBN,O
",",",",O
too,RB,O
",",",",O
I,PRP,O
fancy,VBP,O
!,.,O
hum,VB,O
!,.,O
you,PRP,O
still,RB,O
smoke,VBP,O
the,DT,O
Arcadia,NNP,LOCATION
mixture,NN,O
of,IN,O
you,PRP$,O
bachelor,NN,O
day,NNS,O
then,RB,O
!,.,O
there,EX,O
be,VBZ,O
no,DT,O
mistaking,NN,O
that,WDT,O
fluffy,JJ,O
ash,NN,O
upon,IN,O
you,PRP$,O
coat,NN,O
.,.,O
it,PRP,O
be,VBZ,O
easy,JJ,O
to,TO,O
tell,VB,O
that,IN,O
you,PRP,O
have,VBP,O
be,VBN,O
accustom,VBN,O
to,TO,O
wear,VB,O
a,DT,O
uniform,NN,O
",",",",O
Watson,NNP,PERSON
.,.,O
you,PRP,O
will,MD,O
never,RB,O
pass,VB,O
as,RB,O
a,DT,O
pure,JJ,O
-,HYPH,O
breed,VBN,O
civilian,JJ,O
as,RB,O
long,RB,O
as,IN,O
you,PRP,O
keep,VBP,O
that,DT,O
habit,NN,O
of,IN,O
carry,VBG,O
you,PRP$,O
handkerchief,NN,O
in,IN,O
you,PRP$,O
sleeve,NN,O
.,.,O
could,MD,O
you,PRP,O
put,VB,O
I,PRP,O
up,RP,O
tonight,NN,O
?,.,O
"""",``,O
"""",``,O
with,IN,O
pleasure,NN,O
.,.,O
"""",``,O
"""",``,O
you,PRP,O
tell,VBD,O
I,PRP,O
that,IN,O
you,PRP,O
have,VBD,O
bachelor,NN,O
quarter,NNS,O
for,IN,O
one,CD,O
",",",",O
and,CC,O
I,PRP,O
see,VBP,O
that,IN,O
you,PRP,O
have,VBP,O
no,DT,O
gentleman,NN,O
visitor,NN,O
at,IN,O
present,JJ,O
.,.,O
you,PRP$,O
hat,NN,O
-,HYPH,O
stand,NN,O
proclaim,VBZ,O
as,RB,O
much,JJ,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
shall,MD,O
be,VB,O
delighted,JJ,O
if,IN,O
you,PRP,O
will,MD,O
stay,VB,O
.,.,O
"""",``,O
"""",``,O
thank,VBP,O
you,PRP,O
.,.,O
I,PRP,O
will,MD,O
fill,VB,O
the,DT,O
vacant,JJ,O
peg,NN,O
then,RB,O
.,.,O
sorry,JJ,O
to,TO,O
see,VB,O
that,IN,O
you,PRP,O
have,VBP,O
have,VBN,O
the,DT,O
british,JJ,MISC
workman,NN,O
in,IN,O
the,DT,O
house,NN,O
.,.,O
he,PRP,O
be,VBZ,O
a,DT,O
token,NN,O
of,IN,O
evil,NN,O
.,.,O
not,RB,O
the,DT,O
drain,NNS,O
",",",",O
I,PRP,O
hope,VBP,O
?,.,O
"""",``,O
"""",``,O
no,UH,O
",",",",O
the,DT,O
gas,NN,O
.,.,O
"""",``,O
"""",``,O
ah,UH,O
!,.,O
he,PRP,O
have,VBZ,O
leave,VBN,O
two,CD,O
nail,NN,O
-,HYPH,O
mark,NNS,O
from,IN,O
he,PRP$,O
boot,NN,O
upon,IN,O
you,PRP$,O
linoleum,NN,O
just,RB,O
where,WRB,O
the,DT,O
light,NN,O
strike,VBZ,O
it,PRP,O
.,.,O
no,UH,O
",",",",O
thank,VBP,O
you,PRP,O
",",",",O
I,PRP,O
have,VBD,O
some,DT,O
supper,NN,O
at,IN,O
Waterloo,NNP,LOCATION
",",",",O
but,CC,O
I,PRP,O
will,MD,O
smoke,VB,O
a,DT,O
pipe,NN,O
with,IN,O
you,PRP,O
with,IN,O
pleasure,NN,O
.,.,O
"""",``,O
I,PRP,O
hand,VBD,O
he,PRP,O
my,PRP$,O
pouch,NN,O
",",",",O
and,CC,O
he,PRP,O
seat,VBD,O
himself,PRP,O
opposite,JJ,O
to,IN,O
I,PRP,O
and,CC,O
smoke,VBN,O
for,IN,O
some,DT,O
time,NN,O
in,IN,O
silence,NN,O
.,.,O
I,PRP,O
be,VBD,O
well,RB,O
aware,JJ,O
that,IN,O
nothing,NN,O
but,IN,O
business,NN,O
of,IN,O
importance,NN,O
would,MD,O
have,VB,O
bring,VBN,O
he,PRP,O
to,IN,O
I,PRP,O
at,IN,O
such,PDT,O
a,DT,O
hour,NN,O
",",",",O
so,RB,O
I,PRP,O
wait,VBD,O
patiently,RB,O
until,IN,O
he,PRP,O
should,MD,O
come,VB,O
round,RB,O
to,IN,O
it,PRP,O
.,.,O
"""",``,O
I,PRP,O
see,VBP,O
that,IN,O
you,PRP,O
be,VBP,O
professionally,RB,O
rather,RB,O
busy,JJ,O
just,RB,O
now,RB,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
glance,VBG,O
very,RB,O
keenly,RB,O
across,IN,O
at,IN,O
I,PRP,O
.,.,O
"""",``,O
yes,UH,O
",",",",O
I,PRP,O
have,VBP,O
have,VBN,O
a,DT,O
busy,JJ,O
day,NN,O
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
.,.,O
"""",``,O
it,PRP,O
may,MD,O
seem,VB,O
very,RB,O
foolish,JJ,O
in,IN,O
you,PRP$,O
eye,NNS,O
",",",",O
"""",'',O
I,PRP,O
add,VBD,O
",",",",O
"""",``,O
but,CC,O
really,RB,O
I,PRP,O
do,VBP,O
not,RB,O
know,VB,O
how,WRB,O
you,PRP,O
deduce,VBD,O
it,PRP,O
.,.,O
"""",'',O
Holmes,NNP,PERSON
chuckle,VBD,O
to,IN,O
himself,PRP,O
.,.,O
"""",``,O
I,PRP,O
have,VBP,O
the,DT,O
advantage,NN,O
of,IN,O
know,VBG,O
you,PRP$,O
habit,NNS,O
",",",",O
my,PRP$,O
dear,JJ,O
Watson,NNP,PERSON
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
when,WRB,O
you,PRP$,O
round,NN,O
be,VBZ,O
a,DT,O
short,JJ,O
one,NN,O
you,PRP,O
walk,VBP,O
",",",",O
and,CC,O
when,WRB,O
it,PRP,O
be,VBZ,O
a,DT,O
long,JJ,O
one,NN,O
you,PRP,O
use,VBP,O
a,DT,O
hansom,NN,O
.,.,O
as,IN,O
I,PRP,O
perceive,VBP,O
that,IN,O
you,PRP$,O
boot,NNS,O
",",",",O
although,IN,O
use,VBN,O
",",",",O
be,VBP,O
by,IN,O
no,DT,O
means,NNS,O
dirty,JJ,O
",",",",O
I,PRP,O
can,MD,O
not,RB,O
doubt,VB,O
that,IN,O
you,PRP,O
be,VBP,O
at,IN,O
present,JJ,O
busy,JJ,O
enough,JJ,O
to,TO,O
justify,VB,O
the,DT,O
hansom,NN,O
.,.,O
"""",``,O
"""",``,O
excellent,JJ,O
!,.,O
"""",``,O
I,PRP,O
cry,VBD,O
.,.,O
"""",'',O
Elementary,NNP,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",'',O
it,PRP,O
be,VBZ,O
one,CD,O
of,IN,O
those,DT,O
instance,NNS,O
where,WRB,O
the,DT,O
reasoner,NN,O
can,MD,O
produce,VB,O
a,DT,O
effect,NN,O
which,WDT,O
seem,VBZ,O
remarkable,JJ,O
to,IN,O
he,PRP$,O
neighbor,NN,O
",",",",O
because,IN,O
the,DT,O
latter,JJ,O
have,VBZ,O
miss,VBN,O
the,DT,O
one,CD,O
little,JJ,O
point,NN,O
which,WDT,O
be,VBZ,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
deduction,NN,O
.,.,O
the,DT,O
same,JJ,O
may,MD,O
be,VB,O
say,VBN,O
",",",",O
my,PRP$,O
dear,JJ,O
fellow,NN,O
",",",",O
for,IN,O
the,DT,O
effect,NN,O
of,IN,O
some,DT,O
of,IN,O
these,DT,O
little,JJ,O
sketch,NNS,O
of,IN,O
yours,NNS,O
",",",",O
which,WDT,O
be,VBZ,O
entirely,RB,O
meretricious,JJ,O
",",",",O
depend,VBG,O
as,IN,O
it,PRP,O
do,VBZ,O
upon,IN,O
you,PRP$,O
retain,VBG,O
in,IN,O
you,PRP$,O
own,JJ,O
hand,NNS,O
some,DT,O
factor,NNS,O
in,IN,O
the,DT,O
problem,NN,O
which,WDT,O
be,VBP,O
never,RB,O
impart,VBN,O
to,IN,O
the,DT,O
reader,NN,O
.,.,O
now,RB,O
",",",",O
at,IN,O
present,JJ,O
I,PRP,O
be,VBP,O
in,IN,O
the,DT,O
position,NN,O
of,IN,O
these,DT,O
same,JJ,O
reader,NNS,O
",",",",O
for,IN,O
I,PRP,O
hold,VBP,O
in,IN,O
this,DT,O
hand,NN,O
several,JJ,O
thread,NNS,O
of,IN,O
one,CD,O
of,IN,O
the,DT,O
strangest,JJS,O
case,NNS,O
which,WDT,O
ever,RB,O
perplex,VBD,O
a,DT,O
man,NN,O
's,POS,O
brain,NN,O
",",",",O
and,CC,O
yet,RB,O
I,PRP,O
lack,VBP,O
the,DT,O
one,CD,O
or,CC,O
two,CD,O
which,WDT,O
be,VBP,O
needful,JJ,O
to,TO,O
complete,VB,O
my,PRP$,O
theory,NN,O
.,.,O
but,CC,O
I,PRP,O
will,MD,O
have,VB,O
they,PRP,O
",",",",O
Watson,NNP,PERSON
",",",",O
I,PRP,O
will,MD,O
have,VB,O
they,PRP,O
!,.,O
"""",``,O
he,PRP$,O
eye,NNS,O
kindle,VBD,O
and,CC,O
a,DT,O
slight,JJ,O
flush,NN,O
spring,VBD,O
into,IN,O
he,PRP$,O
thin,JJ,O
cheek,NNS,O
.,.,O
for,IN,O
a,DT,O
instant,NN,O
the,DT,O
veil,NN,O
have,VBD,O
lift,VBN,O
upon,IN,O
he,PRP$,O
keen,JJ,O
",",",",O
intense,JJ,O
nature,NN,O
",",",",O
but,CC,O
for,IN,O
a,DT,O
instant,NN,O
only,RB,O
.,.,O
when,WRB,O
I,PRP,O
glance,VBD,O
again,RB,O
he,PRP$,O
face,NN,O
have,VBD,O
resume,VBN,O
that,IN,O
red,JJ,MISC
-,HYPH,MISC
indian,JJ,MISC
composure,NN,O
which,WDT,O
have,VBD,O
make,VBN,O
so,RB,O
many,JJ,O
regard,VBP,O
he,PRP,O
as,IN,O
a,DT,O
machine,NN,O
rather,RB,O
than,IN,O
a,DT,O
man,NN,O
.,.,O
"""",``,O
the,DT,O
problem,NN,O
present,VBZ,O
feature,NNS,O
of,IN,O
interest,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
I,PRP,O
may,MD,O
even,RB,O
say,VB,O
exceptional,JJ,O
feature,NNS,O
of,IN,O
interest,NN,O
.,.,O
I,PRP,O
have,VBP,O
already,RB,O
look,VBN,O
into,IN,O
the,DT,O
matter,NN,O
",",",",O
and,CC,O
have,VBP,O
come,VBN,O
",",",",O
as,IN,O
I,PRP,O
think,VBP,O
",",",",O
within,IN,O
sight,NN,O
of,IN,O
my,PRP$,O
solution,NN,O
.,.,O
if,IN,O
you,PRP,O
could,MD,O
accompany,VB,O
I,PRP,O
in,IN,O
that,DT,O
last,JJ,O
step,NN,O
you,PRP,O
might,MD,O
be,VB,O
of,IN,O
considerable,JJ,O
service,NN,O
to,IN,O
I,PRP,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
should,MD,O
be,VB,O
delighted,JJ,O
.,.,O
"""",``,O
"""",``,O
could,MD,O
you,PRP,O
go,VB,O
as,RB,O
far,RB,O
as,IN,O
Aldershot,NNP,LOCATION
to,IN,O
-,HYPH,O
morrow,NN,O
?,.,O
"""",``,O
"""",``,O
I,PRP,O
have,VBP,O
no,DT,O
doubt,NN,O
Jackson,NNP,PERSON
would,MD,O
take,VB,O
my,PRP$,O
practice,NN,O
.,.,O
"""",``,O
"""",``,O
very,RB,O
good,JJ,O
.,.,O
I,PRP,O
want,VBP,O
to,TO,O
start,VB,O
by,IN,O
the,DT,O
11.10,CD,O
from,IN,O
Waterloo,NNP,LOCATION
.,.,O
"""",``,O
"""",``,O
that,DT,O
would,MD,O
give,VB,O
I,PRP,O
time,NN,O
.,.,O
"""",``,O
"""",``,O
then,RB,O
",",",",O
if,IN,O
you,PRP,O
be,VBP,O
not,RB,O
too,RB,O
sleepy,JJ,O
",",",",O
I,PRP,O
will,MD,O
give,VB,O
you,PRP,O
a,DT,O
sketch,NN,O
of,IN,O
what,WP,O
have,VBZ,O
happen,VBN,O
",",",",O
and,CC,O
of,IN,O
what,WP,O
remain,VBZ,O
to,TO,O
be,VB,O
do,VBN,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
be,VBD,O
sleepy,JJ,O
before,IN,O
you,PRP,O
come,VBD,O
.,.,O
I,PRP,O
be,VBP,O
quite,RB,O
wakeful,JJ,O
now,RB,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
will,MD,O
compress,VB,O
the,DT,O
story,NN,O
as,RB,O
far,RB,O
as,IN,O
may,MD,O
be,VB,O
do,VBN,O
without,IN,O
omit,VBG,O
anything,NN,O
vital,JJ,O
to,IN,O
the,DT,O
case,NN,O
.,.,O
it,PRP,O
be,VBZ,O
conceivable,JJ,O
that,IN,O
you,PRP,O
may,MD,O
even,RB,O
have,VB,O
read,VBN,O
some,DT,O
account,NN,O
of,IN,O
the,DT,O
matter,NN,O
.,.,O
it,PRP,O
be,VBZ,O
the,DT,O
suppose,VBN,O
murder,NN,O
of,IN,O
Colonel,NNP,O
Barclay,NNP,PERSON
",",",",O
of,IN,O
the,DT,O
Royal,NNP,O
Munsters,NNP,O
",",",",O
at,IN,O
Aldershot,NNP,LOCATION
",",",",O
which,WDT,O
I,PRP,O
be,VBP,O
investigate,VBG,O
.,.,O
"""",``,O
"""",``,O
I,PRP,O
have,VBP,O
hear,VBN,O
nothing,NN,O
of,IN,O
it,PRP,O
.,.,O
"""",``,O
"""",``,O
it,PRP,O
have,VBZ,O
not,RB,O
excited,JJ,O
much,JJ,O
attention,NN,O
yet,RB,O
",",",",O
except,IN,O
locally,RB,O
.,.,O
the,DT,O
fact,NNS,O
be,VBP,O
only,RB,O
two,CD,O
day,NNS,O
old,JJ,O
.,.,O
briefly,RB,O
they,PRP,O
be,VBP,O
these,DT,O
:,:,O
"""",``,O
the,DT,O
Royal,NNP,O
Munsters,NNP,O
be,VBZ,O
",",",",O
as,IN,O
you,PRP,O
know,VBP,O
",",",",O
one,CD,O
of,IN,O
the,DT,O
most,RBS,O
famous,JJ,O
irish,JJ,MISC
regiment,NNS,O
in,IN,O
the,DT,O
british,JJ,MISC
army,NN,O
.,.,O
it,PRP,O
do,VBD,O
wonder,NNS,O
both,CC,O
in,IN,O
the,DT,O
Crimea,NNP,LOCATION
and,CC,O
the,DT,O
Mutiny,NNP,O
",",",",O
and,CC,O
have,VBZ,O
since,IN,O
that,DT,O
time,NN,O
distinguish,VBD,O
itself,PRP,O
upon,IN,O
every,DT,O
possible,JJ,O
occasion,NN,O
.,.,O
it,PRP,O
be,VBD,O
command,VBN,O
up,RP,O
to,IN,O
Monday,NNP,DATE
night,NN,TIME
by,IN,O
James,NNP,PERSON
Barclay,NNP,PERSON
",",",",O
a,DT,O
gallant,JJ,O
veteran,NN,O
",",",",O
who,WP,O
start,VBD,O
as,IN,O
