lemma,pos,ner
we,PRP,O
be,VBD,O
fairly,RB,O
accustomed,JJ,O
to,TO,O
receive,VB,O
weird,JJ,O
telegram,NNS,O
at,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
",",",",O
but,CC,O
I,PRP,O
have,VBP,O
a,DT,O
particular,JJ,O
recollection,NN,O
of,IN,O
one,CD,O
which,WDT,O
reach,VBD,O
we,PRP,O
on,IN,O
a,DT,O
gloomy,JJ,O
February,NNP,DATE
morning,NN,O
some,DT,O
seven,CD,O
or,CC,O
eight,CD,O
year,NNS,O
ago,RB,O
and,CC,O
give,VBD,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
a,DT,O
puzzled,JJ,O
quarter,NN,O
of,IN,O
a,DT,O
hour,NN,O
.,.,O
it,PRP,O
be,VBD,O
address,VBN,O
to,IN,O
he,PRP,O
",",",",O
and,CC,O
run,VBD,O
thus,RB,O
:,:,O
"""",``,O
please,UH,O
await,VB,O
I,PRP,O
.,.,O
terrible,JJ,O
misfortune,NN,O
.,.,O
right,JJ,O
wing,NN,O
three,CD,O
-,HYPH,O
quarter,NN,O
miss,VBG,O
;,:,O
indispensable,JJ,O
to,IN,O
-,HYPH,O
morrow,NN,O
.,.,O
Overton,NNP,PERSON
.,.,O
"""",``,O
"""",``,O
strand,NN,O
post-mark,NN,O
and,CC,O
dispatch,VBD,O
ten,CD,O
-,HYPH,O
thirty,CD,O
-,HYPH,O
six,CD,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
read,VBG,O
it,PRP,O
over,RP,O
and,CC,O
over,RP,O
.,.,O
"""",'',O
Mr.,NNP,PERSON
Overton,NNP,PERSON
be,VBD,O
evidently,RB,O
considerably,RB,O
excited,JJ,O
when,WRB,O
he,PRP,O
send,VBD,O
it,PRP,O
",",",",O
and,CC,O
somewhat,RB,O
incoherent,JJ,O
in,IN,O
consequence,NN,O
.,.,O
well,UH,O
",",",",O
well,UH,O
",",",",O
he,PRP,O
will,MD,O
be,VB,O
here,RB,O
",",",",O
I,PRP,O
dare,MD,O
say,VB,O
",",",",O
by,IN,O
the,DT,O
time,NN,O
I,PRP,O
have,VBP,O
look,VBN,O
through,IN,O
the,DT,O
time,NNS,O
",",",",O
and,CC,O
then,RB,O
we,PRP,O
shall,MD,O
know,VB,O
all,DT,O
about,IN,O
it,PRP,O
.,.,O
even,RB,O
the,DT,O
most,RBS,O
insignificant,JJ,O
problem,NN,O
would,MD,O
be,VB,O
welcome,JJ,O
in,IN,O
these,DT,O
stagnant,JJ,O
day,NNS,O
.,.,O
"""",``,O
thing,NNS,O
have,VBD,O
indeed,RB,O
be,VBN,O
very,RB,O
slow,JJ,O
with,IN,O
we,PRP,O
",",",",O
and,CC,O
I,PRP,O
have,VBD,O
learn,VBN,O
to,IN,O
dread,NN,O
such,JJ,O
period,NNS,O
of,IN,O
inaction,NN,O
",",",",O
for,IN,O
I,PRP,O
know,VBD,O
by,IN,O
experience,NN,O
that,IN,O
my,PRP$,O
companion,NN,O
's,POS,O
brain,NN,O
be,VBD,O
so,RB,O
abnormally,RB,O
active,JJ,O
that,IN,O
it,PRP,O
be,VBD,O
dangerous,JJ,O
to,TO,O
leave,VB,O
it,PRP,O
without,IN,O
material,NN,O
upon,IN,O
which,WDT,O
to,TO,O
work,VB,O
.,.,O
for,IN,O
year,NNS,O
I,PRP,O
have,VBD,O
